DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,DFLCHART,DFLALTED,OUTCOME,ASVAB_STATUS
014907,ROGERS ISD,14,BELL,12,N,N,Meets Requirements, 
014908,SALADO ISD,14,BELL,12,N,N,Meets Requirements, 
014909,TEMPLE ISD,14,BELL,12,N,N,Needs Substantial Intervention, 
014910,TROY ISD,14,BELL,12,N,N,Meets Requirements, 
015801,POR VIDA ACADEMY,15,BEXAR,20,Y,Y,Needs Assistance, 
015802,GEORGE GERVIN ACADEMY,15,BEXAR,20,Y,N,Meets Requirements, 
015805,NEW FRONTIERS PUBLIC SCHOOLS INC,15,BEXAR,20,Y,N,Meets Requirements, 
015806,SCHOOL OF EXCELLENCE IN EDUCATION,15,BEXAR,20,Y,N,Meets Requirements, 
015807,SOUTHWEST PREPARATORY SCHOOL,15,BEXAR,20,Y,Y,Meets Requirements, 
015808,INSPIRE ACADEMIES,15,BEXAR,20,Y,Y,Meets Requirements, 
015809,BEXAR COUNTY ACADEMY,15,BEXAR,20,Y,N,Meets Requirements, 
015814,POSITIVE SOLUTIONS CHARTER SCHOOL,15,BEXAR,20,Y,Y,Meets Requirements, 
015815,HERITAGE ACADEMY,15,BEXAR,20,Y,Y,Meets Requirements, 
015822,JUBILEE ACADEMIES,15,BEXAR,20,Y,N,Meets Requirements, 
015825,LIGHTHOUSE CHARTER SCHOOL,15,BEXAR,20,Y,N,Meets Requirements, 
015827,SCHOOL OF SCIENCE AND TECHNOLOGY,15,BEXAR,20,Y,N,Meets Requirements,ASVAB Test not Offered
015828,HARMONY SCIENCE ACAD (SAN ANTONIO),15,BEXAR,20,Y,N,Meets Requirements, 
015830,BROOKS ACADEMIES OF TEXAS,15,BEXAR,20,Y,N,Meets Requirements, 
015831,SCHOOL OF SCIENCE AND TECHNOLOGY D,15,BEXAR,20,Y,N,Meets Requirements,ASVAB Test not Offered
015833,HENRY FORD ACADEMY ALAMEDA SCHOOL,15,BEXAR,20,Y,N,Meets Requirements, 
015834,BASIS TEXAS,15,BEXAR,20,Y,N,Meets Requirements,ASVAB Alternative Test Offered
015835,GREAT HEARTS TEXAS,15,BEXAR,20,Y,N,Meets Requirements,ASVAB Test not Offered
015836,ELEANOR KOLITZ HEBREW LANGUAGE ACA,15,BEXAR,20,Y,N,Meets Requirements, 
015838,COMPASS ROSE ACADEMY,15,BEXAR,20,Y,N,Meets Requirements, 
015901,ALAMO HEIGHTS ISD,15,BEXAR,20,N,N,Meets Requirements, 
015904,HARLANDALE ISD,15,BEXAR,20,N,N,Meets Requirements, 
015905,EDGEWOOD ISD,15,BEXAR,20,N,N,Needs Assistance, 
015906,RANDOLPH FIELD ISD,15,BEXAR,20,N,N,Meets Requirements, 
015907,SAN ANTONIO ISD,15,BEXAR,20,N,N,Meets Requirements, 
015908,SOUTH SAN ANTONIO ISD,15,BEXAR,20,N,N,Needs Assistance,ASVAB Test not Offered
015909,SOMERSET ISD,15,BEXAR,20,N,N,Needs Assistance, 
015910,NORTH EAST ISD,15,BEXAR,20,N,N,Meets Requirements, 
015911,EAST CENTRAL ISD,15,BEXAR,20,N,N,Needs Assistance, 
015912,SOUTHWEST ISD,15,BEXAR,20,N,N,Meets Requirements, 
015913,LACKLAND ISD,15,BEXAR,20,N,N,Meets Requirements, 
015914,FT SAM HOUSTON ISD,15,BEXAR,20,N,N,Meets Requirements, 
015915,NORTHSIDE ISD,15,BEXAR,20,N,N,Meets Requirements,ASVAB Alternative Test Offered
015916,JUDSON ISD,15,BEXAR,20,N,N,Needs Intervention, 
015917,SOUTHSIDE ISD,15,BEXAR,20,N,N,Meets Requirements, 
016901,JOHNSON CITY ISD,16,BLANCO,13,N,N,Meets Requirements, 
016902,BLANCO ISD,16,BLANCO,13,N,N,Meets Requirements, 
017901,BORDEN COUNTY ISD,17,BORDEN,17,N,N,Meets Requirements, 
018901,CLIFTON ISD,18,BOSQUE,12,N,N,Meets Requirements, 
018902,MERIDIAN ISD,18,BOSQUE,12,N,N,Meets Requirements, 
018903,MORGAN ISD,18,BOSQUE,12,N,N,Meets Requirements, 
018904,VALLEY MILLS ISD,18,BOSQUE,12,N,N,Meets Requirements, 
018905,WALNUT SPRINGS ISD,18,BOSQUE,12,N,N,Needs Assistance, 
018906,IREDELL ISD,18,BOSQUE,12,N,N,Meets Requirements, 
018907,KOPPERL ISD,18,BOSQUE,12,N,N,Meets Requirements, 
018908,CRANFILLS GAP ISD,18,BOSQUE,12,N,N,Meets Requirements, 
019901,DEKALB ISD,19,BOWIE,8,N,N,Meets Requirements, 
019902,HOOKS ISD,19,BOWIE,8,N,N,Meets Requirements, 
019903,MAUD ISD,19,BOWIE,8,N,N,Needs Assistance, 
019905,NEW BOSTON ISD,19,BOWIE,8,N,N,Needs Intervention, 
019906,REDWATER ISD,19,BOWIE,8,N,N,Meets Requirements, 
019907,TEXARKANA ISD,19,BOWIE,8,N,N,Needs Assistance, 
019908,LIBERTY-EYLAU ISD,19,BOWIE,8,N,N,Needs Intervention, 
019909,SIMMS ISD,19,BOWIE,8,N,N,Meets Requirements, 
019910,MALTA ISD,19,BOWIE,8,N,N,Meets Requirements, 
019911,RED LICK ISD,19,BOWIE,8,N,N,Meets Requirements, 
019912,PLEASANT GROVE ISD,19,BOWIE,8,N,N,Meets Requirements, 
019913,HUBBARD ISD,19,BOWIE,8,N,N,Meets Requirements, 
019914,LEARY ISD,19,BOWIE,8,N,N,Meets Requirements, 
020901,ALVIN ISD,20,BRAZORIA,4,N,N,Needs Assistance, 
020902,ANGLETON ISD,20,BRAZORIA,4,N,N,Meets Requirements, 
020904,DANBURY ISD,20,BRAZORIA,4,N,N,Meets Requirements, 
020905,BRAZOSPORT ISD,20,BRAZORIA,4,N,N,Needs Assistance, 
020906,SWEENY ISD,20,BRAZORIA,4,N,N,Meets Requirements, 
020907,COLUMBIA-BRAZORIA ISD,20,BRAZORIA,4,N,N,Meets Requirements, 
020908,PEARLAND ISD,20,BRAZORIA,4,N,N,Needs Assistance, 
020910,DAMON ISD,20,BRAZORIA,4,N,N,Meets Requirements, 
021803,BRAZOS SCHOOL FOR INQUIRY & CREATI,21,BRAZOS,6,Y,N,Meets Requirements, 
021805,ARROW ACADEMY,21,BRAZOS,6,Y,N,Meets Requirements, 
021901,COLLEGE STATION ISD,21,BRAZOS,6,N,N,Meets Requirements, 
021902,BRYAN ISD,21,BRAZOS,6,N,N,Needs Intervention, 
022004,TERLINGUA CSD,22,BREWSTER,18,N,N,Meets Requirements, 
022901,ALPINE ISD,22,BREWSTER,18,N,N,Meets Requirements, 
022902,MARATHON ISD,22,BREWSTER,18,N,N,Meets Requirements, 
022903,SAN VICENTE ISD,22,BREWSTER,18,N,N,Meets Requirements, 
023902,SILVERTON ISD,23,BRISCOE,16,N,N,Meets Requirements, 
024901,BROOKS COUNTY ISD,24,BROOKS,1,N,N,Meets Requirements, 
025901,BANGS ISD,25,BROWN,15,N,N,Meets Requirements, 
025902,BROWNWOOD ISD,25,BROWN,15,N,N,Needs Assistance, 
025904,BLANKET ISD,25,BROWN,15,N,N,Meets Requirements, 
025905,MAY ISD,25,BROWN,15,N,N,Meets Requirements, 
025906,ZEPHYR ISD,25,BROWN,15,N,N,Meets Requirements, 
025908,BROOKESMITH ISD,25,BROWN,15,N,N,Meets Requirements, 
025909,EARLY ISD,25,BROWN,15,N,N,Meets Requirements, 
026901,CALDWELL ISD,26,BURLESON,6,N,N,Meets Requirements, 
026902,SOMERVILLE ISD,26,BURLESON,6,N,N,Meets Requirements, 
026903,SNOOK ISD,26,BURLESON,6,N,N,Meets Requirements, 
027903,BURNET CISD,27,BURNET,13,N,N,Meets Requirements, 
027904,MARBLE FALLS ISD,27,BURNET,13,N,N,Meets Requirements, 
028902,LOCKHART ISD,28,CALDWELL,13,N,N,Meets Requirements, 
028903,LULING ISD,28,CALDWELL,13,N,N,Meets Requirements, 
028906,PRAIRIE LEA ISD,28,CALDWELL,13,N,N,Meets Requirements, 
029901,CALHOUN COUNTY ISD,29,CALHOUN,3,N,N,Needs Assistance, 
030901,CROSS PLAINS ISD,30,CALLAHAN,14,N,N,Meets Requirements, 
030902,CLYDE CISD,30,CALLAHAN,14,N,N,Meets Requirements, 
030903,BAIRD ISD,30,CALLAHAN,14,N,N,Meets Requirements, 
030906,EULA ISD,30,CALLAHAN,14,N,N,Meets Requirements, 
031901,BROWNSVILLE ISD,31,CAMERON,1,N,N,Meets Requirements, 
031903,HARLINGEN CISD,31,CAMERON,1,N,N,Needs Intervention, 
031905,LA FERIA ISD,31,CAMERON,1,N,N,Meets Requirements, 
031906,LOS FRESNOS CISD,31,CAMERON,1,N,N,Needs Assistance, 
031909,POINT ISABEL ISD,31,CAMERON,1,N,N,Needs Intervention, 
031911,RIO HONDO ISD,31,CAMERON,1,N,N,Meets Requirements, 
031912,SAN BENITO CISD,31,CAMERON,1,N,N,Meets Requirements, 
031913,SANTA MARIA ISD,31,CAMERON,1,N,N,Meets Requirements, 
031914,SANTA ROSA ISD,31,CAMERON,1,N,N,Meets Requirements, 
031916,SOUTH TEXAS ISD,31,CAMERON,1,N,N,Meets Requirements, 
032902,PITTSBURG ISD,32,CAMP,8,N,N,Needs Assistance, 
033901,GROOM ISD,33,CARSON,16,N,N,Meets Requirements, 
033902,PANHANDLE ISD,33,CARSON,16,N,N,Meets Requirements, 
033904,WHITE DEER ISD,33,CARSON,16,N,N,Meets Requirements, 
034901,ATLANTA ISD,34,CASS,8,N,N,Meets Requirements, 
034902,AVINGER ISD,34,CASS,8,N,N,Meets Requirements, 
034903,HUGHES SPRINGS ISD,34,CASS,8,N,N,Meets Requirements, 
034905,LINDEN-KILDARE CISD,34,CASS,8,N,N,Meets Requirements, 
034906,MCLEOD ISD,34,CASS,8,N,N,Meets Requirements, 
034907,QUEEN CITY ISD,34,CASS,8,N,N,Meets Requirements, 
034909,BLOOMBURG ISD,34,CASS,8,N,N,Meets Requirements, 
035901,DIMMITT ISD,35,CASTRO,16,N,N,Meets Requirements, 
035902,HART ISD,35,CASTRO,16,N,N,Needs Assistance, 
035903,NAZARETH ISD,35,CASTRO,16,N,N,Meets Requirements, 
036901,ANAHUAC ISD,36,CHAMBERS,4,N,N,Meets Requirements, 
036902,BARBERS HILL ISD,36,CHAMBERS,4,N,N,Meets Requirements, 
036903,EAST CHAMBERS ISD,36,CHAMBERS,5,N,N,Meets Requirements, 
037901,ALTO ISD,37,CHEROKEE,7,N,N,Meets Requirements, 
037904,JACKSONVILLE ISD,37,CHEROKEE,7,N,N,Meets Requirements, 
037907,RUSK ISD,37,CHEROKEE,7,N,N,Needs Assistance, 
037908,NEW SUMMERFIELD ISD,37,CHEROKEE,7,N,N,Meets Requirements, 
037909,WELLS ISD,37,CHEROKEE,7,N,N,Meets Requirements, 
038901,CHILDRESS ISD,38,CHILDRESS,16,N,N,Meets Requirements, 
039902,HENRIETTA ISD,39,CLAY,9,N,N,Meets Requirements, 
039903,PETROLIA CISD,39,CLAY,9,N,N,Meets Requirements, 
039904,BELLEVUE ISD,39,CLAY,9,N,N,Meets Requirements, 
039905,MIDWAY ISD,39,CLAY,9,N,N,Meets Requirements, 
040901,MORTON ISD,40,COCHRAN,17,N,N,Meets Requirements, 
040902,WHITEFACE CISD,40,COCHRAN,17,N,N,Meets Requirements, 
041901,BRONTE ISD,41,COKE,15,N,N,Meets Requirements, 
041902,ROBERT LEE ISD,41,COKE,15,N,N,Meets Requirements, 
042901,COLEMAN ISD,42,COLEMAN,15,N,N,Needs Intervention, 
042903,SANTA ANNA ISD,42,COLEMAN,15,N,N,Meets Requirements, 
042905,PANTHER CREEK CISD,42,COLEMAN,15,N,N,Meets Requirements, 
043801,IMAGINE INTERNATIONAL ACADEMY OF N,43,COLLIN,10,Y,N,Meets Requirements, 
043802,LONE STAR LANGUAGE ACADEMY,43,COLLIN,10,Y,N,Meets Requirements, 
043901,ALLEN ISD,43,COLLIN,10,N,N,Meets Requirements, 
043902,ANNA ISD,43,COLLIN,10,N,N,Meets Requirements, 
043903,CELINA ISD,43,COLLIN,10,N,N,Meets Requirements, 
043904,FARMERSVILLE ISD,43,COLLIN,10,N,N,Needs Assistance, 
043905,FRISCO ISD,43,COLLIN,10,N,N,Meets Requirements, 
043907,MCKINNEY ISD,43,COLLIN,10,N,N,Needs Intervention, 
043908,MELISSA ISD,43,COLLIN,10,N,N,Meets Requirements, 
043910,PLANO ISD,43,COLLIN,10,N,N,Meets Requirements, 
043911,PRINCETON ISD,43,COLLIN,10,N,N,Needs Intervention, 
043912,PROSPER ISD,43,COLLIN,10,N,N,Meets Requirements, 
043914,WYLIE ISD,43,COLLIN,10,N,N,Meets Requirements, 
043917,BLUE RIDGE ISD,43,COLLIN,10,N,N,Meets Requirements, 
043918,COMMUNITY ISD,43,COLLIN,10,N,N,Meets Requirements, 
043919,LOVEJOY ISD,43,COLLIN,10,N,N,Meets Requirements, 
044902,WELLINGTON ISD,44,COLLINGSWORTH,16,N,N,Meets Requirements, 
045902,COLUMBUS ISD,45,COLORADO,3,N,N,Meets Requirements,ASVAB Test not Offered
045903,RICE CISD,45,COLORADO,3,N,N,Needs Assistance, 
045905,WEIMAR ISD,45,COLORADO,3,N,N,Meets Requirements,ASVAB Alternative Test Offered
046802,TRINITY CHARTER SCHOOL,46,COMAL,20,Y,Y,Meets Requirements, 
046901,NEW BRAUNFELS ISD,46,COMAL,13,N,N,Needs Assistance, 
046902,COMAL ISD,46,COMAL,20,N,N,Meets Requirements, 
047901,COMANCHE ISD,47,COMANCHE,14,N,N,Meets Requirements, 
047902,DE LEON ISD,47,COMANCHE,14,N,N,Meets Requirements, 
047903,GUSTINE ISD,47,COMANCHE,14,N,N,Meets Requirements, 
047905,SIDNEY ISD,47,COMANCHE,14,N,N,Meets Requirements, 
048901,EDEN CISD,48,CONCHO,15,N,N,Meets Requirements, 
048903,PAINT ROCK ISD,48,CONCHO,15,N,N,Needs Assistance, 
049901,GAINESVILLE ISD,49,COOKE,11,N,N,Needs Assistance, 
049902,MUENSTER ISD,49,COOKE,11,N,N,Meets Requirements, 
049903,VALLEY VIEW ISD,49,COOKE,11,N,N,Meets Requirements, 
049905,CALLISBURG ISD,49,COOKE,11,N,N,Meets Requirements, 
049906,ERA ISD,49,COOKE,11,N,N,Meets Requirements, 
049907,LINDSAY ISD,49,COOKE,11,N,N,Meets Requirements, 
049908,WALNUT BEND ISD,49,COOKE,11,N,N,Meets Requirements, 
049909,SIVELLS BEND ISD,49,COOKE,11,N,N,Meets Requirements, 
050901,EVANT ISD,50,CORYELL,12,N,N,Meets Requirements, 
050902,GATESVILLE ISD,50,CORYELL,12,N,N,Meets Requirements, 
050904,OGLESBY ISD,50,CORYELL,12,N,N,Meets Requirements, 
050909,JONESBORO ISD,50,CORYELL,12,N,N,Meets Requirements, 
050910,COPPERAS COVE ISD,50,CORYELL,12,N,N,Needs Assistance, 
051901,PADUCAH ISD,51,COTTLE,17,N,N,Meets Requirements, 
052901,CRANE ISD,52,CRANE,18,N,N,Meets Requirements, 
053001,CROCKETT COUNTY CONSOLIDATED CSD,53,CROCKETT,15,N,N,Meets Requirements, 
054901,CROSBYTON CISD,54,CROSBY,17,N,N,Meets Requirements, 
054902,LORENZO ISD,54,CROSBY,17,N,N,Meets Requirements, 
054903,RALLS ISD,54,CROSBY,17,N,N,Meets Requirements, 
055901,CULBERSON COUNTY-ALLAMOORE ISD,55,CULBERSON,18,N,N,Meets Requirements, 
056901,DALHART ISD,56,DALLAM,16,N,N,Meets Requirements, 
056902,TEXLINE ISD,56,DALLAM,16,N,N,Meets Requirements, 
057802,PEGASUS SCHOOL OF LIBERAL ARTS AND,57,DALLAS,10,Y,Y,Meets Requirements, 
057803,UPLIFT EDUCATION,57,DALLAS,10,Y,N,Meets Requirements,ASVAB Test not Offered
057804,TEXANS CAN ACADEMIES,57,DALLAS,10,Y,Y,Needs Assistance,ASVAB Test not Offered
057805,LUMIN EDUCATION,57,DALLAS,10,Y,N,Meets Requirements, 
057806,ADVANTAGE ACADEMY,57,DALLAS,10,Y,N,Meets Requirements, 
057807,LIFE SCHOOL,57,DALLAS,10,Y,N,Meets Requirements, 
057808,UNIVERSAL ACADEMY,57,DALLAS,10,Y,N,Meets Requirements, 
057809,NOVA ACADEMY,57,DALLAS,10,Y,N,Meets Requirements, 
057810,ACADEMY OF DALLAS,57,DALLAS,10,Y,N,Needs Assistance, 
057813,TRINITY BASIN PREPARATORY,57,DALLAS,10,Y,N,Meets Requirements, 
057814,ACADEMY FOR ACADEMIC EXCELLENCE,57,DALLAS,10,Y,Y,Meets Requirements,ASVAB Test not Offered
057816,A W BROWN LEADERSHIP ACADEMY,57,DALLAS,10,Y,N,Meets Requirements, 
057819,JEAN MASSIEU ACADEMY,57,DALLAS,10,Y,N,Meets Requirements, 
057827,NOVA ACADEMY SOUTHEAST,57,DALLAS,10,Y,N,Meets Requirements, 
057828,WINFREE ACADEMY CHARTER SCHOOLS,57,DALLAS,10,Y,Y,Needs Assistance, 
057829,A+ ACADEMY,57,DALLAS,10,Y,N,Meets Requirements, 
057830,INSPIRED VISION ACADEMY,57,DALLAS,10,Y,N,Meets Requirements, 
057831,GATEWAY CHARTER ACADEMY,57,DALLAS,10,Y,N,Meets Requirements,ASVAB Test not Offered
057833,EDUCATION CENTER INTERNATIONAL ACA,57,DALLAS,10,Y,N,Meets Requirements, 
057834,EVOLUTION ACADEMY CHARTER SCHOOL,57,DALLAS,10,Y,Y,Needs Assistance, 
057835,GOLDEN RULE CHARTER SCHOOL,57,DALLAS,10,Y,N,Meets Requirements,ASVAB Test not Offered
057836,ST ANTHONY SCHOOL,57,DALLAS,10,Y,N,Meets Requirements, 
057839,LA ACADEMIA DE ESTRELLAS,57,DALLAS,10,Y,N,Meets Requirements, 
057840,RICHLAND COLLEGIATE HIGH SCHOOL,57,DALLAS,10,Y,N,Meets Requirements,ASVAB Alternative Test Offered
057841,CITYSCAPE SCHOOLS,57,DALLAS,10,Y,N,Meets Requirements, 
057844,MANARA ACADEMY,57,DALLAS,10,Y,N,Meets Requirements,ASVAB Test not Offered
057845,UME PREPARATORY ACADEMY,57,DALLAS,10,Y,N,Meets Requirements, 
057846,LEGACY PREPARATORY,57,DALLAS,10,Y,N,Meets Requirements, 
057847,VILLAGE TECH SCHOOLS,57,DALLAS,10,Y,N,Meets Requirements, 
057848,INTERNATIONAL LEADERSHIP OF TEXAS,57,DALLAS,10,Y,N,Meets Requirements, 
057850,PIONEER TECHNOLOGY & ARTS ACADEMY,57,DALLAS,10,Y,N,Meets Requirements,ASVAB Test not Offered
057851,BRIDGEWAY PREPARATORY ACADEMY,57,DALLAS,10,Y,N,Meets Requirements, 
057903,CARROLLTON-FARMERS BRANCH ISD,57,DALLAS,10,N,N,Needs Assistance, 
057904,CEDAR HILL ISD,57,DALLAS,10,N,N,Meets Requirements, 
057905,DALLAS ISD,57,DALLAS,10,N,N,Needs Assistance, 
057906,DESOTO ISD,57,DALLAS,10,N,N,Needs Intervention, 
057907,DUNCANVILLE ISD,57,DALLAS,10,N,N,Needs Intervention, 
057909,GARLAND ISD,57,DALLAS,10,N,N,Meets Requirements, 
057910,GRAND PRAIRIE ISD,57,DALLAS,10,N,N,Meets Requirements, 
057911,HIGHLAND PARK ISD,57,DALLAS,10,N,N,Meets Requirements, 
057912,IRVING ISD,57,DALLAS,10,N,N,Meets Requirements, 
057913,LANCASTER ISD,57,DALLAS,10,N,N,Meets Requirements, 
057914,MESQUITE ISD,57,DALLAS,10,N,N,Meets Requirements, 
057916,RICHARDSON ISD,57,DALLAS,10,N,N,Meets Requirements, 
057919,SUNNYVALE ISD,57,DALLAS,10,N,N,Meets Requirements, 
057922,COPPELL ISD,57,DALLAS,10,N,N,Meets Requirements, 
058902,DAWSON ISD,58,DAWSON,17,N,N,Meets Requirements, 
058905,KLONDIKE ISD,58,DAWSON,17,N,N,Meets Requirements, 
058906,LAMESA ISD,58,DAWSON,17,N,N,Meets Requirements, 
058909,SANDS CISD,58,DAWSON,17,N,N,Meets Requirements, 
059901,HEREFORD ISD,59,DEAF SMITH,16,N,N,Meets Requirements, 
059902,WALCOTT ISD,59,DEAF SMITH,16,N,N,Meets Requirements, 
060902,COOPER ISD,60,DELTA,8,N,N,Needs Assistance, 
060914,FANNINDEL ISD,60,DELTA,8,N,N,Meets Requirements, 
061802,NORTH TEXAS COLLEGIATE ACADEMY,61,DENTON,11,Y,N,Meets Requirements, 
061804,LEADERSHIP PREP SCHOOL,61,DENTON,10,Y,N,Meets Requirements, 
061805,TRIVIUM ACADEMY,61,DENTON,11,Y,N,Meets Requirements, 
061901,DENTON ISD,61,DENTON,11,N,N,Meets Requirements, 
061902,LEWISVILLE ISD,61,DENTON,11,N,N,Meets Requirements, 
061903,PILOT POINT ISD,61,DENTON,11,N,N,Meets Requirements, 
061905,KRUM ISD,61,DENTON,11,N,N,Meets Requirements, 
061906,PONDER ISD,61,DENTON,11,N,N,Meets Requirements, 
061907,AUBREY ISD,61,DENTON,11,N,N,Meets Requirements, 
061908,SANGER ISD,61,DENTON,11,N,N,Meets Requirements, 
061910,ARGYLE ISD,61,DENTON,11,N,N,Meets Requirements, 
061911,NORTHWEST ISD,61,DENTON,11,N,N,Meets Requirements, 
061912,LAKE DALLAS ISD,61,DENTON,11,N,N,Meets Requirements, 
061914,LITTLE ELM ISD,61,DENTON,11,N,N,Meets Requirements, 
062901,CUERO ISD,62,DEWITT,3,N,N,Meets Requirements, 
062902,NORDHEIM ISD,62,DEWITT,3,N,N,Meets Requirements, 
062903,YOAKUM ISD,62,DEWITT,3,N,N,Needs Assistance, 
062904,YORKTOWN ISD,62,DEWITT,3,N,N,Meets Requirements, 
062905,WESTHOFF ISD,62,DEWITT,3,N,N,Meets Requirements, 
062906,MEYERSVILLE ISD,62,DEWITT,3,N,N,Meets Requirements, 
063903,SPUR ISD,63,DICKENS,17,N,N,Meets Requirements, 
063906,PATTON SPRINGS ISD,63,DICKENS,17,N,N,Meets Requirements, 
064903,CARRIZO SPRINGS CISD,64,DIMMIT,20,N,N,Meets Requirements, 
065901,CLARENDON ISD,65,DONLEY,16,N,N,Meets Requirements, 
065902,HEDLEY ISD,65,DONLEY,16,N,N,Meets Requirements, 
066005,RAMIREZ CSD,66,DUVAL,2,N,N,Meets Requirements, 
066901,BENAVIDES ISD,66,DUVAL,2,N,N,Meets Requirements, 
066902,SAN DIEGO ISD,66,DUVAL,2,N,N,Meets Requirements, 
066903,FREER ISD,66,DUVAL,2,N,N,Meets Requirements, 
067902,CISCO ISD,67,EASTLAND,14,N,N,Meets Requirements, 
067903,EASTLAND ISD,67,EASTLAND,14,N,N,Meets Requirements, 
067904,GORMAN ISD,67,EASTLAND,14,N,N,Meets Requirements, 
067907,RANGER ISD,67,EASTLAND,14,N,N,Meets Requirements, 
067908,RISING STAR ISD,67,EASTLAND,14,N,N,Meets Requirements, 
068802,COMPASS ACADEMY CHARTER SCHOOL,68,ECTOR,18,Y,N,Meets Requirements,ASVAB Test not Offered
068803,UTPB STEM ACADEMY,68,ECTOR,18,Y,N,Meets Requirements, 
068901,ECTOR COUNTY ISD,68,ECTOR,18,N,N,Needs Intervention, 
069901,ROCKSPRINGS ISD,69,EDWARDS,15,N,N,Meets Requirements, 
069902,NUECES CANYON CISD,69,EDWARDS,15,N,N,Meets Requirements, 
070801,WAXAHACHIE FAITH FAMILY ACADEMY,70,ELLIS,10,Y,Y,Meets Requirements, 
070901,AVALON ISD,70,ELLIS,10,N,N,Meets Requirements, 
070903,ENNIS ISD,70,ELLIS,10,N,N,Meets Requirements, 
070905,FERRIS ISD,70,ELLIS,10,N,N,Needs Assistance, 
070907,ITALY ISD,70,ELLIS,10,N,N,Meets Requirements, 
070908,MIDLOTHIAN ISD,70,ELLIS,10,N,N,Meets Requirements, 
