DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,DFLCHART,DFLALTED,OUTCOME,ASVAB_STATUS,DISTNAME_CLEAN
14801,RICHARD MILBURN ALTER HIGH SCHOOL,14,BELL,20,Y,Y,Needs Intervention, ,Richard Milburn Alter High School
14803,PRIORITY CHARTER SCHOOLS,14,BELL,12,Y,N,Meets Requirements, ,Priority Charter Schools
14804,ORENDA CHARTER SCHOOL,14,BELL,12,Y,N,Meets Requirements, ,Orenda Charter School
14901,ACADEMY ISD,14,BELL,12,N,N,Meets Requirements, ,Academy ISD
14902,BARTLETT ISD,14,BELL,13,N,N,Meets Requirements, ,Bartlett ISD
14903,BELTON ISD,14,BELL,12,N,N,Meets Requirements, ,Belton ISD
14905,HOLLAND ISD,14,BELL,12,N,N,Meets Requirements, ,Holland ISD
14906,KILLEEN ISD,14,BELL,12,N,N,Needs Assistance, ,Killeen ISD
14907,ROGERS ISD,14,BELL,12,N,N,Meets Requirements, ,Rogers ISD
14908,SALADO ISD,14,BELL,12,N,N,Meets Requirements, ,Salado ISD
14909,TEMPLE ISD,14,BELL,12,N,N,Needs Substantial Intervention, ,Temple ISD
14910,TROY ISD,14,BELL,12,N,N,Meets Requirements, ,Troy ISD
15801,POR VIDA ACADEMY,15,BEXAR,20,Y,Y,Needs Assistance, ,Por Vida Academy
15802,GEORGE GERVIN ACADEMY,15,BEXAR,20,Y,N,Meets Requirements, ,George Gervin Academy
15805,NEW FRONTIERS PUBLIC SCHOOLS INC,15,BEXAR,20,Y,N,Meets Requirements, ,New Frontiers Public Schools Inc
15806,SCHOOL OF EXCELLENCE IN EDUCATION,15,BEXAR,20,Y,N,Meets Requirements, ,School Of Excellence In Education
15807,SOUTHWEST PREPARATORY SCHOOL,15,BEXAR,20,Y,Y,Meets Requirements, ,Southwest Preparatory School
15808,INSPIRE ACADEMIES,15,BEXAR,20,Y,Y,Meets Requirements, ,Inspire Academies
15809,BEXAR COUNTY ACADEMY,15,BEXAR,20,Y,N,Meets Requirements, ,Bexar County Academy
15814,POSITIVE SOLUTIONS CHARTER SCHOOL,15,BEXAR,20,Y,Y,Meets Requirements, ,Positive Solutions Charter School
15815,HERITAGE ACADEMY,15,BEXAR,20,Y,Y,Meets Requirements, ,Heritage Academy
15822,JUBILEE ACADEMIES,15,BEXAR,20,Y,N,Meets Requirements, ,Jubilee Academies
15825,LIGHTHOUSE CHARTER SCHOOL,15,BEXAR,20,Y,N,Meets Requirements, ,Lighthouse Charter School
15827,SCHOOL OF SCIENCE AND TECHNOLOGY,15,BEXAR,20,Y,N,Meets Requirements,ASVAB Test not Offered,School Of Science And Technology
15828,HARMONY SCIENCE ACAD (SAN ANTONIO),15,BEXAR,20,Y,N,Meets Requirements, ,Harmony Science Acad (San Antonio)
15830,BROOKS ACADEMIES OF TEXAS,15,BEXAR,20,Y,N,Meets Requirements, ,Brooks Academies Of Texas
15831,SCHOOL OF SCIENCE AND TECHNOLOGY D,15,BEXAR,20,Y,N,Meets Requirements,ASVAB Test not Offered,School Of Science And Technology D
15833,HENRY FORD ACADEMY ALAMEDA SCHOOL,15,BEXAR,20,Y,N,Meets Requirements, ,Henry Ford Academy Alameda School
15834,BASIS TEXAS,15,BEXAR,20,Y,N,Meets Requirements,ASVAB Alternative Test Offered,Basis Texas
15835,GREAT HEARTS TEXAS,15,BEXAR,20,Y,N,Meets Requirements,ASVAB Test not Offered,Great Hearts Texas
15836,ELEANOR KOLITZ HEBREW LANGUAGE ACA,15,BEXAR,20,Y,N,Meets Requirements, ,Eleanor Kolitz Hebrew Language Aca
15838,COMPASS ROSE ACADEMY,15,BEXAR,20,Y,N,Meets Requirements, ,Compass Rose Academy
15901,ALAMO HEIGHTS ISD,15,BEXAR,20,N,N,Meets Requirements, ,Alamo Heights ISD
15904,HARLANDALE ISD,15,BEXAR,20,N,N,Meets Requirements, ,Harlandale ISD
15905,EDGEWOOD ISD,15,BEXAR,20,N,N,Needs Assistance, ,Edgewood ISD
15906,RANDOLPH FIELD ISD,15,BEXAR,20,N,N,Meets Requirements, ,Randolph Field ISD
15907,SAN ANTONIO ISD,15,BEXAR,20,N,N,Meets Requirements, ,San Antonio ISD
15908,SOUTH SAN ANTONIO ISD,15,BEXAR,20,N,N,Needs Assistance,ASVAB Test not Offered,South San Antonio ISD
15909,SOMERSET ISD,15,BEXAR,20,N,N,Needs Assistance, ,Somerset ISD
15910,NORTH EAST ISD,15,BEXAR,20,N,N,Meets Requirements, ,North East ISD
15911,EAST CENTRAL ISD,15,BEXAR,20,N,N,Needs Assistance, ,East Central ISD
15912,SOUTHWEST ISD,15,BEXAR,20,N,N,Meets Requirements, ,Southwest ISD
15913,LACKLAND ISD,15,BEXAR,20,N,N,Meets Requirements, ,Lackland ISD
15914,FT SAM HOUSTON ISD,15,BEXAR,20,N,N,Meets Requirements, ,Ft Sam Houston ISD
15915,NORTHSIDE ISD,15,BEXAR,20,N,N,Meets Requirements,ASVAB Alternative Test Offered,Northside ISD
15916,JUDSON ISD,15,BEXAR,20,N,N,Needs Intervention, ,Judson ISD
15917,SOUTHSIDE ISD,15,BEXAR,20,N,N,Meets Requirements, ,Southside ISD
16901,JOHNSON CITY ISD,16,BLANCO,13,N,N,Meets Requirements, ,Johnson City ISD
16902,BLANCO ISD,16,BLANCO,13,N,N,Meets Requirements, ,Blanco ISD
17901,BORDEN COUNTY ISD,17,BORDEN,17,N,N,Meets Requirements, ,Borden County ISD
18901,CLIFTON ISD,18,BOSQUE,12,N,N,Meets Requirements, ,Clifton ISD
18902,MERIDIAN ISD,18,BOSQUE,12,N,N,Meets Requirements, ,Meridian ISD
18903,MORGAN ISD,18,BOSQUE,12,N,N,Meets Requirements, ,Morgan ISD
18904,VALLEY MILLS ISD,18,BOSQUE,12,N,N,Meets Requirements, ,Valley Mills ISD
18905,WALNUT SPRINGS ISD,18,BOSQUE,12,N,N,Needs Assistance, ,Walnut Springs ISD
18906,IREDELL ISD,18,BOSQUE,12,N,N,Meets Requirements, ,Iredell ISD
18907,KOPPERL ISD,18,BOSQUE,12,N,N,Meets Requirements, ,Kopperl ISD
18908,CRANFILLS GAP ISD,18,BOSQUE,12,N,N,Meets Requirements, ,Cranfills Gap ISD
19901,DEKALB ISD,19,BOWIE,8,N,N,Meets Requirements, ,Dekalb ISD
19902,HOOKS ISD,19,BOWIE,8,N,N,Meets Requirements, ,Hooks ISD
19903,MAUD ISD,19,BOWIE,8,N,N,Needs Assistance, ,Maud ISD
19905,NEW BOSTON ISD,19,BOWIE,8,N,N,Needs Intervention, ,New Boston ISD
19906,REDWATER ISD,19,BOWIE,8,N,N,Meets Requirements, ,Redwater ISD
19907,TEXARKANA ISD,19,BOWIE,8,N,N,Needs Assistance, ,Texarkana ISD
19908,LIBERTY-EYLAU ISD,19,BOWIE,8,N,N,Needs Intervention, ,Liberty-Eylau ISD
19909,SIMMS ISD,19,BOWIE,8,N,N,Meets Requirements, ,Simms ISD
19910,MALTA ISD,19,BOWIE,8,N,N,Meets Requirements, ,Malta ISD
19911,RED LICK ISD,19,BOWIE,8,N,N,Meets Requirements, ,Red Lick ISD
19912,PLEASANT GROVE ISD,19,BOWIE,8,N,N,Meets Requirements, ,Pleasant Grove ISD
19913,HUBBARD ISD,19,BOWIE,8,N,N,Meets Requirements, ,Hubbard ISD
19914,LEARY ISD,19,BOWIE,8,N,N,Meets Requirements, ,Leary ISD
20901,ALVIN ISD,20,BRAZORIA,4,N,N,Needs Assistance, ,Alvin ISD
20902,ANGLETON ISD,20,BRAZORIA,4,N,N,Meets Requirements, ,Angleton ISD
20904,DANBURY ISD,20,BRAZORIA,4,N,N,Meets Requirements, ,Danbury ISD
20905,BRAZOSPORT ISD,20,BRAZORIA,4,N,N,Needs Assistance, ,Brazosport ISD
20906,SWEENY ISD,20,BRAZORIA,4,N,N,Meets Requirements, ,Sweeny ISD
20907,COLUMBIA-BRAZORIA ISD,20,BRAZORIA,4,N,N,Meets Requirements, ,Columbia-Brazoria ISD
20908,PEARLAND ISD,20,BRAZORIA,4,N,N,Needs Assistance, ,Pearland ISD
20910,DAMON ISD,20,BRAZORIA,4,N,N,Meets Requirements, ,Damon ISD
21803,BRAZOS SCHOOL FOR INQUIRY & CREATI,21,BRAZOS,6,Y,N,Meets Requirements, ,Brazos School For Inquiry & Creati
21805,ARROW ACADEMY,21,BRAZOS,6,Y,N,Meets Requirements, ,Arrow Academy
21901,COLLEGE STATION ISD,21,BRAZOS,6,N,N,Meets Requirements, ,College Station ISD
21902,BRYAN ISD,21,BRAZOS,6,N,N,Needs Intervention, ,Bryan ISD
22004,TERLINGUA CSD,22,BREWSTER,18,N,N,Meets Requirements, ,Terlingua CSD
22901,ALPINE ISD,22,BREWSTER,18,N,N,Meets Requirements, ,Alpine ISD
22902,MARATHON ISD,22,BREWSTER,18,N,N,Meets Requirements, ,Marathon ISD
22903,SAN VICENTE ISD,22,BREWSTER,18,N,N,Meets Requirements, ,San Vicente ISD
23902,SILVERTON ISD,23,BRISCOE,16,N,N,Meets Requirements, ,Silverton ISD
24901,BROOKS COUNTY ISD,24,BROOKS,1,N,N,Meets Requirements, ,Brooks County ISD
25901,BANGS ISD,25,BROWN,15,N,N,Meets Requirements, ,Bangs ISD
25902,BROWNWOOD ISD,25,BROWN,15,N,N,Needs Assistance, ,Brownwood ISD
25904,BLANKET ISD,25,BROWN,15,N,N,Meets Requirements, ,Blanket ISD
25905,MAY ISD,25,BROWN,15,N,N,Meets Requirements, ,May ISD
25906,ZEPHYR ISD,25,BROWN,15,N,N,Meets Requirements, ,Zephyr ISD
25908,BROOKESMITH ISD,25,BROWN,15,N,N,Meets Requirements, ,Brookesmith ISD
25909,EARLY ISD,25,BROWN,15,N,N,Meets Requirements, ,Early ISD
26901,CALDWELL ISD,26,BURLESON,6,N,N,Meets Requirements, ,Caldwell ISD
26902,SOMERVILLE ISD,26,BURLESON,6,N,N,Meets Requirements, ,Somerville ISD
26903,SNOOK ISD,26,BURLESON,6,N,N,Meets Requirements, ,Snook ISD
27903,BURNET CISD,27,BURNET,13,N,N,Meets Requirements, ,Burnet CISD
27904,MARBLE FALLS ISD,27,BURNET,13,N,N,Meets Requirements, ,Marble Falls ISD
28902,LOCKHART ISD,28,CALDWELL,13,N,N,Meets Requirements, ,Lockhart ISD
28903,LULING ISD,28,CALDWELL,13,N,N,Meets Requirements, ,Luling ISD
28906,PRAIRIE LEA ISD,28,CALDWELL,13,N,N,Meets Requirements, ,Prairie Lea ISD
29901,CALHOUN COUNTY ISD,29,CALHOUN,3,N,N,Needs Assistance, ,Calhoun County ISD
30901,CROSS PLAINS ISD,30,CALLAHAN,14,N,N,Meets Requirements, ,Cross Plains ISD
30902,CLYDE CISD,30,CALLAHAN,14,N,N,Meets Requirements, ,Clyde CISD
30903,BAIRD ISD,30,CALLAHAN,14,N,N,Meets Requirements, ,Baird ISD
30906,EULA ISD,30,CALLAHAN,14,N,N,Meets Requirements, ,Eula ISD
31901,BROWNSVILLE ISD,31,CAMERON,1,N,N,Meets Requirements, ,Brownsville ISD
31903,HARLINGEN CISD,31,CAMERON,1,N,N,Needs Intervention, ,Harlingen CISD
31905,LA FERIA ISD,31,CAMERON,1,N,N,Meets Requirements, ,La Feria ISD
31906,LOS FRESNOS CISD,31,CAMERON,1,N,N,Needs Assistance, ,Los Fresnos CISD
31909,POINT ISABEL ISD,31,CAMERON,1,N,N,Needs Intervention, ,Point Isabel ISD
31911,RIO HONDO ISD,31,CAMERON,1,N,N,Meets Requirements, ,Rio Hondo ISD
31912,SAN BENITO CISD,31,CAMERON,1,N,N,Meets Requirements, ,San Benito CISD
31913,SANTA MARIA ISD,31,CAMERON,1,N,N,Meets Requirements, ,Santa Maria ISD
31914,SANTA ROSA ISD,31,CAMERON,1,N,N,Meets Requirements, ,Santa Rosa ISD
31916,SOUTH TEXAS ISD,31,CAMERON,1,N,N,Meets Requirements, ,South Texas ISD
32902,PITTSBURG ISD,32,CAMP,8,N,N,Needs Assistance, ,Pittsburg ISD
33901,GROOM ISD,33,CARSON,16,N,N,Meets Requirements, ,Groom ISD
33902,PANHANDLE ISD,33,CARSON,16,N,N,Meets Requirements, ,Panhandle ISD
33904,WHITE DEER ISD,33,CARSON,16,N,N,Meets Requirements, ,White Deer ISD
34901,ATLANTA ISD,34,CASS,8,N,N,Meets Requirements, ,Atlanta ISD
34902,AVINGER ISD,34,CASS,8,N,N,Meets Requirements, ,Avinger ISD
34903,HUGHES SPRINGS ISD,34,CASS,8,N,N,Meets Requirements, ,Hughes Springs ISD
34905,LINDEN-KILDARE CISD,34,CASS,8,N,N,Meets Requirements, ,Linden-Kildare CISD
34906,MCLEOD ISD,34,CASS,8,N,N,Meets Requirements, ,McLeod ISD
34907,QUEEN CITY ISD,34,CASS,8,N,N,Meets Requirements, ,Queen City ISD
34909,BLOOMBURG ISD,34,CASS,8,N,N,Meets Requirements, ,Bloomburg ISD
35901,DIMMITT ISD,35,CASTRO,16,N,N,Meets Requirements, ,Dimmitt ISD
35902,HART ISD,35,CASTRO,16,N,N,Needs Assistance, ,Hart ISD
35903,NAZARETH ISD,35,CASTRO,16,N,N,Meets Requirements, ,Nazareth ISD
36901,ANAHUAC ISD,36,CHAMBERS,4,N,N,Meets Requirements, ,Anahuac ISD
36902,BARBERS HILL ISD,36,CHAMBERS,4,N,N,Meets Requirements, ,Barbers Hill ISD
36903,EAST CHAMBERS ISD,36,CHAMBERS,5,N,N,Meets Requirements, ,East Chambers ISD
37901,ALTO ISD,37,CHEROKEE,7,N,N,Meets Requirements, ,Alto ISD
37904,JACKSONVILLE ISD,37,CHEROKEE,7,N,N,Meets Requirements, ,Jacksonville ISD
37907,RUSK ISD,37,CHEROKEE,7,N,N,Needs Assistance, ,Rusk ISD
37908,NEW SUMMERFIELD ISD,37,CHEROKEE,7,N,N,Meets Requirements, ,New Summerfield ISD
37909,WELLS ISD,37,CHEROKEE,7,N,N,Meets Requirements, ,Wells ISD
38901,CHILDRESS ISD,38,CHILDRESS,16,N,N,Meets Requirements, ,Childress ISD
39902,HENRIETTA ISD,39,CLAY,9,N,N,Meets Requirements, ,Henrietta ISD
39903,PETROLIA CISD,39,CLAY,9,N,N,Meets Requirements, ,Petrolia CISD
39904,BELLEVUE ISD,39,CLAY,9,N,N,Meets Requirements, ,Bellevue ISD
39905,MIDWAY ISD,39,CLAY,9,N,N,Meets Requirements, ,Midway ISD
40901,MORTON ISD,40,COCHRAN,17,N,N,Meets Requirements, ,Morton ISD
40902,WHITEFACE CISD,40,COCHRAN,17,N,N,Meets Requirements, ,Whiteface CISD
41901,BRONTE ISD,41,COKE,15,N,N,Meets Requirements, ,Bronte ISD
41902,ROBERT LEE ISD,41,COKE,15,N,N,Meets Requirements, ,Robert Lee ISD
42901,COLEMAN ISD,42,COLEMAN,15,N,N,Needs Intervention, ,Coleman ISD
42903,SANTA ANNA ISD,42,COLEMAN,15,N,N,Meets Requirements, ,Santa Anna ISD
42905,PANTHER CREEK CISD,42,COLEMAN,15,N,N,Meets Requirements, ,Panther Creek CISD
43801,IMAGINE INTERNATIONAL ACADEMY OF N,43,COLLIN,10,Y,N,Meets Requirements, ,Imagine International Academy Of N
43802,LONE STAR LANGUAGE ACADEMY,43,COLLIN,10,Y,N,Meets Requirements, ,Lone Star Language Academy
43901,ALLEN ISD,43,COLLIN,10,N,N,Meets Requirements, ,Allen ISD
43902,ANNA ISD,43,COLLIN,10,N,N,Meets Requirements, ,Anna ISD
43903,CELINA ISD,43,COLLIN,10,N,N,Meets Requirements, ,Celina ISD
43904,FARMERSVILLE ISD,43,COLLIN,10,N,N,Needs Assistance, ,Farmersville ISD
43905,FRISCO ISD,43,COLLIN,10,N,N,Meets Requirements, ,Frisco ISD
43907,MCKINNEY ISD,43,COLLIN,10,N,N,Needs Intervention, ,McKinney ISD
43908,MELISSA ISD,43,COLLIN,10,N,N,Meets Requirements, ,Melissa ISD
43910,PLANO ISD,43,COLLIN,10,N,N,Meets Requirements, ,Plano ISD
43911,PRINCETON ISD,43,COLLIN,10,N,N,Needs Intervention, ,Princeton ISD
43912,PROSPER ISD,43,COLLIN,10,N,N,Meets Requirements, ,Prosper ISD
43914,WYLIE ISD,43,COLLIN,10,N,N,Meets Requirements, ,Wylie ISD
43917,BLUE RIDGE ISD,43,COLLIN,10,N,N,Meets Requirements, ,Blue Ridge ISD
43918,COMMUNITY ISD,43,COLLIN,10,N,N,Meets Requirements, ,Community ISD
43919,LOVEJOY ISD,43,COLLIN,10,N,N,Meets Requirements, ,Lovejoy ISD
44902,WELLINGTON ISD,44,COLLINGSWORTH,16,N,N,Meets Requirements, ,Wellington ISD
45902,COLUMBUS ISD,45,COLORADO,3,N,N,Meets Requirements,ASVAB Test not Offered,Columbus ISD
45903,RICE CISD,45,COLORADO,3,N,N,Needs Assistance, ,Rice CISD
45905,WEIMAR ISD,45,COLORADO,3,N,N,Meets Requirements,ASVAB Alternative Test Offered,Weimar ISD
46802,TRINITY CHARTER SCHOOL,46,COMAL,20,Y,Y,Meets Requirements, ,Trinity Charter School
46901,NEW BRAUNFELS ISD,46,COMAL,13,N,N,Needs Assistance, ,New Braunfels ISD
46902,COMAL ISD,46,COMAL,20,N,N,Meets Requirements, ,Comal ISD
47901,COMANCHE ISD,47,COMANCHE,14,N,N,Meets Requirements, ,Comanche ISD
47902,DE LEON ISD,47,COMANCHE,14,N,N,Meets Requirements, ,De Leon ISD
47903,GUSTINE ISD,47,COMANCHE,14,N,N,Meets Requirements, ,Gustine ISD
47905,SIDNEY ISD,47,COMANCHE,14,N,N,Meets Requirements, ,Sidney ISD
48901,EDEN CISD,48,CONCHO,15,N,N,Meets Requirements, ,Eden CISD
48903,PAINT ROCK ISD,48,CONCHO,15,N,N,Needs Assistance, ,Paint Rock ISD
49901,GAINESVILLE ISD,49,COOKE,11,N,N,Needs Assistance, ,Gainesville ISD
49902,MUENSTER ISD,49,COOKE,11,N,N,Meets Requirements, ,Muenster ISD
49903,VALLEY VIEW ISD,49,COOKE,11,N,N,Meets Requirements, ,Valley View ISD
49905,CALLISBURG ISD,49,COOKE,11,N,N,Meets Requirements, ,Callisburg ISD
49906,ERA ISD,49,COOKE,11,N,N,Meets Requirements, ,Era ISD
49907,LINDSAY ISD,49,COOKE,11,N,N,Meets Requirements, ,Lindsay ISD
49908,WALNUT BEND ISD,49,COOKE,11,N,N,Meets Requirements, ,Walnut Bend ISD
49909,SIVELLS BEND ISD,49,COOKE,11,N,N,Meets Requirements, ,Sivells Bend ISD
50901,EVANT ISD,50,CORYELL,12,N,N,Meets Requirements, ,Evant ISD
50902,GATESVILLE ISD,50,CORYELL,12,N,N,Meets Requirements, ,Gatesville ISD
50904,OGLESBY ISD,50,CORYELL,12,N,N,Meets Requirements, ,Oglesby ISD
50909,JONESBORO ISD,50,CORYELL,12,N,N,Meets Requirements, ,Jonesboro ISD
50910,COPPERAS COVE ISD,50,CORYELL,12,N,N,Needs Assistance, ,Copperas Cove ISD
51901,PADUCAH ISD,51,COTTLE,17,N,N,Meets Requirements, ,Paducah ISD
52901,CRANE ISD,52,CRANE,18,N,N,Meets Requirements, ,Crane ISD
53001,CROCKETT COUNTY CONSOLIDATED CSD,53,CROCKETT,15,N,N,Meets Requirements, ,Crockett County Consolidated CSD
54901,CROSBYTON CISD,54,CROSBY,17,N,N,Meets Requirements, ,Crosbyton CISD
54902,LORENZO ISD,54,CROSBY,17,N,N,Meets Requirements, ,Lorenzo ISD
54903,RALLS ISD,54,CROSBY,17,N,N,Meets Requirements, ,Ralls ISD
55901,CULBERSON COUNTY-ALLAMOORE ISD,55,CULBERSON,18,N,N,Meets Requirements, ,Culberson County-Allamoore ISD
56901,DALHART ISD,56,DALLAM,16,N,N,Meets Requirements, ,Dalhart ISD
56902,TEXLINE ISD,56,DALLAM,16,N,N,Meets Requirements, ,Texline ISD
57802,PEGASUS SCHOOL OF LIBERAL ARTS AND,57,DALLAS,10,Y,Y,Meets Requirements, ,Pegasus School Of Liberal Arts And
57803,UPLIFT EDUCATION,57,DALLAS,10,Y,N,Meets Requirements,ASVAB Test not Offered,Uplift Education
57804,TEXANS CAN ACADEMIES,57,DALLAS,10,Y,Y,Needs Assistance,ASVAB Test not Offered,Texans Can Academies
57805,LUMIN EDUCATION,57,DALLAS,10,Y,N,Meets Requirements, ,Lumin Education
57806,ADVANTAGE ACADEMY,57,DALLAS,10,Y,N,Meets Requirements, ,Advantage Academy
57807,LIFE SCHOOL,57,DALLAS,10,Y,N,Meets Requirements, ,Life School
57808,UNIVERSAL ACADEMY,57,DALLAS,10,Y,N,Meets Requirements, ,Universal Academy
57809,NOVA ACADEMY,57,DALLAS,10,Y,N,Meets Requirements, ,Nova Academy
57810,ACADEMY OF DALLAS,57,DALLAS,10,Y,N,Needs Assistance, ,Academy Of Dallas
57813,TRINITY BASIN PREPARATORY,57,DALLAS,10,Y,N,Meets Requirements, ,Trinity Basin Preparatory
57814,ACADEMY FOR ACADEMIC EXCELLENCE,57,DALLAS,10,Y,Y,Meets Requirements,ASVAB Test not Offered,Academy For Academic Excellence
57816,A W BROWN LEADERSHIP ACADEMY,57,DALLAS,10,Y,N,Meets Requirements, ,A W Brown Leadership Academy
57819,JEAN MASSIEU ACADEMY,57,DALLAS,10,Y,N,Meets Requirements, ,Jean Massieu Academy
57827,NOVA ACADEMY SOUTHEAST,57,DALLAS,10,Y,N,Meets Requirements, ,Nova Academy Southeast
57828,WINFREE ACADEMY CHARTER SCHOOLS,57,DALLAS,10,Y,Y,Needs Assistance, ,Winfree Academy Charter Schools
57829,A+ ACADEMY,57,DALLAS,10,Y,N,Meets Requirements, ,A+ Academy
57830,INSPIRED VISION ACADEMY,57,DALLAS,10,Y,N,Meets Requirements, ,Inspired Vision Academy
57831,GATEWAY CHARTER ACADEMY,57,DALLAS,10,Y,N,Meets Requirements,ASVAB Test not Offered,Gateway Charter Academy
57833,EDUCATION CENTER INTERNATIONAL ACA,57,DALLAS,10,Y,N,Meets Requirements, ,Education Center International Aca
57834,EVOLUTION ACADEMY CHARTER SCHOOL,57,DALLAS,10,Y,Y,Needs Assistance, ,Evolution Academy Charter School
57835,GOLDEN RULE CHARTER SCHOOL,57,DALLAS,10,Y,N,Meets Requirements,ASVAB Test not Offered,Golden Rule Charter School
57836,ST ANTHONY SCHOOL,57,DALLAS,10,Y,N,Meets Requirements, ,St Anthony School
57839,LA ACADEMIA DE ESTRELLAS,57,DALLAS,10,Y,N,Meets Requirements, ,La Academia De Estrellas
57840,RICHLAND COLLEGIATE HIGH SCHOOL,57,DALLAS,10,Y,N,Meets Requirements,ASVAB Alternative Test Offered,Richland Collegiate High School
57841,CITYSCAPE SCHOOLS,57,DALLAS,10,Y,N,Meets Requirements, ,Cityscape Schools
57844,MANARA ACADEMY,57,DALLAS,10,Y,N,Meets Requirements,ASVAB Test not Offered,Manara Academy
57845,UME PREPARATORY ACADEMY,57,DALLAS,10,Y,N,Meets Requirements, ,Ume Preparatory Academy
57846,LEGACY PREPARATORY,57,DALLAS,10,Y,N,Meets Requirements, ,Legacy Preparatory
57847,VILLAGE TECH SCHOOLS,57,DALLAS,10,Y,N,Meets Requirements, ,Village Tech Schools
57848,INTERNATIONAL LEADERSHIP OF TEXAS,57,DALLAS,10,Y,N,Meets Requirements, ,International Leadership Of Texas
57850,PIONEER TECHNOLOGY & ARTS ACADEMY,57,DALLAS,10,Y,N,Meets Requirements,ASVAB Test not Offered,Pioneer Technology & Arts Academy
57851,BRIDGEWAY PREPARATORY ACADEMY,57,DALLAS,10,Y,N,Meets Requirements, ,Bridgeway Preparatory Academy
57903,CARROLLTON-FARMERS BRANCH ISD,57,DALLAS,10,N,N,Needs Assistance, ,Carrollton-Farmers Branch ISD
