Region Code,TEA Region,County Number,County Name,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
2,Corpus Christi,66,DUVAL,Not Economically Disadvantaged,71,69,0.97,60,0.85,2,0.03,57,0.8,16,0.23,25,0.35,41,0.58,2,0.03,16,0.23
2,Corpus Christi,66,DUVAL,Economically Disadvantaged,137,128,0.93,115,0.84,13,0.09,98,0.72,26,0.19,39,0.28,65,0.47,3,0.02,23,0.17
2,Corpus Christi,125,JIM WELLS,Not Economically Disadvantaged,242,236,0.98,218,0.9,19,0.08,198,0.82,85,0.35,82,0.34,167,0.69,10,0.04,61,0.25
2,Corpus Christi,125,JIM WELLS,Economically Disadvantaged,431,413,0.96,306,0.71,104,0.24,276,0.64,67,0.16,115,0.27,182,0.42,13,0.03,40,0.09
2,Corpus Christi,137,KLEBERG,Not Economically Disadvantaged,153,147,0.96,123,0.8,19,0.12,127,0.83,74,0.48,41,0.27,115,0.75,7,0.05,50,0.33
2,Corpus Christi,137,KLEBERG,Economically Disadvantaged,280,258,0.92,177,0.63,78,0.28,179,0.64,65,0.23,56,0.2,121,0.43,10,0.04,37,0.13
2,Corpus Christi,149,LIVE OAK,Not Economically Disadvantaged,85,82,0.96,79,0.93,3,0.04,75,0.88,26,0.31,28,0.33,54,0.64,3,0.04,22,0.26
2,Corpus Christi,149,LIVE OAK,Economically Disadvantaged,70,69,0.99,60,0.86,3,0.04,47,0.67,5,0.07,27,0.39,32,0.46,2,0.03,9,0.13
2,Corpus Christi,162,MCMULLEN,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
2,Corpus Christi,162,MCMULLEN,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.
2,Corpus Christi,178,NUECES,Not Economically Disadvantaged,2039,1895,0.93,1709,0.84,160,0.08,1646,0.81,650,0.32,723,0.35,1373,0.67,105,0.05,594,0.29
2,Corpus Christi,178,NUECES,Economically Disadvantaged,2604,2380,0.91,1856,0.71,471,0.18,1641,0.63,309,0.12,755,0.29,1064,0.41,107,0.04,206,0.08
2,Corpus Christi,205,SAN PATRICIO,Not Economically Disadvantaged,550,515,0.94,466,0.85,36,0.07,438,0.8,164,0.3,169,0.31,333,0.61,19,0.03,149,0.27
2,Corpus Christi,205,SAN PATRICIO,Economically Disadvantaged,651,589,0.9,473,0.73,105,0.16,451,0.69,92,0.14,146,0.22,238,0.37,11,0.02,44,0.07
3,Victoria,29,CALHOUN,Not Economically Disadvantaged,160,158,0.99,147,0.92,4,0.03,140,0.88,31,0.19,71,0.44,102,0.64,5,0.03,44,0.28
3,Victoria,29,CALHOUN,Economically Disadvantaged,182,169,0.93,149,0.82,19,0.1,134,0.74,13,0.07,55,0.3,68,0.37,1,0.01,20,0.11
3,Victoria,45,COLORADO,Not Economically Disadvantaged,158,154,0.97,141,0.89,9,0.06,141,0.89,33,0.21,76,0.48,109,0.69,2,0.01,67,0.42
3,Victoria,45,COLORADO,Economically Disadvantaged,128,117,0.91,99,0.77,17,0.13,90,0.7,12,0.09,33,0.26,45,0.35,2,0.02,17,0.13
3,Victoria,62,DE WITT,Not Economically Disadvantaged,170,168,0.99,149,0.88,8,0.05,141,0.83,59,0.35,70,0.41,129,0.76,11,0.06,70,0.41
3,Victoria,62,DE WITT,Economically Disadvantaged,179,173,0.97,124,0.69,34,0.19,116,0.65,13,0.07,41,0.23,54,0.3,2,0.01,15,0.08
3,Victoria,88,GOLIAD,Not Economically Disadvantaged,76,74,0.97,71,0.93,4,0.05,70,0.92,22,0.29,30,0.39,52,0.68,2,0.03,27,0.36
3,Victoria,88,GOLIAD,Economically Disadvantaged,39,37,0.95,30,0.77,6,0.15,27,0.69,1,0.03,14,0.36,15,0.38,1,0.03,4,0.1
3,Victoria,120,JACKSON,Not Economically Disadvantaged,141,138,0.98,133,0.94,2,0.01,123,0.87,38,0.27,61,0.43,99,0.7,4,0.03,52,0.37
3,Victoria,120,JACKSON,Economically Disadvantaged,109,103,0.95,89,0.82,4,0.04,76,0.7,8,0.07,33,0.3,41,0.38,1,0.01,11,0.1
3,Victoria,128,KARNES,Not Economically Disadvantaged,70,70,1,68,0.97,2,0.03,63,0.9,20,0.29,30,0.43,50,0.71,2,0.03,27,0.39
3,Victoria,128,KARNES,Economically Disadvantaged,90,87,0.97,74,0.82,11,0.12,63,0.7,6,0.07,27,0.3,33,0.37,1,0.01,6,0.07
3,Victoria,143,LAVACA,Not Economically Disadvantaged,109,103,0.95,101,0.93,1,0.01,90,0.83,30,0.28,49,0.45,79,0.72,11,0.1,51,0.47
3,Victoria,143,LAVACA,Economically Disadvantaged,56,53,0.95,49,0.88,5,0.09,44,0.79,11,0.2,19,0.34,30,0.54,3,0.05,16,0.29
3,Victoria,158,MATAGORDA,Not Economically Disadvantaged,268,256,0.96,236,0.88,9,0.03,225,0.84,63,0.24,112,0.42,175,0.65,4,0.01,101,0.38
3,Victoria,158,MATAGORDA,Economically Disadvantaged,316,300,0.95,260,0.82,35,0.11,238,0.75,31,0.1,103,0.33,134,0.42,2,0.01,50,0.16
3,Victoria,196,REFUGIO,Not Economically Disadvantaged,59,57,0.97,56,0.95,1,0.02,54,0.92,11,0.19,30,0.51,41,0.69,1,0.02,23,0.39
3,Victoria,196,REFUGIO,Economically Disadvantaged,59,55,0.93,51,0.86,5,0.08,47,0.8,2,0.03,26,0.44,28,0.47,2,0.03,3,0.05
3,Victoria,235,VICTORIA,Not Economically Disadvantaged,391,363,0.93,329,0.84,24,0.06,306,0.78,71,0.18,202,0.52,273,0.7,33,0.08,123,0.31
3,Victoria,235,VICTORIA,Economically Disadvantaged,705,637,0.9,489,0.69,126,0.18,392,0.56,28,0.04,193,0.27,221,0.31,23,0.03,36,0.05
3,Victoria,241,WHARTON,Not Economically Disadvantaged,257,251,0.98,238,0.93,12,0.05,233,0.91,43,0.17,163,0.63,206,0.8,5,0.02,113,0.44
3,Victoria,241,WHARTON,Economically Disadvantaged,346,328,0.95,290,0.84,28,0.08,252,0.73,27,0.08,125,0.36,152,0.44,7,0.02,53,0.15
4,Houston,20,BRAZORIA,Not Economically Disadvantaged,2571,2464,0.96,2286,0.89,137,0.05,2160,0.84,656,0.26,1167,0.45,1823,0.71,105,0.04,902,0.35
4,Houston,20,BRAZORIA,Economically Disadvantaged,1575,1483,0.94,1196,0.76,249,0.16,1082,0.69,119,0.08,528,0.34,647,0.41,58,0.04,177,0.11
4,Houston,36,CHAMBERS,Not Economically Disadvantaged,348,328,0.94,317,0.91,13,0.04,307,0.88,98,0.28,177,0.51,275,0.79,11,0.03,140,0.4
4,Houston,36,CHAMBERS,Economically Disadvantaged,160,145,0.91,124,0.78,13,0.08,109,0.68,19,0.12,43,0.27,62,0.39,3,0.02,16,0.1
4,Houston,79,FORT BEND,Not Economically Disadvantaged,4800,4533,0.94,4138,0.86,379,0.08,4019,0.84,1926,0.4,1573,0.33,3499,0.73,249,0.05,1895,0.39
4,Houston,79,FORT BEND,Economically Disadvantaged,2353,2154,0.92,1709,0.73,445,0.19,1620,0.69,400,0.17,771,0.33,1171,0.5,112,0.05,361,0.15
4,Houston,84,GALVESTON,Not Economically Disadvantaged,3937,3758,0.95,3411,0.87,261,0.07,3288,0.84,1202,0.31,1678,0.43,2880,0.73,207,0.05,1510,0.38
4,Houston,84,GALVESTON,Economically Disadvantaged,1772,1587,0.9,1193,0.67,344,0.19,1134,0.64,149,0.08,691,0.39,840,0.47,103,0.06,220,0.12
4,Houston,101,HARRIS,Not Economically Disadvantaged,23519,22149,0.94,20069,0.85,1688,0.07,19158,0.81,6777,0.29,8844,0.38,15621,0.66,1128,0.05,7186,0.31
4,Houston,101,HARRIS,Economically Disadvantaged,31268,28161,0.9,21045,0.67,6411,0.21,19770,0.63,3691,0.12,9302,0.3,12993,0.42,1450,0.05,3440,0.11
4,Houston,146,LIBERTY,Not Economically Disadvantaged,636,584,0.92,509,0.8,65,0.1,496,0.78,119,0.19,235,0.37,354,0.56,26,0.04,130,0.2
4,Houston,146,LIBERTY,Economically Disadvantaged,532,463,0.87,378,0.71,90,0.17,352,0.66,42,0.08,127,0.24,169,0.32,6,0.01,40,0.08
4,Houston,237,WALLER,Not Economically Disadvantaged,306,300,0.98,258,0.84,40,0.13,251,0.82,69,0.23,115,0.38,184,0.6,10,0.03,62,0.2
4,Houston,237,WALLER,Economically Disadvantaged,326,309,0.95,232,0.71,65,0.2,224,0.69,44,0.14,85,0.26,129,0.4,6,0.02,28,0.09
5,Beaumont,84,GALVESTON,Not Economically Disadvantaged,13,12,0.92,13,1, -   ,0,12,0.92,4,0.31,4,0.31,8,0.62, -   ,0,3,0.23
5,Beaumont,84,GALVESTON,Economically Disadvantaged,10,8,0.8,6,0.6,1,0.1,5,0.5,2,0.2,3,0.3,5,0.5,1,0.1, -   ,0
5,Beaumont,100,HARDIN,Not Economically Disadvantaged,534,507,0.95,474,0.89,24,0.04,445,0.83,202,0.38,133,0.25,335,0.63,14,0.03,155,0.29
5,Beaumont,100,HARDIN,Economically Disadvantaged,275,254,0.92,204,0.74,40,0.15,182,0.66,50,0.18,58,0.21,108,0.39,11,0.04,37,0.13
5,Beaumont,121,JASPER,Not Economically Disadvantaged,215,207,0.96,195,0.91,7,0.03,178,0.83,54,0.25,72,0.33,126,0.59,5,0.02,54,0.25
5,Beaumont,121,JASPER,Economically Disadvantaged,277,265,0.96,237,0.86,15,0.05,191,0.69,58,0.21,76,0.27,134,0.48,12,0.04,37,0.13
5,Beaumont,123,JEFFERSON,Not Economically Disadvantaged,1344,1277,0.95,1150,0.86,107,0.08,1067,0.79,553,0.41,383,0.29,936,0.7,82,0.06,465,0.35
5,Beaumont,123,JEFFERSON,Economically Disadvantaged,1763,1651,0.94,1378,0.78,208,0.12,1186,0.67,307,0.17,492,0.28,799,0.45,67,0.04,218,0.12
5,Beaumont,176,NEWTON,Not Economically Disadvantaged,70,63,0.9,51,0.73,11,0.16,46,0.66,16,0.23,21,0.3,37,0.53,6,0.09,16,0.23
5,Beaumont,176,NEWTON,Economically Disadvantaged,112,105,0.94,86,0.77,17,0.15,79,0.71,12,0.11,27,0.24,39,0.35,2,0.02,9,0.08
5,Beaumont,181,ORANGE,Not Economically Disadvantaged,735,682,0.93,621,0.84,50,0.07,572,0.78,144,0.2,321,0.44,465,0.63,35,0.05,192,0.26
5,Beaumont,181,ORANGE,Economically Disadvantaged,491,442,0.9,372,0.76,58,0.12,338,0.69,52,0.11,156,0.32,208,0.42,17,0.03,45,0.09
5,Beaumont,229,TYLER,Not Economically Disadvantaged,130,127,0.98,117,0.9,10,0.08,105,0.81,23,0.18,46,0.35,69,0.53,1,0.01,27,0.21
5,Beaumont,229,TYLER,Economically Disadvantaged,171,161,0.94,135,0.79,24,0.14,128,0.75,21,0.12,42,0.25,63,0.37,2,0.01,16,0.09
6,Huntsville,8,AUSTIN,Not Economically Disadvantaged,248,240,0.97,224,0.9,9,0.04,216,0.87,63,0.25,108,0.44,171,0.69,8,0.03,94,0.38
6,Huntsville,8,AUSTIN,Economically Disadvantaged,176,165,0.94,128,0.73,39,0.22,134,0.76,18,0.1,49,0.28,67,0.38,1,0.01,15,0.09
6,Huntsville,21,BRAZOS,Not Economically Disadvantaged,894,838,0.94,775,0.87,45,0.05,762,0.85,257,0.29,377,0.42,634,0.71,27,0.03,304,0.34
6,Huntsville,21,BRAZOS,Economically Disadvantaged,864,792,0.92,610,0.71,154,0.18,512,0.59,61,0.07,232,0.27,293,0.34,31,0.04,57,0.07
6,Huntsville,26,BURLESON,Not Economically Disadvantaged,120,119,0.99,110,0.92,9,0.08,110,0.92,21,0.18,56,0.47,77,0.64,1,0.01,40,0.33
6,Huntsville,26,BURLESON,Economically Disadvantaged,113,107,0.95,82,0.73,19,0.17,79,0.7,6,0.05,41,0.36,47,0.42,3,0.03,8,0.07
6,Huntsville,93,GRIMES,Not Economically Disadvantaged,145,143,0.99,133,0.92,3,0.02,114,0.79,33,0.23,51,0.35,84,0.58,3,0.02,38,0.26
6,Huntsville,93,GRIMES,Economically Disadvantaged,210,197,0.94,179,0.85,15,0.07,144,0.69,20,0.1,52,0.25,72,0.34,5,0.02,19,0.09
6,Huntsville,113,HOUSTON,Not Economically Disadvantaged,131,125,0.95,119,0.91,7,0.05,118,0.9,36,0.27,51,0.39,87,0.66,2,0.02,53,0.4
6,Huntsville,113,HOUSTON,Economically Disadvantaged,154,143,0.93,123,0.8,21,0.14,118,0.77,17,0.11,54,0.35,71,0.46,3,0.02,18,0.12
6,Huntsville,145,LEON,Not Economically Disadvantaged,135,132,0.98,125,0.93,3,0.02,115,0.85,27,0.2,55,0.41,82,0.61,5,0.04,32,0.24
6,Huntsville,145,LEON,Economically Disadvantaged,120,116,0.97,109,0.91,6,0.05,93,0.78,13,0.11,51,0.43,64,0.53,5,0.04,21,0.18
6,Huntsville,154,MADISON,Not Economically Disadvantaged,102,100,0.98,99,0.97, -   ,0,90,0.88,33,0.32,28,0.27,61,0.6,1,0.01,26,0.25
6,Huntsville,154,MADISON,Economically Disadvantaged,98,89,0.91,84,0.86,5,0.05,76,0.78,12,0.12,21,0.21,33,0.34,1,0.01,10,0.1
6,Huntsville,166,MILAM,Not Economically Disadvantaged,140,132,0.94,129,0.92,4,0.03,123,0.88,45,0.32,56,0.4,101,0.72,3,0.02,54,0.39
6,Huntsville,166,MILAM,Economically Disadvantaged,203,191,0.94,156,0.77,31,0.15,141,0.69,22,0.11,57,0.28,79,0.39,6,0.03,21,0.1
6,Huntsville,170,MONTGOMERY,Not Economically Disadvantaged,3907,3675,0.94,3301,0.84,319,0.08,3199,0.82,1039,0.27,1472,0.38,2511,0.64,138,0.04,1176,0.3
6,Huntsville,170,MONTGOMERY,Economically Disadvantaged,1939,1765,0.91,1306,0.67,372,0.19,1216,0.63,127,0.07,552,0.28,679,0.35,58,0.03,139,0.07
6,Huntsville,187,POLK,Not Economically Disadvantaged,236,226,0.96,202,0.86,17,0.07,178,0.75,49,0.21,91,0.39,140,0.59,14,0.06,49,0.21
6,Huntsville,187,POLK,Economically Disadvantaged,334,301,0.9,251,0.75,38,0.11,208,0.62,28,0.08,90,0.27,118,0.35,11,0.03,33,0.1
6,Huntsville,198,ROBERTSON,Not Economically Disadvantaged,92,86,0.93,81,0.88,3,0.03,73,0.79,20,0.22,46,0.5,66,0.72,2,0.02,30,0.33
6,Huntsville,198,ROBERTSON,Economically Disadvantaged,161,151,0.94,137,0.85,12,0.07,124,0.77,16,0.1,58,0.36,74,0.46,3,0.02,18,0.11
6,Huntsville,204,SAN JACINTO,Not Economically Disadvantaged,138,122,0.88,113,0.82,6,0.04,97,0.7,28,0.2,38,0.28,66,0.48,4,0.03,31,0.22
6,Huntsville,204,SAN JACINTO,Economically Disadvantaged,144,134,0.93,106,0.74,19,0.13,91,0.63,12,0.08,30,0.21,42,0.29,2,0.01,10,0.07
6,Huntsville,228,TRINITY,Not Economically Disadvantaged,63,63,1,59,0.94,3,0.05,50,0.79,13,0.21,25,0.4,38,0.6,2,0.03,15,0.24
6,Huntsville,228,TRINITY,Economically Disadvantaged,99,93,0.94,84,0.85,6,0.06,61,0.62,8,0.08,31,0.31,39,0.39,4,0.04,13,0.13
6,Huntsville,236,WALKER,Not Economically Disadvantaged,248,239,0.96,223,0.9,9,0.04,211,0.85,104,0.42,65,0.26,169,0.68,5,0.02,81,0.33
6,Huntsville,236,WALKER,Economically Disadvantaged,357,346,0.97,266,0.75,72,0.2,249,0.7,68,0.19,90,0.25,158,0.44,6,0.02,33,0.09
6,Huntsville,239,WASHINGTON,Not Economically Disadvantaged,219,214,0.98,201,0.92,8,0.04,187,0.85,49,0.22,100,0.46,149,0.68,3,0.01,93,0.42
6,Huntsville,239,WASHINGTON,Economically Disadvantaged,175,169,0.97,133,0.76,25,0.14,108,0.62,8,0.05,55,0.31,63,0.36,4,0.02,10,0.06
7,Kilgore,1,ANDERSON,Not Economically Disadvantaged,340,323,0.95,301,0.89,18,0.05,284,0.84,59,0.17,155,0.46,214,0.63,11,0.03,106,0.31
7,Kilgore,1,ANDERSON,Economically Disadvantaged,318,297,0.93,259,0.81,40,0.13,237,0.75,19,0.06,104,0.33,123,0.39,10,0.03,34,0.11
7,Kilgore,3,ANGELINA,Not Economically Disadvantaged,577,555,0.96,521,0.9,24,0.04,493,0.85,130,0.23,265,0.46,395,0.68,16,0.03,180,0.31
7,Kilgore,3,ANGELINA,Economically Disadvantaged,613,585,0.95,491,0.8,75,0.12,464,0.76,36,0.06,239,0.39,275,0.45,18,0.03,62,0.1
7,Kilgore,37,CHEROKEE,Not Economically Disadvantaged,210,198,0.94,187,0.89,6,0.03,168,0.8,45,0.21,90,0.43,135,0.64,11,0.05,70,0.33
7,Kilgore,37,CHEROKEE,Economically Disadvantaged,410,379,0.92,324,0.79,37,0.09,271,0.66,25,0.06,135,0.33,160,0.39,11,0.03,42,0.1
7,Kilgore,92,GREGG,Not Economically Disadvantaged,949,910,0.96,852,0.9,35,0.04,800,0.84,204,0.22,443,0.47,647,0.68,25,0.03,306,0.32
7,Kilgore,92,GREGG,Economically Disadvantaged,788,721,0.92,580,0.74,108,0.14,522,0.66,46,0.06,266,0.34,312,0.4,27,0.03,70,0.09
7,Kilgore,102,HARRISON,Not Economically Disadvantaged,491,459,0.93,427,0.87,24,0.05,405,0.82,106,0.22,201,0.41,307,0.63,11,0.02,147,0.3
7,Kilgore,102,HARRISON,Economically Disadvantaged,467,442,0.95,376,0.81,54,0.12,331,0.71,53,0.11,156,0.33,209,0.45,10,0.02,63,0.13
7,Kilgore,107,HENDERSON,Not Economically Disadvantaged,369,356,0.96,336,0.91,15,0.04,305,0.83,66,0.18,178,0.48,244,0.66,20,0.05,122,0.33
7,Kilgore,107,HENDERSON,Economically Disadvantaged,418,383,0.92,324,0.78,47,0.11,278,0.67,16,0.04,153,0.37,169,0.4,15,0.04,45,0.11
7,Kilgore,174,NACOGDOCHES,Not Economically Disadvantaged,371,362,0.98,336,0.91,18,0.05,320,0.86,140,0.38,120,0.32,260,0.7,7,0.02,128,0.35
7,Kilgore,174,NACOGDOCHES,Economically Disadvantaged,435,415,0.95,320,0.74,60,0.14,266,0.61,30,0.07,126,0.29,156,0.36,22,0.05,35,0.08
7,Kilgore,183,PANOLA,Not Economically Disadvantaged,162,157,0.97,140,0.86,10,0.06,128,0.79,22,0.14,84,0.52,106,0.65,7,0.04,56,0.35
7,Kilgore,183,PANOLA,Economically Disadvantaged,126,115,0.91,91,0.72,22,0.17,80,0.63,9,0.07,42,0.33,51,0.4,3,0.02,15,0.12
7,Kilgore,190,RAINS,Not Economically Disadvantaged,54,54,1,53,0.98,1,0.02,51,0.94,22,0.41,20,0.37,42,0.78, -   ,0,19,0.35
7,Kilgore,190,RAINS,Economically Disadvantaged,48,44,0.92,42,0.88,5,0.1,38,0.79,11,0.23,15,0.31,26,0.54,3,0.06,12,0.25
7,Kilgore,201,RUSK,Not Economically Disadvantaged,257,248,0.97,233,0.91,14,0.05,225,0.88,49,0.19,122,0.47,171,0.67,3,0.01,81,0.32
7,Kilgore,201,RUSK,Economically Disadvantaged,305,286,0.94,232,0.76,36,0.12,210,0.69,20,0.07,102,0.33,122,0.4,6,0.02,38,0.12
7,Kilgore,202,SABINE,Not Economically Disadvantaged,55,52,0.95,49,0.89,5,0.09,46,0.84,17,0.31,13,0.24,30,0.55, -   ,0,16,0.29
7,Kilgore,202,SABINE,Economically Disadvantaged,70,61,0.87,48,0.69,9,0.13,50,0.71,7,0.1,22,0.31,29,0.41,1,0.01,11,0.16
7,Kilgore,203,SAN AUGUSTINE,Not Economically Disadvantaged,21,21,1,21,1, -   ,0,17,0.81,3,0.14,12,0.57,15,0.71,1,0.05,9,0.43
7,Kilgore,203,SAN AUGUSTINE,Economically Disadvantaged,82,74,0.9,57,0.7,17,0.21,55,0.67,9,0.11,21,0.26,30,0.37,2,0.02,11,0.13
7,Kilgore,210,SHELBY,Not Economically Disadvantaged,159,151,0.95,139,0.87,8,0.05,127,0.8,30,0.19,74,0.47,104,0.65,9,0.06,48,0.3
7,Kilgore,210,SHELBY,Economically Disadvantaged,217,203,0.94,178,0.82,18,0.08,151,0.7,13,0.06,83,0.38,96,0.44,8,0.04,22,0.1
7,Kilgore,212,SMITH,Not Economically Disadvantaged,1250,1183,0.95,1037,0.83,122,0.1,1009,0.81,256,0.2,595,0.48,851,0.68,58,0.05,401,0.32
7,Kilgore,212,SMITH,Economically Disadvantaged,1193,1101,0.92,833,0.7,230,0.19,795,0.67,73,0.06,474,0.4,547,0.46,47,0.04,126,0.11
7,Kilgore,230,UPSHUR,Not Economically Disadvantaged,303,294,0.97,268,0.88,20,0.07,247,0.82,61,0.2,126,0.42,187,0.62,8,0.03,74,0.24
7,Kilgore,230,UPSHUR,Economically Disadvantaged,236,216,0.92,185,0.78,15,0.06,167,0.71,21,0.09,86,0.36,107,0.45,13,0.06,27,0.11
7,Kilgore,234,VAN ZANDT,Not Economically Disadvantaged,239,224,0.94,209,0.87,12,0.05,188,0.79,42,0.18,108,0.45,150,0.63,11,0.05,72,0.3
7,Kilgore,234,VAN ZANDT,Economically Disadvantaged,174,164,0.94,143,0.82,9,0.05,131,0.75,12,0.07,66,0.38,78,0.45,5,0.03,20,0.11
7,Kilgore,250,WOOD,Not Economically Disadvantaged,265,254,0.96,238,0.9,6,0.02,224,0.85,62,0.23,109,0.41,171,0.65,7,0.03,81,0.31
7,Kilgore,250,WOOD,Economically Disadvantaged,219,203,0.93,169,0.77,23,0.11,147,0.67,16,0.07,64,0.29,80,0.37,6,0.03,24,0.11
8,Mt. Pleasant,19,BOWIE,Not Economically Disadvantaged,740,700,0.95,666,0.9,11,0.01,602,0.81,140,0.19,310,0.42,450,0.61,29,0.04,178,0.24
8,Mt. Pleasant,19,BOWIE,Economically Disadvantaged,613,543,0.89,484,0.79,38,0.06,404,0.66,41,0.07,224,0.37,265,0.43,27,0.04,63,0.1
8,Mt. Pleasant,32,CAMP,Not Economically Disadvantaged,62,62,1,58,0.94, -   ,0,52,0.84,2,0.03,46,0.74,48,0.77,4,0.06,17,0.27
8,Mt. Pleasant,32,CAMP,Economically Disadvantaged,122,119,0.98,102,0.84,13,0.11,91,0.75,4,0.03,55,0.45,59,0.48,5,0.04,15,0.12
8,Mt. Pleasant,34,CASS,Not Economically Disadvantaged,206,197,0.96,184,0.89,6,0.03,171,0.83,36,0.17,90,0.44,126,0.61,7,0.03,46,0.22
8,Mt. Pleasant,34,CASS,Economically Disadvantaged,229,205,0.9,191,0.83,12,0.05,166,0.72,15,0.07,91,0.4,106,0.46,6,0.03,30,0.13
8,Mt. Pleasant,60,DELTA,Not Economically Disadvantaged,45,45,1,43,0.96,1,0.02,41,0.91,15,0.33,16,0.36,31,0.69, -   ,0,16,0.36
8,Mt. Pleasant,60,DELTA,Economically Disadvantaged,34,34,1,33,0.97, -   ,0,27,0.79,3,0.09,14,0.41,17,0.5, -   ,0,5,0.15
8,Mt. Pleasant,80,FRANKLIN,Not Economically Disadvantaged,65,63,0.97,58,0.89,2,0.03,55,0.85,15,0.23,30,0.46,45,0.69,2,0.03,23,0.35
8,Mt. Pleasant,80,FRANKLIN,Economically Disadvantaged,44,41,0.93,38,0.86,3,0.07,35,0.8,2,0.05,20,0.45,22,0.5,1,0.02,9,0.2
8,Mt. Pleasant,112,HOPKINS,Not Economically Disadvantaged,267,258,0.97,248,0.93,9,0.03,238,0.89,61,0.23,110,0.41,171,0.64,9,0.03,82,0.31
8,Mt. Pleasant,112,HOPKINS,Economically Disadvantaged,235,220,0.94,182,0.77,25,0.11,169,0.72,23,0.1,81,0.34,104,0.44,8,0.03,32,0.14
