Region Code,TEA Region,gender,ethnicity,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_per,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_per,total_degrees,total_degrees_percent
7,Kilgore,Male,Others,,66,59,0.89,51,0.77,5,0.08,47,0.71,15,0.23,19,0.29,0,0,34,0.52,2,0.03,16,0.24
8,Mt. Pleasant,Female,African American,,455,429,0.94,387,0.85,40,0.09,356,0.78,63,0.14,210,0.46,0,0,273,0.6,20,0.04,68,0.15
8,Mt. Pleasant,Female,Hispanic,,238,224,0.94,202,0.85,14,0.06,179,0.75,9,0.04,110,0.46,0,0,119,0.5,8,0.03,52,0.22
8,Mt. Pleasant,Female,White,,1308,1235,0.94,1126,0.86,43,0.03,995,0.76,193,0.15,643,0.49,0,0,836,0.64,80,0.06,345,0.26
8,Mt. Pleasant,Female,Others,,16,15,0.94,14,0.88,1,0.06,11,0.69,4,0.25,6,0.38,0,0,10,0.63,1,0.06,3,0.19
8,Mt. Pleasant,Male,African American,,547,514,0.94,445,0.81,56,0.1,393,0.72,51,0.09,216,0.39,0,0,267,0.49,23,0.04,58,0.11
8,Mt. Pleasant,Male,Hispanic,,278,256,0.92,214,0.77,33,0.12,214,0.77,7,0.03,108,0.39,0,0,115,0.41,3,0.01,32,0.12
8,Mt. Pleasant,Male,White,,1493,1381,0.93,1269,0.85,75,0.05,1144,0.77,189,0.13,579,0.39,0,0,768,0.51,55,0.04,298,0.2
8,Mt. Pleasant,Male,Others,,29,26,0.9,24,0.83,2,0.07,22,0.76,3,0.1,9,0.31,0,0,12,0.41,0,0,6,0.21
9,Wichita Falls,Female,African American,,148,138,0.93,119,0.8,13,0.09,110,0.74,19,0.13,42,0.28,0,0,61,0.41,4,0.03,12,0.08
9,Wichita Falls,Female,Hispanic,,264,247,0.94,218,0.83,24,0.09,203,0.77,35,0.13,83,0.31,0,0,118,0.45,7,0.03,38,0.14
9,Wichita Falls,Female,White,,1017,964,0.95,891,0.88,29,0.03,818,0.8,324,0.32,315,0.31,0,0,639,0.63,31,0.03,315,0.31
9,Wichita Falls,Female,Others,,28,24,0.86,23,0.82,0,0,21,0.75,8,0.29,11,0.39,0,0,19,0.68,1,0.04,6,0.21
9,Wichita Falls,Male,African American,,125,114,0.91,94,0.75,14,0.11,88,0.7,18,0.14,30,0.24,0,0,48,0.38,7,0.06,11,0.09
9,Wichita Falls,Male,Hispanic,,268,252,0.94,216,0.81,35,0.13,197,0.74,37,0.14,49,0.18,0,0,86,0.32,5,0.02,33,0.12
9,Wichita Falls,Male,White,,1102,1040,0.94,949,0.86,58,0.05,873,0.79,301,0.27,250,0.23,0,0,551,0.5,23,0.02,211,0.19
9,Wichita Falls,Male,Others,,34,30,0.88,28,0.82,1,0.03,24,0.71,13,0.38,3,0.09,0,0,16,0.47,3,0.09,6,0.18
10,Richardson,Female,African American,,5567,5105,0.92,4329,0.78,686,0.12,3982,0.72,1356,0.24,1959,0.35,0,0,3315,0.6,323,0.06,941,0.17
10,Richardson,Female,Hispanic,,8355,7833,0.94,6402,0.77,1207,0.14,6031,0.72,812,0.1,2649,0.32,0,0,3461,0.41,201,0.02,1139,0.14
10,Richardson,Female,White,,9584,9129,0.95,8416,0.88,466,0.05,7862,0.82,2555,0.27,3765,0.39,0,0,6320,0.66,433,0.05,3183,0.33
10,Richardson,Female,Others,,1214,1153,0.95,1092,0.9,38,0.03,1033,0.85,496,0.41,342,0.28,0,0,838,0.69,38,0.03,539,0.44
10,Richardson,Male,African American,,5729,5126,0.89,3955,0.69,1128,0.2,3666,0.64,953,0.17,1854,0.32,0,0,2807,0.49,343,0.06,563,0.1
10,Richardson,Male,Hispanic,,8499,7789,0.92,5772,0.68,1923,0.23,5606,0.66,580,0.07,2300,0.27,0,0,2880,0.34,206,0.02,750,0.09
10,Richardson,Male,White,,10122,9522,0.94,8569,0.85,737,0.07,8122,0.8,2305,0.23,3656,0.36,0,0,5961,0.59,416,0.04,2511,0.25
10,Richardson,Male,Others,,1303,1231,0.94,1154,0.89,52,0.04,1083,0.83,446,0.34,400,0.31,0,0,846,0.65,50,0.04,446,0.34
11,Fort Worth,Female,African American,,2539,2293,0.9,1938,0.76,318,0.13,1781,0.7,570,0.22,951,0.37,0,0,1521,0.6,166,0.07,449,0.18
11,Fort Worth,Female,Hispanic,,4580,4283,0.94,3547,0.77,624,0.14,3254,0.71,502,0.11,1480,0.32,0,0,1982,0.43,140,0.03,716,0.16
11,Fort Worth,Female,White,,9926,9358,0.94,8538,0.86,605,0.06,8031,0.81,2813,0.28,3635,0.37,0,0,6448,0.65,421,0.04,3256,0.33
11,Fort Worth,Female,Others,,787,742,0.94,689,0.88,39,0.05,668,0.85,303,0.39,243,0.31,0,0,546,0.69,28,0.04,331,0.42
11,Fort Worth,Male,African American,,2674,2374,0.89,1804,0.67,512,0.19,1652,0.62,421,0.16,877,0.33,0,0,1298,0.49,187,0.07,246,0.09
11,Fort Worth,Male,Hispanic,,4682,4353,0.93,3256,0.7,948,0.2,3038,0.65,397,0.08,1291,0.28,0,0,1688,0.36,143,0.03,463,0.1
11,Fort Worth,Male,White,,10478,9817,0.94,8588,0.82,1051,0.1,8168,0.78,2408,0.23,3656,0.35,0,0,6064,0.58,405,0.04,2409,0.23
11,Fort Worth,Male,Others,,796,741,0.93,679,0.85,54,0.07,656,0.82,272,0.34,258,0.32,0,0,530,0.67,37,0.05,271,0.34
12,Waco,Female,African American,,1210,1088,0.9,874,0.72,182,0.15,818,0.68,180,0.15,579,0.48,0,0,759,0.63,91,0.08,200,0.17
12,Waco,Female,Hispanic,,1128,1038,0.92,872,0.77,154,0.14,806,0.71,106,0.09,472,0.42,0,0,578,0.51,44,0.04,198,0.18
12,Waco,Female,White,,2712,2546,0.94,2281,0.84,169,0.06,2113,0.78,606,0.22,1218,0.45,0,0,1824,0.67,143,0.05,893,0.33
12,Waco,Female,Others,,100,90,0.9,73,0.73,9,0.09,74,0.74,22,0.22,40,0.4,0,0,62,0.62,4,0.04,32,0.32
12,Waco,Male,African American,,1250,1086,0.87,814,0.65,260,0.21,778,0.62,165,0.13,462,0.37,0,0,627,0.5,71,0.06,120,0.1
12,Waco,Male,Hispanic,,1203,1100,0.91,881,0.73,193,0.16,846,0.7,78,0.06,439,0.36,0,0,517,0.43,45,0.04,148,0.12
12,Waco,Male,White,,2839,2636,0.93,2317,0.82,261,0.09,2160,0.76,492,0.17,1145,0.4,0,0,1637,0.58,122,0.04,677,0.24
