REGION,RA0GR15N,RA0GM15N,RA0GH15N,RA0GE15N,RA0GA15N,RA0GN15N,RB0GR15N,RH0GR15N,RW0GR15N,RI0GR15N,R30GR15N,R40GR15N,R20GR15N,RE0GR15N,RS0GR15N,RL0GR15N,RR0GR15N,RA0GH15P,RA0GN15P,RA0GR15R,RB0GR15R,RH0GR15R,RW0GR15R,RI0GR15R,R30GR15R,R40GR15R,R20GR15R,RE0GR15R,RS0GR15R,RL0GR15R,RR0GR15R,RPETALLC,RPETSPEC,RPETLEPC,RPETECOC,RPETNEDC,RPETGIFC,RPETVOCC,RPETBILC,RPETRSKC,RPETGEEC,RPETGPKC,RPETGKNC,RPETG01C,RPETG02C,RPETG03C,RPETG04C,RPETG05C,RPETG06C,RPETG07C,RPETG08C,RPETG09C,RPETG10C,RPETG11C,RPETG12C,RPETHISC,RPETBLAC,RPETWHIC,RPETINDC,RPETASIC,RPETPCIC,RPETTWOC,RAUND15C,RAUND15D,RAUND15R,RPETDISD,RPETDISC,RPETDISP,RPERRAKR,RPERRA1R,RPERRA2R,RPERRA3R,RPERRA4R,RPERRA5R,RPERRA6R,RPERRA7R,RPERRA8R,RPERSAKR,RPERSA1R,RPERSA2R,RPERSA3R,RPERSA4R,RPERSA5R,RPERSA6R,RPERSA7R,RPERSA8R,RPETWHIP,RPETBLAP,RPETHISP,RPETINDP,RPETASIP,RPETPCIP,RPETTWOP,RPETECOP,RPETNEDP,RPETRSKP,RPETLEPP,RPETSPEP,RPETVOCP,RPETBILP,RPETGIFP,RPETGEEP,RPETGPKP,RPETGKNP,RPETG01P,RPETG02P,RPETG03P,RPETG04P,RPETG05P,RPETG06P,RPETG07P,RPETG08P,RPETG09P,RPETG10P,RPETG11P,RPETG12P,RA0GM15P,RA0GA15P,RA0GE15P,RPSTTOFC,RPSUTOFC,RPSSTOFC,RPSCTOFC,RPSETOFC,RPSTTOST,RPSUTOST,RPSSTOST,RPSCTOST,RPST00FC,RPST01FC,RPST06FC,RPST11FC,RPST20FC,RPST00ST,RPST01ST,RPST06ST,RPST11ST,RPST20ST,RPSTNOFC,RPSTBAFC,RPSTMSFC,RPSTPHFC,RPSPCOFC,RPSECOFC,RPSPTOFC,RPSXTOFC,RPSATOFC,RPSOTOFC,RPSTINFC,RPSTPIFC,RPSTASFC,RPSTBLFC,RPSTHIFC,RPSTWHFC,RPSTTWFC,RPSTMAFC,RPSTFEFC,RPSXCOFC,RPSTREFC,RPSTVOFC,RPSTBIFC,RPSTCOFC,RPSTGIFC,RPSTSPFC,RPSTOPFC,RPSTURNN,RPSTURND,RPSTURNR,RPSTTENA,RPSTEXPA,RPSAMIFC,RPCTSOCS,RPCTSOCC,RPCTSCIS,RPCTSCIC,RPCTMATS,RPCTMATC,RPCTG06S,RPCTG06C,RPCTG05S,RPCTG05C,RPCTG04S,RPCTG04C,RPCTG03S,RPCTG03C,RPCTG02S,RPCTG02C,RPCTG01S,RPCTG01C,RPCTGMES,RPCTGMEC,RPCTGKGS,RPCTGKGC,RPCTFLAS,RPCTFLAC,RPCTENGS,RPCTENGC,RPCTSOCA,RPCTSCIA,RPCTMATA,RPCTGMEA,RPCTGKGA,RPCTG06A,RPCTG05A,RPCTG04A,RPCTG03A,RPCTG02A,RPCTG01A,RPCTFLAA,RPCTENGA,RPSPTOFP,RPSTTOFP,RPSUTOFP,RPSSTOFP,RPSCTOFP,RPSETOFP,RPSXTOFP,RPSAMIFP,RPSTNOFP,RPSTBAFP,RPSTMSFP,RPSTPHFP,RPST00FP,RPST01FP,RPST06FP,RPST11FP,RPST20FP,RPSTREFP,RPSTVOFP,RPSTBIFP,RPSTCOFP,RPSTGIFP,RPSTSPFP,RPSTOPFP,RPSTBLFP,RPSTWHFP,RPSTHIFP,RPSTPIFP,RPSTINFP,RPSTASFP,RPSTTWFP,RPSTMAFP,RPSTFEFP,RPSTKIDR,RPST00SA,RPST01SA,RPST06SA,RPST11SA,RPST20SA,RPSTTOSA,RPSUTOSA,RPSSTOSA,RPSCTOSA,RPFEIERP,RPSAINHP
"11",35849,5423,29247,87,294,798,4805,11074,17049,220,1770,104,827,12567,2402,1652,15275,81.6,2.2,100,13.4,30.9,47.6,0.6,4.9,0.3,2.3,35.1,6.7,4.6,42.6,577363,49114,93232,286196,291167,48678,138079,93259,277652,1307,19547,40035,43088,44054,44022,43608,43212,42817,42834,42326,48644,44362,40652,36855,206198,83405,240066,2743,27105,1554,16292,821,269141,0.3,598599,8212,1.4,2.1,3.2,2.2,1.4,0.8,0.8,0.3,0.6,0.5,7.8,6,2.5,1.1,0.8,1.1,0.5,0.6,1.4,41.6,14.4,35.7,0.5,4.7,0.3,2.8,49.6,50.4,48.1,16.1,8.5,23.9,16.2,8.4,0.2,3.4,6.9,7.5,7.6,7.6,7.6,7.5,7.4,7.4,7.3,8.4,7.7,7,6.4,15.1,0.8,0.2,38143.9,7134.9,2106.9,703.7,6447.8,2074210249.1,454025248.3,165426610.8,74528684.5,2639.2,10042.4,8214.6,11416.3,5831.4,130296597.7,507725599,431845087.9,634194131.8,370148832.7,168.6,28351,9353.6,270.7,116.1,44.4,48089.5,16000.8,70538.1,74.1,187,24,389,3139.6,4447.9,29486.5,470,8734.5,29409.4,32.4,27472.3,1543.5,2380.4,907.2,844.7,3377,1619,5242,37268.9,14.1,7.3,11.1,21281.9,237388,11069,224688,10774,242006,12265,32819.2,1544.5,35723.9,1665.7,36007.2,1880,35245.1,1867.1,36314.8,1907.8,33266.2,1765.5,4662.5,176,28205.9,1494.8,100347,5144,277524,14867,21.4,20.9,19.7,26.5,18.9,21.2,21.4,19.2,18.9,19,18.8,19.5,18.7,68.2,54.1,10.1,3,1,9.1,22.7,30.2,0.4,74.3,24.5,0.7,6.9,26.3,21.5,29.9,15.3,72,4,6.2,2.4,2.2,8.9,4.2,8.2,77.3,11.7,0.1,0.5,1,1.2,22.9,77.1,15.1,49369,50558,52570,55552,63475,54379,63634,78516,105904,65.7,67.5
"12",10174,2267,7498,7,140,262,1859,3117,4550,63,188,65,332,4583,938,227,4695,73.7,2.6,100,18.3,30.6,44.7,0.6,1.8,0.6,3.3,45,9.2,2.2,46.1,170828,15908,16705,100303,70525,10751,40423,16249,84929,312,9016,12681,13632,13476,13423,12862,12594,12311,12656,12321,13416,11834,10535,9759,56849,33951,67580,773,3508,1159,7008,395,78914,0.5,180719,3142,1.7,1.9,5,3.2,2.6,1.4,0.9,0.6,0.9,0.8,8.9,11.3,5.3,3.3,2,1.7,0.5,1.1,1.3,39.6,19.9,33.3,0.5,2.1,0.7,4.1,58.7,41.3,49.7,9.8,9.3,23.7,9.5,6.3,0.2,5.3,7.4,8,7.9,7.9,7.5,7.4,7.2,7.4,7.2,7.9,6.9,6.2,5.7,22.3,1.4,0.1,11934.3,1859.8,787.6,334.1,2763.8,570798181.2,105567508.2,54901311.4,29773005.6,1106.2,3520.4,2332.7,3049.2,1925.8,46138295.9,153361175.6,108535978.1,154021904.1,108740827.4,86.8,9476.2,2319.9,51.4,95.1,34.1,14915.9,6204.1,23883.8,39.7,64,9,116.3,1048.1,1107.1,9404,185.9,2776.6,9157.7,49.3,9377.6,548,295.4,327.7,131.8,956.1,297.6,2227.1,11673.7,19.1,6.7,10.8,7177.8,66021,3693,63934,3538,70529,4230,9563.3,492,11369.9,514.8,10574.7,544.3,11028.9,572,11008.5,574.9,10670.6,554.1,1083.1,42.4,10276,535.8,32672,1820,81149,5260,17.9,18.1,16.7,25.6,19.2,19.4,22.1,19.4,19.3,19.1,19.3,18,15.4,62.5,50,7.8,3.3,1.4,11.6,26,30.1,0.7,79.4,19.4,0.4,9.3,29.5,19.5,25.5,16.1,78.6,4.6,2.5,2.7,1.1,8,2.5,8.8,78.8,9.3,0.1,0.5,1,1.6,23.3,76.7,14.3,41707,43564,46528,50512,56465,47828,56761,69703,89127,62.2,65.2
"13",23726,2906,19557,125,584,554,1891,9601,10519,81,1011,29,594,8283,1760,929,9876,82.4,2.3,100,8,40.5,44.3,0.3,4.3,0.1,2.5,34.9,7.4,3.9,41.6,402590,38273,66076,185710,216880,35250,97752,67079,179018,1284,13766,29067,30781,31618,31260,30926,30595,30332,29839,29744,32234,29452,26781,24911,189491,27259,154166,1066,18432,442,11734,456,189007,0.2,415109,5604,1.4,1.7,2.1,1.3,0.8,0.5,0.4,0.3,0.3,0.3,6.3,4.7,1.9,0.8,0.4,0.8,0.3,0.5,0.9,38.3,6.8,47.1,0.3,4.6,0.1,2.9,46.1,53.9,44.5,16.4,9.5,24.3,16.7,8.8,0.3,3.4,7.2,7.6,7.9,7.8,7.7,7.6,7.5,7.4,7.4,8,7.3,6.7,6.2,12.2,2.5,0.5,26825.1,5214,1571.7,566.7,4634.8,1322966871.9,305280139.2,113026566.1,54271466,1795.4,7355.1,6194.6,7405.5,4074.4,79850149.1,335871898.3,294568286.7,376352099.3,236324438.5,280.9,19475.8,6905.8,162.6,40.1,5.9,34177.5,12667.9,51480.2,35.6,83.8,23.7,367,998.8,5044,20035.3,272.4,6123.4,20701.6,11.6,18658.9,1040.5,1723.6,880.7,574.4,2791.5,1155.5,4818.8,26752.7,18,6.7,11,18362.9,161858,8232,156818,8305,170156,9320,20470.7,995.8,24476.7,1145.9,24515,1319,24465.2,1306.3,24992.2,1309.5,24220.8,1262.7,2239.5,89.5,22599.4,1204.5,78980,4056,194782,11572,19.7,18.9,18.3,25,18.8,20.6,21.4,18.6,18.7,19.1,19.2,19.5,16.8,66.4,52.1,10.1,3.1,1.1,9,24.6,35.7,1,72.6,25.7,0.6,6.7,27.4,23.1,27.6,15.2,69.6,3.9,6.4,3.3,2.1,10.4,4.3,3.7,74.7,18.8,0.1,0.3,1.4,1,22.8,77.2,15,44475,45665,47552,50820,58002,49318,58550,71914,95767,63.2,65.5
"14",3050,488,2014,17,365,166,194,897,1805,17,57,1,79,1103,324,36,1300,66,5.4,100,6.4,29.4,59.2,0.6,1.9,0,2.6,36.2,10.6,1.2,42.6,58485,5358,3071,31078,27407,2514,13573,3024,21357,199,2376,4632,4741,4668,4793,4792,4719,4782,4700,4676,3871,3535,3175,2826,21061,4774,29465,237,1098,50,1800,80,30070,0.3,67653,829,1.2,6.1,6.6,3.7,3,1.6,1.6,1.3,1.9,2.4,18.8,11.6,5.7,2.5,1.3,1.3,1.6,1.7,2.5,50.4,8.2,36,0.4,1.9,0.1,3.1,53.1,46.9,36.5,5.3,9.2,23.2,5.2,4.3,0.3,4.1,7.9,8.1,8,8.2,8.2,8.1,8.2,8,8,6.6,6,5.4,4.8,16,12,0.6,4173.5,535.6,232.8,115.6,1064,186013039,28044302.3,15587296.7,9712715.1,355.1,1297.4,632.1,999.5,889.3,13041956.7,52295272.6,26418512.9,47076567.7,47180729,34.7,3443.5,681.1,14.2,70.4,1.8,5057.5,1830.3,7951.8,3,12,0,27.5,148.1,373.1,3576.3,36.5,926.5,3247,18.2,3262.6,216.3,25.5,260,4.4,318.1,86.6,827.6,3998,20.7,7.3,11.3,1755.7,18897,1157,18372,1125,20519,1405,3553.1,188.6,4136.6,219,4380,235.7,4396.4,232.7,4468,248.5,4479.7,249.4,65,2.9,4464.9,245,7577,486,23938,1801,16.3,16.3,14.6,22.1,18.2,18.8,18.9,18.6,18.9,18,18,15.6,13.3,63.6,52.5,6.7,2.9,1.5,13.4,23,22.1,0.8,82.5,16.3,0.3,8.5,31.1,15.1,23.9,21.3,78.2,5.2,0.6,6.2,0.1,7.6,2.1,3.5,85.7,8.9,0,0.3,0.7,0.9,22.2,77.8,14,36730,40308,41792,47101,53051,44570,52360,66951,84036,63.6,66.5
"15",3039,494,2390,16,84,55,73,1645,1251,4,19,0,47,1366,263,58,1143,78.6,1.8,100,2.4,54.1,41.2,0.1,0.6,0,1.5,44.9,8.7,1.9,37.6,49740,4539,3623,30269,19471,2760,12902,3546,22256,172,1759,3624,3985,4095,3855,3769,3823,3703,3649,3575,3702,3551,3453,3025,28554,1352,18624,128,298,16,768,52,22882,0.2,53535,567,1.1,4.1,4.3,2.8,1.6,0.9,0.9,0.8,1.4,2.5,15,7.8,3.3,0.6,0.8,0.9,1.5,1.3,1.2,37.4,2.7,57.4,0.3,0.6,0,1.5,60.9,39.1,44.7,7.3,9.1,25.9,7.1,5.5,0.3,3.5,7.3,8,8.2,7.8,7.6,7.7,7.4,7.3,7.2,7.4,7.1,6.9,6.1,16.3,2.8,0.5,3699.2,529.9,202.5,100.3,928.6,164461798,28247335.8,13850682.4,9094862.5,290.2,912.2,680.2,1017,799.6,10606773.4,34474631.7,28496729.4,48223983.3,42659680.2,26.1,3100.3,564.9,7.9,41.7,9.6,4531.8,1850.7,7311.2,4.7,11.6,2.2,12,50.7,853.2,2747.6,21.9,844.2,2854.9,15.9,2906.8,210.7,79.1,139.2,26.4,280.2,56.7,638.3,3627,17.6,8.3,12.5,2702.9,18365,1127,19491,1147,21089,1383,2785.4,152.7,3238.2,174.5,3250.4,191.5,3422,196.6,3593.9,202.2,3448.9,197.5,94.6,2.8,3199.8,188.1,8690,521,24645,1612,16.3,17,15.2,33.4,17,18.2,18.6,17,17.4,17.8,17.5,16.7,15.3,62,50.6,7.2,2.8,1.4,12.7,25.3,37,0.7,83.8,15.3,0.2,7.8,24.7,18.4,27.5,21.6,78.6,5.7,2.1,3.8,0.7,7.6,1.5,1.4,74.3,23.1,0.1,0.3,0.3,0.6,22.8,77.2,13.4,36546,37794,41897,47419,53350,44459,53306,68408,90683,60.7,64
"16",5025,908,3980,26,24,87,240,2110,2461,38,87,2,87,2008,401,139,2413,79.2,1.7,100,4.8,42,49,0.8,1.7,0,1.7,40,8,2.8,48,85810,7970,11378,50932,34878,3993,22563,11236,38142,199,4490,6300,6710,6717,6663,6323,6444,6319,6308,6135,6479,5883,5625,5215,40136,4311,36682,421,2481,69,1710,155,38164,0.4,90496,1224,1.4,3.3,3.6,2.7,1.6,1.1,1.3,0.5,0.8,0.9,17,5.9,4.2,3.2,1.5,1.2,0.7,0.6,3.4,42.7,5,46.8,0.5,2.9,0.1,2,59.4,40.6,44.4,13.3,9.3,26.3,13.1,4.7,0.2,5.2,7.3,7.8,7.8,7.8,7.4,7.5,7.4,7.4,7.1,7.6,6.9,6.6,6.1,18.1,0.5,0.5,6532.2,896.1,371.6,150.8,1471.5,318323447.6,51090203.6,27067602.1,14182726.1,476.1,1733.3,1270.1,1719.4,1333.2,18678751.8,76447992.8,59348717.5,87390271.7,76457713.8,59.2,5443.4,1017.7,11.9,23,0,7950.7,2836.4,12258.6,14.9,26,0,32.9,59.9,738.8,5622.1,52.6,1421.4,5110.8,11.4,4848.6,368.2,229.7,286.8,10.2,553.1,235.6,1007.8,6546.3,15.4,8.2,11.9,2919.4,33694,1967,31272,1872,35165,2259,5303.9,275.2,5788.4,302.7,5589.6,319.9,6079,337.7,5318.7,300.9,5792.6,323.8,32,1.4,5204.5,299.2,13724,872,40684,2836,17.1,16.7,15.6,22.5,17.4,19.3,19.1,17.5,18,17.7,17.9,15.7,14.3,64.9,53.3,7.3,3,1.2,12,23.1,23.8,0.9,83.3,15.6,0.2,7.3,26.5,19.4,26.3,20.4,74.2,5.6,3.5,4.4,0.2,8.5,3.6,0.9,86.1,11.3,0,0.4,0.5,0.8,21.8,78.2,13.1,39233,44104,46727,50826,57347,48731,57014,72834,94049,64.8,67.5
"17",4919,882,3206,6,732,93,305,2532,1915,21,61,12,73,2146,409,81,1909,65.2,1.9,100,6.2,51.5,38.9,0.4,1.2,0.2,1.5,43.6,8.3,1.6,38.8,84654,7903,4815,51529,33125,4475,22359,5008,39257,199,3988,6654,7036,6887,6969,6199,6266,6112,6190,5943,6298,5790,5245,4878,49141,5729,27194,250,970,51,1319,42,36838,0.1,88859,1725,1.9,3.9,5.4,3.7,2.2,1,1.4,0.3,0.2,0.3,14.5,11.1,4.2,2.9,0.8,1.6,0.7,0.6,1.3,32.1,6.8,58,0.3,1.1,0.1,1.6,60.9,39.1,46.4,5.7,9.3,26.4,5.9,5.3,0.2,4.7,7.9,8.3,8.1,8.2,7.3,7.4,7.2,7.3,7,7.4,6.8,6.2,5.8,17.9,14.9,0.1,6396.5,996.9,383.3,165.3,1681.8,293554511.4,55002792.3,28202288.3,16135696.5,452.5,1758.6,1167.3,1699.5,1318.6,16964787.9,70130610.2,50088121.5,82454588.1,73916403.7,28.2,5052.7,1281.8,33.8,74.1,30.2,7941.9,2161.8,11785.6,5,12.4,4.9,19.5,123.5,968.7,5207.6,59.8,1463.3,4933.2,21,4836.3,362.2,110.1,341.3,24.3,526.1,196.2,1203.9,6425.5,18.7,7.4,12.1,3655.8,32063,1872,30527,1868,35301,2264,4245.1,233.9,6020.4,312.8,5785.8,320.8,6398.4,346.9,6416.2,346.6,6374.8,348.4,551.7,17.5,6262.5,337.1,14353,832,41757,2786,17.1,16.3,15.6,31.5,18.6,18.2,19.2,18,18.4,18.5,18.3,17.3,15,67.4,54.3,8.5,3.3,1.4,14.3,18.3,31,0.4,79,20,0.5,7.1,27.5,18.2,26.6,20.6,75.6,5.7,1.7,5.3,0.4,8.2,3.1,1.9,81.4,15.1,0.1,0.2,0.3,0.9,22.9,77.1,13.2,37491,39878,42910,48517,56056,45893,55175,73585,97628,60.9,70.9
"18",4429,587,3274,0,215,353,189,2751,1374,19,49,1,46,1163,321,180,2442,73.9,8,100,4.3,62.1,31,0.4,1.1,0,1,26.3,7.2,4.1,55.1,87848,6176,11743,44540,43308,5269,19462,11426,45702,128,3197,6921,7401,7367,7258,6765,6752,6604,6628,6330,7144,5865,5196,4292,60134,3739,21613,242,1048,85,987,240,38026,0.6,94086,1762,1.9,2.4,3.2,2.2,1.4,0.8,1.4,0.6,1.6,1,6.2,8.2,3.1,1.1,1.1,0.4,0.4,1.5,2.2,24.6,4.3,68.5,0.3,1.2,0.1,1.1,50.7,49.3,52,13.4,7,22.2,13,6,0.1,3.6,7.9,8.4,8.4,8.3,7.7,7.7,7.5,7.5,7.2,8.1,6.7,5.9,4.9,13.3,4.9,0,5854.9,983.7,333.5,141.4,1026,293623947.1,58839612.4,25309107,14455872.6,654.7,1667.1,1077.1,1425,1031,27340805,76147637.1,52708030.1,76027473.6,61400001.2,91,4544.6,1194.4,24.9,38,3,7313.5,2920.2,11259.7,9.7,27.6,3,65.2,191.1,1768.2,3746.9,52.9,1322.6,4532.3,4.5,4110.4,256.6,480.9,258,139.9,447.8,161.3,1121.5,5671.4,19.8,7.3,11.2,5398.7,33602,2154,30998,1936,35064,2253,4606.6,232.6,5411.1,259.9,5658.9,302.6,6012.5,317.4,6061.7,314.1,5975.9,310.4,74.5,3.8,5521.5,301.3,14800,884,42490,2910,15.6,16,15.6,19.9,18.3,19.8,20.8,18.7,18.9,19.3,19.3,16.7,14.6,65,52,8.7,3,1.3,9.1,25.9,47.9,1.6,77.6,20.4,0.4,11.2,28.5,18.4,24.3,17.6,70.2,4.4,8.2,4.4,2.4,7.6,2.8,3.3,64,30.2,0.1,0.5,1.1,0.9,22.6,77.4,15,41759,45678,48935,53352,59553,50150,59815,75895,102201,62.4,63.6
"19",11884,757,11008,1,67,51,286,10728,689,26,73,13,69,7664,768,1006,6108,92.6,0.4,100,2.4,90.3,5.8,0.2,0.6,0.1,0.6,64.5,6.5,8.5,51.4,178892,17398,47361,132276,46616,14506,51756,47208,98775,529,7629,11869,13006,13127,13241,13003,12872,13010,13015,12970,15473,13956,12890,12302,160700,4170,10711,362,1154,329,1466,221,86154,0.3,188160,2732,1.5,1,4.3,2.4,1.7,1.2,0.8,0.4,0.6,0.5,8.7,10.6,5.7,2.7,1.4,1.2,0.4,1.1,1.2,6,2.3,89.8,0.2,0.6,0.2,0.8,73.9,26.1,55.2,26.5,9.7,28.9,26.4,8.1,0.3,4.3,6.6,7.3,7.3,7.4,7.3,7.2,7.3,7.3,7.3,8.6,7.8,7.2,6.9,6.4,0.6,0,11114.5,2825.3,670.1,179.2,1587.5,570147624.1,167723128.8,51831213.8,16841767.4,673.1,2279.5,2674.6,3619.2,1868.1,29253324,107304258.8,132014798.9,190882339.8,110692902.6,123.6,7985.8,2947.3,57.8,0,0,14789,7716.5,24093,131.4,17,6,80,215.1,8722.1,2010.2,64.1,3217.6,7896.8,0,8240,541,1222.6,36.5,171,723.4,180.1,1284.7,11356.4,11.3,10.1,11.9,20789.9,82349,4038,74879,3732,83238,4302,9311.7,466.4,8408.5,424.4,8371,482.7,8480.8,470.9,8330.3,469.2,7283.4,396.9,27,1.5,4433.1,255.7,34605,1862,108977,6564,20.4,20.1,19.3,18,17.3,20,19.8,17.3,18,17.8,18.4,18.6,16.6,61.4,46.1,11.7,2.8,0.7,6.6,32,86.3,1.1,71.9,26.5,0.5,6.1,20.5,24.1,32.6,16.8,74.1,4.9,11,0.3,1.5,6.5,1.6,1.9,18.1,78.5,0.1,0.2,0.7,0.6,28.9,71.1,16.1,43462,47074,49359,52741,59254,51298,59365,77346,93998,64.5,59.4
"20",26639,3648,21030,3,524,1434,1708,17770,5968,72,522,57,542,13048,2200,789,14864,78.9,5.4,100,6.4,66.7,22.4,0.3,2,0.2,2,49,8.3,3,55.8,450330,43405,52518,278354,171976,29036,104078,52570,234556,1114,19489,31254,34077,34405,34382,33623,33969,33178,32913,33021,37194,33685,30644,27382,319841,27456,84113,1002,8334,686,8898,758,199660,0.4,472692,6783,1.4,1.7,4.5,2.9,2,1.1,1.1,0.6,0.8,1,6,6.9,3.3,1.5,0.8,0.9,1,1,1.4,18.7,6.1,71,0.2,1.9,0.2,2,61.8,38.2,52.1,11.7,9.6,23.1,11.7,6.4,0.2,4.3,6.9,7.6,7.6,7.6,7.5,7.5,7.4,7.3,7.3,8.3,7.5,6.8,6.1,13.7,2,0,28798,6240.7,1622.4,491.3,5450.7,1557977710.7,383135020.4,123575785.9,51012622.1,2347.9,7674,6569,7999.5,4207.6,108353399.5,385893329.7,347257546.6,450682141.6,265791293.4,188.9,20158.5,8315.8,134.8,58.5,3,37152.4,16690.4,59293.6,137.8,78.6,36.9,236.8,1322.6,12988.7,13839.4,294.9,7052.2,21745.8,81.6,21168.3,1143.2,1134.8,956,574.9,2628.3,1192.5,4509.2,28672,15.7,7.3,10.7,36510.6,203414,9996,190654,9484,211303,11043,22489.2,1097.4,28312.6,1275.2,28742.6,1427.3,29493.9,1477.2,28977.1,1453.3,29000.7,1468.9,488.9,19.2,27910.2,1435.4,84774,4128,253108,13934,20.3,20.1,19.1,25.5,19.4,20.5,22.2,20.1,20,19.9,19.7,20.5,18.2,62.7,48.6,10.5,2.7,0.8,9.2,28.1,61.6,0.7,70,28.9,0.5,8.2,26.6,22.8,27.8,14.6,73.5,4,3.9,3.3,2,9.1,4.1,4.6,48.1,45.1,0.1,0.3,0.8,1,24.5,75.5,15.6,46149,50286,52863,56339,63170,54100,61393,76169,103831,63.6,61.9
