COUNTY,REGION,GRDSPAN,PAIRCAMP,CAMPUS,DISTRICT,CAMPNAME,DISTNAME,CNTYNAME,GRDTYPE,CFLCHART,CFLALTED,PAIRNAME,CAD_PROGRESS,CAD_GAP,CAD_READ,CAD_MATH,CAD_SCIE,CAD_SOCI,CAD_POST,C_RATING
"'003","'07","'06 - 08"," ","'003905041","'003905","DIBOLL J H","DIBOLL ISD","ANGELINA","M","N","N"," ","0","0","0","0","0","0","0","C"
"'003","'07","'KG - 02","'003905103","'003905101","'003905","H G TEMPLE EL","DIBOLL ISD","ANGELINA","E","N","N","H G TEMPLE INT"," "," "," "," "," "," "," ","B"
"'003","'07","'PK - PK","'003905103","'003905102","'003905","DIBOLL PRI","DIBOLL ISD","ANGELINA","E","N","N","H G TEMPLE INT"," "," "," "," "," "," "," ","B"
"'003","'07","'03 - 05"," ","'003905103","'003905","H G TEMPLE INT","DIBOLL ISD","ANGELINA","E","N","N"," ","0","0","0","0","0"," ","1","B"
"'003","'07","'06 - 12"," ","'003906001","'003906","ZAVALLA H S","ZAVALLA ISD","ANGELINA","B","N","N"," ","0","0","1","0","0","0","0","B"
"'003","'07","'PK - 05"," ","'003906101","'003906","ZAVALLA EL","ZAVALLA ISD","ANGELINA","E","N","N"," ","0","0","0","0","0"," ","0","C"
"'003","'07","'09 - 12"," ","'003907001","'003907","CENTRAL H S","CENTRAL ISD","ANGELINA","S","N","N"," ","0","0","0","0","0","0","0","B"
"'003","'07","'09 - 12"," ","'003907004","'003907","STUBBLEFIELD LRN CTR","CENTRAL ISD","ANGELINA","S","N","Y"," "," "," "," "," "," "," "," ","Not Rated"
"'003","'07","'05 - 08"," ","'003907041","'003907","CENTRAL J H","CENTRAL ISD","ANGELINA","M","N","N"," ","0","0","0","0","1","0","1","B"
"'003","'07","'EE - 04"," ","'003907102","'003907","CENTRAL EL","CENTRAL ISD","ANGELINA","E","N","N"," ","0","0","0","0"," "," ","0","B"
"'004","'02","'09 - 12"," ","'004901001","'004901","ROCKPORT-FULTON H S","ARANSAS COUNTY ISD","ARANSAS","S","N","N"," ","0","0","0","0","0","0","0","B"
"'004","'02","'06 - 08"," ","'004901041","'004901","ROCKPORT-FULTON MIDDLE","ARANSAS COUNTY ISD","ARANSAS","M","N","N"," ","0","0","0","1","0","0","0","C"
"'004","'02","'03 - 05"," ","'004901101","'004901","FULTON LEARNING CENTER","ARANSAS COUNTY ISD","ARANSAS","E","N","N"," ","0","0","0","0","0"," ","0","Not Rated: Senate Bill 1365"
"'004","'02","'EE - 02","'004901101","'004901103","'004901","LIVE OAK LEARNING CENTER","ARANSAS COUNTY ISD","ARANSAS","E","N","N","FULTON LEARNING CENTER"," "," "," "," "," "," "," ","Not Rated: Senate Bill 1365"
"'005","'09","'07 - 12"," ","'005901001","'005901","ARCHER CITY H S","ARCHER CITY ISD","ARCHER","S","N","N"," ","0","0","1","0","1","1","1","A"
"'005","'09","'PK - 06"," ","'005901101","'005901","ARCHER CITY EL","ARCHER CITY ISD","ARCHER","E","N","N"," ","1","1","1","1","1"," ","1","A"
"'005","'09","'09 - 12"," ","'005902001","'005902","HOLLIDAY H S","HOLLIDAY ISD","ARCHER","S","N","N"," ","0","1","0","0","0","0","0","A"
"'005","'09","'06 - 08"," ","'005902041","'005902","HOLLIDAY MIDDLE","HOLLIDAY ISD","ARCHER","M","N","N"," ","0","0","0","0","0","0","0","B"
"'005","'09","'PK - 05"," ","'005902101","'005902","HOLLIDAY EL","HOLLIDAY ISD","ARCHER","E","N","N"," ","1","1","0","1","0"," ","0","A"
"'005","'09","'09 - 12"," ","'005904001","'005904","WINDTHORST H S","WINDTHORST ISD","ARCHER","S","N","N"," ","1","1","0","1","1","0","0","A"
"'005","'09","'06 - 08"," ","'005904041","'005904","WINDTHORST JH","WINDTHORST ISD","ARCHER","M","N","N"," ","0","0","0","0","0","0","1","B"
"'005","'09","'PK - 05"," ","'005904101","'005904","WINDTHORST EL","WINDTHORST ISD","ARCHER","E","N","N"," ","1","1","0","1","1"," ","1","A"
"'006","'16","'PK - 12"," ","'006902001","'006902","CLAUDE SCHOOLS","CLAUDE ISD","ARMSTRONG","B","N","N"," ","0","1","0","1","1","0","1","A"
"'007","'20","'09 - 12"," ","'007901001","'007901","CHARLOTTE H S","CHARLOTTE ISD","ATASCOSA","S","N","N"," ","1","1","0","1","0","1","0","B"
"'007","'20","'06 - 08"," ","'007901041","'007901","CHARLOTTE MIDDLE","CHARLOTTE ISD","ATASCOSA","M","N","N"," ","0","0","0","0","0","0","0","Not Rated: Senate Bill 1365"
"'007","'20","'PK - 05"," ","'007901101","'007901","CHARLOTTE EL","CHARLOTTE ISD","ATASCOSA","E","N","N"," ","1","1","0","1","0"," ","0","A"
"'007","'20","'09 - 12"," ","'007902001","'007902","JOURDANTON H S","JOURDANTON ISD","ATASCOSA","S","N","N"," ","1","0","0","0","0","0","0","B"
"'007","'20","'10 - 10"," ","'007902004","'007902","THE LARRY BROWN SCHOOL","JOURDANTON ISD","ATASCOSA","S","N","N"," "," "," "," "," "," "," "," ","Not Rated"
"'007","'20","'08 - 10"," ","'007902005","'007902","ATASCOSA COUNTY JUVENILE JUSTICE CENTER","JOURDANTON ISD","ATASCOSA","S","N","Y"," "," "," "," "," "," "," "," ","Not Rated"
"'007","'20","'06 - 12"," ","'007902006","'007902","JOURDANTON DAEP","JOURDANTON ISD","ATASCOSA","B","N","N"," "," "," "," "," "," "," "," ","Not Rated"
"'007","'20","'06 - 08"," ","'007902041","'007902","JOURDANTON J H","JOURDANTON ISD","ATASCOSA","M","N","N"," ","1","1","1","1","1","0","1","A"
"'007","'20","'02 - 05"," ","'007902101","'007902","JOURDANTON EL","JOURDANTON ISD","ATASCOSA","E","N","N"," ","0","0","0","0","0"," ","0","C"
"'007","'20","'EE - 01","'007902101","'007902102","'007902","JOURDANTON ECC","JOURDANTON ISD","ATASCOSA","E","N","N","JOURDANTON EL"," "," "," "," "," "," "," ","C"
"'007","'20","'09 - 12"," ","'007904001","'007904","LYTLE H S","LYTLE ISD","ATASCOSA","S","N","N"," ","0","0","0","0","0","0","0","B"
"'007","'20","'06 - 11"," ","'007904002","'007904","LYTLE DAEP","LYTLE ISD","ATASCOSA","B","N","N"," "," "," "," "," "," "," "," ","Not Rated"
"'007","'20","'06 - 08"," ","'007904041","'007904","LYTLE J H","LYTLE ISD","ATASCOSA","M","N","N"," ","0","0","0","0","0","0","0","C"
"'007","'20","'02 - 05"," ","'007904101","'007904","LYTLE EL","LYTLE ISD","ATASCOSA","E","N","N"," ","0","0","0","0","0"," ","0","C"
"'007","'20","'EE - 01","'007904101","'007904103","'007904","LYTLE PRIMARY SCHOOL","LYTLE ISD","ATASCOSA","E","N","N","LYTLE EL"," "," "," "," "," "," "," ","C"
"'007","'20","'09 - 12"," ","'007905001","'007905","PLEASANTON H S","PLEASANTON ISD","ATASCOSA","S","N","N"," ","1","1","1","1","0","0","1","B"
"'007","'20","'09 - 11"," ","'007905004","'007905","ATASCOSA CO ALTER","PLEASANTON ISD","ATASCOSA","S","N","N"," "," "," "," "," "," "," "," ","Not Rated"
"'007","'20","'10 - 12"," ","'007905005","'007905","PLEASANTON ISD SCHOOL OF CHOICE","PLEASANTON ISD","ATASCOSA","S","N","Y"," "," "," "," "," "," "," "," ","B"
"'007","'20","'06 - 08"," ","'007905041","'007905","PLEASANTON J H","PLEASANTON ISD","ATASCOSA","M","N","N"," ","1","1","0","0","1","0","1","B"
"'007","'20","'02 - 05"," ","'007905103","'007905","PLEASANTON EL","PLEASANTON ISD","ATASCOSA","E","N","N"," ","0","0","0","0","1"," ","0","C"
"'007","'20","'EE - 01","'007905103","'007905105","'007905","PLEASANTON PRI","PLEASANTON ISD","ATASCOSA","E","N","N","PLEASANTON EL"," "," "," "," "," "," "," ","C"
"'007","'20","'09 - 12"," ","'007906001","'007906","POTEET H S","POTEET ISD","ATASCOSA","S","N","N"," ","0","0","0","0","0","0","0","C"
"'007","'20","'06 - 08"," ","'007906041","'007906","POTEET J H","POTEET ISD","ATASCOSA","M","N","N"," ","0","0","0","0","0","0","0","C"
"'007","'20","'EE - 03"," ","'007906101","'007906","POTEET EL","POTEET ISD","ATASCOSA","E","N","N"," "," ","0","0","0"," "," ","0","Not Rated: Senate Bill 1365"
"'007","'20","'04 - 05"," ","'007906102","'007906","POTEET INT","POTEET ISD","ATASCOSA","E","N","N"," ","0","0","0","0","0"," ","0","B"
"'008","'06","'09 - 12"," ","'008901001","'008901","BELLVILLE H S","BELLVILLE ISD","AUSTIN","S","N","N"," ","0","0","1","1","1","0","0","C"
"'008","'06","'06 - 08"," ","'008901041","'008901","BELLVILLE J H","BELLVILLE ISD","AUSTIN","M","N","N"," ","0","0","0","0","0","0","0","C"
"'008","'06","'EE - 03"," ","'008901101","'008901","O'BRYANT PRI","BELLVILLE ISD","AUSTIN","E","N","N"," "," ","0","0","0"," "," ","0","Not Rated: Senate Bill 1365"
"'008","'06","'04 - 05"," ","'008901102","'008901","O'BRYANT INT","BELLVILLE ISD","AUSTIN","E","N","N"," ","0","0","0","0","0"," ","0","Not Rated: Senate Bill 1365"
"'008","'06","'KG - 05"," ","'008901105","'008901","WEST END EL","BELLVILLE ISD","AUSTIN","E","N","N"," ","0","0","0","0","0"," ","0","C"
"'008","'06","'09 - 12"," ","'008902001","'008902","SEALY H S","SEALY ISD","AUSTIN","S","N","N"," ","1","0","0","1","1","1","0","B"
"'008","'06","'06 - 08"," ","'008902041","'008902","SEALY J H","SEALY ISD","AUSTIN","M","N","N"," ","0","0","0","0","0","0","0","C"
"'008","'06","'EE - 05"," ","'008902102","'008902","SELMAN EL","SEALY ISD","AUSTIN","E","N","N"," ","0","0","0","0","0"," ","0","Not Rated: Senate Bill 1365"
"'008","'06","'EE - 05"," ","'008902104","'008902","SEALY EL","SEALY ISD","AUSTIN","E","N","N"," ","1","0","0","0","0"," ","0","B"
"'008","'06","'09 - 12"," ","'008903001","'008903","BRAZOS H S","BRAZOS ISD","AUSTIN","S","N","N"," ","0","0","0","0","0","0","0","B"
"'008","'06","'06 - 08"," ","'008903041","'008903","BRAZOS MIDDLE","BRAZOS ISD","AUSTIN","M","N","N"," ","1","1","0","0","0","1","1","A"
"'008","'06","'EE - 05"," ","'008903102","'008903","BRAZOS EL","BRAZOS ISD","AUSTIN","E","N","N"," ","0","1","0","0","1"," ","1","B"
"'009","'17","'09 - 12"," ","'009901001","'009901","MULESHOE H S","MULESHOE ISD","BAILEY","S","N","N"," ","1","1","1","1","1","0","1","A"
"'009","'17","'06 - 08"," ","'009901041","'009901","WATSON J H","MULESHOE ISD","BAILEY","M","N","N"," ","0","0","0","0","1","1","0","C"
"'009","'17","'03 - 05"," ","'009901101","'009901","MARY DESHAZO EL","MULESHOE ISD","BAILEY","E","N","N"," ","0","0","0","0","1"," ","0","C"
"'009","'17","'EE - 02","'009901101","'009901103","'009901","DILLMAN EL","MULESHOE ISD","BAILEY","E","N","N","MARY DESHAZO EL"," "," "," "," "," "," "," ","C"
"'010","'20","'PK - 12"," ","'010901001","'010901","MEDINA SCHOOL","MEDINA ISD","BANDERA","B","N","N"," ","0","0","0","1","0","0","0","C"
"'010","'20","'09 - 12"," ","'010902001","'010902","BANDERA H S","BANDERA ISD","BANDERA","S","N","N"," ","0","0","0","0","0","0","0","Not Rated: Senate Bill 1365"
"'010","'20","'06 - 08"," ","'010902041","'010902","BANDERA MIDDLE","BANDERA ISD","BANDERA","M","N","N"," ","0","0","0","0","0","0","0","C"
"'010","'20","'EE - 05"," ","'010902101","'010902","ALKEK EL","BANDERA ISD","BANDERA","E","N","N"," ","0","0","0","0","0"," ","0","Not Rated: Senate Bill 1365"
"'010","'20","'EE - 05"," ","'010902102","'010902","HILL COUNTRY EL","BANDERA ISD","BANDERA","E","N","N"," ","0","0","0","0","0"," ","0","C"
"'011","'13","'09 - 12"," ","'011901001","'011901","BASTROP H S","BASTROP ISD","BASTROP","S","N","N"," ","0","0","0","0","0","0","0","C"
"'011","'13","'09 - 12"," ","'011901002","'011901","CEDAR CREEK H S","BASTROP ISD","BASTROP","S","N","N"," ","0","0","0","0","0","0","0","C"
"'011","'13","'09 - 12"," ","'011901005","'011901","COLORADO RIVER COLLEGIATE ACADEMY","BASTROP ISD","BASTROP","S","N","N"," ","1","1","0","0","0","1","1","A"
"'011","'13","'09 - 12"," ","'011901022","'011901","GENESIS H S","BASTROP ISD","BASTROP","S","N","Y"," "," "," "," "," "," "," "," ","C"
"'011","'13","'07 - 08"," ","'011901041","'011901","BASTROP MIDDLE","BASTROP ISD","BASTROP","M","N","N"," ","0","0","0","0","0","0","0","C"
"'011","'13","'PK - 04"," ","'011901101","'011901","EMILE EL","BASTROP ISD","BASTROP","E","N","N"," ","0","0","0","0"," "," ","0","C"
"'011","'13","'EE - 04"," ","'011901102","'011901","MINA EL","BASTROP ISD","BASTROP","E","N","N"," ","0","0","0","0"," "," ","0","B"
"'011","'13","'PK - 04"," ","'011901103","'011901","CEDAR CREEK EL","BASTROP ISD","BASTROP","E","N","N"," ","0","0","0","0"," "," ","0","C"
"'011","'13","'05 - 06"," ","'011901104","'011901","BASTROP INT","BASTROP ISD","BASTROP","M","N","N"," ","0","0","0","0","0"," ","0","C"
"'011","'13","'07 - 08"," ","'011901106","'011901","CEDAR CREEK MIDDLE","BASTROP ISD","BASTROP","M","N","N"," ","0","0","0","0","0","0","0","C"
"'011","'13","'EE - 04"," ","'011901107","'011901","RED ROCK EL","BASTROP ISD","BASTROP","E","N","N"," ","1","0","0","0"," "," ","0","B"
"'011","'13","'05 - 06"," ","'011901108","'011901","CEDAR CREEK INT","BASTROP ISD","BASTROP","M","N","N"," ","0","0","0","0","0"," ","0","Not Rated: Senate Bill 1365"
"'011","'13","'PK - 04"," ","'011901109","'011901","BLUEBONNET EL","BASTROP ISD","BASTROP","E","N","N"," ","0","0","0","0"," "," ","0","Not Rated: Senate Bill 1365"
"'011","'13","'EE - 04"," ","'011901110","'011901","LOST PINES EL","BASTROP ISD","BASTROP","E","N","N"," ","0","0","0","0"," "," ","0","C"
"'011","'13","'09 - 12"," ","'011902001","'011902","ELGIN H S","ELGIN ISD","BASTROP","S","N","N"," ","0","0","0","0","1","0","0","C"
"'011","'13","'11 - 11"," ","'011902003","'011902","BASTROP COUNTY JUVENILE BOOT CAMP","ELGIN ISD","BASTROP","S","N","N"," "," "," "," "," "," "," "," ","Not Rated"
"'011","'13","'10 - 12"," ","'011902004","'011902","PHOENIX H S","ELGIN ISD","BASTROP","S","N","Y"," "," "," "," "," "," "," "," ","B"
"'011","'13","'07 - 08"," ","'011902041","'011902","ELGIN MIDDLE","ELGIN ISD","BASTROP","M","N","N"," ","0","0","0","0","0","0","0","C"
"'011","'13","'05 - 06"," ","'011902042","'011902","ELGIN INT","ELGIN ISD","BASTROP","M","N","N"," ","0","0","0","0","0"," ","0","C"
"'011","'13","'KG - 04"," ","'011902101","'011902","BOOKER T WASHINGTON EL","ELGIN ISD","BASTROP","E","N","N"," ","0","0","0","0"," "," ","0","Not Rated: Senate Bill 1365"
"'011","'13","'EE - 04"," ","'011902102","'011902","ELGIN EL","ELGIN ISD","BASTROP","E","N","N"," ","0","0","0","0"," "," ","0","Not Rated: Senate Bill 1365"
"'011","'13","'KG - 04"," ","'011902103","'011902","NEIDIG EL","ELGIN ISD","BASTROP","E","N","N"," ","0","0","0","0"," "," ","0","Not Rated: Senate Bill 1365"
"'011","'13","'09 - 12"," ","'011904002","'011904","SMITHVILLE H S","SMITHVILLE ISD","BASTROP","S","N","N"," ","0","0","0","0","0","0","0","C"
"'011","'13","'06 - 08"," ","'011904041","'011904","SMITHVILLE J H","SMITHVILLE ISD","BASTROP","M","N","N"," ","0","0","0","0","0","0","0","C"
"'011","'13","'01 - 05"," ","'011904101","'011904","SMITHVILLE EL","SMITHVILLE ISD","BASTROP","E","N","N"," ","0","0","0","0","0"," ","0","C"
"'011","'13","'EE - KG","'011904101","'011904102","'011904","BROWN PRI","SMITHVILLE ISD","BASTROP","E","N","N","SMITHVILLE EL"," "," "," "," "," "," "," ","C"
"'011","'13","'07 - 12"," ","'011905001","'011905","MCDADE H S","MCDADE ISD","BASTROP","S","N","N"," ","0","0","0","0","0","0","0","B"
"'011","'13","'PK - 06"," ","'011905101","'011905","MCDADE EL","MCDADE ISD","BASTROP","E","N","N"," ","0","0","0","0","0"," ","0","Not Rated: Senate Bill 1365"
"'012","'09","'09 - 12"," ","'012901001","'012901","SEYMOUR H S","SEYMOUR ISD","BAYLOR","S","N","N"," ","1","1","0","1","1","1","1","A"
"'012","'09","'05 - 08"," ","'012901042","'012901","SEYMOUR MIDDLE","SEYMOUR ISD","BAYLOR","M","N","N"," ","1","1","1","1","1","0","1","A"
