Region Code,TEA Region,County Code,County Name,Gender,8th Grade (FY 2006),Enrolled in 9th Grade (FY 2007),% Enrolled in 9th Grade (FY 2007),Enrolled in 10th Grade(FY 2008),% Enrolled in 10th Grade (FY 2008),Enrolled in <10th Grade (FY 2008),% Enrolled in <10th Grade (FY 2008),High School Graduate FY 2009-2011,% High School Graduate FY 2009-2011,Enrolled TX 4-year,% Enrolled TX 4-year,Enrolled TX 2-year,% Enrolled TX 2-year,Enrolled in Higher Education,% Enrolled in Higher Education,No Public HS Grad Record Enrolled in Higher Ed,% No Public HS Grad Record Enrolled in Higher Ed,Higher Ed Degree or Certificate Texas,% Higher Ed Degree or Certificate Texas
1,Edinburg,253,ZAPATA,Female,124,123,0.99,107,0.86,12,0.10,98,0.79,37,0.30,35,0.28,72,0.58,2,0.02,34,0.27
1,Edinburg,253,ZAPATA,Male,137,132,0.96,115,0.84,11,0.08,99,0.72,28,0.20,32,0.23,60,0.44,4,0.03,22,0.16
2,Corpus Christi,4,ARANSAS,Female,132,126,0.95,111,0.84,8,0.06,104,0.79,37,0.28,39,0.30,76,0.58,3,0.02,28,0.21
2,Corpus Christi,4,ARANSAS,Male,164,149,0.91,131,0.80,12,0.07,111,0.68,31,0.19,49,0.30,80,0.49,5,0.03,25,0.15
2,Corpus Christi,13,BEE,Female,199,187,0.94,163,0.82,23,0.12,153,0.77,32,0.16,90,0.45,122,0.61,11,0.06,46,0.23
2,Corpus Christi,13,BEE,Male,212,202,0.95,154,0.73,42,0.20,160,0.75,13,0.06,98,0.46,111,0.52,6,0.03,34,0.16
2,Corpus Christi,24,BROOKS,Female,78,76,0.97,56,0.72,17,0.22,49,0.63,10,0.13,26,0.33,36,0.46,3,0.04,12,0.15
2,Corpus Christi,24,BROOKS,Male,66,65,0.98,56,0.85,8,0.12,50,0.76,16,0.24,15,0.23,31,0.47,2,0.03,7,0.11
2,Corpus Christi,66,DUVAL,Female,112,108,0.96,98,0.88,7,0.06,88,0.79,28,0.25,38,0.34,66,0.59,3,0.03,26,0.23
2,Corpus Christi,66,DUVAL,Male,96,89,0.93,77,0.80,8,0.08,67,0.70,14,0.15,26,0.27,40,0.42,2,0.02,13,0.14
2,Corpus Christi,125,JIM WELLS,Female,326,311,0.95,246,0.75,67,0.21,220,0.67,73,0.22,108,0.33,181,0.56,19,0.06,58,0.18
2,Corpus Christi,125,JIM WELLS,Male,347,338,0.97,278,0.80,56,0.16,254,0.73,79,0.23,89,0.26,168,0.48,4,0.01,43,0.12
2,Corpus Christi,137,KLEBERG,Female,207,190,0.92,156,0.75,36,0.17,148,0.72,65,0.31,58,0.28,123,0.59,7,0.03,57,0.28
2,Corpus Christi,137,KLEBERG,Male,226,215,0.95,144,0.64,61,0.27,158,0.70,74,0.33,39,0.17,113,0.50,10,0.04,30,0.13
2,Corpus Christi,149,LIVE OAK,Female,76,75,0.99,69,0.91,3,0.04,60,0.79,19,0.25,29,0.38,48,0.63,4,0.05,19,0.25
2,Corpus Christi,149,LIVE OAK,Male,79,76,0.96,70,0.89,3,0.04,62,0.78,12,0.15,26,0.33,38,0.48,1,0.01,12,0.15
2,Corpus Christi,162,MCMULLEN,Female,9,9,1.00,9,1.00,0,0.00,8,0.89,3,0.33,2,0.22,5,0.56,0,0.00,5,0.56
2,Corpus Christi,162,MCMULLEN,Male,8,8,1.00,8,1.00,0,0.00,8,1.00,4,0.50,4,0.50,8,1.00,0,0.00,3,0.38
2,Corpus Christi,178,NUECES,Female,2284,2131,0.93,1806,0.79,273,0.12,1623,0.71,514,0.23,797,0.35,1311,0.57,120,0.05,482,0.21
2,Corpus Christi,178,NUECES,Male,2359,2144,0.91,1759,0.75,358,0.15,1664,0.71,445,0.19,681,0.29,1126,0.48,92,0.04,318,0.13
2,Corpus Christi,205,SAN PATRICIO,Female,581,534,0.92,463,0.80,53,0.09,427,0.73,132,0.23,173,0.30,305,0.53,15,0.03,115,0.20
2,Corpus Christi,205,SAN PATRICIO,Male,620,570,0.92,476,0.77,88,0.14,462,0.75,124,0.20,142,0.23,266,0.43,15,0.02,78,0.13
3,Victoria,29,CALHOUN,Female,162,158,0.98,148,0.91,6,0.04,138,0.85,30,0.19,66,0.41,96,0.59,5,0.03,42,0.26
3,Victoria,29,CALHOUN,Male,180,169,0.94,148,0.82,17,0.09,136,0.76,14,0.08,60,0.33,74,0.41,1,0.01,22,0.12
3,Victoria,45,COLORADO,Female,134,123,0.92,113,0.84,11,0.08,106,0.79,28,0.21,54,0.40,82,0.61,2,0.01,54,0.40
3,Victoria,45,COLORADO,Male,152,148,0.97,127,0.84,15,0.10,125,0.82,17,0.11,55,0.36,72,0.47,2,0.01,30,0.20
3,Victoria,62,DE WITT,Female,163,162,0.99,135,0.83,15,0.09,129,0.79,41,0.25,59,0.36,100,0.61,8,0.05,46,0.28
3,Victoria,62,DE WITT,Male,186,179,0.96,138,0.74,27,0.15,128,0.69,31,0.17,52,0.28,83,0.45,5,0.03,39,0.21
3,Victoria,88,GOLIAD,Female,52,50,0.96,47,0.90,2,0.04,44,0.85,13,0.25,24,0.46,37,0.71,1,0.02,19,0.37
3,Victoria,88,GOLIAD,Male,63,61,0.97,54,0.86,8,0.13,53,0.84,10,0.16,20,0.32,30,0.48,2,0.03,12,0.19
3,Victoria,120,JACKSON,Female,127,121,0.95,113,0.89,3,0.02,100,0.79,26,0.20,51,0.40,77,0.61,4,0.03,40,0.32
3,Victoria,120,JACKSON,Male,123,120,0.98,109,0.89,3,0.02,99,0.80,20,0.16,43,0.35,63,0.51,1,0.01,23,0.19
3,Victoria,128,KARNES,Female,74,72,0.97,66,0.89,4,0.05,56,0.76,12,0.16,30,0.41,42,0.57,1,0.01,17,0.23
3,Victoria,128,KARNES,Male,86,85,0.99,76,0.88,9,0.10,70,0.81,14,0.16,27,0.31,41,0.48,2,0.02,16,0.19
3,Victoria,143,LAVACA,Female,80,77,0.96,73,0.91,4,0.05,65,0.81,23,0.29,34,0.43,57,0.71,7,0.09,38,0.48
3,Victoria,143,LAVACA,Male,85,79,0.93,77,0.91,2,0.02,69,0.81,18,0.21,34,0.40,52,0.61,7,0.08,29,0.34
3,Victoria,158,MATAGORDA,Female,285,272,0.95,245,0.86,16,0.06,225,0.79,53,0.19,107,0.38,160,0.56,1,0.00,86,0.30
3,Victoria,158,MATAGORDA,Male,299,284,0.95,251,0.84,28,0.09,238,0.80,41,0.14,108,0.36,149,0.50,5,0.02,65,0.22
3,Victoria,196,REFUGIO,Female,42,38,0.90,38,0.90,2,0.05,36,0.86,6,0.14,22,0.52,28,0.67,2,0.05,10,0.24
3,Victoria,196,REFUGIO,Male,76,74,0.97,69,0.91,4,0.05,65,0.86,7,0.09,34,0.45,41,0.54,1,0.01,16,0.21
3,Victoria,235,VICTORIA,Female,520,478,0.92,409,0.79,51,0.10,344,0.66,50,0.10,212,0.41,262,0.50,27,0.05,87,0.17
3,Victoria,235,VICTORIA,Male,576,522,0.91,409,0.71,99,0.17,354,0.61,49,0.09,183,0.32,232,0.40,29,0.05,72,0.13
3,Victoria,241,WHARTON,Female,268,259,0.97,248,0.93,8,0.03,226,0.84,34,0.13,137,0.51,171,0.64,6,0.02,89,0.33
3,Victoria,241,WHARTON,Male,335,320,0.96,280,0.84,32,0.10,259,0.77,36,0.11,151,0.45,187,0.56,6,0.02,77,0.23
4,Houston,20,BRAZORIA,Female,2002,1914,0.96,1718,0.86,148,0.07,1576,0.79,399,0.20,861,0.43,1260,0.63,91,0.05,577,0.29
4,Houston,20,BRAZORIA,Male,2144,2033,0.95,1764,0.82,238,0.11,1666,0.78,376,0.18,834,0.39,1210,0.56,72,0.03,502,0.23
4,Houston,36,CHAMBERS,Female,244,229,0.94,223,0.91,6,0.02,207,0.85,56,0.23,123,0.50,179,0.73,6,0.02,88,0.36
4,Houston,36,CHAMBERS,Male,264,244,0.92,218,0.83,20,0.08,209,0.79,61,0.23,97,0.37,158,0.60,8,0.03,68,0.26
4,Houston,79,FORT BEND,Female,3457,3250,0.94,2904,0.84,322,0.09,2786,0.81,1228,0.36,1126,0.33,2354,0.68,157,0.05,1267,0.37
4,Houston,79,FORT BEND,Male,3696,3437,0.93,2943,0.80,502,0.14,2853,0.77,1098,0.30,1218,0.33,2316,0.63,204,0.06,989,0.27
4,Houston,84,GALVESTON,Female,2796,2639,0.94,2295,0.82,271,0.10,2186,0.78,692,0.25,1194,0.43,1886,0.67,157,0.06,981,0.35
4,Houston,84,GALVESTON,Male,2913,2706,0.93,2309,0.79,334,0.11,2236,0.77,659,0.23,1175,0.40,1834,0.63,153,0.05,749,0.26
4,Houston,101,HARRIS,Female,26613,24534,0.92,20769,0.78,3234,0.12,19588,0.74,5677,0.21,9351,0.35,15028,0.56,1334,0.05,6183,0.23
4,Houston,101,HARRIS,Male,28174,25776,0.91,20345,0.72,4865,0.17,19340,0.69,4791,0.17,8795,0.31,13586,0.48,1244,0.04,4443,0.16
4,Houston,146,LIBERTY,Female,569,528,0.93,462,0.81,58,0.10,436,0.77,97,0.17,207,0.36,304,0.53,19,0.03,110,0.19
4,Houston,146,LIBERTY,Male,599,519,0.87,425,0.71,97,0.16,412,0.69,64,0.11,155,0.26,219,0.37,13,0.02,60,0.10
4,Houston,237,WALLER,Female,301,290,0.96,244,0.81,39,0.13,231,0.77,67,0.22,107,0.36,174,0.58,9,0.03,63,0.21
4,Houston,237,WALLER,Male,331,319,0.96,246,0.74,66,0.20,244,0.74,46,0.14,93,0.28,139,0.42,7,0.02,27,0.08
5,Beaumont,84,GALVESTON,Female,8,8,1.00,7,0.88,1,0.13,6,0.75,2,0.25,5,0.63,7,0.88,1,0.13,1,0.13
5,Beaumont,84,GALVESTON,Male,15,12,0.80,12,0.80,0,0.00,11,0.73,4,0.27,2,0.13,6,0.40,0,0.00,2,0.13
5,Beaumont,100,HARDIN,Female,416,397,0.95,364,0.88,19,0.05,328,0.79,140,0.34,102,0.25,242,0.58,12,0.03,125,0.30
5,Beaumont,100,HARDIN,Male,393,364,0.93,314,0.80,45,0.11,299,0.76,112,0.29,89,0.23,201,0.51,13,0.03,67,0.17
5,Beaumont,121,JASPER,Female,248,236,0.95,214,0.86,9,0.04,182,0.73,62,0.25,75,0.30,137,0.55,10,0.04,51,0.21
5,Beaumont,121,JASPER,Male,244,236,0.97,218,0.89,13,0.05,187,0.77,50,0.20,73,0.30,123,0.50,7,0.03,40,0.16
5,Beaumont,123,JEFFERSON,Female,1537,1451,0.94,1284,0.84,132,0.09,1163,0.76,488,0.32,479,0.31,967,0.63,85,0.06,408,0.27
5,Beaumont,123,JEFFERSON,Male,1570,1477,0.94,1244,0.79,183,0.12,1090,0.69,372,0.24,396,0.25,768,0.49,64,0.04,275,0.18
5,Beaumont,176,NEWTON,Female,85,80,0.94,70,0.82,6,0.07,58,0.68,17,0.20,24,0.28,41,0.48,3,0.04,16,0.19
5,Beaumont,176,NEWTON,Male,97,88,0.91,67,0.69,22,0.23,67,0.69,11,0.11,24,0.25,35,0.36,5,0.05,9,0.09
5,Beaumont,181,ORANGE,Female,573,533,0.93,477,0.83,39,0.07,439,0.77,97,0.17,260,0.45,357,0.62,31,0.05,129,0.23
5,Beaumont,181,ORANGE,Male,653,591,0.91,516,0.79,69,0.11,471,0.72,99,0.15,217,0.33,316,0.48,21,0.03,108,0.17
5,Beaumont,229,TYLER,Female,143,139,0.97,121,0.85,14,0.10,111,0.78,24,0.17,41,0.29,65,0.45,1,0.01,20,0.14
5,Beaumont,229,TYLER,Male,158,149,0.94,131,0.83,20,0.13,122,0.77,20,0.13,47,0.30,67,0.42,2,0.01,23,0.15
6,Huntsville,8,AUSTIN,Female,192,184,0.96,165,0.86,15,0.08,162,0.84,44,0.23,80,0.42,124,0.65,7,0.04,61,0.32
6,Huntsville,8,AUSTIN,Male,232,221,0.95,187,0.81,33,0.14,188,0.81,37,0.16,77,0.33,114,0.49,2,0.01,48,0.21
6,Huntsville,21,BRAZOS,Female,843,798,0.95,706,0.84,73,0.09,641,0.76,171,0.20,319,0.38,490,0.58,31,0.04,206,0.24
6,Huntsville,21,BRAZOS,Male,915,832,0.91,679,0.74,126,0.14,633,0.69,147,0.16,290,0.32,437,0.48,27,0.03,155,0.17
6,Huntsville,26,BURLESON,Female,119,116,0.97,104,0.87,7,0.06,101,0.85,14,0.12,60,0.50,74,0.62,0,0.00,33,0.28
6,Huntsville,26,BURLESON,Male,114,110,0.96,88,0.77,21,0.18,88,0.77,13,0.11,37,0.32,50,0.44,4,0.04,15,0.13
6,Huntsville,93,GRIMES,Female,191,182,0.95,169,0.88,9,0.05,137,0.72,34,0.18,54,0.28,88,0.46,6,0.03,34,0.18
6,Huntsville,93,GRIMES,Male,164,158,0.96,143,0.87,9,0.05,121,0.74,19,0.12,49,0.30,68,0.41,2,0.01,23,0.14
6,Huntsville,113,HOUSTON,Female,135,129,0.96,111,0.82,15,0.11,112,0.83,27,0.20,55,0.41,82,0.61,4,0.03,42,0.31
6,Huntsville,113,HOUSTON,Male,150,139,0.93,131,0.87,13,0.09,124,0.83,26,0.17,50,0.33,76,0.51,1,0.01,29,0.19
6,Huntsville,145,LEON,Female,128,124,0.97,115,0.90,4,0.03,100,0.78,21,0.16,56,0.44,77,0.60,3,0.02,33,0.26
6,Huntsville,145,LEON,Male,127,124,0.98,119,0.94,5,0.04,108,0.85,19,0.15,50,0.39,69,0.54,7,0.06,20,0.16
6,Huntsville,154,MADISON,Female,93,90,0.97,86,0.92,3,0.03,77,0.83,27,0.29,25,0.27,52,0.56,1,0.01,25,0.27
6,Huntsville,154,MADISON,Male,107,99,0.93,97,0.91,2,0.02,89,0.83,18,0.17,24,0.22,42,0.39,1,0.01,11,0.10
6,Huntsville,166,MILAM,Female,174,163,0.94,143,0.82,20,0.11,133,0.76,39,0.22,63,0.36,102,0.59,6,0.03,43,0.25
6,Huntsville,166,MILAM,Male,169,160,0.95,142,0.84,15,0.09,131,0.78,28,0.17,50,0.30,78,0.46,3,0.02,32,0.19
6,Huntsville,170,MONTGOMERY,Female,2848,2665,0.94,2342,0.82,240,0.08,2212,0.78,632,0.22,1060,0.37,1692,0.59,104,0.04,767,0.27
6,Huntsville,170,MONTGOMERY,Male,2998,2775,0.93,2265,0.76,451,0.15,2203,0.73,534,0.18,964,0.32,1498,0.50,92,0.03,548,0.18
6,Huntsville,187,POLK,Female,274,260,0.95,220,0.80,20,0.07,180,0.66,32,0.12,91,0.33,123,0.45,12,0.04,33,0.12
6,Huntsville,187,POLK,Male,296,267,0.90,233,0.79,35,0.12,206,0.70,45,0.15,90,0.30,135,0.46,13,0.04,49,0.17
6,Huntsville,198,ROBERTSON,Female,132,125,0.95,113,0.86,5,0.04,100,0.76,19,0.14,58,0.44,77,0.58,4,0.03,33,0.25
6,Huntsville,198,ROBERTSON,Male,121,112,0.93,105,0.87,10,0.08,97,0.80,17,0.14,46,0.38,63,0.52,1,0.01,15,0.12
6,Huntsville,204,SAN JACINTO,Female,134,120,0.90,106,0.79,10,0.07,89,0.66,23,0.17,42,0.31,65,0.49,6,0.04,25,0.19
6,Huntsville,204,SAN JACINTO,Male,148,136,0.92,113,0.76,15,0.10,99,0.67,17,0.11,26,0.18,43,0.29,0,0.00,16,0.11
6,Huntsville,228,TRINITY,Female,81,76,0.94,72,0.89,3,0.04,58,0.72,12,0.15,31,0.38,43,0.53,3,0.04,15,0.19
6,Huntsville,228,TRINITY,Male,81,80,0.99,71,0.88,6,0.07,53,0.65,9,0.11,25,0.31,34,0.42,3,0.04,13,0.16
6,Huntsville,236,WALKER,Female,292,279,0.96,239,0.82,34,0.12,220,0.75,84,0.29,79,0.27,163,0.56,6,0.02,60,0.21
6,Huntsville,236,WALKER,Male,313,306,0.98,250,0.80,47,0.15,240,0.77,88,0.28,76,0.24,164,0.52,5,0.02,54,0.17
6,Huntsville,239,WASHINGTON,Female,188,183,0.97,160,0.85,17,0.09,148,0.79,32,0.17,79,0.42,111,0.59,3,0.02,56,0.30
6,Huntsville,239,WASHINGTON,Male,206,200,0.97,174,0.84,16,0.08,147,0.71,25,0.12,76,0.37,101,0.49,4,0.02,47,0.23
7,Kilgore,1,ANDERSON,Female,302,288,0.95,264,0.87,21,0.07,241,0.80,40,0.13,140,0.46,180,0.60,13,0.04,74,0.25
7,Kilgore,1,ANDERSON,Male,356,332,0.93,296,0.83,37,0.10,280,0.79,38,0.11,119,0.33,157,0.44,8,0.02,66,0.19
7,Kilgore,3,ANGELINA,Female,594,573,0.96,514,0.87,40,0.07,478,0.80,88,0.15,286,0.48,374,0.63,24,0.04,152,0.26
7,Kilgore,3,ANGELINA,Male,596,567,0.95,498,0.84,59,0.10,479,0.80,78,0.13,218,0.37,296,0.50,10,0.02,90,0.15
7,Kilgore,37,CHEROKEE,Female,291,275,0.95,249,0.86,13,0.04,207,0.71,37,0.13,123,0.42,160,0.55,15,0.05,67,0.23
7,Kilgore,37,CHEROKEE,Male,329,302,0.92,262,0.80,30,0.09,232,0.71,33,0.10,102,0.31,135,0.41,7,0.02,45,0.14
7,Kilgore,92,GREGG,Female,852,800,0.94,712,0.84,61,0.07,663,0.78,148,0.17,369,0.43,517,0.61,25,0.03,214,0.25
7,Kilgore,92,GREGG,Male,885,831,0.94,720,0.81,82,0.09,659,0.74,102,0.12,340,0.38,442,0.50,27,0.03,162,0.18
7,Kilgore,102,HARRISON,Female,456,430,0.94,393,0.86,25,0.05,359,0.79,92,0.20,180,0.39,272,0.60,12,0.03,120,0.26
7,Kilgore,102,HARRISON,Male,502,471,0.94,410,0.82,53,0.11,377,0.75,67,0.13,177,0.35,244,0.49,9,0.02,90,0.18
7,Kilgore,107,HENDERSON,Female,369,337,0.91,297,0.80,31,0.08,267,0.72,33,0.09,182,0.49,215,0.58,17,0.05,90,0.24
7,Kilgore,107,HENDERSON,Male,418,402,0.96,363,0.87,31,0.07,316,0.76,49,0.12,149,0.36,198,0.47,18,0.04,77,0.18
7,Kilgore,174,NACOGDOCHES,Female,413,402,0.97,352,0.85,30,0.07,319,0.77,96,0.23,141,0.34,237,0.57,15,0.04,96,0.23
7,Kilgore,174,NACOGDOCHES,Male,393,375,0.95,304,0.77,48,0.12,267,0.68,74,0.19,105,0.27,179,0.46,14,0.04,67,0.17
7,Kilgore,183,PANOLA,Female,158,152,0.96,134,0.85,15,0.09,115,0.73,18,0.11,76,0.48,94,0.59,7,0.04,41,0.26
7,Kilgore,183,PANOLA,Male,130,120,0.92,97,0.75,17,0.13,93,0.72,13,0.10,50,0.38,63,0.48,3,0.02,30,0.23
7,Kilgore,190,RAINS,Female,49,48,0.98,47,0.96,2,0.04,43,0.88,20,0.41,18,0.37,38,0.78,3,0.06,20,0.41
7,Kilgore,190,RAINS,Male,53,50,0.94,48,0.91,4,0.08,46,0.87,13,0.25,17,0.32,30,0.57,0,0.00,11,0.21
7,Kilgore,201,RUSK,Female,266,254,0.95,225,0.85,20,0.08,206,0.77,36,0.14,117,0.44,153,0.58,5,0.02,64,0.24
7,Kilgore,201,RUSK,Male,296,280,0.95,240,0.81,30,0.10,229,0.77,33,0.11,107,0.36,140,0.47,4,0.01,55,0.19
7,Kilgore,202,SABINE,Female,60,52,0.87,43,0.72,10,0.17,42,0.70,16,0.27,18,0.30,34,0.57,1,0.02,20,0.33
7,Kilgore,202,SABINE,Male,65,61,0.94,54,0.83,4,0.06,54,0.83,8,0.12,17,0.26,25,0.38,0,0.00,7,0.11
7,Kilgore,203,SAN AUGUSTINE,Female,46,43,0.93,40,0.87,2,0.04,30,0.65,8,0.17,15,0.33,23,0.50,1,0.02,8,0.17
7,Kilgore,203,SAN AUGUSTINE,Male,57,52,0.91,38,0.67,15,0.26,42,0.74,4,0.07,18,0.32,22,0.39,2,0.04,12,0.21
7,Kilgore,210,SHELBY,Female,186,174,0.94,157,0.84,9,0.05,138,0.74,22,0.12,96,0.52,118,0.63,12,0.06,46,0.25
7,Kilgore,210,SHELBY,Male,190,180,0.95,160,0.84,17,0.09,140,0.74,21,0.11,61,0.32,82,0.43,5,0.03,24,0.13
7,Kilgore,212,SMITH,Female,1168,1107,0.95,950,0.81,129,0.11,903,0.77,170,0.15,568,0.49,738,0.63,50,0.04,291,0.25
7,Kilgore,212,SMITH,Male,1275,1177,0.92,920,0.72,223,0.17,901,0.71,159,0.12,501,0.39,660,0.52,55,0.04,236,0.19
7,Kilgore,230,UPSHUR,Female,244,229,0.94,203,0.83,12,0.05,174,0.71,33,0.14,97,0.40,130,0.53,9,0.04,45,0.18
7,Kilgore,230,UPSHUR,Male,295,281,0.95,250,0.85,23,0.08,240,0.81,49,0.17,115,0.39,164,0.56,12,0.04,56,0.19
7,Kilgore,234,VAN ZANDT,Female,187,177,0.95,164,0.88,6,0.03,136,0.73,26,0.14,84,0.45,110,0.59,10,0.05,43,0.23
7,Kilgore,234,VAN ZANDT,Male,226,211,0.93,188,0.83,15,0.07,183,0.81,28,0.12,90,0.40,118,0.52,6,0.03,49,0.22
7,Kilgore,250,WOOD,Female,232,222,0.96,199,0.86,10,0.04,179,0.77,40,0.17,87,0.38,127,0.55,5,0.02,55,0.24
7,Kilgore,250,WOOD,Male,252,235,0.93,208,0.83,19,0.08,192,0.76,38,0.15,86,0.34,124,0.49,8,0.03,50,0.20
8,Mt. Pleasant,19,BOWIE,Female,620,574,0.93,530,0.85,22,0.04,463,0.75,92,0.15,264,0.43,356,0.57,30,0.05,124,0.20
8,Mt. Pleasant,19,BOWIE,Male,733,669,0.91,620,0.85,27,0.04,543,0.74,89,0.12,270,0.37,359,0.49,26,0.04,117,0.16
8,Mt. Pleasant,32,CAMP,Female,94,92,0.98,87,0.93,3,0.03,77,0.82,4,0.04,60,0.64,64,0.68,7,0.07,22,0.23
8,Mt. Pleasant,32,CAMP,Male,90,89,0.99,73,0.81,10,0.11,66,0.73,2,0.02,41,0.46,43,0.48,2,0.02,10,0.11
8,Mt. Pleasant,34,CASS,Female,212,197,0.93,187,0.88,5,0.02,168,0.79,31,0.15,107,0.50,138,0.65,8,0.04,46,0.22
8,Mt. Pleasant,34,CASS,Male,223,205,0.92,188,0.84,13,0.06,169,0.76,20,0.09,74,0.33,94,0.42,5,0.02,30,0.13
8,Mt. Pleasant,60,DELTA,Female,32,32,1.00,32,1.00,0,0.00,28,0.88,12,0.38,11,0.34,23,0.72,0,0.00,11,0.34
8,Mt. Pleasant,60,DELTA,Male,47,47,1.00,44,0.94,1,0.02,40,0.85,6,0.13,19,0.40,25,0.53,0,0.00,10,0.21
8,Mt. Pleasant,80,FRANKLIN,Female,45,44,0.98,41,0.91,1,0.02,39,0.87,9,0.20,22,0.49,31,0.69,2,0.04,13,0.29
8,Mt. Pleasant,80,FRANKLIN,Male,64,60,0.94,55,0.86,4,0.06,51,0.80,8,0.13,28,0.44,36,0.56,1,0.02,19,0.30
8,Mt. Pleasant,112,HOPKINS,Female,235,225,0.96,201,0.86,14,0.06,187,0.80,37,0.16,105,0.45,142,0.60,12,0.05,66,0.28
8,Mt. Pleasant,112,HOPKINS,Male,267,253,0.95,229,0.86,20,0.07,220,0.82,47,0.18,86,0.32,133,0.50,5,0.02,48,0.18
8,Mt. Pleasant,139,LAMAR,Female,317,304,0.96,260,0.82,28,0.09,235,0.74,42,0.13,154,0.49,196,0.62,25,0.08,83,0.26
8,Mt. Pleasant,139,LAMAR,Male,407,377,0.93,340,0.84,25,0.06,292,0.72,35,0.09,194,0.48,229,0.56,26,0.06,91,0.22
8,Mt. Pleasant,155,MARION,Female,57,51,0.89,38,0.67,9,0.16,35,0.61,6,0.11,22,0.39,28,0.49,2,0.04,9,0.16
8,Mt. Pleasant,155,MARION,Male,51,48,0.94,27,0.53,18,0.35,34,0.67,9,0.18,14,0.27,23,0.45,1,0.02,8,0.16
8,Mt. Pleasant,172,MORRIS,Female,92,89,0.97,82,0.89,4,0.04,67,0.73,17,0.18,42,0.46,59,0.64,7,0.08,19,0.21
8,Mt. Pleasant,172,MORRIS,Male,121,107,0.88,96,0.79,15,0.12,90,0.74,10,0.08,54,0.45,64,0.53,7,0.06,17,0.14
8,Mt. Pleasant,194,RED RIVER,Female,106,103,0.97,97,0.92,3,0.03,83,0.78,7,0.07,60,0.57,67,0.63,4,0.04,18,0.17
8,Mt. Pleasant,194,RED RIVER,Male,103,100,0.97,92,0.89,3,0.03,81,0.79,12,0.12,37,0.36,49,0.48,3,0.03,13,0.13
8,Mt. Pleasant,225,TITUS,Female,207,192,0.93,174,0.84,9,0.04,159,0.77,12,0.06,122,0.59,134,0.65,12,0.06,57,0.28
8,Mt. Pleasant,225,TITUS,Male,241,222,0.92,188,0.78,30,0.12,187,0.78,12,0.05,95,0.39,107,0.44,5,0.02,31,0.13
9,Wichita Falls,5,ARCHER,Female,64,63,0.98,60,0.94,0,0.00,52,0.81,24,0.38,19,0.30,43,0.67,2,0.03,22,0.34
9,Wichita Falls,5,ARCHER,Male,85,82,0.96,77,0.91,2,0.02,69,0.81,30,0.35,18,0.21,48,0.56,4,0.05,21,0.25
9,Wichita Falls,12,BAYLOR,Female,43,42,0.98,39,0.91,1,0.02,37,0.86,18,0.42,15,0.35,33,0.77,1,0.02,16,0.37
