Region Code,TEA Region,County Code,County Name,Economic Status,8th Grade (FY 2006),Enrolled in 9th Grade (FY 2007),% Enrolled in 9th Grade (FY 2007),Enrolled in 10th Grade(FY 2008),% Enrolled in 10th Grade (FY 2008),Enrolled in <10th Grade (FY 2008),% Enrolled in <10th Grade (FY 2008),High School Graduate FY 2009-2011,% High School Graduate FY 2009-2011,Enrolled TX 4-year,% Enrolled TX 4-year,Enrolled TX 2-year,% Enrolled TX 2-year,Enrolled in Higher Education,% Enrolled in Higher Education,No Public HS Grad Record Enrolled in Higher Ed,% No Public HS Grad Record Enrolled in Higher Ed,Higher Ed Degree or Certificate Texas,% Higher Ed Degree or Certificate Texas
4,Houston,146,LIBERTY,Not Economically Disadvantaged,636,584,0.92,509.00,0.80,65.00,0.10,496.00,0.78,119.00,0.19,235.00,0.37,354.00,0.56,26.00,0.04,130.00,0.20
4,Houston,146,LIBERTY,Economically Disadvantaged,532,463,0.87,378.00,0.71,90.00,0.17,352.00,0.66,42.00,0.08,127.00,0.24,169.00,0.32,6.00,0.01,40.00,0.08
4,Houston,237,WALLER,Not Economically Disadvantaged,306,300,0.98,258.00,0.84,40.00,0.13,251.00,0.82,69.00,0.23,115.00,0.38,184.00,0.60,10.00,0.03,62.00,0.20
4,Houston,237,WALLER,Economically Disadvantaged,326,309,0.95,232.00,0.71,65.00,0.20,224.00,0.69,44.00,0.14,85.00,0.26,129.00,0.40,6.00,0.02,28.00,0.09
5,Beaumont,84,GALVESTON,Not Economically Disadvantaged,13,12,0.92,13.00,1.00,0.00,0.00,12.00,0.92,4.00,0.31,4.00,0.31,8.00,0.62,0.00,0.00,3.00,0.23
5,Beaumont,84,GALVESTON,Economically Disadvantaged,10,8,0.80,6.00,0.60,1.00,0.10,5.00,0.50,2.00,0.20,3.00,0.30,5.00,0.50,1.00,0.10,0.00,0.00
5,Beaumont,100,HARDIN,Not Economically Disadvantaged,534,507,0.95,474.00,0.89,24.00,0.04,445.00,0.83,202.00,0.38,133.00,0.25,335.00,0.63,14.00,0.03,155.00,0.29
5,Beaumont,100,HARDIN,Economically Disadvantaged,275,254,0.92,204.00,0.74,40.00,0.15,182.00,0.66,50.00,0.18,58.00,0.21,108.00,0.39,11.00,0.04,37.00,0.13
5,Beaumont,121,JASPER,Not Economically Disadvantaged,215,207,0.96,195.00,0.91,7.00,0.03,178.00,0.83,54.00,0.25,72.00,0.33,126.00,0.59,5.00,0.02,54.00,0.25
5,Beaumont,121,JASPER,Economically Disadvantaged,277,265,0.96,237.00,0.86,15.00,0.05,191.00,0.69,58.00,0.21,76.00,0.27,134.00,0.48,12.00,0.04,37.00,0.13
5,Beaumont,123,JEFFERSON,Not Economically Disadvantaged,1344,1277,0.95,1150.00,0.86,107.00,0.08,1067.00,0.79,553.00,0.41,383.00,0.29,936.00,0.70,82.00,0.06,465.00,0.35
5,Beaumont,123,JEFFERSON,Economically Disadvantaged,1763,1651,0.94,1378.00,0.78,208.00,0.12,1186.00,0.67,307.00,0.17,492.00,0.28,799.00,0.45,67.00,0.04,218.00,0.12
5,Beaumont,176,NEWTON,Not Economically Disadvantaged,70,63,0.90,51.00,0.73,11.00,0.16,46.00,0.66,16.00,0.23,21.00,0.30,37.00,0.53,6.00,0.09,16.00,0.23
5,Beaumont,176,NEWTON,Economically Disadvantaged,112,105,0.94,86.00,0.77,17.00,0.15,79.00,0.71,12.00,0.11,27.00,0.24,39.00,0.35,2.00,0.02,9.00,0.08
5,Beaumont,181,ORANGE,Not Economically Disadvantaged,735,682,0.93,621.00,0.84,50.00,0.07,572.00,0.78,144.00,0.20,321.00,0.44,465.00,0.63,35.00,0.05,192.00,0.26
5,Beaumont,181,ORANGE,Economically Disadvantaged,491,442,0.90,372.00,0.76,58.00,0.12,338.00,0.69,52.00,0.11,156.00,0.32,208.00,0.42,17.00,0.03,45.00,0.09
5,Beaumont,229,TYLER,Not Economically Disadvantaged,130,127,0.98,117.00,0.90,10.00,0.08,105.00,0.81,23.00,0.18,46.00,0.35,69.00,0.53,1.00,0.01,27.00,0.21
5,Beaumont,229,TYLER,Economically Disadvantaged,171,161,0.94,135.00,0.79,24.00,0.14,128.00,0.75,21.00,0.12,42.00,0.25,63.00,0.37,2.00,0.01,16.00,0.09
6,Huntsville,8,AUSTIN,Not Economically Disadvantaged,248,240,0.97,224.00,0.90,9.00,0.04,216.00,0.87,63.00,0.25,108.00,0.44,171.00,0.69,8.00,0.03,94.00,0.38
6,Huntsville,8,AUSTIN,Economically Disadvantaged,176,165,0.94,128.00,0.73,39.00,0.22,134.00,0.76,18.00,0.10,49.00,0.28,67.00,0.38,1.00,0.01,15.00,0.09
6,Huntsville,21,BRAZOS,Not Economically Disadvantaged,894,838,0.94,775.00,0.87,45.00,0.05,762.00,0.85,257.00,0.29,377.00,0.42,634.00,0.71,27.00,0.03,304.00,0.34
6,Huntsville,21,BRAZOS,Economically Disadvantaged,864,792,0.92,610.00,0.71,154.00,0.18,512.00,0.59,61.00,0.07,232.00,0.27,293.00,0.34,31.00,0.04,57.00,0.07
6,Huntsville,26,BURLESON,Not Economically Disadvantaged,120,119,0.99,110.00,0.92,9.00,0.08,110.00,0.92,21.00,0.18,56.00,0.47,77.00,0.64,1.00,0.01,40.00,0.33
6,Huntsville,26,BURLESON,Economically Disadvantaged,113,107,0.95,82.00,0.73,19.00,0.17,79.00,0.70,6.00,0.05,41.00,0.36,47.00,0.42,3.00,0.03,8.00,0.07
6,Huntsville,93,GRIMES,Not Economically Disadvantaged,145,143,0.99,133.00,0.92,3.00,0.02,114.00,0.79,33.00,0.23,51.00,0.35,84.00,0.58,3.00,0.02,38.00,0.26
6,Huntsville,93,GRIMES,Economically Disadvantaged,210,197,0.94,179.00,0.85,15.00,0.07,144.00,0.69,20.00,0.10,52.00,0.25,72.00,0.34,5.00,0.02,19.00,0.09
6,Huntsville,113,HOUSTON,Not Economically Disadvantaged,131,125,0.95,119.00,0.91,7.00,0.05,118.00,0.90,36.00,0.27,51.00,0.39,87.00,0.66,2.00,0.02,53.00,0.40
6,Huntsville,113,HOUSTON,Economically Disadvantaged,154,143,0.93,123.00,0.80,21.00,0.14,118.00,0.77,17.00,0.11,54.00,0.35,71.00,0.46,3.00,0.02,18.00,0.12
6,Huntsville,145,LEON,Not Economically Disadvantaged,135,132,0.98,125.00,0.93,3.00,0.02,115.00,0.85,27.00,0.20,55.00,0.41,82.00,0.61,5.00,0.04,32.00,0.24
6,Huntsville,145,LEON,Economically Disadvantaged,120,116,0.97,109.00,0.91,6.00,0.05,93.00,0.78,13.00,0.11,51.00,0.43,64.00,0.53,5.00,0.04,21.00,0.18
6,Huntsville,154,MADISON,Not Economically Disadvantaged,102,100,0.98,99.00,0.97,0.00,0.00,90.00,0.88,33.00,0.32,28.00,0.27,61.00,0.60,1.00,0.01,26.00,0.25
6,Huntsville,154,MADISON,Economically Disadvantaged,98,89,0.91,84.00,0.86,5.00,0.05,76.00,0.78,12.00,0.12,21.00,0.21,33.00,0.34,1.00,0.01,10.00,0.10
6,Huntsville,166,MILAM,Not Economically Disadvantaged,140,132,0.94,129.00,0.92,4.00,0.03,123.00,0.88,45.00,0.32,56.00,0.40,101.00,0.72,3.00,0.02,54.00,0.39
6,Huntsville,166,MILAM,Economically Disadvantaged,203,191,0.94,156.00,0.77,31.00,0.15,141.00,0.69,22.00,0.11,57.00,0.28,79.00,0.39,6.00,0.03,21.00,0.10
6,Huntsville,170,MONTGOMERY,Not Economically Disadvantaged,3907,3675,0.94,3301.00,0.84,319.00,0.08,3199.00,0.82,1039.00,0.27,1472.00,0.38,2511.00,0.64,138.00,0.04,1176.00,0.30
6,Huntsville,170,MONTGOMERY,Economically Disadvantaged,1939,1765,0.91,1306.00,0.67,372.00,0.19,1216.00,0.63,127.00,0.07,552.00,0.28,679.00,0.35,58.00,0.03,139.00,0.07
6,Huntsville,187,POLK,Not Economically Disadvantaged,236,226,0.96,202.00,0.86,17.00,0.07,178.00,0.75,49.00,0.21,91.00,0.39,140.00,0.59,14.00,0.06,49.00,0.21
6,Huntsville,187,POLK,Economically Disadvantaged,334,301,0.90,251.00,0.75,38.00,0.11,208.00,0.62,28.00,0.08,90.00,0.27,118.00,0.35,11.00,0.03,33.00,0.10
6,Huntsville,198,ROBERTSON,Not Economically Disadvantaged,92,86,0.93,81.00,0.88,3.00,0.03,73.00,0.79,20.00,0.22,46.00,0.50,66.00,0.72,2.00,0.02,30.00,0.33
6,Huntsville,198,ROBERTSON,Economically Disadvantaged,161,151,0.94,137.00,0.85,12.00,0.07,124.00,0.77,16.00,0.10,58.00,0.36,74.00,0.46,3.00,0.02,18.00,0.11
6,Huntsville,204,SAN JACINTO,Not Economically Disadvantaged,138,122,0.88,113.00,0.82,6.00,0.04,97.00,0.70,28.00,0.20,38.00,0.28,66.00,0.48,4.00,0.03,31.00,0.22
6,Huntsville,204,SAN JACINTO,Economically Disadvantaged,144,134,0.93,106.00,0.74,19.00,0.13,91.00,0.63,12.00,0.08,30.00,0.21,42.00,0.29,2.00,0.01,10.00,0.07
6,Huntsville,228,TRINITY,Not Economically Disadvantaged,63,63,1.00,59.00,0.94,3.00,0.05,50.00,0.79,13.00,0.21,25.00,0.40,38.00,0.60,2.00,0.03,15.00,0.24
6,Huntsville,228,TRINITY,Economically Disadvantaged,99,93,0.94,84.00,0.85,6.00,0.06,61.00,0.62,8.00,0.08,31.00,0.31,39.00,0.39,4.00,0.04,13.00,0.13
6,Huntsville,236,WALKER,Not Economically Disadvantaged,248,239,0.96,223.00,0.90,9.00,0.04,211.00,0.85,104.00,0.42,65.00,0.26,169.00,0.68,5.00,0.02,81.00,0.33
6,Huntsville,236,WALKER,Economically Disadvantaged,357,346,0.97,266.00,0.75,72.00,0.20,249.00,0.70,68.00,0.19,90.00,0.25,158.00,0.44,6.00,0.02,33.00,0.09
6,Huntsville,239,WASHINGTON,Not Economically Disadvantaged,219,214,0.98,201.00,0.92,8.00,0.04,187.00,0.85,49.00,0.22,100.00,0.46,149.00,0.68,3.00,0.01,93.00,0.42
6,Huntsville,239,WASHINGTON,Economically Disadvantaged,175,169,0.97,133.00,0.76,25.00,0.14,108.00,0.62,8.00,0.05,55.00,0.31,63.00,0.36,4.00,0.02,10.00,0.06
7,Kilgore,1,ANDERSON,Not Economically Disadvantaged,340,323,0.95,301.00,0.89,18.00,0.05,284.00,0.84,59.00,0.17,155.00,0.46,214.00,0.63,11.00,0.03,106.00,0.31
7,Kilgore,1,ANDERSON,Economically Disadvantaged,318,297,0.93,259.00,0.81,40.00,0.13,237.00,0.75,19.00,0.06,104.00,0.33,123.00,0.39,10.00,0.03,34.00,0.11
7,Kilgore,3,ANGELINA,Not Economically Disadvantaged,577,555,0.96,521.00,0.90,24.00,0.04,493.00,0.85,130.00,0.23,265.00,0.46,395.00,0.68,16.00,0.03,180.00,0.31
7,Kilgore,3,ANGELINA,Economically Disadvantaged,613,585,0.95,491.00,0.80,75.00,0.12,464.00,0.76,36.00,0.06,239.00,0.39,275.00,0.45,18.00,0.03,62.00,0.10
7,Kilgore,37,CHEROKEE,Not Economically Disadvantaged,210,198,0.94,187.00,0.89,6.00,0.03,168.00,0.80,45.00,0.21,90.00,0.43,135.00,0.64,11.00,0.05,70.00,0.33
7,Kilgore,37,CHEROKEE,Economically Disadvantaged,410,379,0.92,324.00,0.79,37.00,0.09,271.00,0.66,25.00,0.06,135.00,0.33,160.00,0.39,11.00,0.03,42.00,0.10
7,Kilgore,92,GREGG,Not Economically Disadvantaged,949,910,0.96,852.00,0.90,35.00,0.04,800.00,0.84,204.00,0.22,443.00,0.47,647.00,0.68,25.00,0.03,306.00,0.32
7,Kilgore,92,GREGG,Economically Disadvantaged,788,721,0.92,580.00,0.74,108.00,0.14,522.00,0.66,46.00,0.06,266.00,0.34,312.00,0.40,27.00,0.03,70.00,0.09
7,Kilgore,102,HARRISON,Not Economically Disadvantaged,491,459,0.93,427.00,0.87,24.00,0.05,405.00,0.82,106.00,0.22,201.00,0.41,307.00,0.63,11.00,0.02,147.00,0.30
7,Kilgore,102,HARRISON,Economically Disadvantaged,467,442,0.95,376.00,0.81,54.00,0.12,331.00,0.71,53.00,0.11,156.00,0.33,209.00,0.45,10.00,0.02,63.00,0.13
7,Kilgore,107,HENDERSON,Not Economically Disadvantaged,369,356,0.96,336.00,0.91,15.00,0.04,305.00,0.83,66.00,0.18,178.00,0.48,244.00,0.66,20.00,0.05,122.00,0.33
7,Kilgore,107,HENDERSON,Economically Disadvantaged,418,383,0.92,324.00,0.78,47.00,0.11,278.00,0.67,16.00,0.04,153.00,0.37,169.00,0.40,15.00,0.04,45.00,0.11
7,Kilgore,174,NACOGDOCHES,Not Economically Disadvantaged,371,362,0.98,336.00,0.91,18.00,0.05,320.00,0.86,140.00,0.38,120.00,0.32,260.00,0.70,7.00,0.02,128.00,0.35
7,Kilgore,174,NACOGDOCHES,Economically Disadvantaged,435,415,0.95,320.00,0.74,60.00,0.14,266.00,0.61,30.00,0.07,126.00,0.29,156.00,0.36,22.00,0.05,35.00,0.08
7,Kilgore,183,PANOLA,Not Economically Disadvantaged,162,157,0.97,140.00,0.86,10.00,0.06,128.00,0.79,22.00,0.14,84.00,0.52,106.00,0.65,7.00,0.04,56.00,0.35
7,Kilgore,183,PANOLA,Economically Disadvantaged,126,115,0.91,91.00,0.72,22.00,0.17,80.00,0.63,9.00,0.07,42.00,0.33,51.00,0.40,3.00,0.02,15.00,0.12
7,Kilgore,190,RAINS,Not Economically Disadvantaged,54,54,1.00,53.00,0.98,1.00,0.02,51.00,0.94,22.00,0.41,20.00,0.37,42.00,0.78,0.00,0.00,19.00,0.35
7,Kilgore,190,RAINS,Economically Disadvantaged,48,44,0.92,42.00,0.88,5.00,0.10,38.00,0.79,11.00,0.23,15.00,0.31,26.00,0.54,3.00,0.06,12.00,0.25
7,Kilgore,201,RUSK,Not Economically Disadvantaged,257,248,0.97,233.00,0.91,14.00,0.05,225.00,0.88,49.00,0.19,122.00,0.47,171.00,0.67,3.00,0.01,81.00,0.32
7,Kilgore,201,RUSK,Economically Disadvantaged,305,286,0.94,232.00,0.76,36.00,0.12,210.00,0.69,20.00,0.07,102.00,0.33,122.00,0.40,6.00,0.02,38.00,0.12
