CAMPUS,CA0GS18R,CAD_GAP,CAD_MATH,CAD_POST,CAD_PROGRESS,CAD_READ,CAD_SCIE,CAD_SOCI,CALL_UPDATE,CAMPNAME,CASC4X18R,CD1A,CD1AS,CD1B,CD1BS,CD1C,CD1CS,CD1G_18_19,CD1S,CD2A,CD2AG,CD2AS,CD2B,CD2BG,CD2BS,CD2G_18_19,CD2S,CD3,CD3G_18_19,CD3S,CDALLS,CFLAEATYPE,CFLAEC,CFLALTED,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLPAIR,CFLPAIRD,CFLPAIRO,CFLRTF,CNTYNAME,COMP19F,COUNTY,CPE0312C,CPE0312P,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETPTEC,CPETPTEP,CPETSPEC,CPETSPEP,CPETSTEC,CPETSTEP,C_AEABONUS,C_AEABONUS_USED_PCT,C_AEAGRAD_PTS,C_AEASTAAR_PCT,C_AEASTAAR_PTS,C_APPEAL_DECISION,C_RATING_18_19,C_YRS_IR,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE,LAS_GRADE,LAS_SCORE,LAS_WEIGHT,PAIRCAMP,PAIRNAME,REGION,REGNNAME
001908102,., , , , , , , , ,WESTWOOD PRI,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,58, ,N,N,N,N,N,N,N,Y,N,N,N,ANDERSON, ,1,0,0.0,46,17.1,269,416,.,0.0,308,74.0,29,7.0,.,0.0,45,10.8,.,0.0,.,.,.,.,., ,F,2,WESTWOOD ISD,1908,2,EE,EE - 02,E, ,.,.,1908101,WESTWOOD EL,7,REGION 07: KILGORE
001909001,92.6,0,0,1,0,0,1,1, ,SLOCUM H S,92.6,56,85,87,97,100,100,A,93,50,F,56,72,B,89,B,89,84,B,85,91, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,.,1,115,100.0,15,12.2,123,115,0,0.0,49,42.6,2,1.7,0,0.0,19,16.5,0,0.0,.,.,.,.,., ,A,.,SLOCUM ISD,1909,12,9,09 - 12,S, ,.,., , ,7,REGION 07: KILGORE
001909101,.,1,0,1,1,0,0,0, ,SLOCUM PK - 8,.,55,83,.,.,.,.,B,83,75,B,80,55,B,81,B,81,83,C,79,82, ,N,N,N,N,N,N,N,N,N,N,N,ANDERSON,2,1,177,60.8,36,13.7,262,291,.,0.0,137,47.1,2,0.7,.,0.0,31,10.7,0,0.0,.,.,.,.,., ,B,.,SLOCUM ISD,1909,8,PK,PK - 08,E, ,.,., , ,7,REGION 07: KILGORE
002901001,94.9,0,1,0,0,0,0,0, ,ANDREWS H S,95.9,51,78,58,88,99,95,B,85,70,B,80,55,C,77,B,80,58,C,77,83, ,N,N,N,N,N,N,N,N,N,N,N,ANDREWS,.,2,1143,100.0,155,13.6,1138,1143,.,0.0,412,36.0,81,7.1,0,0.0,96,8.4,.,0.0,.,.,.,.,., ,B,.,ANDREWS ISD,2901,12,8,08 - 12,S, ,.,., , ,18,REGION 18: MIDLAND
002901002,0, , , , , , , , ,ANDREWS EDUCATION CENTER,2.9,16,62,16,81,95.3,85,C,74,.,Not Rated,.,.,Not Rated,.,Not Rated,.,.,Not Rated,.,74,AEC OF CHOICE - DRS,Y,Y,N,N,N,N,N,N,N,N,N,ANDREWS,.,2,41,100.0,66,76.7,86,41,.,0.0,23,56.1,4,9.8,0,0.0,1,2.4,.,0.0,0,3,0,32,0, ,C,.,ANDREWS ISD,2901,12,9,09 - 12,S, ,.,., , ,18,REGION 18: MIDLAND
002901041,.,0,0,0,0,0,0,0, ,ANDREWS MIDDLE,.,42,74,.,.,.,.,C,74,65,D,69,42,F,58,D,69,11,D,60,70, ,N,N,N,N,N,N,N,N,N,N,N,ANDREWS,2,2,1026,100.0,107,10.8,992,1026,.,0.0,409,39.9,103,10.0,.,0.0,112,10.9,.,0.0,.,.,.,.,., ,C,.,ANDREWS ISD,2901,8,6,06 - 08,M, ,.,., , ,18,REGION 18: MIDLAND
002901101,.,0,0,0, ,0, , , ,DEVONIAN EL,.,51,78,.,.,.,.,C,78,.,Not Rated,.,51,C,72,C,72,76,C,77,78, ,N,N,N,N,N,N,N,N,N,Y,N,ANDREWS,3B,2,300,49.3,94,14,673,609,.,0.0,254,41.7,97,15.9,.,0.0,26,4.3,.,0.0,.,.,.,.,., ,C,.,ANDREWS ISD,2901,3,2,02 - 03,E, ,.,., , ,18,REGION 18: MIDLAND
002901104,.,0,0,0,0,0,0, , ,UNDERWOOD EL,.,43,72,.,.,.,.,C,72,67,D,67,43,F,58,D,67,24,D,60,68, ,N,N,N,N,N,N,N,N,N,N,N,ANDREWS,2,2,674,100.0,80,11.4,704,674,.,0.0,277,41.1,87,12.9,.,0.0,60,8.9,.,0.0,.,.,.,.,., ,D,.,ANDREWS ISD,2901,5,4,04 - 05,E, ,.,., , ,18,REGION 18: MIDLAND
002901105,., , , , , , , , ,CLEARFORK EL,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,78, ,N,N,N,N,N,N,N,Y,N,N,N,ANDREWS, ,2,0,0.0,61,18,339,821,.,0.0,392,47.7,151,18.4,.,0.0,51,6.2,.,0.0,.,.,.,.,., ,C,.,ANDREWS ISD,2901,1,EE,EE - 01,E, ,.,.,2901101,DEVONIAN EL,18,REGION 18: MIDLAND
003801001,95.2,0,0,0,1,0,0,0, ,PINEYWOODS COMMUNITY ACADEMY H S,93,68,92,71,93,100,100,A,94,85,A,93,70,B,88,A,93,95,A,90,93, ,N,N,Y,N,N,N,N,N,N,N,N,ANGELINA,.,3,251,100.0,23,12.5,184,251,175,69.7,93,37.1,7,2.8,0,0.0,20,8.0,0,0.0,.,.,.,.,., ,A,.,PINEYWOODS COMMUNITY ACADEMY,3801,12,9,09 - 12,S, ,.,., , ,7,REGION 07: KILGORE
003801042,.,0,0,0,0,0,0,0, ,DR TERRY ROBBINS MIDDLE,.,48,79,.,.,.,.,C,79,67,C,72,48,B,80,B,80,47,C,75,79, ,N,N,Y,N,N,N,N,N,N,N,N,ANGELINA,2,3,257,100.0,27,10.3,263,257,.,0.0,136,52.9,9,3.5,.,0.0,28,10.9,0,0.0,.,.,.,.,., ,C,.,PINEYWOODS COMMUNITY ACADEMY,3801,8,6,06 - 08,M, ,.,., , ,7,REGION 07: KILGORE
003801103,.,1,1,1,0,1,1, , ,SARAH STRINDEN EL,.,60,90,.,.,.,.,A,90,76,B,82,60,B,89,B,89,95,A,90,90, ,N,N,Y,N,N,N,N,N,N,N,N,ANGELINA,.,3,253,49.2,27,6.1,440,514,.,0.0,292,56.8,33,6.4,.,0.0,34,6.6,.,0.0,.,.,.,.,., ,A,.,PINEYWOODS COMMUNITY ACADEMY,3801,5,PK,PK - 05,E, ,.,., , ,7,REGION 07: KILGORE
003902001,95.4,1,1,1,1,1,1,1, ,HUDSON H S,95.4,64,91,83,96,99.5,95,A,94,73,B,83,74,A,92,A,92,89,B,87,92, ,N,N,N,N,N,N,N,N,N,N,N,ANGELINA,.,3,838,100.0,91,10.4,872,838,.,0.0,397,47.4,13,1.6,0,0.0,69,8.2,.,0.0,.,.,.,.,., ,A,.,HUDSON ISD,3902,12,9,09 - 12,S, ,.,., , ,7,REGION 07: KILGORE
003902004,0, , , , , , , , ,STUBBLEFIELD LRN CTR,0,11,53,4,63,96.6,90,D,64,.,Not Rated,.,.,Not Rated,.,Not Rated,.,.,Not Rated,.,64,AEC OF CHOICE - DRS,Y,Y,N,N,N,N,N,N,N,N,N,ANGELINA,.,3,14,100.0,30,90.9,33,14,.,0.0,10,71.4,1,7.1,0,0.0,1,7.1,.,0.0,0,0,0,25,0, ,D,.,HUDSON ISD,3902,12,10,10 - 12,S, ,.,., , ,7,REGION 07: KILGORE
003902041,.,1,1,1,1,1,1,1, ,HUDSON MIDDLE,.,62,91,.,.,.,.,A,91,73,B,81,62,A,91,A,91,78,B,85,89, ,N,N,N,N,N,N,N,N,N,N,N,ANGELINA,.,3,706,100.0,98,13.6,718,706,.,0.0,378,53.5,41,5.8,.,0.0,65,9.2,.,0.0,.,.,.,.,., ,B,.,HUDSON ISD,3902,8,6,06 - 08,M, ,.,., , ,7,REGION 07: KILGORE
003902101,., , , , , , , , ,W F PEAVY PRI,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,81, ,N,N,N,N,N,N,N,Y,N,N,N,ANGELINA, ,3,0,0.0,70,15.1,463,758,.,0.0,465,61.3,68,9.0,.,0.0,65,8.6,.,0.0,.,.,.,.,., ,B,.,HUDSON ISD,3902,2,EE,EE - 02,E, ,.,.,3902102,W H BONNER EL,7,REGION 07: KILGORE
003902102,.,0,1,0,0,0,0, , ,W H BONNER EL,.,53,80,.,.,.,.,B,80,75,B,80,53,B,82,B,82,80,C,78,81, ,N,N,N,N,N,N,N,N,N,Y,N,ANGELINA,.,3,641,100.0,81,11.1,730,641,.,0.0,359,56.0,57,8.9,.,0.0,53,8.3,.,0.0,.,.,.,.,., ,B,.,HUDSON ISD,3902,5,3,03 - 05,E, ,.,., , ,7,REGION 07: KILGORE
003903001,92.7,0,0,1,0,0,1,1, ,LUFKIN H S,93,49,77,84,96,97,90,B,87,64,C,72,67,A,91,A,91,63,C,78,87, ,N,N,N,N,N,N,N,N,N,N,N,ANGELINA,.,3,2132,100.0,312,13.7,2275,2132,0,0.0,1439,67.5,194,9.1,0,0.0,257,12.1,.,0.0,.,.,.,.,., ,B,.,LUFKIN ISD,3903,12,8,08 - 12,S, ,.,., , ,7,REGION 07: KILGORE
003903004,0, , , , , , , , ,STUBBLEFIELD LRN CTR,0,18,67,16,81,79.1,70,C,73,.,Not Rated,.,.,Not Rated,.,Not Rated,.,.,Not Rated,.,73,AEC OF CHOICE - DRS,Y,Y,N,N,N,N,N,N,N,N,N,ANGELINA,.,3,39,100.0,54,78.3,69,39,.,0.0,32,82.1,4,10.3,0,0.0,12,30.8,.,0.0,0,0,0,16,0, ,C,.,LUFKIN ISD,3903,12,9,09 - 12,S, ,.,., , ,7,REGION 07: KILGORE
003903044,.,0,0,0,0,0,0,1, ,LUFKIN MIDDLE,.,47,78,.,.,.,.,C,78,67,C,72,47,B,87,B,87,48,C,75,83, ,N,N,N,N,N,N,N,N,N,N,N,ANGELINA,3A,3,1715,100.0,256,13.8,1853,1715,.,0.0,1263,73.6,275,16.0,.,0.0,212,12.4,.,0.0,.,.,.,.,., ,B,.,LUFKIN ISD,3903,8,6,06 - 08,M, ,.,., , ,7,REGION 07: KILGORE
003903120,.,1,0,1,1,0,1, , ,ANDERSON EL,.,48,76,.,.,.,.,C,76,79,B,86,48,B,84,B,86,81,C,78,84, ,N,N,N,N,N,N,N,N,N,Y,N,ANGELINA,.,3,258,100.0,97,27.6,352,258,.,0.0,219,84.9,34,13.2,.,0.0,49,19.0,.,0.0,.,.,.,.,., ,B,.,LUFKIN ISD,3903,5,3,03 - 05,E, ,.,., , ,7,REGION 07: KILGORE
003903121,.,1,1,1,1,1,1, , ,BRANDON EL,.,50,77,.,.,.,.,C,77,80,B,88,50,B,83,B,88,88,B,83,87, ,N,N,N,N,N,N,N,N,N,Y,N,ANGELINA,.,3,407,100.0,87,17.3,503,407,.,0.0,279,68.6,32,7.9,.,0.0,34,8.4,.,0.0,.,.,.,.,., ,B,.,LUFKIN ISD,3903,5,3,03 - 05,E, ,.,., , ,7,REGION 07: KILGORE
003903122,.,0,0,0,0,0,1, , ,BROOKHOLLOW EL,.,39,67,.,.,.,.,D,67,70,C,72,39,C,73,C,73,55,C,72,73, ,N,N,N,N,N,N,N,N,N,Y,N,ANGELINA,2,3,300,100.0,72,20.8,346,300,.,0.0,259,86.3,29,9.7,.,0.0,52,17.3,.,0.0,.,.,.,.,., ,C,.,LUFKIN ISD,3903,5,3,03 - 05,E, ,.,., , ,7,REGION 07: KILGORE
003903123,.,1,1,0,1,0,0, , ,COSTON EL,.,45,73,.,.,.,.,C,73,82,A,90,45,B,82,A,90,78,C,78,86, ,N,N,N,N,N,N,N,N,N,Y,N,ANGELINA,2,3,239,100.0,60,20.3,295,239,.,0.0,220,92.1,65,27.2,.,0.0,36,15.1,.,0.0,.,.,.,.,., ,B,.,LUFKIN ISD,3903,5,3,03 - 05,E, ,.,., , ,7,REGION 07: KILGORE
003903124,., , , , , , , , ,DUNBAR PRI,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,87, ,N,N,N,N,N,N,N,Y,N,N,N,ANGELINA, ,3,0,0.0,60,18,333,361,.,0.0,220,60.9,20,5.5,.,0.0,21,5.8,.,0.0,.,.,.,.,., ,B,.,LUFKIN ISD,3903,2,KG,KG - 02,E, ,.,.,3903121,BRANDON EL,7,REGION 07: KILGORE
003903125,., , , , , , , , ,GARRETT PRI,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,89, ,N,N,N,N,Y,N,N,Y,Y,N,N,ANGELINA, ,3,0,0.0,.,.,.,347,.,0.0,338,97.4,106,30.5,.,0.0,3,0.9,.,0.0,.,.,.,.,., ,B,.,LUFKIN ISD,3903,PK,PK,PK - PK,E, ,.,.,3903000,LUFKIN ISD,7,REGION 07: KILGORE
003903126,., , , , , , , , ,HACKNEY PRI,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,89, ,N,N,N,N,Y,N,N,Y,Y,N,N,ANGELINA, ,3,0,0.0,.,.,.,227,.,0.0,225,99.1,61,26.9,.,0.0,0,0.0,.,0.0,.,.,.,.,., ,B,.,LUFKIN ISD,3903,PK,PK,PK - PK,E, ,.,.,3903000,LUFKIN ISD,7,REGION 07: KILGORE
003903127,., , , , , , , , ,HERTY PRI,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,86, ,N,N,N,N,N,N,N,Y,N,N,N,ANGELINA, ,3,0,0.0,53,25.2,210,269,.,0.0,240,89.2,46,17.1,.,0.0,69,25.7,.,0.0,.,.,.,.,., ,B,.,LUFKIN ISD,3903,2,EE,EE - 02,E, ,.,.,3903123,COSTON EL,7,REGION 07: KILGORE
003903128,., , , , , , , , ,KURTH PRI,.,.,.,.,.,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,Not Rated: Paired Campus,.,.,Not Rated: Paired Campus,.,84, ,N,N,N,N,N,N,N,Y,N,N,N,ANGELINA, ,3,0,0.0,62,31.5,197,296,.,0.0,258,87.2,37,12.5,.,0.0,17,5.7,.,0.0,.,.,.,.,., ,B,.,LUFKIN ISD,3903,2,PK,PK - 02,E, ,.,.,3903120,ANDERSON EL,7,REGION 07: KILGORE
003903129,.,0,0,0,0,0,0, , ,SLACK EL,.,42,71,.,.,.,.,C,71,74,C,79,42,C,77,C,79,76,C,77,78, ,N,N,N,N,N,N,N,N,N,Y,N,ANGELINA,2,3,468,84.9,46,8.1,565,551,.,0.0,465,84.4,300,54.4,.,0.0,44,8.0,.,0.0,.,.,.,.,., ,C,.,LUFKIN ISD,3903,5,2,02 - 05,E, ,.,., , ,7,REGION 07: KILGORE
