DISTRICT,CAMPUS,COUNTY,REGION,GRDSPAN,PAIRCAMP,CD1A,CD1B,CD1C,CD2B,CGRPRATE21,CELPRATE21,CCCPRATE21,CSTPRATE21,CAAPRATE21,CPEMALLC,CPEMALLT,CPEMALLP,CPETALLC,CPETECOC,CPETSPEC,CPE0312C,CAMPNAME,REGNNAME,DISTNAME,CNTYNAME,GRDLOW,GRDHIGH,GRDTYPE,CPETLEPC,CPETSTEC,CPETECHC,CPETPTEC,CPETLEPP,CPETECOP,CPETSPEP,CPETECHP,CPETPTEP,CPETSTEP,CPE0312P,CFLCHART,CFLDAEP,CFLEEK,CFLJJ,CFLNEWCAMP,CFLPAIRD,CFLALTED,CFLAEC,CFLRTF,PAIRNAME,CFLPAIRO,CFLAEATYPE,CFLPAIR,CDA00A00T019R,CDA00A00T021R,C_RATING
003801,003801042,3,7,06 - 08, ,45,.,.,45,.,.,.,20,56,16,253,6.3,236,119,32,236,DR TERRY ROBBINS MIDDLE,REGION 07: KILGORE,PINEYWOODS COMMUNITY ACADEMY,ANGELINA,06,08,M,16,0,.,.,6.8,50.4,13.6,0.0,0.0,0.0,100.0,Y,N,N,N,N,N,N,N,N, ,N, ,N,99,96,Not Rated: Declared State of Disaster
003801,003801103,3,7,PK - 05, ,48,.,.,48,.,.,.,50,56,33,428,7.7,499,293,50,243,SARAH STRINDEN EL,REGION 07: KILGORE,PINEYWOODS COMMUNITY ACADEMY,ANGELINA,PK,05,E,26,.,.,.,5.2,58.7,10.0,0.0,0.0,0.0,48.7,Y,N,N,N,N,N,N,N,N, ,N, ,N,99,98,Not Rated: Declared State of Disaster
003902,003902001,3,7,09 - 12, ,62,74,99.5,68,50,100,100,100,94,81,875,9.3,804,374,78,804,HUDSON H S,REGION 07: KILGORE,HUDSON ISD,ANGELINA,09,12,S,28,.,.,0,3.5,46.5,9.7,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,98,Not Rated: Declared State of Disaster
003902,003902004,3,7,11 - 12, ,.,10,90,.,100,.,0,.,.,21,24,87.5,9,5,1,9,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,HUDSON ISD,ANGELINA,11,12,S,0,.,.,0,0.0,55.6,11.1,0.0,0.0,0.0,100.0,N,N,N,N,N,N,Y,Y,N, ,N,AEC OF CHOICE - DRS,N,92,83,Not Rated: Declared State of Disaster
003902,003902041,3,7,06 - 08, ,60,.,.,60,.,100,.,90,100,67,723,9.3,664,336,77,664,HUDSON MIDDLE,REGION 07: KILGORE,HUDSON ISD,ANGELINA,06,08,M,39,.,.,.,5.9,50.6,11.6,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
003902,003902101,3,7,EE - 02,'003902102,.,.,.,.,.,.,.,.,.,41,475,8.6,673,402,61,0,W F PEAVY PRI,REGION 07: KILGORE,HUDSON ISD,ANGELINA,EE,02,E,62,.,.,.,9.2,59.7,9.1,0.0,0.0,0.0,0.0,N,N,N,N,N,N,N,N,N,W H BONNER EL,N, ,Y,.,.,Not Rated: Declared State of Disaster
003902,003902102,3,7,03 - 05, ,51,.,.,51,.,0,.,64,72,57,691,8.2,619,331,79,619,W H BONNER EL,REGION 07: KILGORE,HUDSON ISD,ANGELINA,03,05,E,56,.,.,.,9.0,53.5,12.8,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,Y, ,N,100,100,Not Rated: Declared State of Disaster
003903,003903001,3,7,09 - 12, ,52,93,97.8,73,100,100,100,92,74,266,2264,11.7,2131,1669,245,2131,LUFKIN H S,REGION 07: KILGORE,LUFKIN ISD,ANGELINA,09,12,S,221,.,361,0,10.4,78.3,11.5,16.9,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
003903,003903004,3,7,09 - 12, ,22,50,59.6,.,0,.,0,0,0,58,77,75.3,52,44,8,52,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,LUFKIN ISD,ANGELINA,09,12,S,6,.,.,0,11.5,84.6,15.4,0.0,0.0,0.0,100.0,N,N,N,N,N,N,Y,Y,N, ,N,AEC OF CHOICE - DRS,N,97,94,Not Rated: Declared State of Disaster
003903,003903044,3,7,06 - 08, ,41,.,.,41,.,100,.,8,20,184,1885,9.8,1690,1421,241,1690,LUFKIN MIDDLE,REGION 07: KILGORE,LUFKIN ISD,ANGELINA,06,08,M,334,.,.,.,19.8,84.1,14.3,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
003903,003903120,3,7,03 - 05, ,38,.,.,38,.,100,.,22,28,55,274,20.1,221,197,51,221,ANDERSON EL,REGION 07: KILGORE,LUFKIN ISD,ANGELINA,03,05,E,29,.,.,.,13.1,89.1,23.1,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,Y, ,N,100,100,Not Rated: Declared State of Disaster
003903,003903121,3,7,03 - 05, ,50,.,.,50,.,.,.,67,61,51,409,12.5,379,271,45,379,BRANDON EL,REGION 07: KILGORE,LUFKIN ISD,ANGELINA,03,05,E,21,.,.,.,5.5,71.5,11.9,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,Y, ,N,100,100,Not Rated: Declared State of Disaster
003903,003903122,3,7,03 - 05, ,37,.,.,37,.,0,.,20,33,61,316,19.3,270,250,56,270,BROOKHOLLOW EL,REGION 07: KILGORE,LUFKIN ISD,ANGELINA,03,05,E,31,.,.,.,11.5,92.6,20.7,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,Y, ,N,100,100,Not Rated: Declared State of Disaster
003903,003903123,3,7,03 - 05, ,32,.,.,32,.,0,.,11,17,59,267,22.1,208,201,36,208,COSTON EL,REGION 07: KILGORE,LUFKIN ISD,ANGELINA,03,05,E,57,.,.,.,27.4,96.6,17.3,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,Y, ,N,100,98,Not Rated: Declared State of Disaster
003903,003903124,3,7,KG - 02,'003903121,.,.,.,.,.,.,.,.,.,30,311,9.6,399,295,16,0,DUNBAR PRI,REGION 07: KILGORE,LUFKIN ISD,ANGELINA,KG,02,E,26,.,.,.,6.5,73.9,4.0,0.0,0.0,0.0,0.0,N,N,N,N,N,N,N,N,N,BRANDON EL,N, ,Y,.,.,Not Rated: Declared State of Disaster
003903,003903125,3,7,PK - PK,'003903000,.,.,.,.,.,.,.,.,.,.,.,.,253,247,3,0,GARRETT PRI,REGION 07: KILGORE,LUFKIN ISD,ANGELINA,PK,PK,E,71,.,.,.,28.1,97.6,1.2,0.0,0.0,0.0,0.0,N,N,Y,N,N,Y,N,N,N,LUFKIN ISD,N, ,Y,.,.,Not Rated: Declared State of Disaster
003903,003903126,3,7,PK - PK,'003903000,.,.,.,.,.,.,.,.,.,.,.,.,115,113,1,0,HACKNEY PRI,REGION 07: KILGORE,LUFKIN ISD,ANGELINA,PK,PK,E,30,.,.,.,26.1,98.3,0.9,0.0,0.0,0.0,0.0,N,N,Y,N,N,Y,N,N,N,LUFKIN ISD,N, ,Y,.,.,Not Rated: Declared State of Disaster
003903,003903127,3,7,EE - 02,'003903123,.,.,.,.,.,.,.,.,.,27,203,13.3,255,239,78,0,HERTY PRI,REGION 07: KILGORE,LUFKIN ISD,ANGELINA,EE,02,E,45,.,.,.,17.6,93.7,30.6,0.0,0.0,0.0,0.0,N,N,N,N,N,N,N,N,N,COSTON EL,N, ,Y,.,.,Not Rated: Declared State of Disaster
003903,003903128,3,7,KG - 02,'003903120,.,.,.,.,.,.,.,.,.,31,183,16.9,231,210,23,0,KURTH PRI,REGION 07: KILGORE,LUFKIN ISD,ANGELINA,KG,02,E,35,.,.,.,15.2,90.9,10.0,0.0,0.0,0.0,0.0,N,N,N,N,N,N,N,N,N,ANDERSON EL,N, ,Y,.,.,Not Rated: Declared State of Disaster
003903,003903129,3,7,02 - 05, ,37,.,.,37,.,100,.,10,11,47,561,8.4,506,444,41,443,SLACK EL,REGION 07: KILGORE,LUFKIN ISD,ANGELINA,02,05,E,284,.,.,.,56.1,87.7,8.1,0.0,0.0,0.0,87.5,N,N,N,N,N,N,N,N,N, ,Y, ,N,100,99,Not Rated: Declared State of Disaster
003903,003903130,3,7,EE - 02,'003903122,.,.,.,.,.,.,.,.,.,45,197,22.8,268,251,23,0,TROUT PRI,REGION 07: KILGORE,LUFKIN ISD,ANGELINA,EE,02,E,22,.,.,.,8.2,93.7,8.6,0.0,0.0,0.0,0.0,N,N,N,N,N,N,N,N,N,BROOKHOLLOW EL,N, ,Y,.,.,Not Rated: Declared State of Disaster
003903,003903131,3,7,KG - 02,'003903129,.,.,.,.,.,.,.,.,.,21,263,8,411,348,15,0,BURLEY PRI,REGION 07: KILGORE,LUFKIN ISD,ANGELINA,KG,02,E,213,.,.,.,51.8,84.7,3.6,0.0,0.0,0.0,0.0,N,N,N,N,N,N,N,N,N,SLACK EL,N, ,Y,.,.,Not Rated: Declared State of Disaster
003903,003903141,3,7,02 - 02, ,.,.,.,.,.,.,.,.,.,0,1,0,1,0,1,0,SPECIAL SERVICES,REGION 07: KILGORE,LUFKIN ISD,ANGELINA,02,02,E,0,.,.,.,0.0,0.0,100.0,0.0,0.0,0.0,0.0,N,N,N,N,N,N,N,N,N, ,N, ,N,.,.,Not Rated: Declared State of Disaster
003903,003903201,3,7,08 - 11, ,.,.,88.5,.,.,.,.,.,.,67,67,100,6,6,2,6,JUVENILE DETENT CTR,REGION 07: KILGORE,LUFKIN ISD,ANGELINA,08,11,S,0,.,.,0,0.0,100.0,33.3,0.0,0.0,0.0,100.0,N,N,N,N,N,N,Y,Y,N, ,N,AEC OF CHOICE,N,100,.,Not Rated: Declared State of Disaster
003904,003904001,3,7,09 - 12, ,52,83,99.1,68,100,.,100,63,64,69,511,13.5,468,215,60,468,HUNTINGTON H S,REGION 07: KILGORE,HUNTINGTON ISD,ANGELINA,09,12,S,3,.,.,0,0.6,45.9,12.8,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,98,100,Not Rated: Declared State of Disaster
003904,003904005,3,7,10 - 12, ,8,21,100,.,0,.,0,0,.,22,26,84.6,10,6,4,10,PRIDE ALTER SCH,REGION 07: KILGORE,HUNTINGTON ISD,ANGELINA,10,12,S,0,.,.,0,0.0,60.0,40.0,0.0,0.0,0.0,100.0,N,N,N,N,N,N,Y,Y,N, ,N,AEC OF CHOICE - DRS,N,97,100,Not Rated: Declared State of Disaster
003904,003904041,3,7,06 - 08, ,44,.,.,44,.,.,.,22,29,49,429,11.4,392,234,67,392,HUNTINGTON MIDDLE,REGION 07: KILGORE,HUNTINGTON ISD,ANGELINA,06,08,M,9,.,.,.,2.3,59.7,17.1,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
003904,003904101,3,7,EE - 03, ,47,.,.,47,.,.,.,50,25,54,376,14.4,474,316,62,90,HUNTINGTON EL,REGION 07: KILGORE,HUNTINGTON ISD,ANGELINA,EE,03,E,4,.,.,.,0.8,66.7,13.1,0.0,0.0,0.0,19.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
003904,003904102,3,7,04 - 05, ,41,.,.,41,.,.,.,0,8,26,241,10.8,226,133,34,226,HUNTINGTON INT,REGION 07: KILGORE,HUNTINGTON ISD,ANGELINA,04,05,E,2,.,.,.,0.9,58.8,15.0,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
003905,003905001,3,7,09 - 12, ,52,39,100,46,100,0,20,89,93,51,526,9.7,497,497,49,497,DIBOLL H S,REGION 07: KILGORE,DIBOLL ISD,ANGELINA,09,12,S,66,.,.,0,13.3,100.0,9.9,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,99,Not Rated: Declared State of Disaster
003905,003905004,3,7,10 - 12, ,.,26,100,.,0,.,0,.,.,16,19,84.2,4,0,2,4,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,DIBOLL ISD,ANGELINA,10,12,S,0,.,.,0,0.0,0.0,50.0,0.0,0.0,0.0,100.0,N,N,N,N,N,N,Y,Y,N, ,N,AEC OF CHOICE - DRS,N,95,100,Not Rated: Declared State of Disaster
003905,003905041,3,7,06 - 08, ,39,.,.,39,.,100,.,11,39,49,449,10.9,409,409,61,409,DIBOLL J H,REGION 07: KILGORE,DIBOLL ISD,ANGELINA,06,08,M,71,.,.,.,17.4,100.0,14.9,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
003905,003905101,3,7,KG - 02,'003905103,.,.,.,.,.,.,.,.,.,29,270,10.7,342,342,33,0,H G TEMPLE EL,REGION 07: KILGORE,DIBOLL ISD,ANGELINA,KG,02,E,51,.,.,.,14.9,100.0,9.6,0.0,0.0,0.0,0.0,N,N,N,N,N,N,N,N,N,H G TEMPLE INT,N, ,Y,.,.,Not Rated: Declared State of Disaster
003905,003905102,3,7,PK - PK,'003905103,.,.,.,.,.,.,.,.,.,.,.,.,117,117,8,0,DIBOLL PRI,REGION 07: KILGORE,DIBOLL ISD,ANGELINA,PK,PK,E,17,.,.,.,14.5,100.0,6.8,0.0,0.0,0.0,0.0,N,N,Y,N,N,N,N,N,N,H G TEMPLE INT,N, ,Y,.,.,Not Rated: Declared State of Disaster
003905,003905103,3,7,03 - 05, ,42,.,.,42,.,100,.,33,39,35,377,9.3,340,340,46,340,H G TEMPLE INT,REGION 07: KILGORE,DIBOLL ISD,ANGELINA,03,05,E,60,.,.,.,17.6,100.0,13.5,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,Y, ,N,100,100,Not Rated: Declared State of Disaster
003906,003906001,3,7,06 - 12, ,36,31,100,34,100,.,0,0,11,29,179,16.2,152,87,29,152,ZAVALLA H S,REGION 07: KILGORE,ZAVALLA ISD,ANGELINA,06,12,B,0,.,.,0,0.0,57.2,19.1,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,99,99,Not Rated: Declared State of Disaster
003906,003906101,3,7,PK - 05, ,48,.,.,48,.,.,.,67,75,18,124,14.5,148,104,22,64,ZAVALLA EL,REGION 07: KILGORE,ZAVALLA ISD,ANGELINA,PK,05,E,0,.,.,.,0.0,70.3,14.9,0.0,0.0,0.0,43.2,N,N,N,N,N,N,N,N,N, ,N, ,N,100,100,Not Rated: Declared State of Disaster
003907,003907001,3,7,09 - 12, ,49,53,100,51,100,.,75,71,36,42,417,10.1,390,210,48,390,CENTRAL H S,REGION 07: KILGORE,CENTRAL ISD,ANGELINA,09,12,S,10,.,.,0,2.6,53.8,12.3,0.0,0.0,0.0,100.0,N,N,N,N,N,N,N,N,N, ,N, ,N,99,98,Not Rated: Declared State of Disaster
003907,003907004,3,7,11 - 12, ,.,32,88.2,.,0,.,0,.,.,5,5,100,4,2,1,4,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,CENTRAL ISD,ANGELINA,11,12,S,0,.,.,0,0.0,50.0,25.0,0.0,0.0,0.0,100.0,N,N,N,N,N,N,Y,Y,N, ,N,AEC OF CHOICE - DRS,N,100,-1,Not Rated: Declared State of Disaster
