Region Code,TEA Region,gender,ethnicity,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_per,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_per,total_degrees,total_degrees_percent
1,Edinburg,,,,27416,25949,94.65%,21883,79.82%,3864,14.09%,22040,80.39%,6760,24.66%,8345,30.44%,0,0.00%,15105,55.10%,439,1.60%,6443,23.50%
2,Corpus Christi,,,,7930,7445,93.88%,6548,82.57%,801,10.10%,6065,76.48%,1694,21.36%,2243,28.28%,0,0.00%,3937,49.65%,187,2.36%,1561,19.68%
3,Victoria,,,,3795,3594,94.70%,3292,86.75%,257,6.77%,2954,77.84%,573,15.10%,1403,36.97%,0,0.00%,1976,52.07%,116,3.06%,897,23.64%
4,Houston,,,,75492,71610,94.86%,62811,83.20%,7374,9.77%,58954,78.09%,15288,20.25%,25559,33.86%,0,0.00%,40847,54.11%,2344,3.10%,18034,23.89%
5,Beaumont,,,,5908,5592,94.65%,5084,86.05%,402,6.80%,4591,77.71%,1384,23.43%,1670,28.27%,0,0.00%,3054,51.69%,165,2.79%,1301,22.02%
6,Huntsville,,,,12419,11797,94.99%,10592,85.29%,966,7.78%,9727,78.32%,2237,18.01%,3888,31.31%,0,0.00%,6125,49.32%,324,2.61%,2748,22.13%
7,Kilgore,,,,11799,11199,94.91%,10269,87.03%,711,6.03%,9382,79.52%,1723,14.60%,4502,38.16%,0,0.00%,6225,52.76%,321,2.72%,2771,23.49%
8,Mt. Pleasant,,,,4296,4045,94.16%,3767,87.69%,206,4.80%,3413,79.45%,616,14.34%,1726,40.18%,0,0.00%,2342,54.52%,152,3.54%,1014,23.60%
9,Wichita Falls,,,,2766,2581,93.31%,2385,86.23%,156,5.64%,2215,80.08%,643,23.25%,789,28.52%,0,0.00%,1432,51.77%,57,2.06%,672,24.30%
10,Richardson,,,,52728,49695,94.25%,44960,85.27%,4138,7.85%,42124,79.89%,10327,19.59%,17274,32.76%,0,0.00%,27601,52.35%,1320,2.50%,11788,22.36%
11,Fort Worth,,,,37978,36050,94.92%,32311,85.08%,3003,7.91%,30090,79.23%,8065,21.24%,12627,33.25%,0,0.00%,20692,54.48%,1149,3.03%,9246,24.35%
12,Waco,,,,10737,10006,93.19%,8705,81.07%,972,9.05%,8256,76.89%,1765,16.44%,4114,38.32%,0,0.00%,5879,54.75%,341,3.18%,2511,23.39%
13,Austin,,,,25485,24338,95.50%,21816,85.60%,2022,7.93%,20634,80.97%,6509,25.54%,6654,26.11%,0,0.00%,13163,51.65%,600,2.35%,6214,24.38%
14,Abilene,,,,3367,3181,94.48%,2821,83.78%,297,8.82%,2692,79.95%,804,23.88%,958,28.45%,0,0.00%,1762,52.33%,79,2.35%,866,25.72%
15,San Angelo,,,,3318,3127,94.24%,2933,88.40%,197,5.94%,2726,82.16%,861,25.95%,868,26.16%,0,0.00%,1729,52.11%,44,1.33%,826,24.89%
16,Amarillo,,,,5807,5459,94.01%,4985,85.84%,399,6.87%,4586,78.97%,1063,18.31%,1999,34.42%,0,0.00%,3062,52.73%,151,2.60%,1373,23.64%
17,Lubbock,,,,5471,5224,95.49%,4893,89.44%,254,4.64%,4401,80.44%,1144,20.91%,1643,30.03%,0,0.00%,2787,50.94%,120,2.19%,1239,22.65%
18,Midland,,,,5558,5234,94.17%,4749,85.44%,401,7.21%,3978,71.57%,922,16.59%,1727,31.07%,0,0.00%,2649,47.66%,150,2.70%,1125,20.24%
19,El Paso,,,,12965,12250,94.49%,10222,78.84%,1728,13.33%,10071,77.68%,3104,23.94%,4402,33.95%,0,0.00%,7506,57.89%,404,3.12%,2656,20.49%
20,San Antonio,,,,28236,26298,93.14%,23215,82.22%,2833,10.03%,21798,77.20%,5687,20.14%,8792,31.14%,0,0.00%,14479,51.28%,697,2.47%,6376,22.58%
,,,,,343471,324674,94.53%,288241,83.92%,30981,9.02%,270697,78.81%,71169,20.72%,111183,32.37%,0,0.00%,182352,53.09%,9160,2.67%,79661,23.19%
,,Female,,,167251,158479,94.76%,143957,86.07%,11754,7.03%,135173,80.82%,39127,23.39%,57934,34.64%,0,0.00%,97061,58.03%,4843,2.90%,46234,27.64%
,,Male,,,176220,166195,94.31%,144284,81.88%,19227,10.91%,135524,76.91%,32042,18.18%,53249,30.22%,0,0.00%,85291,48.40%,4317,2.45%,33427,18.97%
1,Edinburg,,,Not Economically Disadvantaged,4138,3961,95.72%,3673,88.76%,267,6.45%,3646,88.11%,1736,41.95%,1323,31.97%,0,0.00%,3059,73.92%,103,2.49%,1600,38.67%
1,Edinburg,,,Economically Disadvantaged,23278,21988,94.46%,18210,78.23%,3597,15.45%,18394,79.02%,5024,21.58%,7022,30.17%,0,0.00%,12046,51.75%,336,1.44%,4843,20.81%
2,Corpus Christi,,,Not Economically Disadvantaged,3221,3046,94.57%,2849,88.45%,169,5.25%,2719,84.41%,1082,33.59%,1037,32.19%,0,0.00%,2119,65.79%,94,2.92%,1025,31.82%
2,Corpus Christi,,,Economically Disadvantaged,4709,4399,93.42%,3699,78.55%,632,13.42%,3346,71.06%,612,13.00%,1206,25.61%,0,0.00%,1818,38.61%,93,1.97%,536,11.38%
3,Victoria,,,Not Economically Disadvantaged,1775,1699,95.72%,1627,91.66%,58,3.27%,1500,84.51%,439,24.73%,788,44.39%,0,0.00%,1227,69.13%,65,3.66%,691,38.93%
3,Victoria,,,Economically Disadvantaged,2020,1895,93.81%,1665,82.43%,199,9.85%,1454,71.98%,134,6.63%,615,30.45%,0,0.00%,749,37.08%,51,2.52%,206,10.20%
4,Houston,,,Not Economically Disadvantaged,34641,33065,95.45%,30609,88.36%,1873,5.41%,29365,84.77%,10240,29.56%,12782,36.90%,0,0.00%,23022,66.46%,1179,3.40%,12235,35.32%
4,Houston,,,Economically Disadvantaged,40851,38545,94.36%,32202,78.83%,5501,13.47%,29589,72.43%,5048,12.36%,12777,31.28%,0,0.00%,17825,43.63%,1165,2.85%,5799,14.20%
5,Beaumont,,,Not Economically Disadvantaged,2753,2632,95.60%,2491,90.48%,107,3.89%,2304,83.69%,909,33.02%,862,31.31%,0,0.00%,1771,64.33%,99,3.60%,894,32.47%
5,Beaumont,,,Economically Disadvantaged,3155,2960,93.82%,2593,82.19%,295,9.35%,2287,72.49%,475,15.06%,808,25.61%,0,0.00%,1283,40.67%,66,2.09%,407,12.90%
6,Huntsville,,,Not Economically Disadvantaged,6915,6646,96.11%,6226,90.04%,291,4.21%,5832,84.34%,1806,26.12%,2413,34.90%,0,0.00%,4219,61.01%,205,2.96%,2227,32.21%
6,Huntsville,,,Economically Disadvantaged,5504,5151,93.59%,4366,79.32%,675,12.26%,3895,70.77%,431,7.83%,1475,26.80%,0,0.00%,1906,34.63%,119,2.16%,521,9.47%
7,Kilgore,,,Not Economically Disadvantaged,5668,5468,96.47%,5196,91.67%,183,3.23%,4867,85.87%,1303,22.99%,2452,43.26%,0,0.00%,3755,66.25%,170,3.00%,1981,34.95%
7,Kilgore,,,Economically Disadvantaged,6131,5731,93.48%,5073,82.74%,528,8.61%,4515,73.64%,420,6.85%,2050,33.44%,0,0.00%,2470,40.29%,151,2.46%,790,12.89%
8,Mt. Pleasant,,,Not Economically Disadvantaged,1994,1919,96.24%,1832,91.88%,42,2.11%,1713,85.91%,432,21.66%,869,43.58%,0,0.00%,1301,65.25%,68,3.41%,664,33.30%
8,Mt. Pleasant,,,Economically Disadvantaged,2302,2126,92.35%,1935,84.06%,164,7.12%,1700,73.85%,184,7.99%,857,37.23%,0,0.00%,1041,45.22%,84,3.65%,350,15.20%
9,Wichita Falls,,,Not Economically Disadvantaged,1497,1408,94.05%,1339,89.45%,44,2.94%,1261,84.24%,487,32.53%,467,31.20%,0,0.00%,954,63.73%,33,2.20%,524,35.00%
9,Wichita Falls,,,Economically Disadvantaged,1269,1173,92.43%,1046,82.43%,112,8.83%,954,75.18%,156,12.29%,322,25.37%,0,0.00%,478,37.67%,24,1.89%,148,11.66%
10,Richardson,,,Not Economically Disadvantaged,26137,24944,95.44%,23550,90.10%,1061,4.06%,22413,85.75%,7383,28.25%,9451,36.16%,0,0.00%,16834,64.41%,811,3.10%,8482,32.45%
10,Richardson,,,Economically Disadvantaged,26591,24751,93.08%,21410,80.52%,3077,11.57%,19711,74.13%,2944,11.07%,7823,29.42%,0,0.00%,10767,40.49%,509,1.91%,3306,12.43%
11,Fort Worth,,,Not Economically Disadvantaged,22901,21979,95.97%,20438,89.25%,1129,4.93%,19392,84.68%,6451,28.17%,8143,35.56%,0,0.00%,14594,63.73%,757,3.31%,7266,31.73%
11,Fort Worth,,,Economically Disadvantaged,15077,14071,93.33%,11873,78.75%,1874,12.43%,10698,70.96%,1614,10.71%,4484,29.74%,0,0.00%,6098,40.45%,392,2.60%,1980,13.13%
12,Waco,,,Not Economically Disadvantaged,5335,5018,94.06%,4553,85.34%,284,5.32%,4395,82.38%,1332,24.97%,2159,40.47%,0,0.00%,3491,65.44%,160,3.00%,1812,33.96%
12,Waco,,,Economically Disadvantaged,5402,4988,92.34%,4152,76.86%,688,12.74%,3861,71.47%,433,8.02%,1955,36.19%,0,0.00%,2388,44.21%,181,3.35%,699,12.94%
13,Austin,,,Not Economically Disadvantaged,14725,14195,96.40%,13374,90.83%,549,3.73%,12812,87.01%,5212,35.40%,4305,29.24%,0,0.00%,9517,64.63%,398,2.70%,5162,35.06%
13,Austin,,,Economically Disadvantaged,10760,10143,94.27%,8442,78.46%,1473,13.69%,7822,72.70%,1297,12.05%,2349,21.83%,0,0.00%,3646,33.88%,202,1.88%,1052,9.78%
14,Abilene,,,Not Economically Disadvantaged,1671,1606,96.11%,1503,89.95%,73,4.37%,1447,86.59%,592,35.43%,527,31.54%,0,0.00%,1119,66.97%,37,2.21%,642,38.42%
14,Abilene,,,Economically Disadvantaged,1696,1575,92.87%,1318,77.71%,224,13.21%,1245,73.41%,212,12.50%,431,25.41%,0,0.00%,643,37.91%,42,2.48%,224,13.21%
15,San Angelo,,,Not Economically Disadvantaged,1492,1435,96.18%,1395,93.50%,20,1.34%,1324,88.74%,608,40.75%,398,26.68%,0,0.00%,1006,67.43%,20,1.34%,565,37.87%
15,San Angelo,,,Economically Disadvantaged,1826,1692,92.66%,1538,84.23%,177,9.69%,1402,76.78%,253,13.86%,470,25.74%,0,0.00%,723,39.59%,24,1.31%,261,14.29%
16,Amarillo,,,Not Economically Disadvantaged,2808,2681,95.48%,2546,90.67%,96,3.42%,2408,85.75%,783,27.88%,1039,37.00%,0,0.00%,1822,64.89%,80,2.85%,960,34.19%
16,Amarillo,,,Economically Disadvantaged,2999,2778,92.63%,2439,81.33%,303,10.10%,2178,72.62%,280,9.34%,960,32.01%,0,0.00%,1240,41.35%,71,2.37%,413,13.77%
17,Lubbock,,,Not Economically Disadvantaged,2375,2297,96.72%,2229,93.85%,40,1.68%,2082,87.66%,848,35.71%,767,32.29%,0,0.00%,1615,68.00%,62,2.61%,903,38.02%
17,Lubbock,,,Economically Disadvantaged,3096,2927,94.54%,2664,86.05%,214,6.91%,2319,74.90%,296,9.56%,876,28.29%,0,0.00%,1172,37.86%,58,1.87%,336,10.85%
18,Midland,,,Not Economically Disadvantaged,3014,2885,95.72%,2691,89.28%,157,5.21%,2356,78.17%,661,21.93%,1086,36.03%,0,0.00%,1747,57.96%,90,2.99%,824,27.34%
18,Midland,,,Economically Disadvantaged,2544,2349,92.33%,2058,80.90%,244,9.59%,1622,63.76%,261,10.26%,641,25.20%,0,0.00%,902,35.46%,60,2.36%,301,11.83%
19,El Paso,,,Not Economically Disadvantaged,3302,3063,92.76%,2712,82.13%,275,8.33%,2668,80.80%,1155,34.98%,1010,30.59%,0,0.00%,2165,65.57%,114,3.45%,1023,30.98%
19,El Paso,,,Economically Disadvantaged,9663,9187,95.07%,7510,77.72%,1453,15.04%,7403,76.61%,1949,20.17%,3392,35.10%,0,0.00%,5341,55.27%,290,3.00%,1633,16.90%
20,San Antonio,,,Not Economically Disadvantaged,11445,10823,94.57%,10093,88.19%,550,4.81%,9655,84.36%,3762,32.87%,3725,32.55%,0,0.00%,7487,65.42%,346,3.02%,4032,35.23%
20,San Antonio,,,Economically Disadvantaged,16791,15475,92.16%,13122,78.15%,2283,13.60%,12143,72.32%,1925,11.46%,5067,30.18%,0,0.00%,6992,41.64%,351,2.09%,2344,13.96%
1,Edinburg,Female,African American,,34,31,91.18%,26,76.47%,3,8.82%,27,79.41%,11,32.35%,9,26.47%,0,0.00%,20,58.82%,1,2.94%,7,20.59%
1,Edinburg,Female,Hispanic,,12971,12273,94.62%,10622,81.89%,1514,11.67%,10603,81.74%,3485,26.87%,4119,31.76%,0,0.00%,7604,58.62%,224,1.73%,3547,27.35%
1,Edinburg,Female,White,,316,296,93.67%,278,87.97%,16,5.06%,268,84.81%,151,47.78%,71,22.47%,0,0.00%,222,70.25%,7,2.22%,123,38.92%
1,Edinburg,Female,Others,,68,63,92.65%,60,88.24%,1,1.47%,58,85.29%,40,58.82%,6,8.82%,0,0.00%,46,67.65%,2,2.94%,39,57.35%
1,Edinburg,Male,African American,,40,34,85.00%,30,75.00%,3,7.50%,30,75.00%,14,35.00%,6,15.00%,0,0.00%,20,50.00%,0,0.00%,9,22.50%
1,Edinburg,Male,Hispanic,,13561,12856,94.80%,10513,77.52%,2302,16.98%,10709,78.97%,2882,21.25%,4049,29.86%,0,0.00%,6931,51.11%,189,1.39%,2591,19.11%
1,Edinburg,Male,White,,341,319,93.55%,282,82.70%,23,6.74%,275,80.65%,139,40.76%,72,21.11%,0,0.00%,211,61.88%,14,4.11%,97,28.45%
1,Edinburg,Male,Others,,85,77,90.59%,72,84.71%,2,2.35%,70,82.35%,38,44.71%,13,15.29%,0,0.00%,51,60.00%,2,2.35%,30,35.29%
2,Corpus Christi,Female,African American,,135,125,92.59%,112,82.96%,10,7.41%,99,73.33%,36,26.67%,37,27.41%,0,0.00%,73,54.07%,6,4.44%,21,15.56%
2,Corpus Christi,Female,Hispanic,,2630,2494,94.83%,2197,83.54%,258,9.81%,2029,77.15%,522,19.85%,878,33.38%,0,0.00%,1400,53.23%,68,2.59%,556,21.14%
2,Corpus Christi,Female,White,,913,861,94.30%,819,89.70%,35,3.83%,747,81.82%,346,37.90%,265,29.03%,0,0.00%,611,66.92%,26,2.85%,327,35.82%
2,Corpus Christi,Female,Others,,57,51,89.47%,45,78.95%,4,7.02%,40,70.18%,19,33.33%,14,24.56%,0,0.00%,33,57.89%,3,5.26%,20,35.09%
2,Corpus Christi,Male,African American,,148,129,87.16%,113,76.35%,16,10.81%,104,70.27%,27,18.24%,36,24.32%,0,0.00%,63,42.57%,2,1.35%,10,6.76%
2,Corpus Christi,Male,Hispanic,,2975,2783,93.55%,2357,79.23%,409,13.75%,2197,73.85%,472,15.87%,743,24.97%,0,0.00%,1215,40.84%,56,1.88%,400,13.45%
2,Corpus Christi,Male,White,,1020,953,93.43%,858,84.12%,68,6.67%,807,79.12%,258,25.29%,254,24.90%,0,0.00%,512,50.20%,24,2.35%,213,20.88%
2,Corpus Christi,Male,Others,,52,49,94.23%,47,90.38%,1,1.92%,42,80.77%,14,26.92%,16,30.77%,0,0.00%,30,57.69%,2,3.85%,14,26.92%
3,Victoria,Female,African American,,202,198,98.02%,183,90.59%,12,5.94%,167,82.67%,38,18.81%,81,40.10%,0,0.00%,119,58.91%,7,3.47%,34,16.83%
3,Victoria,Female,Hispanic,,855,810,94.74%,736,86.08%,52,6.08%,665,77.78%,63,7.37%,340,39.77%,0,0.00%,403,47.13%,30,3.51%,136,15.91%
3,Victoria,Female,White,,767,735,95.83%,700,91.26%,21,2.74%,641,83.57%,214,27.90%,324,42.24%,0,0.00%,538,70.14%,37,4.82%,328,42.76%
3,Victoria,Female,Others,,28,23,82.14%,23,82.14%,1,3.57%,24,85.71%,9,32.14%,12,42.86%,0,0.00%,21,75.00%,1,3.57%,14,50.00%
3,Victoria,Male,African American,,232,221,95.26%,189,81.47%,28,12.07%,171,73.71%,28,12.07%,70,30.17%,0,0.00%,98,42.24%,4,1.72%,24,10.34%
3,Victoria,Male,Hispanic,,906,843,93.05%,740,81.68%,104,11.48%,630,69.54%,71,7.84%,272,30.02%,0,0.00%,343,37.86%,23,2.54%,131,14.46%
3,Victoria,Male,White,,773,735,95.08%,694,89.78%,37,4.79%,631,81.63%,139,17.98%,297,38.42%,0,0.00%,436,56.40%,14,1.81%,225,29.11%
3,Victoria,Male,Others,,32,29,90.63%,27,84.38%,2,6.25%,25,78.13%,11,34.38%,7,21.88%,0,0.00%,18,56.25%,0,0.00%,5,15.63%
4,Houston,Female,African American,,8000,7565,94.56%,6592,82.40%,845,10.56%,6186,77.33%,2119,26.49%,2807,35.09%,0,0.00%,4926,61.58%,370,4.63%,1617,20.21%
4,Houston,Female,Hispanic,,15934,15151,95.09%,13315,83.56%,1519,9.53%,12380,77.70%,2060,12.93%,5745,36.05%,0,0.00%,7805,48.98%,371,2.33%,3255,20.43%
4,Houston,Female,White,,10700,10209,95.41%,9530,89.07%,435,4.07%,8961,83.75%,3161,29.54%,4128,38.58%,0,0.00%,7289,68.12%,433,4.05%,4367,40.81%
4,Houston,Female,Others,,2317,2213,95.51%,2123,91.63%,60,2.59%,2067,89.21%,1032,44.54%,604,26.07%,0,0.00%,1636,70.61%,49,2.11%,1178,50.84%
4,Houston,Male,African American,,8308,7790,93.77%,6321,76.08%,1293,15.56%,5926,71.33%,1547,18.62%,2530,30.45%,0,0.00%,4077,49.07%,322,3.88%,905,10.89%
4,Houston,Male,Hispanic,,16693,15799,94.64%,13062,78.25%,2454,14.70%,12140,72.73%,1569,9.40%,5074,30.40%,0,0.00%,6643,39.80%,345,2.07%,2253,13.50%
4,Houston,Male,White,,11063,10503,94.94%,9606,86.83%,686,6.20%,9059,81.89%,2746,24.82%,3944,35.65%,0,0.00%,6690,60.47%,394,3.56%,3334,30.14%
4,Houston,Male,Others,,2477,2380,96.08%,2262,91.32%,82,3.31%,2235,90.23%,1054,42.55%,727,29.35%,0,0.00%,1781,71.90%,60,2.42%,1125,45.42%
5,Beaumont,Female,African American,,874,836,95.65%,747,85.47%,76,8.70%,709,81.12%,236,27.00%,254,29.06%,0,0.00%,490,56.06%,21,2.40%,135,15.45%
5,Beaumont,Female,Hispanic,,318,293,92.14%,265,83.33%,14,4.40%,233,73.27%,47,14.78%,98,30.82%,0,0.00%,145,45.60%,14,4.40%,76,23.90%
5,Beaumont,Female,White,,1613,1540,95.47%,1456,90.27%,54,3.35%,1291,80.04%,483,29.94%,500,31.00%,0,0.00%,983,60.94%,63,3.91%,520,32.24%
5,Beaumont,Female,Others,,74,70,94.59%,63,85.14%,7,9.46%,62,83.78%,33,44.59%,22,29.73%,0,0.00%,55,74.32%,2,2.70%,32,43.24%
5,Beaumont,Male,African American,,901,848,94.12%,721,80.02%,114,12.65%,647,71.81%,135,14.98%,246,27.30%,0,0.00%,381,42.29%,17,1.89%,88,9.77%
5,Beaumont,Male,Hispanic,,319,293,91.85%,262,82.13%,28,8.78%,226,70.85%,38,11.91%,60,18.81%,0,0.00%,98,30.72%,4,1.25%,40,12.54%
5,Beaumont,Male,White,,1705,1617,94.84%,1483,86.98%,104,6.10%,1340,78.59%,375,21.99%,468,27.45%,0,0.00%,843,49.44%,41,2.40%,377,22.11%
5,Beaumont,Male,Others,,104,95,91.35%,87,83.65%,5,4.81%,83,79.81%,37,35.58%,22,21.15%,0,0.00%,59,56.73%,3,2.88%,33,31.73%
6,Huntsville,Female,African American,,719,690,95.97%,630,87.62%,53,7.37%,572,79.55%,119,16.55%,266,37.00%,0,0.00%,385,53.55%,24,3.34%,116,16.13%
6,Huntsville,Female,Hispanic,,1544,1450,93.91%,1317,85.30%,112,7.25%,1213,78.56%,172,11.14%,471,30.51%,0,0.00%,643,41.65%,30,1.94%,273,17.68%
6,Huntsville,Female,White,,3648,3497,95.86%,3285,90.05%,130,3.56%,2984,81.80%,915,25.08%,1299,35.61%,0,0.00%,2214,60.69%,125,3.43%,1171,32.10%
6,Huntsville,Female,Others,,147,138,93.88%,134,91.16%,1,0.68%,122,82.99%,51,34.69%,40,27.21%,0,0.00%,91,61.90%,6,4.08%,57,38.78%
6,Huntsville,Male,African American,,764,737,96.47%,598,78.27%,119,15.58%,547,71.60%,99,12.96%,194,25.39%,0,0.00%,293,38.35%,8,1.05%,68,8.90%
6,Huntsville,Male,Hispanic,,1666,1569,94.18%,1280,76.83%,256,15.37%,1226,73.59%,115,6.90%,436,26.17%,0,0.00%,551,33.07%,25,1.50%,168,10.08%
6,Huntsville,Male,White,,3790,3588,94.67%,3229,85.20%,289,7.63%,2952,77.89%,725,19.13%,1149,30.32%,0,0.00%,1874,49.45%,104,2.74%,855,22.56%
6,Huntsville,Male,Others,,141,128,90.78%,119,84.40%,6,4.26%,111,78.72%,41,29.08%,33,23.40%,0,0.00%,74,52.48%,2,1.42%,40,28.37%
7,Kilgore,Female,African American,,1117,1080,96.69%,1014,90.78%,57,5.10%,922,82.54%,152,13.61%,544,48.70%,0,0.00%,696,62.31%,29,2.60%,224,20.05%
7,Kilgore,Female,Hispanic,,1123,1067,95.01%,948,84.42%,81,7.21%,902,80.32%,76,6.77%,422,37.58%,0,0.00%,498,44.35%,17,1.51%,241,21.46%
7,Kilgore,Female,White,,3314,3150,95.05%,2999,90.49%,106,3.20%,2708,81.71%,671,20.25%,1435,43.30%,0,0.00%,2106,63.55%,125,3.77%,1115,33.65%
7,Kilgore,Female,Others,,70,62,88.57%,57,81.43%,3,4.29%,45,64.29%,18,25.71%,11,15.71%,0,0.00%,29,41.43%,2,2.86%,23,32.86%
7,Kilgore,Male,African American,,1173,1111,94.71%,960,81.84%,134,11.42%,881,75.11%,138,11.76%,424,36.15%,0,0.00%,562,47.91%,35,2.98%,130,11.08%
7,Kilgore,Male,Hispanic,,1268,1180,93.06%,1019,80.36%,137,10.80%,934,73.66%,67,5.28%,374,29.50%,0,0.00%,441,34.78%,17,1.34%,145,11.44%
7,Kilgore,Male,White,,3652,3474,95.13%,3198,87.57%,191,5.23%,2921,79.98%,572,15.66%,1274,34.88%,0,0.00%,1846,50.55%,95,2.60%,864,23.66%
7,Kilgore,Male,Others,,82,75,91.46%,74,90.24%,2,2.44%,69,84.15%,29,35.37%,18,21.95%,0,0.00%,47,57.32%,1,1.22%,29,35.37%
8,Mt. Pleasant,Female,African American,,488,465,95.29%,436,89.34%,20,4.10%,405,82.99%,78,15.98%,217,44.47%,0,0.00%,295,60.45%,18,3.69%,92,18.85%
8,Mt. Pleasant,Female,Hispanic,,281,262,93.24%,241,85.77%,20,7.12%,223,79.36%,20,7.12%,125,44.48%,0,0.00%,145,51.60%,8,2.85%,68,24.20%
8,Mt. Pleasant,Female,White,,1257,1198,95.31%,1130,89.90%,27,2.15%,1006,80.03%,220,17.50%,574,45.66%,0,0.00%,794,63.17%,63,5.01%,386,30.71%
8,Mt. Pleasant,Female,Others,,36,33,91.67%,32,88.89%,1,2.78%,31,86.11%,10,27.78%,12,33.33%,0,0.00%,22,61.11%,0,0.00%,14,38.89%
8,Mt. Pleasant,Male,African American,,491,466,94.91%,434,88.39%,29,5.91%,392,79.84%,45,9.16%,174,35.44%,0,0.00%,219,44.60%,11,2.24%,49,9.98%
8,Mt. Pleasant,Male,Hispanic,,369,339,91.87%,296,80.22%,45,12.20%,274,74.25%,26,7.05%,119,32.25%,0,0.00%,145,39.30%,10,2.71%,63,17.07%
8,Mt. Pleasant,Male,White,,1345,1256,93.38%,1172,87.14%,63,4.68%,1057,78.59%,212,15.76%,498,37.03%,0,0.00%,710,52.79%,41,3.05%,336,24.98%
8,Mt. Pleasant,Male,Others,,29,26,89.66%,26,89.66%,1,3.45%,25,86.21%,5,17.24%,7,24.14%,0,0.00%,12,41.38%,1,3.45%,6,20.69%
9,Wichita Falls,Female,African American,,128,114,89.06%,103,80.47%,14,10.94%,97,75.78%,18,14.06%,38,29.69%,0,0.00%,56,43.75%,2,1.56%,16,12.50%
9,Wichita Falls,Female,Hispanic,,275,258,93.82%,238,86.55%,24,8.73%,225,81.82%,37,13.45%,89,32.36%,0,0.00%,126,45.82%,1,0.36%,52,18.91%
9,Wichita Falls,Female,White,,891,830,93.15%,783,87.88%,26,2.92%,729,81.82%,264,29.63%,302,33.89%,0,0.00%,566,63.52%,24,2.69%,311,34.90%
9,Wichita Falls,Female,Others,,33,29,87.88%,28,84.85%,0,0.00%,25,75.76%,10,30.30%,10,30.30%,0,0.00%,20,60.61%,1,3.03%,9,27.27%
9,Wichita Falls,Male,African American,,138,127,92.03%,108,78.26%,16,11.59%,103,74.64%,14,10.14%,37,26.81%,0,0.00%,51,36.96%,2,1.45%,8,5.80%
9,Wichita Falls,Male,Hispanic,,265,252,95.09%,230,86.79%,21,7.92%,213,80.38%,29,10.94%,66,24.91%,0,0.00%,95,35.85%,3,1.13%,33,12.45%
9,Wichita Falls,Male,White,,995,934,93.87%,859,86.33%,53,5.33%,789,79.30%,259,26.03%,236,23.72%,0,0.00%,495,49.75%,24,2.41%,230,23.12%
9,Wichita Falls,Male,Others,,41,37,90.24%,36,87.80%,2,4.88%,34,82.93%,12,29.27%,11,26.83%,0,0.00%,23,56.10%,0,0.00%,13,31.71%
