Region Code,TEA Region,County Number,County Name,gender,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
2,Corpus Christi,66,DUVAL,Male,112,105,94%,99,88%,7,6%,79,71%,21,19%,21,19%,42,38%,1,1%,28,25%
2,Corpus Christi,125,JIM WELLS,Female,326,312,96%,261,80%,48,15%,238,73%,66,20%,119,37%,185,57%,12,4%,88,27%
2,Corpus Christi,125,JIM WELLS,Male,360,344,96%,268,74%,70,19%,257,71%,59,16%,93,26%,152,42%,10,3%,43,12%
2,Corpus Christi,137,KLEBERG,Female,182,176,97%,140,77%,29,16%,137,75%,70,38%,50,27%,120,66%,6,3%,64,35%
2,Corpus Christi,137,KLEBERG,Male,214,200,93%,145,68%,53,25%,141,66%,52,24%,35,16%,87,41%,4,2%,37,17%
2,Corpus Christi,149,LIVE OAK,Female,64,62,97%,59,92%,5,8%,59,92%,19,30%,23,36%,42,66%,,0%,23,36%
2,Corpus Christi,149,LIVE OAK,Male,76,71,93%,66,87%,7,9%,62,82%,8,11%,21,28%,29,38%,2,3%,12,16%
2,Corpus Christi,162,MCMULLEN,Female,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,Corpus Christi,162,MCMULLEN,Male,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2,Corpus Christi,178,NUECES,Female,2150,2028,94%,1833,85%,164,8%,1701,79%,530,25%,708,33%,1238,58%,60,3%,506,24%
2,Corpus Christi,178,NUECES,Male,2442,2276,93%,1976,81%,259,11%,1852,76%,459,19%,642,26%,1101,45%,57,2%,351,14%
2,Corpus Christi,205,SAN PATRICIO,Female,529,493,93%,461,87%,25,5%,419,79%,132,25%,151,29%,283,54%,14,3%,118,22%
2,Corpus Christi,205,SAN PATRICIO,Male,573,523,91%,483,84%,48,8%,441,77%,114,20%,127,22%,241,42%,6,1%,91,16%
3,Victoria,29,CALHOUN,Female,143,137,96%,126,88%,4,3%,119,83%,13,9%,46,32%,59,41%,1,1%,25,17%
3,Victoria,29,CALHOUN,Male,150,142,95%,129,86%,12,8%,124,83%,17,11%,50,33%,67,45%,1,1%,21,14%
3,Victoria,45,COLORADO,Female,135,129,96%,125,93%,2,1%,119,88%,23,17%,58,43%,81,60%,1,1%,38,28%
3,Victoria,45,COLORADO,Male,129,126,98%,118,91%,6,5%,108,84%,26,20%,41,32%,67,52%,1,1%,32,25%
3,Victoria,62,DE WITT,Female,146,141,97%,130,89%,10,7%,120,82%,31,21%,51,35%,82,56%,6,4%,35,24%
3,Victoria,62,DE WITT,Male,172,160,93%,135,78%,26,15%,120,70%,24,14%,51,30%,75,44%,2,1%,27,16%
3,Victoria,88,GOLIAD,Female,57,54,95%,53,93%,1,2%,42,74%,18,32%,26,46%,44,77%,6,11%,24,42%
3,Victoria,88,GOLIAD,Male,46,45,98%,44,96%,1,2%,36,78%,6,13%,15,33%,21,46%,1,2%,12,26%
3,Victoria,120,JACKSON,Female,118,116,98%,112,95%,1,1%,108,92%,35,30%,48,41%,83,70%,5,4%,48,41%
3,Victoria,120,JACKSON,Male,102,99,97%,95,93%,1,1%,84,82%,10,10%,40,39%,50,49%,2,2%,20,20%
3,Victoria,128,KARNES,Female,75,74,99%,73,97%,1,1%,66,88%,30,40%,21,28%,51,68%,1,1%,30,40%
3,Victoria,128,KARNES,Male,94,92,98%,86,91%,5,5%,81,86%,24,26%,32,34%,56,60%,,0%,25,27%
3,Victoria,143,LAVACA,Female,71,65,92%,59,83%,5,7%,59,83%,14,20%,34,48%,48,68%,4,6%,27,38%
3,Victoria,143,LAVACA,Male,85,83,98%,77,91%,5,6%,75,88%,18,21%,24,28%,42,49%,1,1%,27,32%
3,Victoria,158,MATAGORDA,Female,261,251,96%,237,91%,11,4%,217,83%,49,19%,103,39%,152,58%,5,2%,82,31%
3,Victoria,158,MATAGORDA,Male,276,265,96%,235,85%,23,8%,215,78%,40,14%,93,34%,133,48%,6,2%,61,22%
3,Victoria,196,REFUGIO,Female,54,53,98%,48,89%,1,2%,43,80%,9,17%,24,44%,33,61%,2,4%,18,33%
3,Victoria,196,REFUGIO,Male,53,51,96%,46,87%,5,9%,43,81%,8,15%,16,30%,24,45%,1,2%,13,25%
3,Victoria,235,VICTORIA,Female,534,500,94%,462,87%,26,5%,389,73%,67,13%,229,43%,296,55%,36,7%,105,20%
3,Victoria,235,VICTORIA,Male,551,496,90%,451,82%,47,9%,347,63%,46,8%,176,32%,222,40%,20,4%,76,14%
3,Victoria,241,WHARTON,Female,258,246,95%,217,84%,24,9%,215,83%,35,14%,117,45%,152,59%,8,3%,80,31%
3,Victoria,241,WHARTON,Male,285,269,94%,234,82%,40,14%,224,79%,30,11%,108,38%,138,48%,6,2%,71,25%
4,Houston,20,BRAZORIA,Female,2119,2040,96%,1846,87%,149,7%,1764,83%,459,22%,893,42%,1352,64%,56,3%,731,35%
4,Houston,20,BRAZORIA,Male,2222,2139,96%,1890,85%,220,10%,1821,82%,397,18%,860,39%,1257,57%,57,3%,553,25%
4,Houston,36,CHAMBERS,Female,262,256,98%,246,94%,4,2%,220,84%,56,21%,117,45%,173,66%,6,2%,92,35%
4,Houston,36,CHAMBERS,Male,272,261,96%,230,85%,17,6%,219,81%,50,18%,88,32%,138,51%,5,2%,65,24%
4,Houston,79,FORT BEND,Female,3580,3373,94%,3069,86%,292,8%,2965,83%,1158,32%,1186,33%,2344,65%,121,3%,1306,36%
4,Houston,79,FORT BEND,Male,3853,3668,95%,3165,82%,432,11%,3094,80%,1056,27%,1281,33%,2337,61%,136,4%,1052,27%
4,Houston,84,GALVESTON,Female,2710,2604,96%,2400,89%,157,6%,2284,84%,697,26%,1152,43%,1849,68%,79,3%,1007,37%
4,Houston,84,GALVESTON,Male,2823,2701,96%,2373,84%,269,10%,2293,81%,640,23%,1025,36%,1665,59%,70,2%,789,28%
4,Houston,101,HARRIS,Female,27428,26060,95%,23279,85%,2187,8%,21713,79%,5873,21%,9655,35%,15528,57%,932,3%,7092,26%
4,Houston,101,HARRIS,Male,28475,26863,94%,22878,80%,3462,12%,21269,75%,4672,16%,8785,31%,13457,47%,836,3%,5019,18%
4,Houston,146,LIBERTY,Female,550,524,95%,473,86%,32,6%,406,74%,69,13%,194,35%,263,48%,21,4%,113,21%
4,Houston,146,LIBERTY,Male,579,545,94%,477,82%,55,10%,411,71%,63,11%,146,25%,209,36%,11,2%,93,16%
4,Houston,237,WALLER,Female,302,281,93%,247,82%,38,13%,242,80%,60,20%,87,29%,147,49%,8,3%,76,25%
4,Houston,237,WALLER,Male,317,295,93%,238,75%,60,19%,253,80%,38,12%,90,28%,128,40%,6,2%,46,15%
5,Beaumont,84,GALVESTON,Female,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,Beaumont,84,GALVESTON,Male,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,Beaumont,100,HARDIN,Female,388,369,95%,355,91%,5,1%,318,82%,145,37%,92,24%,237,61%,18,5%,128,33%
5,Beaumont,100,HARDIN,Male,384,355,92%,324,84%,27,7%,291,76%,84,22%,97,25%,181,47%,8,2%,60,16%
5,Beaumont,121,JASPER,Female,261,247,95%,237,91%,11,4%,207,79%,65,25%,78,30%,143,55%,10,4%,66,25%
5,Beaumont,121,JASPER,Male,232,224,97%,205,88%,13,6%,178,77%,41,18%,54,23%,95,41%,1,0%,38,16%
5,Beaumont,123,JEFFERSON,Female,1444,1385,96%,1264,88%,96,7%,1169,81%,427,30%,416,29%,843,58%,37,3%,373,26%
5,Beaumont,123,JEFFERSON,Male,1527,1451,95%,1267,83%,148,10%,1143,75%,310,20%,384,25%,694,45%,43,3%,263,17%
5,Beaumont,176,NEWTON,Female,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,Beaumont,176,NEWTON,Male,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
5,Beaumont,181,ORANGE,Female,545,514,94%,470,86%,24,4%,422,77%,111,20%,220,40%,331,61%,27,5%,149,27%
5,Beaumont,181,ORANGE,Male,633,592,94%,543,86%,41,6%,499,79%,118,19%,202,32%,320,51%,11,2%,140,22%
5,Beaumont,229,TYLER,Female,150,140,93%,130,87%,7,5%,109,73%,31,21%,39,26%,70,47%,6,4%,29,19%
5,Beaumont,229,TYLER,Male,156,147,94%,140,90%,8,5%,117,75%,22,14%,35,22%,57,37%,,0%,28,18%
6,Huntsville,8,AUSTIN,Female,203,201,99%,195,96%,3,1%,184,91%,51,25%,73,36%,124,61%,3,1%,72,35%
6,Huntsville,8,AUSTIN,Male,232,226,97%,217,94%,5,2%,203,88%,49,21%,72,31%,121,52%,1,0%,67,29%
6,Huntsville,21,BRAZOS,Female,939,884,94%,815,87%,55,6%,727,77%,190,20%,297,32%,487,52%,22,2%,248,26%
6,Huntsville,21,BRAZOS,Male,973,922,95%,755,78%,129,13%,707,73%,159,16%,269,28%,428,44%,17,2%,184,19%
6,Huntsville,26,BURLESON,Female,109,103,95%,97,89%,5,5%,93,85%,19,17%,37,34%,56,51%,1,1%,29,27%
6,Huntsville,26,BURLESON,Male,110,105,95%,98,89%,6,5%,86,78%,9,8%,31,28%,40,36%,1,1%,11,10%
6,Huntsville,93,GRIMES,Female,168,157,93%,147,88%,9,5%,137,82%,24,14%,50,30%,74,44%,4,2%,20,12%
6,Huntsville,93,GRIMES,Male,154,145,94%,123,80%,20,13%,110,71%,24,16%,39,25%,63,41%,2,1%,24,16%
6,Huntsville,113,HOUSTON,Female,117,110,94%,96,82%,7,6%,94,80%,22,19%,47,40%,69,59%,1,1%,30,26%
6,Huntsville,113,HOUSTON,Male,143,134,94%,113,79%,16,11%,106,74%,15,10%,37,26%,52,36%,1,1%,21,15%
6,Huntsville,145,LEON,Female,115,112,97%,106,92%,4,3%,98,85%,18,16%,47,41%,65,57%,3,3%,33,29%
6,Huntsville,145,LEON,Male,129,121,94%,116,90%,4,3%,101,78%,19,15%,39,30%,58,45%,1,1%,20,16%
6,Huntsville,154,MADISON,Female,91,87,96%,87,96%,1,1%,79,87%,25,27%,25,27%,50,55%,1,1%,26,29%
6,Huntsville,154,MADISON,Male,92,89,97%,85,92%,1,1%,75,82%,18,20%,17,18%,35,38%,1,1%,16,17%
6,Huntsville,166,MILAM,Female,148,143,97%,132,89%,9,6%,127,86%,28,19%,61,41%,89,60%,6,4%,31,21%
6,Huntsville,166,MILAM,Male,132,129,98%,114,86%,12,9%,108,82%,19,14%,49,37%,68,52%,,0%,26,20%
6,Huntsville,170,MONTGOMERY,Female,3147,3007,96%,2792,89%,143,5%,2551,81%,679,22%,1119,36%,1798,57%,117,4%,884,28%
6,Huntsville,170,MONTGOMERY,Male,3283,3094,94%,2685,82%,355,11%,2501,76%,512,16%,972,30%,1484,45%,94,3%,568,17%
6,Huntsville,187,POLK,Female,256,235,92%,224,88%,9,4%,191,75%,48,19%,81,32%,129,50%,8,3%,49,19%
6,Huntsville,187,POLK,Male,289,266,92%,243,84%,24,8%,212,73%,41,14%,69,24%,110,38%,5,2%,44,15%
6,Huntsville,198,ROBERTSON,Female,110,104,95%,96,87%,8,7%,84,76%,22,20%,29,26%,51,46%,1,1%,23,21%
6,Huntsville,198,ROBERTSON,Male,128,127,99%,111,87%,14,11%,98,77%,11,9%,41,32%,52,41%,4,3%,21,16%
6,Huntsville,204,SAN JACINTO,Female,146,139,95%,123,84%,10,7%,104,71%,18,12%,41,28%,59,40%,1,1%,28,19%
6,Huntsville,204,SAN JACINTO,Male,160,151,94%,128,80%,19,12%,114,71%,16,10%,30,19%,46,29%,5,3%,15,9%
6,Huntsville,228,TRINITY,Female,80,75,94%,73,91%,2,3%,63,79%,12,15%,27,34%,39,49%,1,1%,17,21%
6,Huntsville,228,TRINITY,Male,80,76,95%,65,81%,7,9%,60,75%,8,10%,23,29%,31,39%,1,1%,8,10%
6,Huntsville,236,WALKER,Female,252,247,98%,224,89%,21,8%,217,86%,67,27%,68,27%,135,54%,7,3%,65,26%
6,Huntsville,236,WALKER,Male,260,247,95%,205,79%,38,15%,205,79%,53,20%,54,21%,107,41%,4,2%,52,20%
6,Huntsville,239,WASHINGTON,Female,177,171,97%,159,90%,10,6%,142,80%,34,19%,74,42%,108,61%,9,5%,62,35%
6,Huntsville,239,WASHINGTON,Male,196,190,97%,168,86%,20,10%,150,77%,27,14%,70,36%,97,49%,2,1%,54,28%
7,Kilgore,1,ANDERSON,Female,280,269,96%,258,92%,12,4%,228,81%,33,12%,131,47%,164,59%,15,5%,67,24%
7,Kilgore,1,ANDERSON,Male,361,337,93%,313,87%,23,6%,288,80%,43,12%,116,32%,159,44%,6,2%,69,19%
7,Kilgore,3,ANGELINA,Female,575,558,97%,526,91%,19,3%,483,84%,101,18%,256,45%,357,62%,13,2%,161,28%
7,Kilgore,3,ANGELINA,Male,612,597,98%,547,89%,41,7%,527,86%,76,12%,233,38%,309,50%,8,1%,121,20%
7,Kilgore,37,CHEROKEE,Female,265,254,96%,235,89%,7,3%,200,75%,23,9%,96,36%,119,45%,12,5%,57,22%
7,Kilgore,37,CHEROKEE,Male,299,274,92%,250,84%,26,9%,226,76%,24,8%,86,29%,110,37%,3,1%,51,17%
7,Kilgore,92,GREGG,Female,800,767,96%,729,91%,29,4%,665,83%,121,15%,339,42%,460,58%,20,3%,229,29%
7,Kilgore,92,GREGG,Male,864,822,95%,746,86%,52,6%,677,78%,126,15%,304,35%,430,50%,18,2%,173,20%
7,Kilgore,102,HARRISON,Female,432,416,96%,395,91%,14,3%,343,79%,84,19%,176,41%,260,60%,15,3%,115,27%
7,Kilgore,102,HARRISON,Male,448,425,95%,381,85%,21,5%,343,77%,69,15%,137,31%,206,46%,9,2%,81,18%
7,Kilgore,107,HENDERSON,Female,341,317,93%,301,88%,16,5%,273,80%,48,14%,146,43%,194,57%,11,3%,103,30%
7,Kilgore,107,HENDERSON,Male,380,355,93%,334,88%,21,6%,306,81%,39,10%,125,33%,164,43%,9,2%,64,17%
7,Kilgore,174,NACOGDOCHES,Female,380,362,95%,345,91%,14,4%,310,82%,99,26%,128,34%,227,60%,9,2%,119,31%
7,Kilgore,174,NACOGDOCHES,Male,385,361,94%,329,85%,23,6%,271,70%,59,15%,90,23%,149,39%,6,2%,65,17%
7,Kilgore,183,PANOLA,Female,131,125,95%,123,94%,3,2%,109,83%,11,8%,66,50%,77,59%,6,5%,35,27%
7,Kilgore,183,PANOLA,Male,158,152,96%,142,90%,8,5%,123,78%,14,9%,60,38%,74,47%,2,1%,18,11%
7,Kilgore,190,RAINS,Female,47,41,87%,39,83%,3,6%,37,79%,4,9%,21,45%,25,53%,,0%,15,32%
7,Kilgore,190,RAINS,Male,60,59,98%,56,93%,2,3%,53,88%,11,18%,22,37%,33,55%,1,2%,15,25%
7,Kilgore,201,RUSK,Female,229,214,93%,197,86%,10,4%,185,81%,27,12%,100,44%,127,55%,3,1%,56,24%
7,Kilgore,201,RUSK,Male,298,280,94%,266,89%,17,6%,243,82%,34,11%,111,37%,145,49%,7,2%,59,20%
7,Kilgore,202,SABINE,Female,69,62,90%,57,83%,1,1%,53,77%,17,25%,20,29%,37,54%,3,4%,20,29%
7,Kilgore,202,SABINE,Male,47,43,91%,40,85%,2,4%,32,68%,5,11%,4,9%,9,19%,2,4%,3,6%
7,Kilgore,203,SAN AUGUSTINE,Female,42,40,95%,38,90%,1,2%,33,79%,9,21%,18,43%,27,64%,1,2%,14,33%
7,Kilgore,203,SAN AUGUSTINE,Male,51,50,98%,48,94%,2,4%,44,86%,4,8%,12,24%,16,31%,,0%,6,12%
7,Kilgore,210,SHELBY,Female,176,167,95%,154,88%,8,5%,135,77%,27,15%,63,36%,90,51%,3,2%,44,25%
7,Kilgore,210,SHELBY,Male,166,159,96%,144,87%,9,5%,135,81%,24,14%,62,37%,86,52%,3,2%,31,19%
7,Kilgore,212,SMITH,Female,1215,1156,95%,1032,85%,96,8%,973,80%,200,16%,570,47%,770,63%,52,4%,362,30%
7,Kilgore,212,SMITH,Male,1307,1228,94%,1005,77%,188,14%,934,71%,179,14%,479,37%,658,50%,57,4%,257,20%
7,Kilgore,230,UPSHUR,Female,240,232,97%,222,93%,4,2%,205,85%,28,12%,113,47%,141,59%,4,2%,67,28%
7,Kilgore,230,UPSHUR,Male,291,274,94%,256,88%,11,4%,239,82%,39,13%,107,37%,146,50%,7,2%,69,24%
7,Kilgore,234,VAN ZANDT,Female,178,163,92%,159,89%,4,2%,145,81%,28,16%,88,49%,116,65%,5,3%,64,36%
7,Kilgore,234,VAN ZANDT,Male,189,179,95%,166,88%,6,3%,145,77%,22,12%,55,29%,77,41%,3,2%,38,20%
7,Kilgore,250,WOOD,Female,224,216,96%,208,93%,6,3%,200,89%,57,25%,81,36%,138,62%,1,0%,75,33%
7,Kilgore,250,WOOD,Male,259,245,95%,228,88%,12,5%,219,85%,38,15%,87,34%,125,48%,7,3%,48,19%
8,Mt. Pleasant,19,BOWIE,Female,660,624,95%,589,89%,12,2%,535,81%,119,18%,245,37%,364,55%,30,5%,153,23%
8,Mt. Pleasant,19,BOWIE,Male,620,575,93%,540,87%,20,3%,483,78%,84,14%,186,30%,270,44%,17,3%,99,16%
8,Mt. Pleasant,32,CAMP,Female,79,75,95%,71,90%,4,5%,66,84%,10,13%,38,48%,48,61%,2,3%,20,25%
8,Mt. Pleasant,32,CAMP,Male,97,95,98%,94,97%,2,2%,89,92%,12,12%,50,52%,62,64%,1,1%,25,26%
8,Mt. Pleasant,34,CASS,Female,211,205,97%,195,92%,3,1%,178,84%,41,19%,80,38%,121,57%,3,1%,57,27%
8,Mt. Pleasant,34,CASS,Male,241,233,97%,223,93%,5,2%,195,81%,46,19%,66,27%,112,46%,4,2%,55,23%
8,Mt. Pleasant,60,DELTA,Female,38,36,95%,35,92%,2,5%,36,95%,6,16%,21,55%,27,71%,,0%,11,29%
8,Mt. Pleasant,60,DELTA,Male,39,32,82%,32,82%,3,8%,31,79%,6,15%,11,28%,17,44%,,0%,9,23%
8,Mt. Pleasant,80,FRANKLIN,Female,53,51,96%,47,89%,1,2%,42,79%,3,6%,31,58%,34,64%,4,8%,15,28%
8,Mt. Pleasant,80,FRANKLIN,Male,57,56,98%,50,88%,1,2%,42,74%,9,16%,19,33%,28,49%,2,4%,9,16%
8,Mt. Pleasant,112,HOPKINS,Female,231,220,95%,203,88%,16,7%,183,79%,56,24%,100,43%,156,68%,16,7%,74,32%
8,Mt. Pleasant,112,HOPKINS,Male,277,262,95%,241,87%,20,7%,226,82%,44,16%,82,30%,126,45%,3,1%,51,18%
8,Mt. Pleasant,139,LAMAR,Female,329,316,96%,301,91%,9,3%,262,80%,42,13%,176,54%,218,66%,13,4%,97,29%
8,Mt. Pleasant,139,LAMAR,Male,367,347,95%,321,87%,22,6%,282,77%,30,8%,176,48%,206,56%,11,3%,89,24%
8,Mt. Pleasant,155,MARION,Female,45,43,96%,41,91%,1,2%,36,80%,7,16%,17,38%,24,53%,1,2%,17,38%
8,Mt. Pleasant,155,MARION,Male,52,47,90%,43,83%,1,2%,36,69%,9,17%,14,27%,23,44%,3,6%,7,13%
8,Mt. Pleasant,172,MORRIS,Female,77,72,94%,65,84%,2,3%,62,81%,11,14%,45,58%,56,73%,2,3%,22,29%
8,Mt. Pleasant,172,MORRIS,Male,98,89,91%,83,85%,10,10%,79,81%,10,10%,45,46%,55,56%,2,2%,23,23%
8,Mt. Pleasant,194,RED RIVER,Female,101,97,96%,92,91%,1,1%,81,80%,12,12%,55,54%,67,66%,8,8%,27,27%
8,Mt. Pleasant,194,RED RIVER,Male,93,90,97%,83,89%,4,4%,81,87%,13,14%,37,40%,50,54%,1,1%,22,24%
8,Mt. Pleasant,225,TITUS,Female,238,219,92%,200,84%,17,7%,184,77%,21,9%,120,50%,141,59%,10,4%,67,28%
8,Mt. Pleasant,225,TITUS,Male,293,261,89%,218,74%,50,17%,204,70%,25,9%,112,38%,137,47%,19,6%,65,22%
9,Wichita Falls,5,ARCHER,Female,65,63,97%,62,95%,,0%,59,91%,21,32%,24,37%,45,69%,,0%,30,46%
9,Wichita Falls,5,ARCHER,Male,67,65,97%,63,94%,2,3%,60,90%,23,34%,14,21%,37,55%,,0%,21,31%
9,Wichita Falls,12,BAYLOR,Female,20,20,100%,18,90%,,0%,13,65%,6,30%,4,20%,10,50%,2,10%,9,45%
9,Wichita Falls,12,BAYLOR,Male,23,22,96%,20,87%,1,4%,18,78%,1,4%,11,48%,12,52%,1,4%,7,30%
9,Wichita Falls,39,CLAY,Female,61,60,98%,58,95%,1,2%,55,90%,23,38%,23,38%,46,75%,,0%,23,38%
9,Wichita Falls,39,CLAY,Male,84,83,99%,79,94%,1,1%,69,82%,27,32%,18,21%,45,54%,2,2%,25,30%
9,Wichita Falls,78,FOARD,Female,8,8,100%,8,100%,,0%,8,100%,2,25%,3,38%,5,63%,,0%,4,50%
9,Wichita Falls,78,FOARD,Male,14,13,93%,13,93%,,0%,13,93%,,0%,10,71%,10,71%,,0%,3,21%
9,Wichita Falls,99,HARDEMAN,Female,31,29,94%,28,90%,,0%,25,81%,5,16%,12,39%,17,55%,2,6%,7,23%
9,Wichita Falls,99,HARDEMAN,Male,32,32,100%,30,94%,1,3%,26,81%,7,22%,7,22%,14,44%,,0%,1,3%
9,Wichita Falls,119,JACK,Female,67,66,99%,62,93%,1,1%,53,79%,16,24%,22,33%,38,57%,2,3%,22,33%
9,Wichita Falls,119,JACK,Male,56,50,89%,50,89%,1,2%,44,79%,14,25%,13,23%,27,48%,1,2%,12,21%
9,Wichita Falls,138,KNOX,Female,23,22,96%,23,100%,,0%,22,96%,5,22%,8,35%,13,57%,,0%,7,30%
9,Wichita Falls,138,KNOX,Male,30,30,100%,28,93%,2,7%,28,93%,7,23%,10,33%,17,57%,,0%,11,37%
9,Wichita Falls,169,MONTAGUE,Female,109,95,87%,95,87%,2,2%,83,76%,28,26%,37,34%,65,60%,3,3%,33,30%
9,Wichita Falls,169,MONTAGUE,Male,114,106,93%,101,89%,3,3%,91,80%,22,19%,38,33%,60,53%,2,2%,20,18%
9,Wichita Falls,224,THROCKMORTON,Female,15,14,93%,13,87%,1,7%,13,87%,5,33%,6,40%,11,73%,,0%,4,27%
9,Wichita Falls,224,THROCKMORTON,Male,17,16,94%,16,94%,1,6%,16,94%,3,18%,5,29%,8,47%,,0%,3,18%
9,Wichita Falls,243,WICHITA,Female,727,664,91%,606,83%,53,7%,581,80%,163,22%,232,32%,395,54%,17,2%,176,24%
9,Wichita Falls,243,WICHITA,Male,775,717,93%,633,82%,68,9%,598,77%,166,21%,164,21%,330,43%,19,2%,132,17%
9,Wichita Falls,244,WILBARGER,Female,92,86,93%,82,89%,3,3%,70,76%,19,21%,33,36%,52,57%,,0%,31,34%
9,Wichita Falls,244,WILBARGER,Male,96,91,95%,83,86%,4,4%,73,76%,14,15%,29,30%,43,45%,2,2%,21,22%
9,Wichita Falls,252,YOUNG,Female,109,104,95%,97,89%,3,3%,94,86%,36,33%,35,32%,71,65%,2,2%,42,39%
9,Wichita Falls,252,YOUNG,Male,131,125,95%,117,89%,8,6%,103,79%,30,23%,31,24%,61,47%,2,2%,28,21%
10,Richardson,43,COLLIN,Female,5644,5374,95%,5111,91%,156,3%,4855,86%,1557,28%,1982,35%,3539,63%,196,3%,1957,35%
10,Richardson,43,COLLIN,Male,5902,5619,95%,5225,89%,284,5%,4988,85%,1385,23%,2015,34%,3400,58%,168,3%,1596,27%
10,Richardson,57,DALLAS,Female,15760,14834,94%,13498,86%,1169,7%,12682,80%,3222,20%,5174,33%,8396,53%,379,2%,3504,22%
10,Richardson,57,DALLAS,Male,16648,15532,93%,13416,81%,2007,12%,12384,74%,2426,15%,4793,29%,7219,43%,355,2%,2401,14%
10,Richardson,70,ELLIS,Female,1174,1102,94%,1042,89%,54,5%,1000,85%,287,24%,472,40%,759,65%,29,2%,388,33%
10,Richardson,70,ELLIS,Male,1210,1150,95%,1061,88%,88,7%,991,82%,209,17%,464,38%,673,56%,24,2%,285,24%
10,Richardson,74,FANNIN,Female,204,197,97%,185,91%,2,1%,164,80%,36,18%,88,43%,124,61%,5,2%,55,27%
