COUNTY,REGION,DISTRICT,DISTNAME,CNTYNAME,DFLCHART,DFLALTED,DAD_POST,OUTCOME,asvab_status,DISTNAME_CLEAN
18,12,'018904,VALLEY MILLS ISD,BOSQUE,N,N,0,Meets Requirements, ,Valley Mills ISD
18,12,'018905,WALNUT SPRINGS ISD,BOSQUE,N,N, ,Meets Requirements, ,Walnut Springs ISD
18,12,'018906,IREDELL ISD,BOSQUE,N,N, ,Meets Requirements, ,Iredell ISD
18,12,'018907,KOPPERL ISD,BOSQUE,N,N, ,Meets Requirements, ,Kopperl ISD
18,12,'018908,CRANFILLS GAP ISD,BOSQUE,N,N, ,Meets Requirements, ,Cranfills Gap ISD
19,8,'019901,DEKALB ISD,BOWIE,N,N,0,Meets Requirements, ,Dekalb ISD
19,8,'019902,HOOKS ISD,BOWIE,N,N,0,Meets Requirements, ,Hooks ISD
19,8,'019903,MAUD ISD,BOWIE,N,N, ,Meets Requirements, ,Maud ISD
19,8,'019905,NEW BOSTON ISD,BOWIE,N,N,0,Meets Requirements, ,New Boston ISD
19,8,'019906,REDWATER ISD,BOWIE,N,N,0,Meets Requirements, ,Redwater ISD
19,8,'019907,TEXARKANA ISD,BOWIE,N,N,0,Needs Intervention, ,Texarkana ISD
19,8,'019908,LIBERTY-EYLAU ISD,BOWIE,N,N,0,Needs Substantial Intervention, ,Liberty-Eylau ISD
19,8,'019909,SIMMS ISD,BOWIE,N,N,0,Meets Requirements, ,Simms ISD
19,8,'019910,MALTA ISD,BOWIE,N,N, ,Meets Requirements, ,Malta ISD
19,8,'019911,RED LICK ISD,BOWIE,N,N, ,Meets Requirements, ,Red Lick ISD
19,8,'019912,PLEASANT GROVE ISD,BOWIE,N,N,0,Meets Requirements, ,Pleasant Grove ISD
19,8,'019913,HUBBARD ISD,BOWIE,N,N, ,Meets Requirements, ,Hubbard ISD
19,8,'019914,LEARY ISD,BOWIE,N,N, ,Meets Requirements, ,Leary ISD
20,4,'020901,ALVIN ISD,BRAZORIA,N,N,0,Meets Requirements, ,Alvin ISD
20,4,'020902,ANGLETON ISD,BRAZORIA,N,N,1,Needs Assistance, ,Angleton ISD
20,4,'020904,DANBURY ISD,BRAZORIA,N,N,0,Meets Requirements, ,Danbury ISD
20,4,'020905,BRAZOSPORT ISD,BRAZORIA,N,N,1,Needs Assistance, ,Brazosport ISD
20,4,'020906,SWEENY ISD,BRAZORIA,N,N,0,Meets Requirements, ,Sweeny ISD
20,4,'020907,COLUMBIA-BRAZORIA ISD,BRAZORIA,N,N,0,Needs Assistance, ,Columbia-Brazoria ISD
20,4,'020908,PEARLAND ISD,BRAZORIA,N,N,0,Meets Requirements, ,Pearland ISD
20,4,'020910,DAMON ISD,BRAZORIA,N,N, ,Needs Assistance, ,Damon ISD
21,6,'021803,BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,BRAZOS,Y,N, ,Meets Requirements, ,Brazos School For Inquiry & Creativity
21,6,'021805,ARROW ACADEMY,BRAZOS,Y,N,0,Meets Requirements, ,Arrow Academy
21,6,'021901,COLLEGE STATION ISD,BRAZOS,N,N,0,Needs Assistance, ,College Station ISD
21,6,'021902,BRYAN ISD,BRAZOS,N,N,0,Needs Assistance, ,Bryan ISD
22,18,'022004,TERLINGUA CSD,BREWSTER,N,N, ,Meets Requirements, ,Terlingua CSD
22,18,'022901,ALPINE ISD,BREWSTER,N,N,0,Meets Requirements, ,Alpine ISD
22,18,'022902,MARATHON ISD,BREWSTER,N,N, ,Meets Requirements, ,Marathon ISD
22,18,'022903,SAN VICENTE ISD,BREWSTER,N,N, ,Meets Requirements, ,San Vicente ISD
23,16,'023902,SILVERTON ISD,BRISCOE,N,N, ,Meets Requirements, ,Silverton ISD
24,1,'024901,BROOKS COUNTY ISD,BROOKS,N,N,0,Meets Requirements, ,Brooks County ISD
25,15,'025901,BANGS ISD,BROWN,N,N,0,Meets Requirements, ,Bangs ISD
25,15,'025902,BROWNWOOD ISD,BROWN,N,N,0,Needs Assistance, ,Brownwood ISD
25,15,'025904,BLANKET ISD,BROWN,N,N, ,Meets Requirements, ,Blanket ISD
25,15,'025905,MAY ISD,BROWN,N,N,0,Meets Requirements, ,May ISD
25,15,'025906,ZEPHYR ISD,BROWN,N,N, ,Meets Requirements, ,Zephyr ISD
25,15,'025908,BROOKESMITH ISD,BROWN,N,N,0,Meets Requirements, ,Brookesmith ISD
25,15,'025909,EARLY ISD,BROWN,N,N,0,Meets Requirements, ,Early ISD
26,6,'026901,CALDWELL ISD,BURLESON,N,N,0,Meets Requirements, ,Caldwell ISD
26,6,'026902,SOMERVILLE ISD,BURLESON,N,N,0,Meets Requirements, ,Somerville ISD
26,6,'026903,SNOOK ISD,BURLESON,N,N,0,Meets Requirements, ,Snook ISD
27,13,'027903,BURNET CISD,BURNET,N,N,0,Needs Assistance, ,Burnet CISD
27,13,'027904,MARBLE FALLS ISD,BURNET,N,N,0,Needs Assistance, ,Marble Falls ISD
28,13,'028902,LOCKHART ISD,CALDWELL,N,N,0,Needs Intervention, ,Lockhart ISD
28,20,'028903,LULING ISD,CALDWELL,N,N,0,Needs Assistance, ,Luling ISD
28,13,'028906,PRAIRIE LEA ISD,CALDWELL,N,N, ,Meets Requirements, ,Prairie Lea ISD
29,3,'029901,CALHOUN COUNTY ISD,CALHOUN,N,N,0,Needs Assistance, ,Calhoun County ISD
30,14,'030901,CROSS PLAINS ISD,CALLAHAN,N,N,0,Meets Requirements, ,Cross Plains ISD
30,14,'030902,CLYDE CISD,CALLAHAN,N,N,0,Meets Requirements, ,Clyde CISD
30,14,'030903,BAIRD ISD,CALLAHAN,N,N,0,Meets Requirements, ,Baird ISD
30,14,'030906,EULA ISD,CALLAHAN,N,N,1,Meets Requirements, ,Eula ISD
31,1,'031901,BROWNSVILLE ISD,CAMERON,N,N, ,Meets Requirements, ,Brownsville ISD
31,1,'031903,HARLINGEN CISD,CAMERON,N,N,0,Needs Assistance, ,Harlingen CISD
31,1,'031905,LA FERIA ISD,CAMERON,N,N,0,Meets Requirements, ,La Feria ISD
31,1,'031906,LOS FRESNOS CISD,CAMERON,N,N,1,Meets Requirements, ,Los Fresnos CISD
31,1,'031909,POINT ISABEL ISD,CAMERON,N,N,0,Meets Requirements, ,Point Isabel ISD
31,1,'031911,RIO HONDO ISD,CAMERON,N,N,0,Needs Assistance, ,Rio Hondo ISD
31,1,'031912,SAN BENITO CISD,CAMERON,N,N,0,Needs Assistance, ,San Benito CISD
31,1,'031913,SANTA MARIA ISD,CAMERON,N,N,0,Meets Requirements, ,Santa Maria ISD
31,1,'031914,SANTA ROSA ISD,CAMERON,N,N,0,Meets Requirements, ,Santa Rosa ISD
31,1,'031916,SOUTH TEXAS ISD,CAMERON,N,N,1,Meets Requirements,ASVAB Test not Offered,South Texas ISD
32,8,'032902,PITTSBURG ISD,CAMP,N,N,1,Meets Requirements, ,Pittsburg ISD
33,16,'033901,GROOM ISD,CARSON,N,N, ,Meets Requirements, ,Groom ISD
33,16,'033902,PANHANDLE ISD,CARSON,N,N,1,Meets Requirements, ,Panhandle ISD
33,16,'033904,WHITE DEER ISD,CARSON,N,N,0,Meets Requirements, ,White Deer ISD
34,8,'034901,ATLANTA ISD,CASS,N,N,0,Meets Requirements, ,Atlanta ISD
34,8,'034902,AVINGER ISD,CASS,N,N, ,Meets Requirements, ,Avinger ISD
34,8,'034903,HUGHES SPRINGS ISD,CASS,N,N,0,Meets Requirements, ,Hughes Springs ISD
34,8,'034905,LINDEN-KILDARE CISD,CASS,N,N,0,Meets Requirements, ,Linden-Kildare CISD
34,8,'034906,MCLEOD ISD,CASS,N,N,0,Meets Requirements, ,McLeod ISD
34,8,'034907,QUEEN CITY ISD,CASS,N,N,1,Meets Requirements, ,Queen City ISD
34,8,'034909,BLOOMBURG ISD,CASS,N,N, ,Meets Requirements, ,Bloomburg ISD
35,16,'035901,DIMMITT ISD,CASTRO,N,N,0,Needs Assistance, ,Dimmitt ISD
35,16,'035902,HART ISD,CASTRO,N,N, ,Meets Requirements, ,Hart ISD
35,16,'035903,NAZARETH ISD,CASTRO,N,N, ,Meets Requirements, ,Nazareth ISD
36,4,'036901,ANAHUAC ISD,CHAMBERS,N,N,0,Meets Requirements, ,Anahuac ISD
36,4,'036902,BARBERS HILL ISD,CHAMBERS,N,N,1,Meets Requirements, ,Barbers Hill ISD
36,5,'036903,EAST CHAMBERS ISD,CHAMBERS,N,N,0,Meets Requirements, ,East Chambers ISD
37,7,'037901,ALTO ISD,CHEROKEE,N,N,0,Meets Requirements, ,Alto ISD
37,7,'037904,JACKSONVILLE ISD,CHEROKEE,N,N,0,Needs Assistance, ,Jacksonville ISD
37,7,'037907,RUSK ISD,CHEROKEE,N,N,0,Needs Assistance, ,Rusk ISD
37,7,'037908,NEW SUMMERFIELD ISD,CHEROKEE,N,N, ,Meets Requirements, ,New Summerfield ISD
37,7,'037909,WELLS ISD,CHEROKEE,N,N, ,Meets Requirements, ,Wells ISD
38,16,'038901,CHILDRESS ISD,CHILDRESS,N,N,0,Meets Requirements, ,Childress ISD
39,9,'039902,HENRIETTA ISD,CLAY,N,N,0,Meets Requirements, ,Henrietta ISD
39,9,'039903,PETROLIA CISD,CLAY,N,N,0,Meets Requirements, ,Petrolia CISD
39,9,'039904,BELLEVUE ISD,CLAY,N,N, ,Meets Requirements, ,Bellevue ISD
39,9,'039905,MIDWAY ISD,CLAY,N,N, ,Meets Requirements, ,Midway ISD
40,17,'040901,MORTON ISD,COCHRAN,N,N, ,Meets Requirements, ,Morton ISD
40,17,'040902,WHITEFACE CISD,COCHRAN,N,N, ,Meets Requirements, ,Whiteface CISD
41,15,'041901,BRONTE ISD,COKE,N,N, ,Meets Requirements, ,Bronte ISD
41,15,'041902,ROBERT LEE ISD,COKE,N,N,0,Meets Requirements, ,Robert Lee ISD
42,15,'042901,COLEMAN ISD,COLEMAN,N,N,0,Meets Requirements, ,Coleman ISD
42,15,'042903,SANTA ANNA ISD,COLEMAN,N,N,1,Meets Requirements, ,Santa Anna ISD
42,15,'042905,PANTHER CREEK CISD,COLEMAN,N,N, ,Meets Requirements, ,Panther Creek CISD
43,10,'043801,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,COLLIN,Y,N, ,Meets Requirements, ,Imagine International Academy Of North Texas
43,10,'043802,LONE STAR LANGUAGE ACADEMY,COLLIN,Y,N, ,Meets Requirements, ,Lone Star Language Academy
43,10,'043901,ALLEN ISD,COLLIN,N,N,0,Meets Requirements, ,Allen ISD
43,10,'043902,ANNA ISD,COLLIN,N,N,0,Meets Requirements, ,Anna ISD
43,10,'043903,CELINA ISD,COLLIN,N,N,0,Meets Requirements, ,Celina ISD
43,10,'043904,FARMERSVILLE ISD,COLLIN,N,N,0,Meets Requirements, ,Farmersville ISD
43,10,'043905,FRISCO ISD,COLLIN,N,N,0,Meets Requirements, ,Frisco ISD
43,10,'043907,MCKINNEY ISD,COLLIN,N,N,0,Meets Requirements, ,McKinney ISD
43,10,'043908,MELISSA ISD,COLLIN,N,N,0,Meets Requirements, ,Melissa ISD
43,10,'043910,PLANO ISD,COLLIN,N,N,0,Meets Requirements, ,Plano ISD
43,10,'043911,PRINCETON ISD,COLLIN,N,N,0,Needs Assistance, ,Princeton ISD
43,10,'043912,PROSPER ISD,COLLIN,N,N,0,Meets Requirements, ,Prosper ISD
43,10,'043914,WYLIE ISD,COLLIN,N,N, ,Meets Requirements, ,Wylie ISD
43,10,'043917,BLUE RIDGE ISD,COLLIN,N,N,0,Meets Requirements, ,Blue Ridge ISD
43,10,'043918,COMMUNITY ISD,COLLIN,N,N,0,Meets Requirements, ,Community ISD
43,10,'043919,LOVEJOY ISD,COLLIN,N,N,1,Meets Requirements, ,Lovejoy ISD
44,16,'044902,WELLINGTON ISD,COLLINGSWORTH,N,N,0,Meets Requirements, ,Wellington ISD
45,4,'045902,COLUMBUS ISD,COLORADO,N,N,0,Needs Assistance, ,Columbus ISD
45,3,'045903,RICE CISD,COLORADO,N,N,0,Needs Assistance, ,Rice CISD
45,3,'045905,WEIMAR ISD,COLORADO,N,N,1,Meets Requirements,ASVAB Alternative Test Offered,Weimar ISD
46,20,'046802,TRINITY CHARTER SCHOOL,COMAL,Y,Y, ,Meets Requirements, ,Trinity Charter School
46,20,'046901,NEW BRAUNFELS ISD,COMAL,N,N,0,Meets Requirements, ,New Braunfels ISD
46,20,'046902,COMAL ISD,COMAL,N,N,0,Meets Requirements, ,Comal ISD
47,14,'047901,COMANCHE ISD,COMANCHE,N,N,0,Meets Requirements, ,Comanche ISD
47,14,'047902,DE LEON ISD,COMANCHE,N,N,0,Meets Requirements, ,De Leon ISD
47,14,'047903,GUSTINE ISD,COMANCHE,N,N, ,Meets Requirements, ,Gustine ISD
47,14,'047905,SIDNEY ISD,COMANCHE,N,N, ,Meets Requirements, ,Sidney ISD
48,15,'048901,EDEN CISD,CONCHO,N,N,0,Meets Requirements, ,Eden CISD
48,15,'048903,PAINT ROCK ISD,CONCHO,N,N,0,Meets Requirements, ,Paint Rock ISD
49,11,'049901,GAINESVILLE ISD,COOKE,N,N,0,Needs Assistance, ,Gainesville ISD
49,11,'049902,MUENSTER ISD,COOKE,N,N,1,Meets Requirements, ,Muenster ISD
49,11,'049903,VALLEY VIEW ISD,COOKE,N,N,0,Meets Requirements, ,Valley View ISD
49,11,'049905,CALLISBURG ISD,COOKE,N,N,0,Meets Requirements, ,Callisburg ISD
49,11,'049906,ERA ISD,COOKE,N,N, ,Meets Requirements, ,Era ISD
49,11,'049907,LINDSAY ISD,COOKE,N,N,0,Meets Requirements, ,Lindsay ISD
49,11,'049908,WALNUT BEND ISD,COOKE,N,N, ,Meets Requirements, ,Walnut Bend ISD
49,11,'049909,SIVELLS BEND ISD,COOKE,N,N, ,Meets Requirements, ,Sivells Bend ISD
50,12,'050901,EVANT ISD,CORYELL,N,N,0,Meets Requirements, ,Evant ISD
50,12,'050902,GATESVILLE ISD,CORYELL,N,N,0,Meets Requirements, ,Gatesville ISD
50,12,'050904,OGLESBY ISD,CORYELL,N,N, ,Meets Requirements, ,Oglesby ISD
50,12,'050909,JONESBORO ISD,CORYELL,N,N, ,Meets Requirements, ,Jonesboro ISD
50,12,'050910,COPPERAS COVE ISD,CORYELL,N,N,0,Needs Assistance, ,Copperas Cove ISD
51,17,'051901,PADUCAH ISD,COTTLE,N,N, ,Meets Requirements, ,Paducah ISD
52,15,'052901,CRANE ISD,CRANE,N,N,0,Meets Requirements, ,Crane ISD
53,15,'053001,CROCKETT COUNTY CONSOLIDATED CSD,CROCKETT,N,N,0,Meets Requirements, ,Crockett County Consolidated CSD
54,17,'054901,CROSBYTON CISD,CROSBY,N,N,0,Meets Requirements, ,Crosbyton CISD
54,17,'054902,LORENZO ISD,CROSBY,N,N, ,Meets Requirements, ,Lorenzo ISD
54,17,'054903,RALLS ISD,CROSBY,N,N,0,Meets Requirements, ,Ralls ISD
55,18,'055901,CULBERSON COUNTY-ALLAMOORE ISD,CULBERSON,N,N, ,Meets Requirements, ,Culberson County-Allamoore ISD
56,16,'056901,DALHART ISD,DALLAM,N,N,0,Meets Requirements, ,Dalhart ISD
56,16,'056902,TEXLINE ISD,DALLAM,N,N, ,Meets Requirements, ,Texline ISD
57,10,'057802,PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,DALLAS,Y,N, ,Meets Requirements, ,Pegasus School Of Liberal Arts And Sciences
57,10,'057803,UPLIFT EDUCATION,DALLAS,Y,N,0,Meets Requirements,ASVAB Test not Offered,Uplift Education
57,10,'057804,TEXANS CAN ACADEMIES,DALLAS,Y,Y, ,Needs Assistance,ASVAB Test not Offered,Texans Can Academies
57,10,'057805,LUMIN EDUCATION,DALLAS,Y,N, ,Meets Requirements, ,Lumin Education
57,10,'057806,ADVANTAGE ACADEMY,DALLAS,Y,N, ,Needs Assistance, ,Advantage Academy
57,10,'057807,LIFE SCHOOL,DALLAS,Y,N,0,Needs Assistance, ,Life School
57,10,'057808,UNIVERSAL ACADEMY,DALLAS,Y,N,0,Meets Requirements, ,Universal Academy
57,10,'057809,NOVA ACADEMY,DALLAS,Y,N, ,Meets Requirements, ,Nova Academy
57,10,'057810,ACADEMY OF DALLAS,DALLAS,Y,N, ,Meets Requirements, ,Academy Of Dallas
57,10,'057813,TRINITY BASIN PREPARATORY,DALLAS,Y,N,0,Meets Requirements, ,Trinity Basin Preparatory
57,10,'057814,ACADEMY FOR ACADEMIC EXCELLENCE,DALLAS,Y,Y, ,Needs Assistance,ASVAB Test not Offered,Academy For Academic Excellence
57,10,'057816,A W BROWN LEADERSHIP ACADEMY,DALLAS,Y,N, ,Meets Requirements, ,A W Brown Leadership Academy
57,10,'057819,JEAN MASSIEU ACADEMY,DALLAS,Y,N, ,Meets Requirements, ,Jean Massieu Academy
