DISTRICT,CNTYNAME,COUNTY,DAD_POST,DFLALTED,DFLCHART,DISTNAME,D_RATING,OUTCOME,REGION
"007902","ATASCOSA","007","0","N","N","JOURDANTON ISD","M","Meets Requirements","20"
"007904","ATASCOSA","007","0","N","N","LYTLE ISD","M","Needs Assistance","20"
"007905","ATASCOSA","007","0","N","N","PLEASANTON ISD","M","Needs Intervention","20"
"007906","ATASCOSA","007","0","N","N","POTEET ISD","M","Meets Requirements","20"
"008901","AUSTIN","008","0","N","N","BELLVILLE ISD","M","Meets Requirements","06"
"008902","AUSTIN","008","0","N","N","SEALY ISD","M","Meets Requirements","06"
"008903","AUSTIN","008","0","N","N","BRAZOS ISD","M","Meets Requirements","06"
"009901","BAILEY","009","0","N","N","MULESHOE ISD","M","Needs Assistance","17"
"010901","BANDERA","010"," ","N","N","MEDINA ISD","M","Meets Requirements","20"
"010902","BANDERA","010","0","N","N","BANDERA ISD","M","Needs Assistance","20"
"011901","BASTROP","011","0","N","N","BASTROP ISD","M","Meets Requirements","13"
"011902","BASTROP","011","0","N","N","ELGIN ISD","M","Needs Intervention","13"
"011904","BASTROP","011","0","N","N","SMITHVILLE ISD","M","Needs Assistance","13"
"011905","BASTROP","011"," ","N","N","MCDADE ISD","M","Meets Requirements","13"
"012901","BAYLOR","012","0","N","N","SEYMOUR ISD","M","Meets Requirements","09"
"013801","BEE","013"," ","N","Y","ST MARY'S ACADEMY CHARTER SCHOOL","M","Meets Requirements","02"
"013901","BEE","013","0","N","N","BEEVILLE ISD","M","Needs Assistance","02"
"013902","BEE","013"," ","N","N","PAWNEE ISD","M","Meets Requirements","02"
"013903","BEE","013","0","N","N","PETTUS ISD","M","Meets Requirements","02"
"013905","BEE","013","0","N","N","SKIDMORE-TYNAN ISD","M","Needs Assistance","02"
"014801","BELL","014"," ","Y","Y","RICHARD MILBURN ALTER HIGH SCHOOL","A","Needs Intervention","12"
"014802","BELL","014"," ","Y","Y","TRANSFORMATIVE CHARTER ACADEMY","A","Meets Requirements","12"
"014803","BELL","014","0","N","Y","PRIORITY CHARTER SCHOOLS","M","Needs Assistance","12"
"014804","BELL","014","0","N","Y","ORENDA CHARTER SCHOOL","M","Meets Requirements","12"
"014901","BELL","014","0","N","N","ACADEMY ISD","M","Meets Requirements","12"
"014902","BELL","014"," ","N","N","BARTLETT ISD","I","Meets Requirements","13"
"014903","BELL","014","0","N","N","BELTON ISD","M","Needs Assistance","12"
"014905","BELL","014","0","N","N","HOLLAND ISD","M","Meets Requirements","12"
"014906","BELL","014","0","N","N","KILLEEN ISD","M","Needs Assistance","12"
"014907","BELL","014","0","N","N","ROGERS ISD","M","Meets Requirements","12"
"014908","BELL","014","0","N","N","SALADO ISD","M","Meets Requirements","12"
"014909","BELL","014","0","N","N","TEMPLE ISD","M","Needs Intervention","12"
"014910","BELL","014","0","N","N","TROY ISD","M","Needs Assistance","12"
"015801","BEXAR","015","0","N","Y","POR VIDA ACADEMY","I","Meets Requirements","20"
"015802","BEXAR","015","0","N","Y","GEORGE GERVIN ACADEMY","M","Meets Requirements","20"
"015803","BEXAR","015"," ","N","Y","HIGGS CARTER KING GIFTED & TALENTE","I","Meets Requirements","20"
"015805","BEXAR","015"," ","N","Y","NEW FRONTIERS CHARTER SCHOOL","M","Needs Intervention","20"
"015806","BEXAR","015","0","N","Y","SCHOOL OF EXCELLENCE IN EDUCATION","M","Meets Requirements","20"
"015807","BEXAR","015"," ","Y","Y","SOUTHWEST PREPARATORY SCHOOL","A","Meets Requirements","20"
"015808","BEXAR","015"," ","Y","Y","JOHN H WOOD JR PUBLIC CHARTER DIST","A","Meets Requirements","20"
"015809","BEXAR","015"," ","N","Y","BEXAR COUNTY ACADEMY","M","Meets Requirements","20"
"015814","BEXAR","015"," ","Y","Y","POSITIVE SOLUTIONS CHARTER SCHOOL","A","Meets Requirements","20"
"015815","BEXAR","015"," ","Y","Y","RADIANCE ACADEMY OF LEARNING","A","Meets Requirements","20"
"015816","BEXAR","015"," ","Y","Y","ACADEMY OF CAREERS AND TECHNOLOGIE","A","Meets Requirements","20"
"015819","BEXAR","015","0","N","Y","SHEKINAH RADIANCE ACADEMY","M","Meets Requirements","20"
"015820","BEXAR","015"," ","Y","Y","SAN ANTONIO SCHOOL FOR INQUIRY & C","A","Meets Requirements","20"
"015822","BEXAR","015","0","N","Y","JUBILEE ACADEMIC CENTER","M","Needs Intervention","20"
"015823","BEXAR","015"," ","Y","Y","SAN ANTONIO TECHNOLOGY ACADEMY","A","Meets Requirements","20"
"015825","BEXAR","015"," ","N","Y","LIGHTHOUSE CHARTER SCHOOL","M","Meets Requirements","20"
"015826","BEXAR","015","0","N","Y","KIPP SAN ANTONIO","M","Needs Assistance","20"
"015827","BEXAR","015","1","N","Y","SCHOOL OF SCIENCE AND TECHNOLOGY","M","Meets Requirements","20"
"015828","BEXAR","015","0","N","Y","HARMONY SCIENCE ACAD (SAN ANTONIO)","M","Meets Requirements","20"
"015830","BEXAR","015","0","N","Y","BROOKS ACADEMY OF SCIENCE AND ENGI","M","Meets Requirements","20"
"015831","BEXAR","015","0","N","Y","SCHOOL OF SCIENCE AND TECHNOLOGY D","M","Meets Requirements","20"
"015832","BEXAR","015"," ","N","Y","CITY CENTER HEALTH CAREERS","I","Meets Requirements","20"
"015833","BEXAR","015"," ","N","Y","HENRY FORD ACADEMY ALAMEDA SCHOOL","M","Meets Requirements","20"
"015834","BEXAR","015"," ","N","Y","BASIS TEXAS","M","Meets Requirements","20"
"015835","BEXAR","015"," ","N","Y","GREAT HEARTS TEXAS","M","Meets Requirements","20"
"015836","BEXAR","015"," ","N","Y","ELEANOR KOLITZ HEBREW LANGUAGE ACA","M","Meets Requirements","20"
"015901","BEXAR","015","0","N","N","ALAMO HEIGHTS ISD","M","Needs Assistance","20"
"015904","BEXAR","015","0","N","N","HARLANDALE ISD","M","Meets Requirements","20"
"015905","BEXAR","015","0","N","N","EDGEWOOD ISD","M","Meets Requirements","20"
"015906","BEXAR","015","0","N","N","RANDOLPH FIELD ISD","M","Meets Requirements","20"
"015907","BEXAR","015","0","N","N","SAN ANTONIO ISD","M","Needs Intervention","20"
"015908","BEXAR","015","0","N","N","SOUTH SAN ANTONIO ISD","M","Needs Assistance","20"
"015909","BEXAR","015","0","N","N","SOMERSET ISD","M","Needs Assistance","20"
"015910","BEXAR","015","0","N","N","NORTH EAST ISD","M","Meets Requirements","20"
"015911","BEXAR","015","0","N","N","EAST CENTRAL ISD","M","Needs Substantial Intervention","20"
"015912","BEXAR","015","0","N","N","SOUTHWEST ISD","M","Needs Intervention","20"
"015913","BEXAR","015","1","N","N","LACKLAND ISD","M","Meets Requirements","20"
"015914","BEXAR","015","0","N","N","FT SAM HOUSTON ISD","M","Meets Requirements","20"
"015915","BEXAR","015","0","N","N","NORTHSIDE ISD","M","Needs Assistance","20"
"015916","BEXAR","015","0","N","N","JUDSON ISD","M","Needs Intervention","20"
"015917","BEXAR","015","0","N","N","SOUTHSIDE ISD","M","Needs Substantial Intervention","20"
"016901","BLANCO","016","0","N","N","JOHNSON CITY ISD","M","Meets Requirements","13"
"016902","BLANCO","016","0","N","N","BLANCO ISD","M","Meets Requirements","13"
"017901","BORDEN","017"," ","N","N","BORDEN COUNTY ISD","M","Meets Requirements","17"
"018901","BOSQUE","018","0","N","N","CLIFTON ISD","M","Meets Requirements","12"
"018902","BOSQUE","018","0","N","N","MERIDIAN ISD","M","Meets Requirements","12"
"018903","BOSQUE","018"," ","N","N","MORGAN ISD","I","Meets Requirements","12"
"018904","BOSQUE","018","0","N","N","VALLEY MILLS ISD","M","Meets Requirements","12"
"018905","BOSQUE","018"," ","N","N","WALNUT SPRINGS ISD","M","Meets Requirements","12"
"018906","BOSQUE","018"," ","N","N","IREDELL ISD","M","Meets Requirements","12"
"018907","BOSQUE","018"," ","N","N","KOPPERL ISD","M","Meets Requirements","12"
"018908","BOSQUE","018"," ","N","N","CRANFILLS GAP ISD","M","Meets Requirements","12"
"019901","BOWIE","019","0","N","N","DEKALB ISD","M","Needs Assistance","08"
"019902","BOWIE","019","0","N","N","HOOKS ISD","M","Needs Assistance","08"
"019903","BOWIE","019"," ","N","N","MAUD ISD","M","Meets Requirements","08"
"019905","BOWIE","019","0","N","N","NEW BOSTON ISD","M","Needs Assistance","08"
"019906","BOWIE","019","0","N","N","REDWATER ISD","M","Meets Requirements","08"
"019907","BOWIE","019","0","N","N","TEXARKANA ISD","M","Needs Substantial Intervention","08"
"019908","BOWIE","019","0","N","N","LIBERTY-EYLAU ISD","M","Needs Intervention","08"
"019909","BOWIE","019","0","N","N","SIMMS ISD","M","Needs Intervention","08"
"019910","BOWIE","019"," ","N","N","MALTA ISD","M","Meets Requirements","08"
"019911","BOWIE","019"," ","N","N","RED LICK ISD","M","Meets Requirements","08"
"019912","BOWIE","019","0","N","N","PLEASANT GROVE ISD","M","Meets Requirements","08"
"019913","BOWIE","019"," ","N","N","HUBBARD ISD","M","Meets Requirements","08"
"019914","BOWIE","019"," ","N","N","LEARY ISD","M","Meets Requirements","08"
"020901","BRAZORIA","020","0","N","N","ALVIN ISD","M","Needs Intervention","04"
"020902","BRAZORIA","020","0","N","N","ANGLETON ISD","M","Needs Intervention","04"
"020904","BRAZORIA","020","0","N","N","DANBURY ISD","M","Meets Requirements","04"
"020905","BRAZORIA","020","0","N","N","BRAZOSPORT ISD","M","Needs Intervention","04"
"020906","BRAZORIA","020","0","N","N","SWEENY ISD","M","Meets Requirements","04"
"020907","BRAZORIA","020","0","N","N","COLUMBIA-BRAZORIA ISD","M","Needs Intervention","04"
"020908","BRAZORIA","020","0","N","N","PEARLAND ISD","M","Meets Requirements","04"
"020910","BRAZORIA","020"," ","N","N","DAMON ISD","I","Meets Requirements","04"
"021803","BRAZOS","021"," ","N","Y","BRAZOS SCHOOL FOR INQUIRY & CREATI","M","Meets Requirements","06"
"021805","BRAZOS","021","0","N","Y","ARROW ACADEMY","M","Meets Requirements","06"
"021901","BRAZOS","021","0","N","N","COLLEGE STATION ISD","M","Needs Intervention","06"
"021902","BRAZOS","021","0","N","N","BRYAN ISD","M","Needs Intervention","06"
"022004","BREWSTER","022"," ","N","N","TERLINGUA CSD","M","Meets Requirements","18"
"022901","BREWSTER","022","0","N","N","ALPINE ISD","M","Meets Requirements","18"
"022902","BREWSTER","022"," ","N","N","MARATHON ISD","M","Meets Requirements","18"
"022903","BREWSTER","022"," ","N","N","SAN VICENTE ISD","M","Meets Requirements","18"
"023902","BRISCOE","023"," ","N","N","SILVERTON ISD","M","Meets Requirements","16"
"024901","BROOKS","024","0","N","N","BROOKS COUNTY ISD","M","Needs Assistance","02"
"025901","BROWN","025","0","N","N","BANGS ISD","M","Meets Requirements","15"
"025902","BROWN","025","0","N","N","BROWNWOOD ISD","M","Needs Assistance","15"
"025904","BROWN","025"," ","N","N","BLANKET ISD","M","Meets Requirements","15"
"025905","BROWN","025","0","N","N","MAY ISD","M","Meets Requirements","15"
"025906","BROWN","025"," ","N","N","ZEPHYR ISD","M","Meets Requirements","15"
"025908","BROWN","025"," ","N","N","BROOKESMITH ISD","M","Meets Requirements","15"
"025909","BROWN","025","1","N","N","EARLY ISD","M","Meets Requirements","15"
"026901","BURLESON","026","0","N","N","CALDWELL ISD","M","Meets Requirements","06"
"026902","BURLESON","026","0","N","N","SOMERVILLE ISD","I","Needs Assistance","06"
"026903","BURLESON","026","0","N","N","SNOOK ISD","I","Meets Requirements","06"
"027903","BURNET","027","0","N","N","BURNET CISD","M","Meets Requirements","13"
"027904","BURNET","027","0","N","N","MARBLE FALLS ISD","M","Needs Assistance","13"
"028902","CALDWELL","028","0","N","N","LOCKHART ISD","M","Needs Intervention","13"
"028903","CALDWELL","028","0","N","N","LULING ISD","M","Needs Intervention","13"
"028906","CALDWELL","028"," ","N","N","PRAIRIE LEA ISD","M","Meets Requirements","13"
"029901","CALHOUN","029","0","N","N","CALHOUN COUNTY ISD","M","Meets Requirements","03"
"030901","CALLAHAN","030","0","N","N","CROSS PLAINS ISD","M","Meets Requirements","14"
"030902","CALLAHAN","030","0","N","N","CLYDE CISD","M","Meets Requirements","14"
"030903","CALLAHAN","030","0","N","N","BAIRD ISD","M","Meets Requirements","14"
"030906","CALLAHAN","030","0","N","N","EULA ISD","M","Meets Requirements","14"
"031901","CAMERON","031","0","N","N","BROWNSVILLE ISD","M","Needs Assistance","01"
"031903","CAMERON","031","0","N","N","HARLINGEN CISD","M","Needs Intervention","01"
"031905","CAMERON","031","0","N","N","LA FERIA ISD","M","Meets Requirements","01"
"031906","CAMERON","031","1","N","N","LOS FRESNOS CISD","M","Needs Assistance","01"
"031909","CAMERON","031","0","N","N","POINT ISABEL ISD","M","Needs Assistance","01"
"031911","CAMERON","031","0","N","N","RIO HONDO ISD","M","Needs Assistance","01"
"031912","CAMERON","031","0","N","N","SAN BENITO CISD","M","Needs Intervention","01"
"031913","CAMERON","031","0","N","N","SANTA MARIA ISD","M","Meets Requirements","01"
"031914","CAMERON","031","0","N","N","SANTA ROSA ISD","M","Meets Requirements","01"
"031916","CAMERON","031","1","N","N","SOUTH TEXAS ISD","M","Meets Requirements","01"
"032902","CAMP","032","0","N","N","PITTSBURG ISD","M","Meets Requirements","08"
"033901","CARSON","033"," ","N","N","GROOM ISD","M","Meets Requirements","16"
"033902","CARSON","033","0","N","N","PANHANDLE ISD","M","Meets Requirements","16"
"033904","CARSON","033","0","N","N","WHITE DEER ISD","M","Meets Requirements","16"
"034901","CASS","034","0","N","N","ATLANTA ISD","M","Needs Assistance","08"
"034902","CASS","034"," ","N","N","AVINGER ISD","M","Meets Requirements","08"
"034903","CASS","034","0","N","N","HUGHES SPRINGS ISD","M","Needs Assistance","08"
"034905","CASS","034","0","N","N","LINDEN-KILDARE CISD","M","Meets Requirements","08"
"034906","CASS","034","0","N","N","MCLEOD ISD","M","Meets Requirements","08"
"034907","CASS","034","0","N","N","QUEEN CITY ISD","M","Needs Intervention","08"
"034909","CASS","034","0","N","N","BLOOMBURG ISD","M","Meets Requirements","08"
"035901","CASTRO","035","0","N","N","DIMMITT ISD","M","Needs Intervention","16"
"035902","CASTRO","035","0","N","N","HART ISD","M","Meets Requirements","16"
"035903","CASTRO","035"," ","N","N","NAZARETH ISD","M","Meets Requirements","16"
"036901","CHAMBERS","036","0","N","N","ANAHUAC ISD","M","Needs Assistance","04"
"036902","CHAMBERS","036","0","N","N","BARBERS HILL ISD","M","Meets Requirements","04"
"036903","CHAMBERS","036","0","N","N","EAST CHAMBERS ISD","M","Meets Requirements","05"
"037901","CHEROKEE","037","0","N","N","ALTO ISD","M","Needs Assistance","07"
"037904","CHEROKEE","037","0","N","N","JACKSONVILLE ISD","M","Meets Requirements","07"
"037907","CHEROKEE","037","0","N","N","RUSK ISD","M","Needs Assistance","07"
"037908","CHEROKEE","037"," ","N","N","NEW SUMMERFIELD ISD","M","Meets Requirements","07"
"037909","CHEROKEE","037","0","N","N","WELLS ISD","I","Meets Requirements","07"
"038901","CHILDRESS","038","0","N","N","CHILDRESS ISD","M","Meets Requirements","16"
"039902","CLAY","039","0","N","N","HENRIETTA ISD","M","Meets Requirements","09"
"039903","CLAY","039","0","N","N","PETROLIA ISD","M","Meets Requirements","09"
"039904","CLAY","039"," ","N","N","BELLEVUE ISD","M","Meets Requirements","09"
"039905","CLAY","039"," ","N","N","MIDWAY ISD","M","Meets Requirements","09"
"040901","COCHRAN","040","0","N","N","MORTON ISD","M","Meets Requirements","17"
"040902","COCHRAN","040","0","N","N","WHITEFACE CISD","M","Meets Requirements","17"
"041901","COKE","041","0","N","N","BRONTE ISD","M","Meets Requirements","15"
"041902","COKE","041","0","N","N","ROBERT LEE ISD","M","Meets Requirements","15"
"042901","COLEMAN","042","0","N","N","COLEMAN ISD","M","Meets Requirements","15"
"042903","COLEMAN","042","0","N","N","SANTA ANNA ISD","M","Meets Requirements","15"
"042905","COLEMAN","042"," ","N","N","PANTHER CREEK CISD","M","Meets Requirements","15"
"043801","COLLIN","043"," ","N","Y","IMAGINE INTERNATIONAL ACADEMY OF N","M","Meets Requirements","10"
"043901","COLLIN","043","0","N","N","ALLEN ISD","M","Meets Requirements","10"
"043902","COLLIN","043","0","N","N","ANNA ISD","M","Needs Assistance","10"
"043903","COLLIN","043","0","N","N","CELINA ISD","M","Meets Requirements","10"
"043904","COLLIN","043","0","N","N","FARMERSVILLE ISD","M","Meets Requirements","10"
"043905","COLLIN","043","0","N","N","FRISCO ISD","M","Meets Requirements","10"
"043907","COLLIN","043","0","N","N","MCKINNEY ISD","M","Meets Requirements","10"
"043908","COLLIN","043","0","N","N","MELISSA ISD","M","Meets Requirements","10"
"043910","COLLIN","043","0","N","N","PLANO ISD","M","Meets Requirements","10"
"043911","COLLIN","043","0","N","N","PRINCETON ISD","M","Needs Assistance","10"
"043912","COLLIN","043","0","N","N","PROSPER ISD","M","Meets Requirements","10"
"043914","COLLIN","043","0","N","N","WYLIE ISD","M","Meets Requirements","10"
"043917","COLLIN","043","0","N","N","BLUE RIDGE ISD","M","Meets Requirements","10"
"043918","COLLIN","043","0","N","N","COMMUNITY ISD","M","Meets Requirements","10"
"043919","COLLIN","043","0","N","N","LOVEJOY ISD","M","Meets Requirements","10"
"044902","COLLINGSWORTH","044","0","N","N","WELLINGTON ISD","M","Meets Requirements","16"
"045902","COLORADO","045","0","N","N","COLUMBUS ISD","M","Meets Requirements","03"
"045903","COLORADO","045","0","N","N","RICE CISD","M","Meets Requirements","03"
"045905","COLORADO","045","0","N","N","WEIMAR ISD","M","Meets Requirements","03"
"046802","COMAL","046"," ","Y","Y","TRINITY CHARTER SCHOOL","X","Meets Requirements","13"
"046901","COMAL","046","0","N","N","NEW BRAUNFELS ISD","M","Meets Requirements","13"
"046902","COMAL","046","0","N","N","COMAL ISD","M","Meets Requirements","13"
"047901","COMANCHE","047","0","N","N","COMANCHE ISD","M","Meets Requirements","14"
"047902","COMANCHE","047","0","N","N","DE LEON ISD","M","Meets Requirements","14"
"047903","COMANCHE","047"," ","N","N","GUSTINE ISD","M","Meets Requirements","14"
"047905","COMANCHE","047"," ","N","N","SIDNEY ISD","M","Meets Requirements","14"
"048901","CONCHO","048","0","N","N","EDEN CISD","M","Meets Requirements","15"
"048903","CONCHO","048"," ","N","N","PAINT ROCK ISD","M","Meets Requirements","15"
"049901","COOKE","049","0","N","N","GAINESVILLE ISD","M","Needs Intervention","11"
"049902","COOKE","049","0","N","N","MUENSTER ISD","M","Meets Requirements","11"
"049903","COOKE","049","0","N","N","VALLEY VIEW ISD","M","Meets Requirements","11"
"049905","COOKE","049","0","N","N","CALLISBURG ISD","M","Meets Requirements","11"
"049906","COOKE","049"," ","N","N","ERA ISD","M","Meets Requirements","11"
"049907","COOKE","049","0","N","N","LINDSAY ISD","M","Meets Requirements","11"
"049908","COOKE","049"," ","N","N","WALNUT BEND ISD","M","Meets Requirements","11"
"049909","COOKE","049"," ","N","N","SIVELLS BEND ISD","M","Meets Requirements","11"
"050901","CORYELL","050","0","N","N","EVANT ISD","M","Meets Requirements","12"
"050902","CORYELL","050","0","N","N","GATESVILLE ISD","M","Needs Assistance","12"
"050904","CORYELL","050"," ","N","N","OGLESBY ISD","I","Meets Requirements","12"
"050909","CORYELL","050"," ","N","N","JONESBORO ISD","I","Meets Requirements","12"
"050910","CORYELL","050","0","N","N","COPPERAS COVE ISD","M","Needs Assistance","12"
"051901","COTTLE","051"," ","N","N","PADUCAH ISD","M","Meets Requirements","17"
"052901","CRANE","052","0","N","N","CRANE ISD","M","Meets Requirements","18"
"053001","CROCKETT","053","0","N","N","CROCKETT COUNTY CONSOLIDATED CSD","M","Meets Requirements","15"
"054901","CROSBY","054","0","N","N","CROSBYTON CISD","M","Meets Requirements","17"
"054902","CROSBY","054","0","N","N","LORENZO ISD","M","Meets Requirements","17"
"054903","CROSBY","054","0","N","N","RALLS ISD","M","Meets Requirements","17"
"055901","CULBERSON","055","0","N","N","CULBERSON COUNTY-ALLAMOORE ISD","M","Meets Requirements","18"
"056901","DALLAM","056","0","N","N","DALHART ISD","M","Meets Requirements","16"
"056902","DALLAM","056"," ","N","N","TEXLINE ISD","M","Meets Requirements","16"
"057802","DALLAS","057"," ","Y","Y","PEGASUS SCHOOL OF LIBERAL ARTS AND","A","Meets Requirements","10"
"057803","DALLAS","057","1","N","Y","UPLIFT EDUCATION - NORTH HILLS PRE","M","Meets Requirements","10"
"057804","DALLAS","057"," ","Y","Y","TEXANS CAN ACADEMIES","A","Needs Intervention","10"
"057805","DALLAS","057"," ","N","Y","LUMIN EDUCATION","M","Meets Requirements","10"
"057806","DALLAS","057"," ","N","Y","ADVANTAGE ACADEMY","M","Needs Assistance","10"
"057807","DALLAS","057","0","N","Y","LIFE SCHOOL","M","Needs Intervention","10"
"057808","DALLAS","057"," ","N","Y","UNIVERSAL ACADEMY","M","Meets Requirements","10"
"057809","DALLAS","057"," ","N","Y","NOVA ACADEMY","M","Meets Requirements","10"
"057810","DALLAS","057"," ","N","Y","ACADEMY OF DALLAS","I","Needs Assistance","10"
"057811","DALLAS","057"," ","N","Y","CHILDREN FIRST ACADEMY OF DALLAS","M","Meets Requirements","10"
"057813","DALLAS","057"," ","N","Y","TRINITY BASIN PREPARATORY","M","Needs Intervention","10"
"057814","DALLAS","057"," ","Y","Y","ACADEMY FOR ACADEMIC EXCELLENCE","X","Meets Requirements","10"
"057815","DALLAS","057"," ","N","Y","FAITH FAMILY ACADEMY OF OAK CLIFF","I","Meets Requirements","10"
"057816","DALLAS","057"," ","N","Y","A W BROWN-FELLOWSHIP LEADERSHIP AC","M","Needs Intervention","10"
"057817","DALLAS","057"," ","N","Y","FOCUS LEARNING ACADEMY","I","Needs Intervention","10"
"057819","DALLAS","057"," ","N","Y","JEAN MASSIEU ACADEMY","M","Meets Requirements","10"
"057827","DALLAS","057"," ","N","Y","NOVA ACADEMY (SOUTHEAST)","M","Needs Intervention","10"
"057828","DALLAS","057"," ","Y","Y","WINFREE ACADEMY CHARTER SCHOOLS","A","Meets Requirements","10"
"057829","DALLAS","057"," ","N","Y","A+ ACADEMY","M","Meets Requirements","10"
"057830","DALLAS","057"," ","N","Y","INSPIRED VISION ACADEMY","M","Meets Requirements","10"
"057831","DALLAS","057","0","N","Y","GATEWAY CHARTER ACADEMY","M","Needs Assistance","10"
"057832","DALLAS","057"," ","Y","Y","ALPHA CHARTER SCHOOL","A","Meets Requirements","10"
"057833","DALLAS","057"," ","N","Y","EDUCATION CENTER INTERNATIONAL ACA","M","Meets Requirements","10"
"057834","DALLAS","057"," ","Y","Y","EVOLUTION ACADEMY CHARTER SCHOOL","A","Needs Assistance","10"
"057835","DALLAS","057"," ","N","Y","GOLDEN RULE CHARTER SCHOOL","M","Meets Requirements","10"
"057836","DALLAS","057"," ","N","Y","ST ANTHONY SCHOOL","M","Meets Requirements","10"
"057837","DALLAS","057"," ","N","Y","KIPP DALLAS-FORT WORTH","M","Needs Intervention","10"
"057838","DALLAS","057","0","N","Y","UPLIFT EDUCATION - PEAK PREPARATOR","M","Needs Assistance","10"
"057839","DALLAS","057"," ","N","Y","LA ACADEMIA DE ESTRELLAS","M","Meets Requirements","10"
"057840","DALLAS","057"," ","N","Y","RICHLAND COLLEGIATE HIGH SCHOOL","M","Meets Requirements","10"
"057841","DALLAS","057"," ","N","Y","CITYSCAPE SCHOOLS","M","Meets Requirements","10"
"057842","DALLAS","057","0","N","Y","UPLIFT EDUCATION - WILLIAMS PREPAR","M","Meets Requirements","10"
"057843","DALLAS","057","0","N","Y","UPLIFT EDUCATION - HAMPTON PREPARA","M","Meets Requirements","10"
"057844","DALLAS","057"," ","N","Y","MANARA ACADEMY","M","Meets Requirements","10"
"057845","DALLAS","057"," ","N","Y","UME PREPARATORY ACADEMY","M","Meets Requirements","10"
"057846","DALLAS","057"," ","N","Y","LEGACY PREPARATORY","M","Needs Intervention","10"
"057847","DALLAS","057"," ","N","Y","VILLAGE TECH SCHOOLS","M","Meets Requirements","10"
"057848","DALLAS","057","0","N","Y","INTERNATIONAL LEADERSHIP OF TEXAS","M","Needs Assistance","10"
"057903","DALLAS","057","0","N","N","CARROLLTON-FARMERS BRANCH ISD","M","Needs Assistance","10"
"057904","DALLAS","057","0","N","N","CEDAR HILL ISD","M","Needs Intervention","10"
"057905","DALLAS","057","0","N","N","DALLAS ISD","M","Needs Intervention","10"
"057906","DALLAS","057","0","N","N","DESOTO ISD","M","Needs Intervention","10"
"057907","DALLAS","057","0","N","N","DUNCANVILLE ISD","M","Needs Intervention","10"
"057909","DALLAS","057","0","N","N","GARLAND ISD","M","Needs Intervention","10"
"057910","DALLAS","057","0","N","N","GRAND PRAIRIE ISD","M","Needs Assistance","10"
"057911","DALLAS","057","0","N","N","HIGHLAND PARK ISD","M","Meets Requirements","10"
"057912","DALLAS","057","0","N","N","IRVING ISD","M","Needs Intervention","10"
"057913","DALLAS","057","0","N","N","LANCASTER ISD","M","Needs Intervention","10"
"057914","DALLAS","057","0","N","N","MESQUITE ISD","M","Needs Intervention","10"
"057916","DALLAS","057","0","N","N","RICHARDSON ISD","M","Needs Assistance","10"
"057919","DALLAS","057","1","N","N","SUNNYVALE ISD","M","Meets Requirements","10"
"057922","DALLAS","057","0","N","N","COPPELL ISD","M","Needs Assistance","10"
"058902","DAWSON","058"," ","N","N","DAWSON ISD","M","Meets Requirements","17"
"058905","DAWSON","058"," ","N","N","KLONDIKE ISD","M","Meets Requirements","17"
"058906","DAWSON","058","0","N","N","LAMESA ISD","M","Needs Assistance","17"
"058909","DAWSON","058"," ","N","N","SANDS CISD","M","Meets Requirements","17"
"059901","DEAF SMITH","059","0","N","N","HEREFORD ISD","M","Meets Requirements","16"
"059902","DEAF SMITH","059"," ","N","N","WALCOTT ISD","M","Meets Requirements","16"
