Region Code,TEA Region,County Number,County Name,gender,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
3,Victoria,88,GOLIAD,Female,48,48,100%,46,96%,,nan,43,90%,16,33%,16,33%,32,67%,,nan,17,35%
3,Victoria,88,GOLIAD,Male,67,65,97%,60,90%,5,7%,54,81%,9,13%,20,30%,29,43%,,nan,16,24%
3,Victoria,120,JACKSON,Female,131,126,96%,124,95%,,nan,117,89%,42,32%,44,34%,86,66%,,nan,51,39%
3,Victoria,120,JACKSON,Male,128,123,96%,119,93%,,nan,108,84%,18,14%,50,39%,68,53%,,nan,37,29%
3,Victoria,128,KARNES,Female,87,85,98%,76,87%,11,13%,75,86%,25,29%,26,30%,51,59%,,nan,32,37%
3,Victoria,128,KARNES,Male,87,84,97%,75,86%,6,7%,74,85%,14,16%,27,31%,41,47%,,nan,16,18%
3,Victoria,143,LAVACA,Female,66,66,100%,62,94%,,nan,57,86%,16,24%,28,42%,44,67%,,nan,29,44%
3,Victoria,143,LAVACA,Male,82,78,95%,78,95%,,nan,76,93%,19,23%,30,37%,49,60%,,nan,36,44%
3,Victoria,158,MATAGORDA,Female,282,273,97%,237,84%,23,8%,224,79%,53,19%,118,42%,171,61%,7,2%,85,30%
3,Victoria,158,MATAGORDA,Male,271,262,97%,204,75%,55,20%,210,77%,28,10%,90,33%,118,44%,,nan,55,20%
3,Victoria,196,REFUGIO,Female,46,45,98%,44,96%,,nan,42,91%,16,35%,16,35%,32,70%,,nan,19,41%
3,Victoria,196,REFUGIO,Male,52,51,98%,49,94%,,nan,44,85%,7,13%,19,37%,26,50%,,nan,16,31%
3,Victoria,235,VICTORIA,Female,513,485,95%,423,82%,33,6%,378,74%,83,16%,206,40%,289,56%,20,4%,133,26%
3,Victoria,235,VICTORIA,Male,486,472,97%,378,78%,68,14%,342,70%,55,11%,147,30%,202,42%,10,2%,83,17%
3,Victoria,241,WHARTON,Female,299,280,94%,249,83%,35,12%,257,86%,50,17%,142,47%,192,64%,5,2%,103,34%
3,Victoria,241,WHARTON,Male,263,252,96%,202,77%,52,20%,208,79%,22,8%,120,46%,142,54%,6,2%,71,27%
4,Houston,20,BRAZORIA,Female,2081,2029,98%,1909,92%,88,4%,1787,86%,476,23%,834,40%,1310,63%,53,3%,745,36%
4,Houston,20,BRAZORIA,Male,2357,2275,97%,2034,86%,210,9%,1946,83%,455,19%,868,37%,1323,56%,56,2%,614,26%
4,Houston,36,CHAMBERS,Female,262,256,98%,248,95%,,nan,232,89%,79,30%,111,42%,190,73%,,nan,111,42%
4,Houston,36,CHAMBERS,Male,257,244,95%,227,88%,15,6%,222,86%,57,22%,95,37%,152,59%,,nan,78,30%
4,Houston,79,FORT BEND,Female,3804,3668,96%,3354,88%,242,6%,3286,86%,1321,35%,1233,32%,2554,67%,98,3%,1498,39%
4,Houston,79,FORT BEND,Male,4060,3876,95%,3370,83%,436,11%,3331,82%,1180,29%,1227,30%,2407,59%,109,3%,1176,29%
4,Houston,84,GALVESTON,Female,2810,2714,97%,2525,90%,125,4%,2378,85%,803,29%,1106,39%,1909,68%,86,3%,1118,40%
4,Houston,84,GALVESTON,Male,2982,2887,97%,2594,87%,221,7%,2465,83%,746,25%,999,34%,1745,59%,62,2%,890,30%
4,Houston,101,HARRIS,Female,28445,27131,95%,24564,86%,1950,7%,23079,81%,6442,23%,9435,33%,15877,56%,766,3%,7719,27%
4,Houston,101,HARRIS,Male,29580,28099,95%,24231,82%,3216,11%,22589,76%,4993,17%,8741,30%,13734,46%,712,2%,5419,18%
4,Houston,146,LIBERTY,Female,535,515,96%,460,86%,33,6%,400,75%,74,14%,200,37%,274,51%,23,4%,133,25%
4,Houston,146,LIBERTY,Male,543,507,93%,413,76%,79,15%,370,68%,56,10%,139,26%,195,36%,16,3%,75,14%
4,Houston,237,WALLER,Female,314,301,96%,260,83%,31,10%,252,80%,48,15%,93,30%,141,45%,7,2%,58,18%
4,Houston,237,WALLER,Male,344,333,97%,269,78%,61,18%,267,78%,38,11%,73,21%,111,32%,,nan,50,15%
5,Beaumont,84,GALVESTON,Female,,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan
5,Beaumont,84,GALVESTON,Male,,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan
5,Beaumont,100,HARDIN,Female,386,365,95%,346,90%,6,2%,304,79%,130,34%,88,23%,218,56%,19,5%,117,30%
5,Beaumont,100,HARDIN,Male,462,442,96%,399,86%,25,5%,358,77%,120,26%,110,24%,230,50%,12,3%,90,19%
5,Beaumont,121,JASPER,Female,233,222,95%,207,89%,6,3%,173,74%,55,24%,68,29%,123,53%,11,5%,56,24%
5,Beaumont,121,JASPER,Male,255,237,93%,224,88%,12,5%,201,79%,46,18%,64,25%,110,43%,,nan,50,20%
5,Beaumont,123,JEFFERSON,Female,1476,1434,97%,1321,90%,73,5%,1199,81%,406,28%,425,29%,831,56%,35,2%,387,26%
5,Beaumont,123,JEFFERSON,Male,1496,1430,96%,1259,84%,126,8%,1101,74%,303,20%,355,24%,658,44%,37,2%,296,20%
5,Beaumont,176,NEWTON,Female,,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan
5,Beaumont,176,NEWTON,Male,,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan
5,Beaumont,181,ORANGE,Female,627,596,95%,531,85%,42,7%,476,76%,123,20%,231,37%,354,56%,21,3%,177,28%
5,Beaumont,181,ORANGE,Male,598,574,96%,479,80%,67,11%,462,77%,87,15%,174,29%,261,44%,14,2%,118,20%
5,Beaumont,229,TYLER,Female,127,125,98%,114,90%,,nan,99,78%,26,20%,42,33%,68,54%,,nan,29,23%
5,Beaumont,229,TYLER,Male,117,113,97%,107,91%,,nan,92,79%,13,11%,26,22%,39,33%,,nan,18,15%
6,Huntsville,8,AUSTIN,Female,207,196,95%,187,90%,5,2%,174,84%,54,26%,78,38%,132,64%,7,3%,76,37%
6,Huntsville,8,AUSTIN,Male,194,187,96%,176,91%,8,4%,172,89%,27,14%,63,32%,90,46%,,nan,41,21%
6,Huntsville,21,BRAZOS,Female,923,867,94%,741,80%,110,12%,753,82%,198,21%,290,31%,488,53%,14,2%,260,28%
6,Huntsville,21,BRAZOS,Male,1007,947,94%,704,70%,222,22%,741,74%,161,16%,251,25%,412,41%,12,1%,211,21%
6,Huntsville,26,BURLESON,Female,86,83,97%,79,92%,,nan,71,83%,19,22%,30,35%,49,57%,,nan,28,33%
6,Huntsville,26,BURLESON,Male,119,114,96%,107,90%,8,7%,98,82%,18,15%,32,27%,50,42%,,nan,30,25%
6,Huntsville,93,GRIMES,Female,155,149,96%,137,88%,9,6%,127,82%,28,18%,50,32%,78,50%,,nan,35,23%
6,Huntsville,93,GRIMES,Male,144,140,97%,117,81%,16,11%,110,76%,26,18%,38,26%,64,44%,,nan,27,19%
6,Huntsville,113,HOUSTON,Female,105,101,96%,93,89%,9,9%,87,83%,23,22%,35,33%,58,55%,,nan,29,28%
6,Huntsville,113,HOUSTON,Male,136,126,93%,112,82%,16,12%,115,85%,16,12%,45,33%,61,45%,,nan,26,19%
6,Huntsville,145,LEON,Female,109,102,94%,94,86%,,nan,85,78%,24,22%,48,44%,72,66%,7,6%,30,28%
6,Huntsville,145,LEON,Male,143,138,97%,132,92%,,nan,119,83%,25,17%,43,30%,68,48%,,nan,36,25%
6,Huntsville,154,MADISON,Female,79,74,94%,74,94%,,nan,69,87%,25,32%,23,29%,48,61%,,nan,21,27%
6,Huntsville,154,MADISON,Male,93,85,91%,75,81%,5,5%,70,75%,20,22%,21,23%,41,44%,,nan,17,18%
6,Huntsville,166,MILAM,Female,158,152,96%,141,89%,9,6%,132,84%,34,22%,53,34%,87,55%,,nan,36,23%
6,Huntsville,166,MILAM,Male,157,153,97%,131,83%,18,11%,125,80%,21,13%,56,36%,77,49%,,nan,33,21%
6,Huntsville,170,MONTGOMERY,Female,3208,3052,95%,2783,87%,180,6%,2570,80%,738,23%,1055,33%,1793,56%,129,4%,939,29%
6,Huntsville,170,MONTGOMERY,Male,3400,3236,95%,2833,83%,327,10%,2668,78%,611,18%,922,27%,1533,45%,90,3%,684,20%
6,Huntsville,187,POLK,Female,279,263,94%,244,87%,15,5%,221,79%,50,18%,88,32%,138,49%,8,3%,65,23%
6,Huntsville,187,POLK,Male,249,234,94%,208,84%,20,8%,197,79%,31,12%,53,21%,84,34%,,nan,34,14%
6,Huntsville,198,ROBERTSON,Female,114,112,98%,105,92%,6,5%,99,87%,30,26%,36,32%,66,58%,,nan,34,30%
6,Huntsville,198,ROBERTSON,Male,114,109,96%,105,92%,,nan,97,85%,14,12%,39,34%,53,46%,,nan,15,13%
6,Huntsville,204,SAN JACINTO,Female,144,134,93%,109,76%,17,12%,103,72%,18,13%,47,33%,65,45%,,nan,29,20%
6,Huntsville,204,SAN JACINTO,Male,152,139,91%,113,74%,24,16%,110,72%,13,9%,27,18%,40,26%,,nan,14,9%
6,Huntsville,228,TRINITY,Female,91,82,90%,76,84%,7,8%,69,76%,20,22%,28,31%,48,53%,,nan,23,25%
6,Huntsville,228,TRINITY,Male,95,90,95%,83,87%,9,9%,71,75%,15,16%,24,25%,39,41%,,nan,11,12%
6,Huntsville,236,WALKER,Female,256,245,96%,227,89%,17,7%,216,84%,70,27%,67,26%,137,54%,6,2%,63,25%
6,Huntsville,236,WALKER,Male,257,248,97%,205,80%,35,14%,205,80%,51,20%,56,22%,107,42%,5,2%,37,14%
6,Huntsville,239,WASHINGTON,Female,172,169,98%,159,92%,8,5%,142,83%,43,25%,63,37%,106,62%,,nan,72,42%
6,Huntsville,239,WASHINGTON,Male,193,184,95%,175,91%,12,6%,157,81%,30,16%,60,31%,90,47%,5,3%,43,22%
7,Kilgore,1,ANDERSON,Female,299,287,96%,269,90%,14,5%,244,82%,56,19%,119,40%,175,59%,8,3%,95,32%
7,Kilgore,1,ANDERSON,Male,314,296,94%,261,83%,29,9%,230,73%,48,15%,74,24%,122,39%,,nan,56,18%
7,Kilgore,3,ANGELINA,Female,613,592,97%,570,93%,11,2%,538,88%,113,18%,249,41%,362,59%,10,2%,161,26%
7,Kilgore,3,ANGELINA,Male,626,601,96%,557,89%,41,7%,535,85%,88,14%,207,33%,295,47%,10,2%,125,20%
7,Kilgore,37,CHEROKEE,Female,320,307,96%,282,88%,11,3%,254,79%,49,15%,113,35%,162,51%,8,3%,81,25%
7,Kilgore,37,CHEROKEE,Male,308,287,93%,238,77%,41,13%,214,69%,20,6%,75,24%,95,31%,,nan,36,12%
7,Kilgore,92,GREGG,Female,812,765,94%,731,90%,26,3%,654,81%,123,15%,329,41%,452,56%,20,2%,209,26%
7,Kilgore,92,GREGG,Male,889,837,94%,773,87%,53,6%,715,80%,110,12%,323,36%,433,49%,15,2%,181,20%
7,Kilgore,102,HARRISON,Female,431,407,94%,383,89%,12,3%,358,83%,94,22%,136,32%,230,53%,6,1%,108,25%
7,Kilgore,102,HARRISON,Male,492,471,96%,432,88%,25,5%,406,83%,79,16%,152,31%,231,47%,,nan,94,19%
7,Kilgore,107,HENDERSON,Female,332,317,95%,300,90%,13,4%,264,80%,57,17%,130,39%,187,56%,17,5%,91,27%
7,Kilgore,107,HENDERSON,Male,399,384,96%,360,90%,14,4%,319,80%,46,12%,132,33%,178,45%,10,3%,77,19%
7,Kilgore,174,NACOGDOCHES,Female,390,371,95%,345,88%,26,7%,322,83%,99,25%,127,33%,226,58%,5,1%,119,31%
7,Kilgore,174,NACOGDOCHES,Male,435,411,94%,369,85%,43,10%,336,77%,84,19%,105,24%,189,43%,11,3%,96,22%
7,Kilgore,183,PANOLA,Female,154,149,97%,132,86%,7,5%,117,76%,28,18%,68,44%,96,62%,7,5%,58,38%
7,Kilgore,183,PANOLA,Male,155,145,94%,131,85%,9,6%,120,77%,26,17%,53,34%,79,51%,,nan,36,23%
7,Kilgore,190,RAINS,Female,69,67,97%,64,93%,,nan,57,83%,18,26%,25,36%,43,62%,,nan,13,19%
7,Kilgore,190,RAINS,Male,67,67,100%,57,85%,5,7%,53,79%,10,15%,22,33%,32,48%,,nan,14,21%
7,Kilgore,201,RUSK,Female,265,251,95%,242,91%,13,5%,229,86%,28,11%,110,42%,138,52%,6,2%,65,25%
7,Kilgore,201,RUSK,Male,276,270,98%,250,91%,14,5%,235,85%,30,11%,98,36%,128,46%,,nan,61,22%
7,Kilgore,202,SABINE,Female,61,60,98%,57,93%,,nan,49,80%,8,13%,23,38%,31,51%,,nan,9,15%
7,Kilgore,202,SABINE,Male,62,56,90%,49,79%,6,10%,44,71%,9,15%,13,21%,22,35%,,nan,11,18%
7,Kilgore,203,SAN AUGUSTINE,Female,36,34,94%,32,89%,,nan,29,81%,7,19%,15,42%,22,61%,,nan,10,28%
7,Kilgore,203,SAN AUGUSTINE,Male,41,40,98%,40,98%,,nan,36,88%,6,15%,8,20%,14,34%,,nan,,nan
7,Kilgore,210,SHELBY,Female,166,160,96%,150,90%,,nan,132,80%,27,16%,77,46%,104,63%,,nan,56,34%
7,Kilgore,210,SHELBY,Male,191,183,96%,165,86%,9,5%,150,79%,23,12%,71,37%,94,49%,,nan,40,21%
7,Kilgore,212,SMITH,Female,1250,1193,95%,1101,88%,54,4%,992,79%,193,15%,536,43%,729,58%,53,4%,373,30%
7,Kilgore,212,SMITH,Male,1341,1263,94%,1132,84%,115,9%,1010,75%,177,13%,419,31%,596,44%,38,3%,249,19%
7,Kilgore,230,UPSHUR,Female,250,240,96%,228,91%,6,2%,208,83%,52,21%,95,38%,147,59%,,nan,84,34%
7,Kilgore,230,UPSHUR,Male,274,261,95%,248,91%,12,4%,228,83%,29,11%,106,39%,135,49%,,nan,57,21%
7,Kilgore,234,VAN ZANDT,Female,196,192,98%,183,93%,,nan,168,86%,43,22%,67,34%,110,56%,,nan,71,36%
7,Kilgore,234,VAN ZANDT,Male,192,187,97%,169,88%,7,4%,160,83%,26,14%,69,36%,95,49%,,nan,47,24%
7,Kilgore,250,WOOD,Female,231,223,97%,209,90%,,nan,192,83%,50,22%,90,39%,140,61%,7,3%,74,32%
7,Kilgore,250,WOOD,Male,236,223,94%,206,87%,10,4%,188,80%,28,12%,79,33%,107,45%,,nan,41,17%
8,Mt. Pleasant,19,BOWIE,Female,609,578,95%,533,88%,22,4%,500,82%,102,17%,247,41%,349,57%,24,4%,161,26%
8,Mt. Pleasant,19,BOWIE,Male,665,614,92%,565,85%,42,6%,502,75%,67,10%,179,27%,246,37%,15,2%,97,15%
8,Mt. Pleasant,32,CAMP,Female,91,87,96%,85,93%,,nan,77,85%,8,9%,41,45%,49,54%,,nan,24,26%
8,Mt. Pleasant,32,CAMP,Male,91,89,98%,82,90%,,nan,67,74%,6,7%,29,32%,35,38%,,nan,16,18%
8,Mt. Pleasant,34,CASS,Female,194,187,96%,183,94%,,nan,164,85%,39,20%,75,39%,114,59%,6,3%,54,28%
8,Mt. Pleasant,34,CASS,Male,218,210,96%,190,87%,13,6%,178,82%,19,9%,67,31%,86,39%,,nan,40,18%
8,Mt. Pleasant,60,DELTA,Female,38,37,97%,37,97%,,nan,34,89%,,nan,21,55%,25,66%,,nan,15,39%
8,Mt. Pleasant,60,DELTA,Male,44,41,93%,40,91%,,nan,39,89%,,nan,22,50%,26,59%,,nan,10,23%
8,Mt. Pleasant,80,FRANKLIN,Female,66,64,97%,59,89%,,nan,54,82%,10,15%,27,41%,37,56%,,nan,22,33%
8,Mt. Pleasant,80,FRANKLIN,Male,44,43,98%,43,98%,,nan,39,89%,,nan,24,55%,27,61%,,nan,9,20%
8,Mt. Pleasant,112,HOPKINS,Female,218,211,97%,198,91%,7,3%,180,83%,58,27%,81,37%,139,64%,7,3%,73,33%
8,Mt. Pleasant,112,HOPKINS,Male,252,236,94%,204,81%,31,12%,206,82%,48,19%,83,33%,131,52%,5,2%,65,26%
8,Mt. Pleasant,139,LAMAR,Female,315,297,94%,274,87%,14,4%,253,80%,59,19%,152,48%,211,67%,7,2%,102,32%
8,Mt. Pleasant,139,LAMAR,Male,347,324,93%,288,83%,26,7%,265,76%,34,10%,132,38%,166,48%,7,2%,80,23%
8,Mt. Pleasant,155,MARION,Female,38,33,87%,31,82%,,nan,28,74%,9,24%,10,26%,19,50%,,nan,6,16%
8,Mt. Pleasant,155,MARION,Male,47,45,96%,45,96%,,nan,41,87%,,nan,19,40%,23,49%,,nan,13,28%
8,Mt. Pleasant,172,MORRIS,Female,92,85,92%,80,87%,,nan,72,78%,12,13%,50,54%,62,67%,,nan,24,26%
8,Mt. Pleasant,172,MORRIS,Male,81,74,91%,65,80%,10,12%,62,77%,8,10%,17,21%,25,31%,,nan,7,9%
8,Mt. Pleasant,194,RED RIVER,Female,101,94,93%,90,89%,,nan,82,81%,9,9%,55,54%,64,63%,,nan,31,31%
8,Mt. Pleasant,194,RED RIVER,Male,91,85,93%,78,86%,,nan,72,79%,,nan,35,38%,38,42%,,nan,17,19%
8,Mt. Pleasant,225,TITUS,Female,252,239,95%,210,83%,23,9%,206,82%,23,9%,123,49%,146,58%,8,3%,81,32%
8,Mt. Pleasant,225,TITUS,Male,267,252,94%,207,78%,37,14%,210,79%,19,7%,97,36%,116,43%,7,3%,47,18%
9,Wichita Falls,5,ARCHER,Female,78,77,99%,73,94%,,nan,67,86%,18,23%,27,35%,45,58%,,nan,27,35%
9,Wichita Falls,5,ARCHER,Male,73,71,97%,69,95%,,nan,66,90%,27,37%,17,23%,44,60%,,nan,32,44%
9,Wichita Falls,12,BAYLOR,Female,26,26,100%,23,88%,,nan,22,85%,9,35%,12,46%,21,81%,,nan,13,50%
9,Wichita Falls,12,BAYLOR,Male,18,17,94%,17,94%,,nan,14,78%,,nan,,nan,8,44%,,nan,,nan
9,Wichita Falls,39,CLAY,Female,63,62,98%,63,100%,,nan,57,90%,15,24%,23,37%,38,60%,,nan,18,29%
9,Wichita Falls,39,CLAY,Male,72,69,96%,67,93%,,nan,62,86%,11,15%,17,24%,28,39%,,nan,11,15%
9,Wichita Falls,78,FOARD,Female,,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan
9,Wichita Falls,78,FOARD,Male,,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan
9,Wichita Falls,99,HARDEMAN,Female,22,21,95%,20,91%,,nan,20,91%,6,27%,9,41%,15,68%,,nan,10,45%
9,Wichita Falls,99,HARDEMAN,Male,26,25,96%,23,88%,,nan,20,77%,,nan,6,23%,9,35%,,nan,,nan
9,Wichita Falls,119,JACK,Female,58,56,97%,54,93%,,nan,52,90%,11,19%,30,52%,41,71%,,nan,24,41%
9,Wichita Falls,119,JACK,Male,48,47,98%,45,94%,,nan,41,85%,6,13%,15,31%,21,44%,,nan,13,27%
9,Wichita Falls,138,KNOX,Female,,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan
9,Wichita Falls,138,KNOX,Male,,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan
9,Wichita Falls,169,MONTAGUE,Female,134,129,96%,128,96%,,nan,118,88%,41,31%,35,26%,76,57%,,nan,42,31%
9,Wichita Falls,169,MONTAGUE,Male,116,110,95%,98,84%,8,7%,91,78%,20,17%,26,22%,46,40%,,nan,18,16%
9,Wichita Falls,224,THROCKMORTON,Female,8,8,100%,8,100%,,nan,5,63%,,nan,5,63%,6,75%,,nan,,nan
9,Wichita Falls,224,THROCKMORTON,Male,19,19,100%,17,89%,,nan,16,84%,6,32%,,nan,10,53%,,nan,,nan
9,Wichita Falls,243,WICHITA,Female,788,734,93%,678,86%,38,5%,646,82%,206,26%,221,28%,427,54%,20,3%,198,25%
9,Wichita Falls,243,WICHITA,Male,781,724,93%,651,83%,62,8%,621,80%,161,21%,166,21%,327,42%,16,2%,140,18%
9,Wichita Falls,244,WILBARGER,Female,84,77,92%,75,89%,,nan,70,83%,11,13%,39,46%,50,60%,,nan,20,24%
9,Wichita Falls,244,WILBARGER,Male,95,87,92%,85,89%,5,5%,77,81%,12,13%,32,34%,44,46%,,nan,20,21%
9,Wichita Falls,252,YOUNG,Female,118,114,97%,109,92%,,nan,100,85%,29,25%,30,25%,59,50%,,nan,31,26%
9,Wichita Falls,252,YOUNG,Male,122,118,97%,109,89%,9,7%,102,84%,33,27%,19,16%,52,43%,,nan,21,17%
10,Richardson,43,COLLIN,Female,6027,5742,95%,5479,91%,155,3%,5251,87%,1798,30%,2027,34%,3825,63%,183,3%,2324,39%
10,Richardson,43,COLLIN,Male,6316,6067,96%,5617,89%,309,5%,5379,85%,1546,24%,2101,33%,3647,58%,175,3%,1836,29%
10,Richardson,57,DALLAS,Female,15831,14946,94%,13705,87%,1122,7%,13031,82%,3431,22%,4931,31%,8362,53%,324,2%,3760,24%
10,Richardson,57,DALLAS,Male,16787,15577,93%,13542,81%,2058,12%,12725,76%,2541,15%,4658,28%,7199,43%,318,2%,2507,15%
10,Richardson,70,ELLIS,Female,1188,1152,97%,1091,92%,47,4%,1032,87%,290,24%,447,38%,737,62%,23,2%,393,33%
10,Richardson,70,ELLIS,Male,1270,1219,96%,1079,85%,111,9%,1022,80%,234,18%,416,33%,650,51%,23,2%,306,24%
10,Richardson,74,FANNIN,Female,206,196,95%,185,90%,,nan,165,80%,47,23%,71,34%,118,57%,6,3%,57,28%
10,Richardson,74,FANNIN,Male,206,196,95%,188,91%,8,4%,177,86%,30,15%,63,31%,93,45%,,nan,37,18%
10,Richardson,91,GRAYSON,Female,768,728,95%,681,89%,30,4%,620,81%,141,18%,327,43%,468,61%,24,3%,233,30%
10,Richardson,91,GRAYSON,Male,835,787,94%,708,85%,52,6%,643,77%,125,15%,282,34%,407,49%,22,3%,186,22%
