Region Code,TEA Region,County Number,County Name,economic-status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
02,Corpus Christi,178,NUECES,Economically Disadvantaged,2236,1999,0.89,1518,0.68,460,0.21,1385,0.62,232,0.10,689,0.31,11,0.00,932,0.42,81,0.04,183,0.08
02,Corpus Christi,205,SAN PATRICIO,Not Economically Disadvantaged,557,513,0.92,456,0.82,53,0.10,428,0.77,143,0.26,179,0.32,6,0.01,328,0.59,17,0.03,132,0.24
02,Corpus Christi,205,SAN PATRICIO,Economically Disadvantaged,574,532,0.93,394,0.69,111,0.19,351,0.61,59,0.10,148,0.26,5,0.01,212,0.37,22,0.04,42,0.07
03,Victoria,029,CALHOUN,Not Economically Disadvantaged,178,163,0.92,155,0.87,7,0.04,144,0.81,27,0.15,72,0.40,1,0.01,100,0.56,1,0.01,44,0.25
03,Victoria,029,CALHOUN,Economically Disadvantaged,135,125,0.93,96,0.71,23,0.17,85,0.63,1,0.01,36,0.27,1,0.01,38,0.28,3,0.02,8,0.06
03,Victoria,045,COLORADO,Not Economically Disadvantaged,161,156,0.97,148,0.92,4,0.02,139,0.86,32,0.20,85,0.53,0,0.00,117,0.73,5,0.03,73,0.45
03,Victoria,045,COLORADO,Economically Disadvantaged,158,140,0.89,123,0.78,8,0.05,98,0.62,11,0.07,39,0.25,2,0.01,52,0.33,6,0.04,13,0.08
03,Victoria,062,DE WITT,Not Economically Disadvantaged,176,166,0.94,152,0.86,14,0.08,146,0.83,46,0.26,77,0.44,0,0.00,123,0.70,6,0.03,61,0.35
03,Victoria,062,DE WITT,Economically Disadvantaged,171,165,0.97,118,0.69,39,0.23,110,0.64,14,0.08,46,0.27,0,0.00,60,0.35,3,0.02,19,0.11
03,Victoria,088,GOLIAD,Not Economically Disadvantaged,70,69,0.99,64,0.91,5,0.07,58,0.83,17,0.24,30,0.43,1,0.01,48,0.69,4,0.06,21,0.30
03,Victoria,088,GOLIAD,Economically Disadvantaged,33,32,0.97,28,0.85,5,0.15,27,0.82,1,0.03,11,0.33,1,0.03,13,0.39,1,0.03,2,0.06
03,Victoria,120,JACKSON,Not Economically Disadvantaged,181,180,0.99,174,0.96,3,0.02,166,0.92,50,0.28,90,0.50,3,0.02,143,0.79,4,0.02,80,0.44
03,Victoria,120,JACKSON,Economically Disadvantaged,82,76,0.93,63,0.77,12,0.15,57,0.70,5,0.06,27,0.33,0,0.00,32,0.39,2,0.02,14,0.17
03,Victoria,128,KARNES,Not Economically Disadvantaged,76,76,1.00,71,0.93,5,0.07,72,0.95,22,0.29,37,0.49,0,0.00,59,0.78,1,0.01,36,0.47
03,Victoria,128,KARNES,Economically Disadvantaged,102,102,1.00,78,0.77,17,0.17,69,0.68,4,0.04,20,0.20,1,0.01,25,0.25,2,0.02,8,0.08
03,Victoria,143,LAVACA,Not Economically Disadvantaged,118,116,0.98,109,0.92,3,0.03,107,0.91,36,0.31,53,0.45,0,0.00,89,0.75,4,0.03,59,0.50
03,Victoria,143,LAVACA,Economically Disadvantaged,54,52,0.96,47,0.87,3,0.06,44,0.82,8,0.15,16,0.30,0,0.00,24,0.44,0,0.00,14,0.26
03,Victoria,158,MATAGORDA,Not Economically Disadvantaged,291,280,0.96,246,0.85,35,0.12,242,0.83,74,0.25,123,0.42,6,0.02,203,0.70,12,0.04,97,0.33
03,Victoria,158,MATAGORDA,Economically Disadvantaged,372,341,0.92,225,0.61,114,0.31,250,0.67,30,0.08,96,0.26,4,0.01,130,0.35,8,0.02,35,0.09
03,Victoria,196,REFUGIO,Not Economically Disadvantaged,70,65,0.93,60,0.86,7,0.10,61,0.87,19,0.27,33,0.47,1,0.01,53,0.76,3,0.04,21,0.30
03,Victoria,196,REFUGIO,Economically Disadvantaged,48,41,0.85,33,0.69,11,0.23,30,0.63,4,0.08,14,0.29,0,0.00,18,0.38,1,0.02,4,0.08
03,Victoria,235,VICTORIA,Not Economically Disadvantaged,592,558,0.94,469,0.79,72,0.12,441,0.75,100,0.17,276,0.47,13,0.02,389,0.66,39,0.07,140,0.24
03,Victoria,235,VICTORIA,Economically Disadvantaged,528,487,0.92,295,0.56,185,0.35,265,0.50,18,0.03,141,0.27,5,0.01,164,0.31,26,0.05,28,0.05
03,Victoria,241,WHARTON,Not Economically Disadvantaged,350,343,0.98,333,0.95,8,0.02,306,0.87,70,0.20,193,0.55,2,0.01,265,0.76,12,0.03,141,0.40
03,Victoria,241,WHARTON,Economically Disadvantaged,315,298,0.95,257,0.82,31,0.10,214,0.68,13,0.04,104,0.33,2,0.01,119,0.38,10,0.03,29,0.09
04,Houston,020,BRAZORIA,Not Economically Disadvantaged,2563,2458,0.96,2120,0.83,283,0.11,1966,0.77,545,0.21,1135,0.44,62,0.02,1742,0.68,178,0.07,756,0.30
04,Houston,020,BRAZORIA,Economically Disadvantaged,1123,1042,0.93,701,0.62,306,0.27,623,0.56,65,0.06,338,0.30,5,0.00,408,0.36,66,0.06,83,0.07
04,Houston,036,CHAMBERS,Not Economically Disadvantaged,308,295,0.96,275,0.89,6,0.02,245,0.80,77,0.25,127,0.41,5,0.02,209,0.68,15,0.05,88,0.29
04,Houston,036,CHAMBERS,Economically Disadvantaged,101,91,0.90,85,0.84,5,0.05,69,0.68,12,0.12,32,0.32,0,0.00,44,0.44,2,0.02,9,0.09
04,Houston,079,FORT BEND,Not Economically Disadvantaged,4640,4352,0.94,4066,0.88,266,0.06,3857,0.83,1826,0.39,1337,0.29,250,0.05,3413,0.74,207,0.04,1659,0.36
04,Houston,079,FORT BEND,Economically Disadvantaged,1418,1292,0.91,1038,0.73,262,0.19,940,0.66,224,0.16,349,0.25,22,0.02,595,0.42,43,0.03,155,0.11
04,Houston,084,GALVESTON,Not Economically Disadvantaged,3841,3524,0.92,3153,0.82,297,0.08,2862,0.75,1172,0.31,1443,0.38,180,0.05,2795,0.73,332,0.09,1296,0.34
04,Houston,084,GALVESTON,Economically Disadvantaged,1325,1169,0.88,838,0.63,302,0.23,694,0.52,99,0.07,370,0.28,13,0.01,482,0.36,85,0.06,117,0.09
04,Houston,101,HARRIS,Not Economically Disadvantaged,24694,22758,0.92,19828,0.80,2725,0.11,18787,0.76,6657,0.27,8430,0.34,1088,0.04,16175,0.66,1417,0.06,6654,0.27
04,Houston,101,HARRIS,Economically Disadvantaged,22733,20205,0.89,14240,0.63,5651,0.25,12954,0.57,2413,0.11,5166,0.23,222,0.01,7801,0.34,993,0.04,1783,0.08
04,Houston,146,LIBERTY,Not Economically Disadvantaged,650,586,0.90,515,0.79,62,0.10,469,0.72,123,0.19,218,0.34,10,0.02,351,0.54,34,0.05,115,0.18
04,Houston,146,LIBERTY,Economically Disadvantaged,420,365,0.87,295,0.70,67,0.16,258,0.61,25,0.06,90,0.21,4,0.01,119,0.28,9,0.02,21,0.05
04,Houston,237,WALLER,Not Economically Disadvantaged,295,286,0.97,252,0.85,29,0.10,223,0.76,69,0.23,87,0.30,6,0.02,162,0.55,9,0.03,59,0.20
04,Houston,237,WALLER,Economically Disadvantaged,243,226,0.93,182,0.75,39,0.16,153,0.63,24,0.10,45,0.19,2,0.01,71,0.29,9,0.04,12,0.05
05,Beaumont,084,GALVESTON,Not Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
05,Beaumont,084,GALVESTON,Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
05,Beaumont,100,HARDIN,Not Economically Disadvantaged,589,550,0.93,505,0.86,41,0.07,487,0.83,199,0.34,118,0.20,12,0.02,329,0.56,15,0.03,150,0.26
05,Beaumont,100,HARDIN,Economically Disadvantaged,241,212,0.88,166,0.69,48,0.20,162,0.67,38,0.16,32,0.13,3,0.01,73,0.30,5,0.02,19,0.08
05,Beaumont,121,JASPER,Not Economically Disadvantaged,317,299,0.94,275,0.87,23,0.07,246,0.78,83,0.26,90,0.28,9,0.03,182,0.57,10,0.03,58,0.18
05,Beaumont,121,JASPER,Economically Disadvantaged,206,178,0.86,137,0.67,31,0.15,125,0.61,22,0.11,45,0.22,5,0.02,72,0.35,3,0.01,11,0.05
05,Beaumont,123,JEFFERSON,Not Economically Disadvantaged,1756,1669,0.95,1456,0.83,179,0.10,1365,0.78,637,0.36,432,0.25,44,0.03,1113,0.63,74,0.04,496,0.28
05,Beaumont,123,JEFFERSON,Economically Disadvantaged,1631,1511,0.93,1136,0.70,346,0.21,991,0.61,247,0.15,372,0.23,25,0.02,644,0.40,65,0.04,129,0.08
05,Beaumont,176,NEWTON,Not Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
05,Beaumont,176,NEWTON,Economically Disadvantaged,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
05,Beaumont,181,ORANGE,Not Economically Disadvantaged,817,790,0.97,713,0.87,55,0.07,673,0.82,200,0.25,303,0.37,39,0.05,542,0.66,34,0.04,222,0.27
05,Beaumont,181,ORANGE,Economically Disadvantaged,428,396,0.93,295,0.69,84,0.20,253,0.59,34,0.08,107,0.25,6,0.01,147,0.34,15,0.04,23,0.05
05,Beaumont,229,TYLER,Not Economically Disadvantaged,158,149,0.94,135,0.85,9,0.06,133,0.84,53,0.34,43,0.27,1,0.01,97,0.61,5,0.03,33,0.21
05,Beaumont,229,TYLER,Economically Disadvantaged,117,105,0.90,94,0.80,11,0.09,76,0.65,12,0.10,19,0.16,1,0.01,32,0.27,2,0.02,5,0.04
06,Huntsville,008,AUSTIN,Not Economically Disadvantaged,278,273,0.98,260,0.94,6,0.02,244,0.88,68,0.25,106,0.38,6,0.02,180,0.65,6,0.02,102,0.37
06,Huntsville,008,AUSTIN,Economically Disadvantaged,127,111,0.87,98,0.77,15,0.12,89,0.70,10,0.08,23,0.18,3,0.02,36,0.28,2,0.02,6,0.05
06,Huntsville,021,BRAZOS,Not Economically Disadvantaged,859,801,0.93,727,0.85,64,0.07,704,0.82,277,0.32,311,0.36,34,0.04,622,0.72,30,0.03,301,0.35
06,Huntsville,021,BRAZOS,Economically Disadvantaged,672,613,0.91,382,0.57,214,0.32,356,0.53,36,0.05,179,0.27,0,0.00,215,0.32,33,0.05,44,0.07
06,Huntsville,026,BURLESON,Not Economically Disadvantaged,173,161,0.93,150,0.87,9,0.05,137,0.79,32,0.19,70,0.41,0,0.00,102,0.59,3,0.02,53,0.31
06,Huntsville,026,BURLESON,Economically Disadvantaged,117,107,0.92,85,0.73,23,0.20,73,0.62,5,0.04,22,0.19,0,0.00,27,0.23,2,0.02,8,0.07
06,Huntsville,093,GRIMES,Not Economically Disadvantaged,173,164,0.95,146,0.84,12,0.07,137,0.79,33,0.19,60,0.35,2,0.01,95,0.55,6,0.03,34,0.20
06,Huntsville,093,GRIMES,Economically Disadvantaged,142,123,0.87,98,0.69,31,0.22,87,0.61,6,0.04,27,0.19,1,0.01,34,0.24,4,0.03,8,0.06
06,Huntsville,113,HOUSTON,Not Economically Disadvantaged,157,151,0.96,141,0.90,8,0.05,125,0.80,42,0.27,53,0.34,1,0.01,96,0.61,4,0.03,38,0.24
06,Huntsville,113,HOUSTON,Economically Disadvantaged,148,134,0.91,114,0.77,20,0.14,101,0.68,22,0.15,28,0.19,1,0.01,51,0.35,6,0.04,13,0.09
06,Huntsville,145,LEON,Not Economically Disadvantaged,165,158,0.96,153,0.93,3,0.02,138,0.84,35,0.21,63,0.38,0,0.00,98,0.59,5,0.03,49,0.30
06,Huntsville,145,LEON,Economically Disadvantaged,97,89,0.92,79,0.81,8,0.08,61,0.63,8,0.08,30,0.31,0,0.00,38,0.39,6,0.06,7,0.07
06,Huntsville,154,MADISON,Not Economically Disadvantaged,84,80,0.95,74,0.88,4,0.05,71,0.85,23,0.27,25,0.30,1,0.01,49,0.58,0,0.00,20,0.24
06,Huntsville,154,MADISON,Economically Disadvantaged,87,79,0.91,66,0.76,14,0.16,57,0.66,10,0.12,22,0.25,3,0.03,35,0.40,2,0.02,11,0.13
06,Huntsville,166,MILAM,Not Economically Disadvantaged,175,169,0.97,161,0.92,9,0.05,148,0.85,49,0.28,73,0.42,1,0.01,123,0.70,7,0.04,62,0.35
06,Huntsville,166,MILAM,Economically Disadvantaged,166,153,0.92,122,0.74,27,0.16,102,0.61,8,0.05,41,0.25,2,0.01,51,0.31,3,0.02,13,0.08
06,Huntsville,170,MONTGOMERY,Not Economically Disadvantaged,3438,3181,0.93,2794,0.81,302,0.09,2616,0.76,883,0.26,1237,0.36,189,0.06,2309,0.67,203,0.06,953,0.28
06,Huntsville,170,MONTGOMERY,Economically Disadvantaged,1259,1130,0.90,803,0.64,279,0.22,722,0.57,66,0.05,328,0.26,3,0.00,397,0.32,52,0.04,55,0.04
06,Huntsville,187,POLK,Not Economically Disadvantaged,275,257,0.94,227,0.83,17,0.06,204,0.74,58,0.21,92,0.34,2,0.01,152,0.55,6,0.02,66,0.24
06,Huntsville,187,POLK,Economically Disadvantaged,252,224,0.89,188,0.75,31,0.12,162,0.64,11,0.04,50,0.20,0,0.00,61,0.24,4,0.02,16,0.06
06,Huntsville,198,ROBERTSON,Not Economically Disadvantaged,125,121,0.97,108,0.86,9,0.07,100,0.80,23,0.18,56,0.45,1,0.01,80,0.64,1,0.01,39,0.31
06,Huntsville,198,ROBERTSON,Economically Disadvantaged,126,113,0.90,87,0.69,25,0.20,78,0.62,8,0.06,26,0.21,2,0.02,36,0.29,2,0.02,7,0.06
06,Huntsville,204,SAN JACINTO,Not Economically Disadvantaged,130,122,0.94,94,0.72,28,0.22,87,0.67,25,0.19,40,0.31,1,0.01,66,0.51,4,0.03,15,0.12
06,Huntsville,204,SAN JACINTO,Economically Disadvantaged,131,106,0.81,75,0.57,41,0.31,79,0.60,7,0.05,31,0.24,1,0.01,39,0.30,3,0.02,6,0.05
06,Huntsville,228,TRINITY,Not Economically Disadvantaged,97,90,0.93,86,0.89,8,0.08,84,0.87,25,0.26,34,0.35,1,0.01,60,0.62,6,0.06,23,0.24
06,Huntsville,228,TRINITY,Economically Disadvantaged,110,102,0.93,86,0.78,15,0.14,73,0.66,5,0.05,24,0.22,0,0.00,29,0.26,0,0.00,8,0.07
06,Huntsville,236,WALKER,Not Economically Disadvantaged,329,313,0.95,288,0.88,21,0.06,277,0.84,124,0.38,84,0.26,3,0.01,211,0.64,13,0.04,88,0.27
06,Huntsville,236,WALKER,Economically Disadvantaged,256,234,0.91,190,0.74,39,0.15,169,0.66,24,0.09,45,0.18,1,0.00,70,0.27,3,0.01,16,0.06
06,Huntsville,239,WASHINGTON,Not Economically Disadvantaged,285,278,0.98,264,0.93,15,0.05,240,0.84,59,0.21,141,0.50,4,0.01,204,0.72,12,0.04,118,0.41
06,Huntsville,239,WASHINGTON,Economically Disadvantaged,153,147,0.96,110,0.72,27,0.18,82,0.54,11,0.07,36,0.24,1,0.01,48,0.31,10,0.07,9,0.06
07,Kilgore,001,ANDERSON,Not Economically Disadvantaged,383,358,0.94,321,0.84,38,0.10,310,0.81,66,0.17,174,0.45,4,0.01,244,0.64,13,0.03,117,0.31
07,Kilgore,001,ANDERSON,Economically Disadvantaged,263,241,0.92,182,0.69,57,0.22,177,0.67,16,0.06,72,0.27,3,0.01,91,0.35,10,0.04,26,0.10
07,Kilgore,003,ANGELINA,Not Economically Disadvantaged,649,615,0.95,563,0.87,39,0.06,535,0.82,137,0.21,264,0.41,13,0.02,414,0.64,25,0.04,162,0.25
07,Kilgore,003,ANGELINA,Economically Disadvantaged,573,534,0.93,445,0.78,69,0.12,384,0.67,47,0.08,181,0.32,6,0.01,234,0.41,17,0.03,50,0.09
07,Kilgore,037,CHEROKEE,Not Economically Disadvantaged,283,264,0.93,234,0.83,23,0.08,202,0.71,51,0.18,120,0.42,4,0.01,175,0.62,27,0.10,79,0.28
07,Kilgore,037,CHEROKEE,Economically Disadvantaged,302,288,0.95,202,0.67,72,0.24,199,0.66,13,0.04,98,0.33,1,0.00,112,0.37,11,0.04,18,0.06
07,Kilgore,092,GREGG,Not Economically Disadvantaged,1131,1065,0.94,978,0.87,70,0.06,898,0.79,235,0.21,500,0.44,34,0.03,769,0.68,60,0.05,355,0.31
07,Kilgore,092,GREGG,Economically Disadvantaged,637,593,0.93,458,0.72,120,0.19,388,0.61,33,0.05,198,0.31,5,0.01,236,0.37,19,0.03,55,0.09
07,Kilgore,102,HARRISON,Not Economically Disadvantaged,527,499,0.95,445,0.84,47,0.09,429,0.81,107,0.20,200,0.38,26,0.05,333,0.63,16,0.03,150,0.29
07,Kilgore,102,HARRISON,Economically Disadvantaged,408,367,0.90,304,0.75,58,0.14,273,0.67,44,0.11,93,0.23,17,0.04,154,0.38,14,0.03,28,0.07
07,Kilgore,107,HENDERSON,Not Economically Disadvantaged,433,392,0.91,372,0.86,21,0.05,338,0.78,70,0.16,192,0.44,5,0.01,267,0.62,13,0.03,125,0.29
07,Kilgore,107,HENDERSON,Economically Disadvantaged,298,255,0.86,219,0.74,38,0.13,183,0.61,11,0.04,80,0.27,2,0.01,93,0.31,13,0.04,18,0.06
07,Kilgore,174,NACOGDOCHES,Not Economically Disadvantaged,419,405,0.97,384,0.92,14,0.03,361,0.86,182,0.43,114,0.27,6,0.01,302,0.72,20,0.05,149,0.36
07,Kilgore,174,NACOGDOCHES,Economically Disadvantaged,346,318,0.92,245,0.71,67,0.19,216,0.62,36,0.10,69,0.20,3,0.01,108,0.31,11,0.03,20,0.06
07,Kilgore,183,PANOLA,Not Economically Disadvantaged,167,157,0.94,149,0.89,4,0.02,131,0.78,27,0.16,70,0.42,6,0.04,103,0.62,7,0.04,58,0.35
07,Kilgore,183,PANOLA,Economically Disadvantaged,112,106,0.95,90,0.80,13,0.12,81,0.72,5,0.04,49,0.44,4,0.04,58,0.52,2,0.02,12,0.11
07,Kilgore,190,RAINS,Not Economically Disadvantaged,63,59,0.94,52,0.83,3,0.05,56,0.89,15,0.24,23,0.37,2,0.03,40,0.64,1,0.02,16,0.25
07,Kilgore,190,RAINS,Economically Disadvantaged,53,46,0.87,42,0.79,3,0.06,33,0.62,3,0.06,14,0.26,0,0.00,17,0.32,4,0.08,9,0.17
07,Kilgore,201,RUSK,Not Economically Disadvantaged,338,331,0.98,293,0.87,24,0.07,277,0.82,59,0.18,163,0.48,7,0.02,229,0.68,12,0.04,101,0.30
07,Kilgore,201,RUSK,Economically Disadvantaged,284,263,0.93,203,0.72,51,0.18,179,0.63,23,0.08,68,0.24,3,0.01,94,0.33,8,0.03,21,0.07
07,Kilgore,202,SABINE,Not Economically Disadvantaged,80,70,0.88,65,0.81,5,0.06,64,0.80,12,0.15,33,0.41,2,0.03,47,0.59,3,0.04,21,0.26
07,Kilgore,202,SABINE,Economically Disadvantaged,43,42,0.98,36,0.84,5,0.12,32,0.74,6,0.14,8,0.19,1,0.02,15,0.35,2,0.05,2,0.05
07,Kilgore,203,SAN AUGUSTINE,Not Economically Disadvantaged,30,30,1.00,29,0.97,0,0.00,29,0.97,6,0.20,12,0.40,0,0.00,18,0.60,0,0.00,10,0.33
07,Kilgore,203,SAN AUGUSTINE,Economically Disadvantaged,78,75,0.96,71,0.91,4,0.05,64,0.82,6,0.08,21,0.27,2,0.03,29,0.37,0,0.00,3,0.04
07,Kilgore,210,SHELBY,Not Economically Disadvantaged,172,159,0.92,147,0.86,12,0.07,141,0.82,36,0.21,71,0.41,2,0.01,109,0.63,5,0.03,61,0.36
07,Kilgore,210,SHELBY,Economically Disadvantaged,166,153,0.92,129,0.78,21,0.13,103,0.62,14,0.08,45,0.27,1,0.01,60,0.36,8,0.05,11,0.07
07,Kilgore,212,SMITH,Not Economically Disadvantaged,1420,1332,0.94,1201,0.85,111,0.08,1105,0.78,281,0.20,684,0.48,25,0.02,990,0.70,88,0.06,435,0.31
07,Kilgore,212,SMITH,Economically Disadvantaged,1011,933,0.92,662,0.66,248,0.25,571,0.57,39,0.04,329,0.33,13,0.01,381,0.38,58,0.06,75,0.07
07,Kilgore,230,UPSHUR,Not Economically Disadvantaged,321,301,0.94,283,0.88,22,0.07,252,0.79,54,0.17,127,0.40,15,0.05,196,0.61,10,0.03,86,0.27
07,Kilgore,230,UPSHUR,Economically Disadvantaged,201,182,0.91,156,0.78,26,0.13,131,0.65,15,0.07,48,0.24,2,0.01,65,0.32,7,0.03,16,0.08
07,Kilgore,234,VAN ZANDT,Not Economically Disadvantaged,308,293,0.95,265,0.86,26,0.08,243,0.79,42,0.14,139,0.45,6,0.02,187,0.61,10,0.03,84,0.27
07,Kilgore,234,VAN ZANDT,Economically Disadvantaged,146,131,0.90,114,0.78,13,0.09,96,0.66,9,0.06,42,0.29,1,0.01,52,0.36,5,0.03,20,0.14
07,Kilgore,250,WOOD,Not Economically Disadvantaged,291,273,0.94,262,0.90,10,0.03,228,0.78,48,0.17,120,0.41,10,0.03,178,0.61,10,0.03,73,0.25
07,Kilgore,250,WOOD,Economically Disadvantaged,162,148,0.91,136,0.84,9,0.06,114,0.70,7,0.04,44,0.27,2,0.01,53,0.33,3,0.02,16,0.10
08,Mt. Pleasant,019,BOWIE,Not Economically Disadvantaged,739,679,0.92,638,0.86,27,0.04,590,0.80,95,0.13,321,0.43,84,0.11,500,0.68,31,0.04,176,0.24
08,Mt. Pleasant,019,BOWIE,Economically Disadvantaged,491,425,0.87,346,0.71,57,0.12,314,0.64,12,0.02,135,0.28,24,0.05,171,0.35,19,0.04,25,0.05
