Region Code,TEA Region,gender,ethnicity,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_percent,total_degrees,total_degrees_percent
1,Edinburg,,,Economically Disadvantaged,17138,15656,0.91,11862,0.69,3422,0.20,11752,0.69,2592,0.15,5615,0.33,162,0.01,8369,0.49,563,0.03,2468,0.14
2,Corpus Christi,,,Not Economically Disadvantaged,4030,3668,0.91,3218,0.80,386,0.10,3105,0.77,1260,0.31,1316,0.33,80,0.02,2656,0.66,206,0.05,1061,0.26
2,Corpus Christi,,,Economically Disadvantaged,4426,3888,0.88,3008,0.68,898,0.20,2813,0.64,534,0.12,1231,0.28,35,0.01,1800,0.41,154,0.03,357,0.08
3,Victoria,,,Not Economically Disadvantaged,2350,2233,0.95,2008,0.85,202,0.09,1988,0.85,556,0.24,1015,0.43,41,0.02,1612,0.69,71,0.03,815,0.35
3,Victoria,,,Economically Disadvantaged,1995,1872,0.94,1366,0.69,447,0.22,1356,0.68,102,0.05,566,0.28,25,0.01,693,0.35,44,0.02,177,0.09
4,Houston,,,Not Economically Disadvantaged,37016,34190,0.92,29877,0.81,3671,0.10,28288,0.76,10330,0.28,12566,0.34,1743,0.05,24639,0.67,2091,0.06,10280,0.28
4,Houston,,,Economically Disadvantaged,25823,22737,0.88,15610,0.60,6655,0.26,15184,0.59,2907,0.11,5867,0.23,288,0.01,9062,0.35,1106,0.04,2075,0.08
5,Beaumont,,,Not Economically Disadvantaged,3911,3661,0.94,3325,0.85,284,0.07,3089,0.79,1328,0.34,974,0.25,123,0.03,2425,0.62,155,0.04,1030,0.26
5,Beaumont,,,Economically Disadvantaged,2641,2420,0.92,1815,0.69,524,0.20,1648,0.62,336,0.13,559,0.21,44,0.02,939,0.36,84,0.03,207,0.08
6,Huntsville,,,Not Economically Disadvantaged,6619,6142,0.93,5440,0.82,520,0.08,5162,0.78,1701,0.26,2257,0.34,229,0.03,4187,0.63,308,0.05,1874,0.28
6,Huntsville,,,Economically Disadvantaged,3841,3412,0.89,2439,0.64,848,0.22,2265,0.59,264,0.07,857,0.22,27,0.01,1148,0.30,130,0.03,225,0.06
7,Kilgore,,,Not Economically Disadvantaged,7408,6967,0.94,6301,0.85,523,0.07,5900,0.80,1399,0.19,3266,0.44,229,0.03,4894,0.66,331,0.04,2077,0.28
7,Kilgore,,,Economically Disadvantaged,4846,4393,0.91,3494,0.72,773,0.16,3118,0.64,287,0.06,1417,0.29,67,0.01,1771,0.37,201,0.04,380,0.08
8,Mt. Pleasant,,,Not Economically Disadvantaged,2453,2320,0.95,2172,0.89,101,0.04,2055,0.84,390,0.16,1078,0.44,197,0.08,1665,0.68,91,0.04,653,0.27
8,Mt. Pleasant,,,Economically Disadvantaged,1762,1586,0.90,1305,0.74,196,0.11,1168,0.66,82,0.05,539,0.31,68,0.04,689,0.39,65,0.04,149,0.08
9,Wichita Falls,,,Not Economically Disadvantaged,1981,1868,0.94,1695,0.86,124,0.06,1595,0.81,629,0.32,517,0.26,81,0.04,1227,0.62,52,0.03,499,0.25
9,Wichita Falls,,,Economically Disadvantaged,1267,1130,0.89,898,0.71,180,0.14,815,0.64,148,0.12,226,0.18,23,0.02,397,0.31,34,0.03,96,0.08
10,Richardson,,,Not Economically Disadvantaged,27616,25175,0.91,22139,0.80,2568,0.09,20755,0.75,6136,0.22,9484,0.34,1560,0.06,17180,0.62,1444,0.05,6548,0.24
10,Richardson,,,Economically Disadvantaged,15807,13683,0.87,9987,0.63,3501,0.22,9465,0.60,1160,0.07,3861,0.24,242,0.02,5263,0.33,567,0.04,1137,0.07
11,Fort Worth,,,Not Economically Disadvantaged,22083,20246,0.92,17934,0.81,1896,0.09,16876,0.76,5446,0.25,7604,0.34,1008,0.05,14058,0.64,1085,0.05,5523,0.25
11,Fort Worth,,,Economically Disadvantaged,9004,7857,0.87,5672,0.63,1991,0.22,5308,0.59,693,0.08,2138,0.24,131,0.01,2962,0.33,343,0.04,581,0.06
12,Waco,,,Not Economically Disadvantaged,5814,5326,0.92,4737,0.82,427,0.07,4517,0.78,1202,0.21,2592,0.45,87,0.02,3881,0.67,283,0.05,1582,0.27
12,Waco,,,Economically Disadvantaged,4487,3895,0.87,2998,0.67,787,0.18,2770,0.62,259,0.06,1635,0.36,51,0.01,1945,0.43,270,0.06,393,0.09
13,Austin,,,Not Economically Disadvantaged,13877,12845,0.93,11620,0.84,1006,0.07,11022,0.79,4435,0.32,3885,0.28,648,0.05,8968,0.65,624,0.05,3806,0.27
13,Austin,,,Economically Disadvantaged,6280,5554,0.88,4244,0.68,1136,0.18,3728,0.59,530,0.08,1189,0.19,66,0.01,1785,0.28,175,0.03,343,0.05
14,Abilene,,,Not Economically Disadvantaged,2077,1982,0.95,1824,0.88,105,0.05,1711,0.82,708,0.34,724,0.35,37,0.02,1469,0.71,85,0.04,726,0.35
14,Abilene,,,Economically Disadvantaged,1666,1514,0.91,1215,0.73,261,0.16,1063,0.64,150,0.09,426,0.26,14,0.01,590,0.35,46,0.03,158,0.09
15,San Angelo,,,Not Economically Disadvantaged,2014,1919,0.95,1784,0.89,86,0.04,1652,0.82,846,0.42,455,0.23,50,0.02,1351,0.67,54,0.03,625,0.31
15,San Angelo,,,Economically Disadvantaged,1986,1838,0.93,1571,0.79,221,0.11,1232,0.62,220,0.11,436,0.22,11,0.01,667,0.34,72,0.04,157,0.08
16,Amarillo,,,Not Economically Disadvantaged,3530,3347,0.95,3085,0.87,171,0.05,2879,0.82,951,0.27,1402,0.40,152,0.04,2505,0.71,174,0.05,1075,0.31
16,Amarillo,,,Economically Disadvantaged,2614,2383,0.91,1967,0.75,306,0.12,1670,0.64,191,0.07,716,0.27,61,0.02,968,0.37,114,0.04,182,0.07
17,Lubbock,,,Not Economically Disadvantaged,2976,2829,0.95,2727,0.92,74,0.02,2560,0.86,910,0.31,1086,0.37,104,0.03,2100,0.71,77,0.03,957,0.32
17,Lubbock,,,Economically Disadvantaged,3198,2969,0.93,2696,0.84,230,0.07,2228,0.70,206,0.06,798,0.25,52,0.02,1056,0.33,62,0.02,205,0.06
18,Midland,,,Not Economically Disadvantaged,3172,2995,0.94,2796,0.88,161,0.05,2547,0.80,704,0.22,1171,0.37,80,0.03,1955,0.62,117,0.04,843,0.27
18,Midland,,,Economically Disadvantaged,3151,2832,0.90,2284,0.73,470,0.15,1878,0.60,217,0.07,745,0.24,25,0.01,987,0.31,90,0.03,201,0.06
19,El Paso,,,Not Economically Disadvantaged,3494,3155,0.90,2719,0.78,347,0.10,2564,0.73,990,0.28,1027,0.29,260,0.07,2277,0.65,209,0.06,772,0.22
19,El Paso,,,Economically Disadvantaged,8106,7434,0.92,5766,0.71,1463,0.18,5427,0.67,1154,0.14,2675,0.33,250,0.03,4079,0.50,386,0.05,927,0.11
20,San Antonio,,,Not Economically Disadvantaged,10550,9641,0.91,8685,0.82,744,0.07,8115,0.77,3113,0.30,3561,0.34,377,0.04,7051,0.67,532,0.05,2816,0.27
20,San Antonio,,,Economically Disadvantaged,14193,12843,0.91,10017,0.71,2512,0.18,8879,0.63,1234,0.09,4421,0.31,111,0.01,5766,0.41,537,0.04,1154,0.08
1,Edinburg,Female,African American,,10,9,0.90,9,0.90,0,0.00,8,0.80,4,0.40,1,0.10,1,0.10,6,0.60,0,0.00,4,0.40
1,Edinburg,Female,Hispanic,,9593,8790,0.92,7063,0.74,1522,0.16,7046,0.73,1888,0.20,3257,0.34,96,0.01,5241,0.55,305,0.03,1971,0.21
1,Edinburg,Female,White,,493,454,0.92,391,0.79,48,0.10,386,0.78,218,0.44,117,0.24,21,0.04,356,0.72,24,0.05,170,0.35
1,Edinburg,Female,Others,,35,34,0.97,33,0.94,0,0.00,32,0.91,21,0.60,9,0.26,1,0.03,31,0.89,0,0.00,24,0.69
1,Edinburg,Male,African American,,14,14,1.00,13,0.93,1,0.07,11,0.79,6,0.43,2,0.14,2,0.14,10,0.71,1,0.07,2,0.14
1,Edinburg,Male,Hispanic,,10144,9258,0.91,6899,0.68,2195,0.22,6833,0.67,1690,0.17,3255,0.32,99,0.01,5044,0.50,364,0.04,1298,0.13
1,Edinburg,Male,White,,524,479,0.91,400,0.76,65,0.12,386,0.74,186,0.36,138,0.26,15,0.03,339,0.65,32,0.06,129,0.25
1,Edinburg,Male,Others,,52,43,0.83,37,0.71,4,0.08,35,0.67,18,0.35,10,0.19,3,0.06,31,0.60,3,0.06,12,0.23
2,Corpus Christi,Female,African American,,139,119,0.86,100,0.72,15,0.11,100,0.72,34,0.25,47,0.34,2,0.01,83,0.60,9,0.06,15,0.11
2,Corpus Christi,Female,Hispanic,,2636,2386,0.91,1943,0.74,428,0.16,1853,0.70,497,0.19,879,0.33,20,0.01,1396,0.53,111,0.04,410,0.16
2,Corpus Christi,Female,White,,1256,1128,0.90,1012,0.81,92,0.07,945,0.75,432,0.34,365,0.29,31,0.02,828,0.66,61,0.05,393,0.31
2,Corpus Christi,Female,Others,,54,47,0.87,44,0.82,4,0.07,44,0.82,19,0.35,20,0.37,1,0.02,40,0.74,2,0.04,21,0.39
2,Corpus Christi,Male,African American,,172,147,0.86,117,0.68,22,0.13,105,0.61,37,0.22,41,0.24,1,0.01,79,0.46,4,0.02,12,0.07
2,Corpus Christi,Male,Hispanic,,2850,2530,0.89,1984,0.70,580,0.20,1894,0.67,414,0.15,797,0.28,31,0.01,1242,0.44,104,0.04,270,0.09
2,Corpus Christi,Male,White,,1275,1134,0.89,969,0.76,133,0.10,920,0.72,338,0.27,373,0.29,27,0.02,738,0.58,67,0.05,276,0.22
2,Corpus Christi,Male,Others,,74,65,0.88,57,0.77,10,0.14,57,0.77,23,0.31,25,0.34,2,0.03,50,0.68,2,0.03,21,0.28
3,Victoria,Female,African American,,226,219,0.97,181,0.80,32,0.14,180,0.80,33,0.15,85,0.38,3,0.01,121,0.54,8,0.04,30,0.13
3,Victoria,Female,Hispanic,,828,785,0.95,587,0.71,175,0.21,598,0.72,43,0.05,295,0.36,14,0.02,352,0.43,19,0.02,103,0.12
3,Victoria,Female,White,,999,942,0.94,846,0.85,77,0.08,835,0.84,256,0.26,422,0.42,17,0.02,695,0.70,35,0.04,373,0.37
3,Victoria,Female,Others,,36,31,0.86,30,0.83,0,0.00,30,0.83,18,0.50,11,0.31,1,0.03,30,0.83,2,0.06,20,0.56
3,Victoria,Male,African American,,242,227,0.94,177,0.73,42,0.17,173,0.72,41,0.17,64,0.26,6,0.02,111,0.46,5,0.02,22,0.09
3,Victoria,Male,Hispanic,,893,837,0.94,603,0.68,224,0.25,598,0.67,35,0.04,258,0.29,12,0.01,305,0.34,14,0.02,81,0.09
3,Victoria,Male,White,,1096,1040,0.95,932,0.85,96,0.09,912,0.83,222,0.20,442,0.40,13,0.01,677,0.62,31,0.03,354,0.32
3,Victoria,Male,Others,,25,24,0.96,18,0.72,3,0.12,18,0.72,10,0.40,4,0.16,0,0.00,14,0.56,1,0.04,9,0.36
4,Houston,Female,African American,,6521,5915,0.91,4728,0.73,1110,0.17,4820,0.74,1959,0.30,1522,0.23,227,0.03,3708,0.57,301,0.05,982,0.15
4,Houston,Female,Hispanic,,10034,8977,0.90,6580,0.66,2134,0.21,6673,0.67,1018,0.10,2996,0.30,103,0.01,4117,0.41,382,0.04,1211,0.12
4,Houston,Female,White,,12500,11597,0.93,10452,0.84,838,0.07,9665,0.77,3542,0.28,4598,0.37,641,0.05,8781,0.70,747,0.06,4311,0.35
4,Houston,Female,Others,,1521,1415,0.93,1338,0.88,65,0.04,1301,0.86,735,0.48,369,0.24,80,0.05,1184,0.78,63,0.04,701,0.46
4,Houston,Male,African American,,6862,6164,0.90,4381,0.64,1721,0.25,4299,0.63,1410,0.21,1338,0.20,279,0.04,3027,0.44,308,0.04,570,0.08
4,Houston,Male,Hispanic,,10707,9347,0.87,6153,0.58,3087,0.29,5847,0.55,788,0.07,2538,0.24,92,0.01,3418,0.32,468,0.04,764,0.07
4,Houston,Male,White,,12941,11893,0.92,10376,0.80,1267,0.10,9445,0.73,3035,0.24,4589,0.36,549,0.04,8173,0.63,832,0.06,3192,0.25
4,Houston,Male,Others,,1753,1619,0.92,1479,0.84,104,0.06,1422,0.81,750,0.43,483,0.28,60,0.03,1293,0.74,96,0.05,624,0.36
5,Beaumont,Female,African American,,945,908,0.96,729,0.77,163,0.17,698,0.74,232,0.25,231,0.24,30,0.03,493,0.52,32,0.03,114,0.12
5,Beaumont,Female,Hispanic,,173,156,0.90,139,0.80,14,0.08,121,0.70,27,0.16,42,0.24,2,0.01,71,0.41,3,0.02,29,0.17
5,Beaumont,Female,White,,1960,1815,0.93,1625,0.83,141,0.07,1478,0.75,588,0.30,504,0.26,69,0.04,1161,0.59,83,0.04,522,0.27
5,Beaumont,Female,Others,,73,70,0.96,66,0.90,3,0.04,55,0.75,26,0.36,21,0.29,1,0.01,48,0.66,5,0.07,28,0.38
5,Beaumont,Male,African American,,977,895,0.92,662,0.68,226,0.23,613,0.63,171,0.18,185,0.19,28,0.03,384,0.39,32,0.03,70,0.07
5,Beaumont,Male,Hispanic,,225,203,0.90,152,0.68,37,0.16,132,0.59,26,0.12,50,0.22,0,0.00,76,0.34,9,0.04,23,0.10
5,Beaumont,Male,White,,2110,1956,0.93,1698,0.81,218,0.10,1580,0.75,568,0.27,475,0.23,36,0.02,1079,0.51,70,0.03,422,0.20
5,Beaumont,Male,Others,,89,78,0.88,69,0.78,6,0.07,60,0.67,26,0.29,25,0.28,1,0.01,52,0.58,5,0.06,29,0.33
6,Huntsville,Female,African American,,693,644,0.93,545,0.79,99,0.14,536,0.77,132,0.19,210,0.30,14,0.02,356,0.51,24,0.03,84,0.12
6,Huntsville,Female,Hispanic,,781,699,0.90,514,0.66,148,0.19,497,0.64,56,0.07,208,0.27,12,0.02,276,0.35,31,0.04,72,0.09
6,Huntsville,Female,White,,3482,3214,0.92,2842,0.82,253,0.07,2620,0.75,900,0.26,1198,0.34,100,0.03,2198,0.63,180,0.05,1030,0.30
6,Huntsville,Female,Others,,63,55,0.87,48,0.76,2,0.03,45,0.71,20,0.32,16,0.25,3,0.05,39,0.62,2,0.03,22,0.35
6,Huntsville,Male,African American,,747,679,0.91,497,0.67,182,0.24,490,0.66,80,0.11,174,0.23,12,0.02,266,0.36,21,0.03,49,0.07
6,Huntsville,Male,Hispanic,,872,786,0.90,540,0.62,217,0.25,511,0.59,49,0.06,188,0.22,5,0.01,242,0.28,19,0.02,62,0.07
6,Huntsville,Male,White,,3741,3408,0.91,2832,0.76,461,0.12,2677,0.72,705,0.19,1108,0.30,104,0.03,1917,0.51,159,0.04,757,0.20
6,Huntsville,Male,Others,,81,69,0.85,61,0.75,6,0.07,51,0.63,23,0.28,12,0.15,6,0.07,41,0.51,2,0.02,23,0.28
7,Kilgore,Female,African American,,1277,1206,0.94,1009,0.79,193,0.15,1001,0.78,152,0.12,540,0.42,26,0.02,718,0.56,47,0.04,157,0.12
7,Kilgore,Female,Hispanic,,598,543,0.91,421,0.70,88,0.15,400,0.67,23,0.04,191,0.32,6,0.01,220,0.37,16,0.03,58,0.10
7,Kilgore,Female,White,,3988,3714,0.93,3355,0.84,220,0.06,3050,0.77,722,0.18,1767,0.44,103,0.03,2592,0.65,217,0.05,1154,0.29
7,Kilgore,Female,Others,,42,40,0.95,35,0.83,4,0.10,32,0.76,17,0.41,11,0.26,4,0.10,32,0.76,2,0.05,15,0.36
7,Kilgore,Male,African American,,1283,1206,0.94,944,0.74,246,0.19,901,0.70,140,0.11,432,0.34,31,0.02,603,0.47,40,0.03,120,0.09
7,Kilgore,Male,Hispanic,,674,594,0.88,451,0.67,138,0.21,397,0.59,18,0.03,170,0.25,3,0.00,191,0.28,20,0.03,60,0.09
7,Kilgore,Male,White,,4347,4016,0.92,3543,0.82,402,0.09,3203,0.74,601,0.14,1557,0.36,121,0.03,2279,0.52,188,0.04,879,0.20
7,Kilgore,Male,Others,,45,41,0.91,37,0.82,5,0.11,34,0.76,13,0.29,15,0.33,2,0.04,30,0.67,2,0.04,14,0.31
8,Mt. Pleasant,Female,African American,,463,440,0.95,390,0.84,35,0.08,383,0.83,54,0.12,180,0.39,31,0.07,265,0.57,11,0.02,67,0.15
8,Mt. Pleasant,Female,Hispanic,,142,129,0.91,112,0.79,13,0.09,105,0.74,7,0.05,56,0.39,0,0.00,63,0.44,1,0.01,20,0.14
8,Mt. Pleasant,Female,White,,1392,1270,0.91,1168,0.84,54,0.04,1062,0.76,184,0.13,639,0.46,89,0.06,912,0.66,75,0.05,380,0.27
8,Mt. Pleasant,Female,Others,,11,9,0.82,9,0.82,0,0.00,8,0.73,1,0.09,7,0.64,0,0.00,8,0.73,1,0.09,1,0.09
8,Mt. Pleasant,Male,African American,,468,444,0.95,373,0.80,56,0.12,338,0.72,39,0.08,128,0.27,32,0.07,199,0.43,10,0.02,32,0.07
8,Mt. Pleasant,Male,Hispanic,,192,175,0.91,126,0.66,40,0.21,120,0.63,6,0.03,51,0.27,0,0.00,57,0.30,5,0.03,9,0.05
8,Mt. Pleasant,Male,White,,1528,1422,0.93,1284,0.84,99,0.06,1193,0.78,177,0.12,549,0.36,112,0.07,838,0.55,52,0.03,289,0.19
8,Mt. Pleasant,Male,Others,,19,17,0.90,15,0.79,0,0.00,14,0.74,4,0.21,7,0.37,1,0.05,12,0.63,1,0.05,4,0.21
9,Wichita Falls,Female,African American,,124,116,0.94,88,0.71,24,0.19,95,0.77,23,0.19,29,0.23,9,0.07,61,0.49,3,0.02,13,0.11
9,Wichita Falls,Female,Hispanic,,239,212,0.89,176,0.74,24,0.10,163,0.68,20,0.08,57,0.24,5,0.02,82,0.34,8,0.03,24,0.10
9,Wichita Falls,Female,White,,1184,1097,0.93,981,0.83,77,0.07,900,0.76,341,0.29,290,0.25,40,0.03,671,0.57,35,0.03,286,0.24
9,Wichita Falls,Female,Others,,30,24,0.80,23,0.77,1,0.03,24,0.80,12,0.40,6,0.20,1,0.03,19,0.63,0,0.00,8,0.27
9,Wichita Falls,Male,African American,,129,112,0.87,87,0.67,25,0.19,85,0.66,18,0.14,19,0.15,8,0.06,45,0.35,2,0.02,6,0.05
9,Wichita Falls,Male,Hispanic,,251,235,0.94,193,0.77,31,0.12,170,0.68,27,0.11,60,0.24,3,0.01,90,0.36,6,0.02,16,0.06
9,Wichita Falls,Male,White,,1253,1168,0.93,1013,0.81,122,0.10,943,0.75,315,0.25,273,0.22,38,0.03,626,0.50,27,0.02,230,0.18
9,Wichita Falls,Male,Others,,38,34,0.90,32,0.84,0,0.00,30,0.79,21,0.55,9,0.24,0,0.00,30,0.79,5,0.13,12,0.32
10,Richardson,Female,African American,,4603,4085,0.89,3362,0.73,709,0.15,3321,0.72,912,0.20,1410,0.31,171,0.04,2493,0.54,222,0.05,605,0.13
10,Richardson,Female,Hispanic,,5440,4742,0.87,3633,0.67,1003,0.18,3543,0.65,317,0.06,1526,0.28,60,0.01,1903,0.35,163,0.03,505,0.09
10,Richardson,Female,White,,10342,9557,0.92,8739,0.85,556,0.05,8099,0.78,2517,0.24,3840,0.37,626,0.06,6983,0.68,513,0.05,3136,0.30
10,Richardson,Female,Others,,927,855,0.92,807,0.87,33,0.04,764,0.82,351,0.38,252,0.27,56,0.06,659,0.71,36,0.04,376,0.41
10,Richardson,Male,African American,,4734,4116,0.87,2894,0.61,1200,0.25,2889,0.61,641,0.14,1183,0.25,204,0.04,2028,0.43,216,0.05,341,0.07
10,Richardson,Male,Hispanic,,5702,4866,0.85,3292,0.58,1537,0.27,3099,0.54,221,0.04,1203,0.21,59,0.01,1483,0.26,159,0.03,285,0.05
10,Richardson,Male,White,,10712,9761,0.91,8584,0.80,974,0.09,7767,0.73,2064,0.19,3608,0.34,583,0.05,6255,0.58,645,0.06,2164,0.20
10,Richardson,Male,Others,,963,876,0.91,815,0.85,57,0.06,738,0.77,273,0.28,323,0.34,43,0.04,639,0.66,57,0.06,273,0.28
11,Fort Worth,Female,African American,,1946,1735,0.89,1399,0.72,328,0.17,1402,0.72,418,0.22,568,0.29,87,0.04,1073,0.55,94,0.05,268,0.14
11,Fort Worth,Female,Hispanic,,2667,2365,0.89,1765,0.66,496,0.19,1760,0.66,219,0.08,740,0.28,40,0.02,999,0.38,93,0.03,258,0.10
11,Fort Worth,Female,White,,9825,9030,0.92,8151,0.83,653,0.07,7600,0.77,2577,0.26,3400,0.35,440,0.04,6417,0.65,454,0.05,2822,0.29
11,Fort Worth,Female,Others,,583,539,0.93,483,0.83,36,0.06,453,0.78,192,0.33,188,0.32,28,0.05,408,0.70,35,0.06,228,0.39
11,Fort Worth,Male,African American,,2031,1766,0.87,1300,0.64,431,0.21,1212,0.60,280,0.14,503,0.25,101,0.05,884,0.44,104,0.05,136,0.07
11,Fort Worth,Male,Hispanic,,2802,2449,0.87,1703,0.61,744,0.27,1626,0.58,137,0.05,681,0.24,20,0.01,838,0.30,66,0.02,156,0.06
11,Fort Worth,Male,White,,10646,9685,0.91,8329,0.78,1157,0.11,7686,0.72,2154,0.20,3465,0.33,408,0.04,6027,0.57,550,0.05,2079,0.20
11,Fort Worth,Male,Others,,587,534,0.91,476,0.81,42,0.07,445,0.76,162,0.28,197,0.34,15,0.03,374,0.64,32,0.05,157,0.27
