Region Code,TEA Region,gender,ethnicity,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_per,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_per,total_degrees,total_degrees_percent
17,Lubbock,,,,5528,5299,95.86%,4889,88.44%,313,5.66%,4497,81.35%,1199,21.69%,1734,31.37%,,,2933,53.06%,101,1.83%,1376,24.89%
18,Midland,,,,5385,5087,94.47%,4636,86.09%,383,7.11%,3869,71.85%,952,17.68%,1647,30.58%,,,2599,48.26%,137,2.54%,1129,20.97%
19,El Paso,,,,13314,12523,94.06%,10844,81.45%,1444,10.85%,10359,77.81%,3250,24.41%,4405,33.09%,,,7655,57.50%,356,2.67%,2883,21.65%
20,San Antonio,,,,28519,26823,94.05%,23768,83.34%,2427,8.51%,22061,77.36%,5967,20.92%,8836,30.98%,,,14803,51.91%,710,2.49%,6909,24.23%
,,,,,346451,328360,94.78%,293955,84.85%,28229,8.15%,274263,79.16%,74580,21.53%,109904,31.72%,,,184484,53.25%,8820,2.55%,84478,24.38%
,,Female,,,168946,160439,94.96%,146691,86.83%,10583,6.26%,136784,80.96%,41022,24.28%,57544,34.06%,,,98566,58.34%,4794,2.84%,49086,29.05%
,,Male,,,177505,167921,94.60%,147264,82.96%,17646,9.94%,137479,77.45%,33558,18.91%,52360,29.50%,,,85918,48.40%,4026,2.27%,35392,19.94%
1,Edinburg,,,Not Economically Disadvantaged,4219,4059,96.21%,3823,90.61%,193,4.57%,3769,89.33%,1840,43.61%,1325,31.41%,,,3165,75.02%,68,1.61%,1749,41.46%
1,Edinburg,,,Economically Disadvantaged,23732,22639,95.39%,19274,81.22%,3005,12.66%,18933,79.78%,5102,21.50%,7281,30.68%,,,12383,52.18%,306,1.29%,5206,21.94%
2,Corpus Christi,,,Not Economically Disadvantaged,2826,2678,94.76%,2515,89.00%,122,4.32%,2419,85.60%,951,33.65%,930,32.91%,,,1881,66.56%,65,2.30%,954,33.76%
2,Corpus Christi,,,Economically Disadvantaged,4771,4478,93.86%,3919,82.14%,504,10.56%,3460,72.52%,637,13.35%,1296,27.16%,,,1933,40.52%,89,1.87%,582,12.20%
3,Victoria,,,Not Economically Disadvantaged,1660,1610,96.99%,1552,93.49%,46,2.77%,1464,88.19%,413,24.88%,769,46.33%,,,1182,71.20%,45,2.71%,699,42.11%
3,Victoria,,,Economically Disadvantaged,2080,1986,95.48%,1738,83.56%,188,9.04%,1472,70.77%,153,7.36%,626,30.10%,,,779,37.45%,48,2.31%,251,12.07%
4,Houston,,,Not Economically Disadvantaged,34820,33181,95.29%,30869,88.65%,1789,5.14%,29502,84.73%,10806,31.03%,12061,34.64%,,,22867,65.67%,1169,3.36%,12769,36.67%
4,Houston,,,Economically Disadvantaged,41072,38977,94.90%,33198,80.83%,4854,11.82%,30159,73.43%,5597,13.63%,12544,30.54%,,,18141,44.17%,1007,2.45%,6364,15.49%
5,Beaumont,,,Not Economically Disadvantaged,2730,2632,96.41%,2495,91.39%,96,3.52%,2303,84.36%,901,33.00%,895,32.78%,,,1796,65.79%,98,3.59%,969,35.49%
5,Beaumont,,,Economically Disadvantaged,3154,2983,94.58%,2639,83.67%,236,7.48%,2261,71.69%,477,15.12%,778,24.67%,,,1255,39.79%,62,1.97%,394,12.49%
6,Huntsville,,,Not Economically Disadvantaged,6660,6344,95.26%,5971,89.65%,230,3.45%,5576,83.72%,1822,27.36%,2321,34.85%,,,4143,62.21%,216,3.24%,2331,35.00%
6,Huntsville,,,Economically Disadvantaged,5769,5403,93.66%,4638,80.40%,657,11.39%,4120,71.42%,509,8.82%,1570,27.21%,,,2079,36.04%,121,2.10%,619,10.73%
7,Kilgore,,,Not Economically Disadvantaged,5282,5090,96.37%,4893,92.64%,119,2.25%,4532,85.80%,1280,24.23%,2198,41.61%,,,3478,65.85%,168,3.18%,1938,36.69%
7,Kilgore,,,Economically Disadvantaged,6635,6248,94.17%,5653,85.20%,480,7.23%,4974,74.97%,534,8.05%,2236,33.70%,,,2770,41.75%,167,2.52%,954,14.38%
8,Mt. Pleasant,,,Not Economically Disadvantaged,1783,1719,96.41%,1640,91.98%,37,2.08%,1398,78.41%,399,22.38%,714,40.04%,,,1113,62.42%,141,7.91%,593,33.26%
8,Mt. Pleasant,,,Economically Disadvantaged,2367,2209,93.32%,1983,83.78%,145,6.13%,1664,70.30%,200,8.45%,797,33.67%,,,997,42.12%,112,4.73%,345,14.58%
9,Wichita Falls,,,Not Economically Disadvantaged,1337,1280,95.74%,1216,90.95%,31,2.32%,1155,86.39%,459,34.33%,391,29.24%,,,850,63.58%,29,2.17%,463,34.63%
9,Wichita Falls,,,Economically Disadvantaged,1483,1373,92.58%,1226,82.67%,96,6.47%,1083,73.03%,180,12.14%,361,24.34%,,,541,36.48%,35,2.36%,181,12.20%
10,Richardson,,,Not Economically Disadvantaged,25265,24080,95.31%,22764,90.10%,995,3.94%,21779,86.20%,7609,30.12%,8880,35.15%,,,16489,65.26%,793,3.14%,8828,34.94%
10,Richardson,,,Economically Disadvantaged,27837,25901,93.05%,22582,81.12%,3199,11.49%,21083,75.74%,3392,12.19%,8261,29.68%,,,11653,41.86%,463,1.66%,3744,13.45%
11,Fort Worth,,,Not Economically Disadvantaged,22156,21279,96.04%,19889,89.77%,961,4.34%,18840,85.03%,6492,29.30%,7607,34.33%,,,14099,63.64%,691,3.12%,7301,32.95%
11,Fort Worth,,,Economically Disadvantaged,16479,15486,93.97%,12940,78.52%,2131,12.93%,11988,72.75%,2000,12.14%,4724,28.67%,,,6724,40.80%,370,2.25%,2343,14.22%
12,Waco,,,Not Economically Disadvantaged,4986,4639,93.04%,4284,85.92%,233,4.67%,4107,82.37%,1323,26.53%,2005,40.21%,,,3328,66.75%,187,3.75%,1807,36.24%
12,Waco,,,Economically Disadvantaged,5718,5268,92.13%,4479,78.33%,667,11.66%,4110,71.88%,462,8.08%,2030,35.50%,,,2492,43.58%,176,3.08%,768,13.43%
13,Austin,,,Not Economically Disadvantaged,14496,13950,96.23%,13307,91.80%,392,2.70%,12663,87.36%,5418,37.38%,4194,28.93%,,,9612,66.31%,406,2.80%,5450,37.60%
13,Austin,,,Economically Disadvantaged,11627,10987,94.50%,9436,81.16%,1318,11.34%,8537,73.42%,1395,12.00%,2651,22.80%,,,4046,34.80%,223,1.92%,1259,10.83%
14,Abilene,,,Not Economically Disadvantaged,1502,1438,95.74%,1367,91.01%,37,2.46%,1292,86.02%,567,37.75%,479,31.89%,,,1046,69.64%,38,2.53%,640,42.61%
14,Abilene,,,Economically Disadvantaged,1837,1707,92.92%,1490,81.11%,166,9.04%,1304,70.99%,224,12.19%,484,26.35%,,,708,38.54%,48,2.61%,251,13.66%
15,San Angelo,,,Not Economically Disadvantaged,1408,1364,96.88%,1312,93.18%,26,1.85%,1247,88.57%,639,45.38%,335,23.79%,,,974,69.18%,30,2.13%,578,41.05%
15,San Angelo,,,Economically Disadvantaged,1970,1869,94.87%,1679,85.23%,164,8.32%,1496,75.94%,307,15.58%,462,23.45%,,,769,39.04%,32,1.62%,304,15.43%
16,Amarillo,,,Not Economically Disadvantaged,2648,2566,96.90%,2413,91.13%,96,3.63%,2342,88.44%,812,30.66%,1003,37.88%,,,1815,68.54%,47,1.77%,1030,38.90%
16,Amarillo,,,Economically Disadvantaged,3396,3205,94.38%,2634,77.56%,449,13.22%,2445,72.00%,312,9.19%,1074,31.63%,,,1386,40.81%,66,1.94%,517,15.22%
17,Lubbock,,,Not Economically Disadvantaged,2338,2267,96.96%,2188,93.58%,53,2.27%,2090,89.39%,876,37.47%,793,33.92%,,,1669,71.39%,45,1.92%,990,42.34%
17,Lubbock,,,Economically Disadvantaged,3190,3032,95.05%,2701,84.67%,260,8.15%,2407,75.45%,323,10.13%,941,29.50%,,,1264,39.62%,56,1.76%,386,12.10%
18,Midland,,,Not Economically Disadvantaged,2530,2431,96.09%,2282,90.20%,105,4.15%,2034,80.40%,673,26.60%,863,34.11%,,,1536,60.71%,71,2.81%,772,30.51%
18,Midland,,,Economically Disadvantaged,2855,2656,93.03%,2354,82.45%,278,9.74%,1835,64.27%,279,9.77%,784,27.46%,,,1063,37.23%,66,2.31%,357,12.50%
19,El Paso,,,Not Economically Disadvantaged,3228,3006,93.12%,2708,83.89%,212,6.57%,2637,81.69%,1148,35.56%,988,30.61%,,,2136,66.17%,97,3.00%,1010,31.29%
19,El Paso,,,Economically Disadvantaged,10086,9517,94.36%,8136,80.67%,1232,12.21%,7722,76.56%,2102,20.84%,3417,33.88%,,,5519,54.72%,259,2.57%,1873,18.57%
20,San Antonio,,,Not Economically Disadvantaged,10996,10423,94.79%,9752,88.69%,431,3.92%,9331,84.86%,3815,34.69%,3469,31.55%,,,7284,66.24%,321,2.92%,4166,37.89%
20,San Antonio,,,Economically Disadvantaged,17523,16400,93.59%,14016,79.99%,1996,11.39%,12730,72.65%,2152,12.28%,5367,30.63%,,,7519,42.91%,389,2.22%,2743,15.65%
1,Edinburg,Female,African American,,18,17,94.44%,13,72.22%,,,14,77.78%,,,6,33.33%,,,9,50.00%,,,,
1,Edinburg,Female,Hispanic,,13451,12840,95.46%,11340,84.31%,1268,9.43%,11070,82.30%,3665,27.25%,4342,32.28%,,,8007,59.53%,183,1.36%,3919,29.14%
1,Edinburg,Female,White,,262,252,96.18%,227,86.64%,11,4.20%,220,83.97%,125,47.71%,55,20.99%,,,180,68.70%,10,3.82%,109,41.60%
1,Edinburg,Female,Others,,100,93,93.00%,88,88.00%,,,82,82.00%,50,50.00%,15,15.00%,,,65,65.00%,,,53,53.00%
1,Edinburg,Male,African American,,22,21,95.45%,20,90.91%,,,17,77.27%,9,40.91%,5,22.73%,,,14,63.64%,,,6,27.27%
1,Edinburg,Male,Hispanic,,13694,13092,95.60%,11059,80.76%,1897,13.85%,10970,80.11%,2936,21.44%,4091,29.87%,,,7027,51.31%,164,1.20%,2738,19.99%
1,Edinburg,Male,White,,298,284,95.30%,256,85.91%,17,5.70%,241,80.87%,104,34.90%,72,24.16%,,,176,59.06%,8,2.68%,86,28.86%
1,Edinburg,Male,Others,,89,83,93.26%,80,89.89%,,,74,83.15%,46,51.69%,16,17.98%,,,62,69.66%,,,37,41.57%
2,Corpus Christi,Female,African American,,93,90,96.77%,86,92.47%,,,77,82.80%,26,27.96%,27,29.03%,,,53,56.99%,,,14,15.05%
2,Corpus Christi,Female,Hispanic,,2677,2534,94.66%,2309,86.25%,204,7.62%,2096,78.30%,546,20.40%,908,33.92%,,,1454,54.31%,65,2.43%,568,21.22%
2,Corpus Christi,Female,White,,856,808,94.39%,765,89.37%,27,3.15%,710,82.94%,305,35.63%,252,29.44%,,,557,65.07%,24,2.80%,305,35.63%
2,Corpus Christi,Female,Others,,72,67,93.06%,63,87.50%,,,63,87.50%,28,38.89%,19,26.39%,,,47,65.28%,,,26,36.11%
2,Corpus Christi,Male,African American,,142,128,90.14%,115,80.99%,10,7.04%,99,69.72%,29,20.42%,33,23.24%,,,62,43.66%,,,15,10.56%
2,Corpus Christi,Male,Hispanic,,2817,2654,94.21%,2299,81.61%,324,11.50%,2080,73.84%,387,13.74%,748,26.55%,,,1135,40.29%,46,1.63%,371,13.17%
2,Corpus Christi,Male,White,,811,758,93.46%,690,85.08%,53,6.54%,657,81.01%,233,28.73%,209,25.77%,,,442,54.50%,13,1.60%,203,25.03%
2,Corpus Christi,Male,Others,,99,91,91.92%,85,85.86%,,,80,80.81%,30,30.30%,22,22.22%,,,52,52.53%,,,30,30.30%
3,Victoria,Female,African American,,174,166,95.40%,153,87.93%,13,7.47%,147,84.48%,34,19.54%,70,40.23%,,,104,59.77%,,,32,18.39%
3,Victoria,Female,Hispanic,,883,851,96.38%,768,86.98%,58,6.57%,655,74.18%,74,8.38%,335,37.94%,,,409,46.32%,30,3.40%,144,16.31%
3,Victoria,Female,White,,704,681,96.73%,648,92.05%,16,2.27%,584,82.95%,189,26.85%,307,43.61%,,,496,70.45%,18,2.56%,296,42.05%
3,Victoria,Female,Others,,24,23,95.83%,22,91.67%,,,21,87.50%,15,62.50%,,,,,17,70.83%,,,11,45.83%
3,Victoria,Male,African American,,190,179,94.21%,158,83.16%,22,11.58%,136,71.58%,27,14.21%,57,30.00%,,,84,44.21%,5,2.63%,23,12.11%
3,Victoria,Male,Hispanic,,942,902,95.75%,778,82.59%,100,10.62%,696,73.89%,61,6.48%,301,31.95%,,,362,38.43%,15,1.59%,156,16.56%
3,Victoria,Male,White,,755,731,96.82%,703,93.11%,22,2.91%,645,85.43%,148,19.60%,300,39.74%,,,448,59.34%,20,2.65%,264,34.97%
3,Victoria,Male,Others,,24,23,95.83%,23,95.83%,,,22,91.67%,11,45.83%,9,37.50%,,,20,83.33%,,,15,62.50%
4,Houston,Female,African American,,7348,6967,94.81%,6122,83.32%,694,9.44%,5735,78.05%,2200,29.94%,2399,32.65%,,,4599,62.59%,314,4.27%,1652,22.48%
4,Houston,Female,Hispanic,,16510,15726,95.25%,14063,85.18%,1357,8.22%,13017,78.84%,2393,14.49%,5893,35.69%,,,8286,50.19%,375,2.27%,3752,22.73%
4,Houston,Female,White,,9947,9463,95.13%,8911,89.58%,332,3.34%,8258,83.02%,3014,30.30%,3638,36.57%,,,6652,66.87%,390,3.92%,4139,41.61%
4,Houston,Female,Others,,3119,2990,95.86%,2858,91.63%,72,2.31%,2753,88.27%,1355,43.44%,846,27.12%,,,2201,70.57%,83,2.66%,1516,48.61%
4,Houston,Male,African American,,7793,7329,94.05%,6001,77.01%,1173,15.05%,5553,71.26%,1559,20.01%,2202,28.26%,,,3761,48.26%,242,3.11%,914,11.73%
4,Houston,Male,Hispanic,,17114,16308,95.29%,13774,80.48%,2219,12.97%,12711,74.27%,1844,10.77%,5119,29.91%,,,6963,40.69%,329,1.92%,2476,14.47%
4,Houston,Male,White,,10784,10238,94.94%,9394,87.11%,649,6.02%,8780,81.42%,2729,25.31%,3641,33.76%,,,6370,59.07%,357,3.31%,3317,30.76%
4,Houston,Male,Others,,3277,3137,95.73%,2944,89.84%,147,4.49%,2854,87.09%,1309,39.95%,867,26.46%,,,2176,66.40%,86,2.62%,1367,41.71%
5,Beaumont,Female,African American,,802,775,96.63%,711,88.65%,43,5.36%,618,77.06%,207,25.81%,219,27.31%,,,426,53.12%,23,2.87%,129,16.08%
5,Beaumont,Female,Hispanic,,390,366,93.85%,351,90.00%,11,2.82%,312,80.00%,70,17.95%,127,32.56%,,,197,50.51%,13,3.33%,94,24.10%
5,Beaumont,Female,White,,1489,1426,95.77%,1335,89.66%,42,2.82%,1198,80.46%,450,30.22%,471,31.63%,,,921,61.85%,40,2.69%,508,34.12%
5,Beaumont,Female,Others,,118,110,93.22%,104,88.14%,6,5.08%,98,83.05%,56,47.46%,31,26.27%,,,87,73.73%,5,4.24%,53,44.92%
5,Beaumont,Male,African American,,840,801,95.36%,701,83.45%,83,9.88%,606,72.14%,134,15.95%,222,26.43%,,,356,42.38%,22,2.62%,91,10.83%
5,Beaumont,Male,Hispanic,,404,383,94.80%,334,82.67%,30,7.43%,284,70.30%,53,13.12%,99,24.50%,,,152,37.62%,7,1.73%,65,16.09%
5,Beaumont,Male,White,,1664,1589,95.49%,1444,86.78%,108,6.49%,1304,78.37%,359,21.57%,454,27.28%,,,813,48.86%,44,2.64%,377,22.66%
5,Beaumont,Male,Others,,141,133,94.33%,124,87.94%,7,4.96%,117,82.98%,43,30.50%,46,32.62%,,,89,63.12%,5,3.55%,42,29.79%
6,Huntsville,Female,Asian,,118,109,92.37%,105,88.98%,,,100,84.75%,48,40.68%,26,22.03%,,,74,62.71%,,,59,50.00%
6,Huntsville,Female,African American,,672,650,96.73%,591,87.95%,39,5.80%,527,78.42%,121,18.01%,226,33.63%,,,347,51.64%,21,3.13%,101,15.03%
6,Huntsville,Female,Hispanic,,1649,1561,94.66%,1429,86.66%,106,6.43%,1283,77.80%,195,11.83%,547,33.17%,,,742,45.00%,35,2.12%,308,18.68%
6,Huntsville,Female,White,,3486,3302,94.72%,3115,89.36%,129,3.70%,2838,81.41%,911,26.13%,1261,36.17%,,,2172,62.31%,124,3.56%,1226,35.17%
6,Huntsville,Female,Others,,242,229,94.63%,218,90.08%,8,3.31%,201,83.06%,72,29.75%,76,31.40%,,,148,61.16%,5,2.07%,91,37.60%
6,Huntsville,Male,African American,,731,682,93.30%,577,78.93%,97,13.27%,530,72.50%,101,13.82%,201,27.50%,,,302,41.31%,14,1.92%,81,11.08%
6,Huntsville,Male,Hispanic,,1700,1590,93.53%,1350,79.41%,217,12.76%,1250,73.53%,146,8.59%,426,25.06%,,,572,33.65%,21,1.24%,208,12.24%
6,Huntsville,Male,White,,3626,3440,94.87%,3070,84.67%,269,7.42%,2828,77.99%,708,19.53%,1079,29.76%,,,1787,49.28%,104,2.87%,856,23.61%
6,Huntsville,Male,Others,,243,224,92.18%,200,82.30%,14,5.76%,180,74.07%,61,25.10%,58,23.87%,,,119,48.97%,9,3.70%,64,26.34%
7,Kilgore,Female,African American,,1048,1004,95.80%,944,90.08%,59,5.63%,897,85.59%,166,15.84%,470,44.85%,,,636,60.69%,16,1.53%,240,22.90%
7,Kilgore,Female,Hispanic,,1228,1165,94.87%,1071,87.21%,65,5.29%,979,79.72%,101,8.22%,462,37.62%,,,563,45.85%,26,2.12%,260,21.17%
7,Kilgore,Female,White,,3386,3236,95.57%,3088,91.20%,78,2.30%,2709,80.01%,738,21.80%,1433,42.32%,,,2171,64.12%,154,4.55%,1179,34.82%
7,Kilgore,Female,Others,,138,132,95.65%,124,89.86%,,,113,81.88%,41,29.71%,51,36.96%,,,92,66.67%,,,52,37.68%
7,Kilgore,Male,African American,,1063,1010,95.01%,906,85.23%,105,9.88%,832,78.27%,127,11.95%,371,34.90%,,,498,46.85%,18,1.69%,129,12.14%
7,Kilgore,Male,Hispanic,,1320,1250,94.70%,1108,83.94%,122,9.24%,1020,77.27%,88,6.67%,408,30.91%,,,496,37.58%,15,1.14%,208,15.76%
7,Kilgore,Male,White,,3531,3351,94.90%,3129,88.62%,157,4.45%,2795,79.16%,517,14.64%,1169,33.11%,,,1686,47.75%,97,2.75%,782,22.15%
7,Kilgore,Male,Others,,143,135,94.41%,123,86.01%,8,5.59%,117,81.82%,28,19.58%,53,37.06%,,,81,56.64%,,,36,25.17%
8,Mt. Pleasant,Female,African American,,404,391,96.78%,362,89.60%,17,4.21%,335,82.92%,69,17.08%,181,44.80%,,,250,61.88%,12,2.97%,75,18.56%
8,Mt. Pleasant,Female,Hispanic,,358,332,92.74%,311,86.87%,15,4.19%,278,77.65%,20,5.59%,152,42.46%,,,172,48.04%,22,6.15%,79,22.07%
8,Mt. Pleasant,Female,White,,1120,1068,95.36%,1005,89.73%,26,2.32%,830,74.11%,203,18.13%,488,43.57%,,,691,61.70%,103,9.20%,369,32.95%
8,Mt. Pleasant,Female,Others,,80,71,88.75%,65,81.25%,,,47,58.75%,12,15.00%,27,33.75%,,,39,48.75%,7,8.75%,16,20.00%
8,Mt. Pleasant,Male,African American,,446,422,94.62%,378,84.75%,31,6.95%,334,74.89%,67,15.02%,129,28.92%,,,196,43.95%,17,3.81%,62,13.90%
8,Mt. Pleasant,Male,Hispanic,,320,302,94.38%,263,82.19%,32,10.00%,238,74.38%,15,4.69%,94,29.38%,,,109,34.06%,11,3.44%,46,14.38%
8,Mt. Pleasant,Male,White,,1328,1253,94.35%,1156,87.05%,55,4.14%,934,70.33%,194,14.61%,413,31.10%,,,607,45.71%,75,5.65%,273,20.56%
8,Mt. Pleasant,Male,Others,,71,68,95.77%,64,90.14%,,,48,67.61%,10,14.08%,21,29.58%,,,31,43.66%,,,8,11.27%
9,Wichita Falls,Female,African American,,117,106,90.60%,103,88.03%,6,5.13%,91,77.78%,17,14.53%,33,28.21%,,,50,42.74%,,,16,13.68%
9,Wichita Falls,Female,Hispanic,,329,308,93.62%,283,86.02%,19,5.78%,258,78.42%,61,18.54%,100,30.40%,,,161,48.94%,11,3.34%,74,22.49%
9,Wichita Falls,Female,White,,843,798,94.66%,747,88.61%,24,2.85%,682,80.90%,244,28.94%,256,30.37%,,,500,59.31%,23,2.73%,265,31.44%
9,Wichita Falls,Female,Others,,27,26,96.30%,25,92.59%,,3.70%,20,74.07%,5,18.52%,11,40.74%,,,16,59.26%,,,8,29.63%
9,Wichita Falls,Male,African American,,117,105,89.74%,95,81.20%,11,9.40%,88,75.21%,18,15.38%,34,29.06%,,,52,44.44%,,,12,10.26%
9,Wichita Falls,Male,Hispanic,,320,297,92.81%,260,81.25%,28,8.75%,246,76.88%,39,12.19%,64,20.00%,,,103,32.19%,5,1.56%,31,9.69%
9,Wichita Falls,Male,White,,958,916,95.62%,838,87.47%,35,3.65%,773,80.69%,225,23.49%,228,23.80%,,,453,47.29%,18,1.88%,214,22.34%
9,Wichita Falls,Male,Others,,26,23,88.46%,23,88.46%,,,21,80.77%,5,19.23%,9,34.62%,,,14,53.85%,,,,
10,Richardson,Female,African American,,5117,4800,93.80%,4366,85.32%,387,7.56%,4128,80.67%,1427,27.89%,1684,32.91%,,,3111,60.80%,152,2.97%,1138,22.24%
10,Richardson,Female,Hispanic,,10117,9531,94.21%,8677,85.77%,800,7.91%,8273,81.77%,1251,12.37%,3435,33.95%,,,4686,46.32%,150,1.48%,1980,19.57%
10,Richardson,Female,White,,8810,8379,95.11%,7951,90.25%,268,3.04%,7533,85.51%,2627,29.82%,3263,37.04%,,,5890,66.86%,315,3.58%,3352,38.05%
10,Richardson,Female,Others,,2054,1942,94.55%,1850,90.07%,60,2.92%,1730,84.23%,836,40.70%,512,24.93%,,,1348,65.63%,69,3.36%,938,45.67%
10,Richardson,Male,African American,,5304,4890,92.19%,4107,77.43%,779,14.69%,3923,73.96%,1028,19.38%,1546,29.15%,,,2574,48.53%,128,2.41%,649,12.24%
10,Richardson,Male,Hispanic,,10239,9552,93.29%,8212,80.20%,1371,13.39%,7741,75.60%,883,8.62%,2928,28.60%,,,3811,37.22%,123,1.20%,1131,11.05%
10,Richardson,Male,White,,9346,8883,95.05%,8291,88.71%,446,4.77%,7771,83.15%,2211,23.66%,3170,33.92%,,,5381,57.58%,256,2.74%,2601,27.83%
10,Richardson,Male,Others,,2115,2004,94.75%,1892,89.46%,83,3.92%,1763,83.36%,738,34.89%,603,28.51%,,,1341,63.40%,63,2.98%,783,37.02%
11,Fort Worth,Female,African American,,2558,2430,95.00%,2165,84.64%,206,8.05%,2034,79.52%,718,28.07%,865,33.82%,,,1583,61.88%,84,3.28%,615,24.04%
