Region Code,TEA Region,County Number,County Name,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_per,total_degrees,total_degrees_percent
02,Corpus Christi,178,NUECES,Economically Disadvantaged,2712,2540,94%,2275,84%,258,10%,2010,74%,379,14%,755,28%,1134,42%,53,2%,320,12%
02,Corpus Christi,205,SAN PATRICIO,Not Economically Disadvantaged,433,412,95%,393,91%,12,3%,376,87%,119,27%,147,34%,266,61%,*,*,129,30%
02,Corpus Christi,205,SAN PATRICIO,Economically Disadvantaged,633,592,94%,542,86%,38,6%,479,76%,67,11%,182,29%,249,39%,8,1%,72,11%
03,Victoria,029,CALHOUN,Not Economically Disadvantaged,138,134,97%,127,92%,*,*,125,91%,31,22%,62,45%,93,67%,*,*,47,34%
03,Victoria,029,CALHOUN,Economically Disadvantaged,148,146,99%,133,90%,9,6%,121,82%,6,4%,28,19%,34,23%,*,*,11,7%
03,Victoria,045,COLORADO,Not Economically Disadvantaged,101,98,97%,95,94%,5,5%,91,90%,24,24%,52,51%,76,75%,*,*,50,50%
03,Victoria,045,COLORADO,Economically Disadvantaged,124,120,97%,105,85%,12,10%,91,73%,10,8%,40,32%,50,40%,*,*,20,16%
03,Victoria,062,DE WITT,Not Economically Disadvantaged,143,138,97%,133,93%,5,4%,126,88%,43,30%,59,41%,102,71%,5,4%,61,43%
03,Victoria,062,DE WITT,Economically Disadvantaged,178,168,94%,145,81%,19,11%,122,69%,8,4%,39,22%,47,26%,*,*,11,6%
03,Victoria,088,GOLIAD,Not Economically Disadvantaged,49,49,100%,49,100%,*,*,47,96%,20,41%,19,39%,39,80%,*,*,24,49%
03,Victoria,088,GOLIAD,Economically Disadvantaged,54,51,94%,49,91%,*,*,42,78%,5,9%,14,26%,19,35%,*,*,5,9%
03,Victoria,120,JACKSON,Not Economically Disadvantaged,145,141,97%,139,96%,*,*,133,92%,34,23%,63,43%,97,67%,*,*,61,42%
03,Victoria,120,JACKSON,Economically Disadvantaged,100,97,97%,91,91%,5,5%,78,78%,8,8%,35,35%,43,43%,*,*,15,15%
03,Victoria,128,KARNES,Not Economically Disadvantaged,64,63,98%,60,94%,*,*,59,92%,20,31%,24,38%,44,69%,*,*,30,47%
03,Victoria,128,KARNES,Economically Disadvantaged,90,86,96%,77,86%,8,9%,64,71%,10,11%,29,32%,39,43%,*,*,15,17%
03,Victoria,143,LAVACA,Not Economically Disadvantaged,98,96,98%,95,97%,*,*,90,92%,22,22%,53,54%,75,77%,*,*,45,46%
03,Victoria,143,LAVACA,Economically Disadvantaged,51,48,94%,43,84%,*,*,36,71%,*,*,13,25%,15,29%,*,*,5,10%
03,Victoria,158,MATAGORDA,Not Economically Disadvantaged,229,223,97%,221,97%,*,*,195,85%,50,22%,114,50%,164,72%,7,3%,86,38%
03,Victoria,158,MATAGORDA,Economically Disadvantaged,286,274,96%,252,88%,10,4%,208,73%,36,13%,77,27%,113,40%,9,3%,44,15%
03,Victoria,196,REFUGIO,Not Economically Disadvantaged,48,47,98%,48,100%,*,*,46,96%,13,27%,20,42%,33,69%,*,*,19,40%
03,Victoria,196,REFUGIO,Economically Disadvantaged,54,53,98%,49,91%,*,*,42,78%,10,19%,15,28%,25,46%,*,*,9,17%
03,Victoria,235,VICTORIA,Not Economically Disadvantaged,405,383,95%,361,89%,13,3%,333,82%,99,24%,173,43%,272,67%,18,4%,151,37%
03,Victoria,235,VICTORIA,Economically Disadvantaged,641,602,94%,515,80%,62,10%,396,62%,35,5%,196,31%,231,36%,22,3%,63,10%
03,Victoria,241,WHARTON,Not Economically Disadvantaged,240,238,99%,224,93%,15,6%,219,91%,57,24%,130,54%,187,78%,6,3%,125,52%
03,Victoria,241,WHARTON,Economically Disadvantaged,354,341,96%,279,79%,56,16%,272,77%,23,7%,140,40%,163,46%,5,1%,53,15%
04,Houston,020,BRAZORIA,Not Economically Disadvantaged,2452,2377,97%,2276,93%,78,3%,2173,89%,738,30%,1014,41%,1752,71%,70,3%,1032,42%
04,Houston,020,BRAZORIA,Economically Disadvantaged,1835,1740,95%,1485,81%,247,13%,1343,73%,159,9%,634,35%,793,43%,52,3%,278,15%
04,Houston,036,CHAMBERS,Not Economically Disadvantaged,350,342,98%,336,96%,*,*,318,91%,100,29%,175,50%,275,79%,7,2%,159,45%
04,Houston,036,CHAMBERS,Economically Disadvantaged,167,162,97%,151,90%,10,6%,124,74%,20,12%,49,29%,69,41%,*,*,25,15%
04,Houston,079,FORT BEND,Not Economically Disadvantaged,4678,4477,96%,4102,88%,321,7%,4075,87%,1869,40%,1413,30%,3282,70%,137,3%,1953,42%
04,Houston,079,FORT BEND,Economically Disadvantaged,2814,2702,96%,2231,79%,403,14%,2126,76%,513,18%,864,31%,1377,49%,58,2%,514,18%
04,Houston,084,GALVESTON,Not Economically Disadvantaged,3661,3549,97%,3354,92%,146,4%,3185,87%,1269,35%,1373,38%,2642,72%,123,3%,1621,44%
04,Houston,084,GALVESTON,Economically Disadvantaged,1843,1740,94%,1494,81%,205,11%,1342,73%,201,11%,650,35%,851,46%,49,3%,300,16%
04,Houston,101,HARRIS,Not Economically Disadvantaged,22973,21753,95%,20182,88%,1201,5%,19175,83%,6682,29%,7822,34%,14504,63%,813,4%,7795,34%
04,Houston,101,HARRIS,Economically Disadvantaged,33385,31666,95%,27019,81%,3863,12%,24489,73%,4612,14%,10091,30%,14703,44%,821,2%,5152,15%
04,Houston,146,LIBERTY,Not Economically Disadvantaged,484,469,97%,425,88%,22,5%,391,81%,98,20%,186,38%,284,59%,13,3%,146,30%
04,Houston,146,LIBERTY,Economically Disadvantaged,616,577,94%,500,81%,57,9%,426,69%,46,7%,155,25%,201,33%,18,3%,55,9%
04,Houston,237,WALLER,Not Economically Disadvantaged,222,214,96%,194,87%,18,8%,185,83%,50,23%,78,35%,128,58%,6,3%,63,28%
04,Houston,237,WALLER,Economically Disadvantaged,412,390,95%,318,77%,69,17%,309,75%,46,11%,101,25%,147,36%,6,1%,40,10%
05,Beaumont,084,GALVESTON,Not Economically Disadvantaged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05,Beaumont,084,GALVESTON,Economically Disadvantaged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05,Beaumont,100,HARDIN,Not Economically Disadvantaged,513,493,96%,468,91%,20,4%,429,84%,204,40%,122,24%,326,64%,12,2%,182,35%
05,Beaumont,100,HARDIN,Economically Disadvantaged,292,278,95%,252,86%,18,6%,212,73%,57,20%,48,16%,105,36%,*,*,34,12%
05,Beaumont,121,JASPER,Not Economically Disadvantaged,244,233,95%,226,93%,5,2%,212,87%,74,30%,71,29%,145,59%,8,3%,66,27%
05,Beaumont,121,JASPER,Economically Disadvantaged,264,247,94%,220,83%,21,8%,194,73%,27,10%,62,23%,89,34%,*,*,29,11%
05,Beaumont,123,JEFFERSON,Not Economically Disadvantaged,1134,1090,96%,1039,92%,37,3%,942,83%,408,36%,378,33%,786,69%,47,4%,428,38%
05,Beaumont,123,JEFFERSON,Economically Disadvantaged,1819,1740,96%,1537,85%,128,7%,1292,71%,311,17%,474,26%,785,43%,49,3%,257,14%
05,Beaumont,176,NEWTON,Not Economically Disadvantaged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05,Beaumont,176,NEWTON,Economically Disadvantaged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05,Beaumont,181,ORANGE,Not Economically Disadvantaged,661,643,97%,595,90%,32,5%,566,86%,170,26%,261,39%,431,65%,24,4%,234,35%
05,Beaumont,181,ORANGE,Economically Disadvantaged,532,490,92%,429,81%,53,10%,394,74%,59,11%,136,26%,195,37%,8,2%,58,11%
05,Beaumont,229,TYLER,Not Economically Disadvantaged,112,111,99%,109,97%,*,*,103,92%,31,28%,41,37%,72,64%,*,*,42,38%
05,Beaumont,229,TYLER,Economically Disadvantaged,144,135,94%,117,81%,10,7%,97,67%,14,10%,32,22%,46,32%,*,*,10,7%
06,Huntsville,008,AUSTIN,Not Economically Disadvantaged,219,215,98%,200,91%,7,3%,191,87%,56,26%,104,47%,160,73%,11,5%,109,50%
06,Huntsville,008,AUSTIN,Economically Disadvantaged,205,199,97%,179,87%,11,5%,171,83%,19,9%,66,32%,85,41%,*,*,22,11%
06,Huntsville,021,BRAZOS,Not Economically Disadvantaged,839,798,95%,745,89%,23,3%,712,85%,262,31%,297,35%,559,67%,25,3%,336,40%
06,Huntsville,021,BRAZOS,Economically Disadvantaged,1039,952,92%,775,75%,165,16%,683,66%,83,8%,271,26%,354,34%,25,2%,115,11%
06,Huntsville,026,BURLESON,Not Economically Disadvantaged,115,114,99%,111,97%,*,*,105,91%,31,27%,40,35%,71,62%,*,*,40,35%
06,Huntsville,026,BURLESON,Economically Disadvantaged,113,110,97%,106,94%,*,*,88,78%,8,7%,31,27%,39,35%,*,*,10,9%
06,Huntsville,093,GRIMES,Not Economically Disadvantaged,118,114,97%,104,88%,9,8%,100,85%,25,21%,50,42%,75,64%,*,*,40,34%
06,Huntsville,093,GRIMES,Economically Disadvantaged,194,185,95%,157,81%,27,14%,143,74%,31,16%,40,21%,71,37%,*,*,32,16%
06,Huntsville,113,HOUSTON,Not Economically Disadvantaged,82,80,98%,77,94%,*,*,73,89%,15,18%,35,43%,50,61%,*,*,25,30%
06,Huntsville,113,HOUSTON,Economically Disadvantaged,147,133,90%,115,78%,14,10%,101,69%,17,12%,34,23%,51,35%,*,*,15,10%
06,Huntsville,145,LEON,Not Economically Disadvantaged,115,110,96%,106,92%,*,*,90,78%,26,23%,46,40%,72,63%,*,*,41,36%
06,Huntsville,145,LEON,Economically Disadvantaged,112,105,94%,91,81%,9,8%,77,69%,11,10%,32,29%,43,38%,*,*,17,15%
06,Huntsville,154,MADISON,Not Economically Disadvantaged,54,54,100%,53,98%,*,*,50,93%,20,37%,17,31%,37,69%,*,*,17,31%
06,Huntsville,154,MADISON,Economically Disadvantaged,129,124,96%,113,88%,*,*,105,81%,11,9%,29,22%,40,31%,*,*,10,8%
06,Huntsville,166,MILAM,Not Economically Disadvantaged,114,110,96%,110,96%,*,*,106,93%,43,38%,41,36%,84,74%,*,*,51,45%
06,Huntsville,166,MILAM,Economically Disadvantaged,177,169,95%,135,76%,27,15%,130,73%,17,10%,51,29%,68,38%,*,*,19,11%
06,Huntsville,170,MONTGOMERY,Not Economically Disadvantaged,4116,3890,95%,3653,89%,156,4%,3384,82%,1103,27%,1373,33%,2476,60%,155,4%,1351,33%
06,Huntsville,170,MONTGOMERY,Economically Disadvantaged,2475,2314,93%,1978,80%,291,12%,1764,71%,178,7%,719,29%,897,36%,60,2%,261,11%
06,Huntsville,187,POLK,Not Economically Disadvantaged,191,185,97%,177,93%,*,*,166,87%,45,24%,61,32%,106,56%,*,*,58,30%
06,Huntsville,187,POLK,Economically Disadvantaged,302,281,93%,263,87%,20,7%,218,72%,38,13%,66,22%,104,34%,6,2%,29,10%
06,Huntsville,198,ROBERTSON,Not Economically Disadvantaged,86,82,95%,79,92%,*,*,74,86%,26,30%,37,43%,63,73%,*,*,45,52%
06,Huntsville,198,ROBERTSON,Economically Disadvantaged,139,132,95%,118,85%,10,7%,111,80%,16,12%,37,27%,53,38%,*,*,12,9%
06,Huntsville,204,SAN JACINTO,Not Economically Disadvantaged,103,97,94%,86,84%,8,8%,79,77%,19,18%,30,29%,49,48%,*,*,20,19%
06,Huntsville,204,SAN JACINTO,Economically Disadvantaged,169,154,91%,137,81%,21,12%,122,72%,14,8%,51,30%,65,38%,*,*,21,12%
06,Huntsville,228,TRINITY,Not Economically Disadvantaged,60,56,93%,55,92%,*,*,49,82%,11,18%,22,37%,33,55%,*,*,17,28%
06,Huntsville,228,TRINITY,Economically Disadvantaged,122,115,94%,98,80%,7,6%,74,61%,15,12%,32,26%,47,39%,*,*,12,10%
06,Huntsville,236,WALKER,Not Economically Disadvantaged,257,249,97%,233,91%,12,5%,229,89%,87,34%,82,32%,169,66%,7,3%,87,34%
06,Huntsville,236,WALKER,Economically Disadvantaged,269,258,96%,216,80%,36,13%,205,76%,37,14%,56,21%,93,35%,5,2%,25,9%
06,Huntsville,239,WASHINGTON,Not Economically Disadvantaged,191,190,99%,182,95%,*,*,168,88%,53,28%,86,45%,139,73%,*,*,94,49%
06,Huntsville,239,WASHINGTON,Economically Disadvantaged,177,172,97%,157,89%,12,7%,128,72%,14,8%,55,31%,69,39%,*,*,19,11%
07,Kilgore,001,ANDERSON,Not Economically Disadvantaged,288,279,97%,266,92%,10,3%,237,82%,55,19%,118,41%,173,60%,14,5%,98,34%
07,Kilgore,001,ANDERSON,Economically Disadvantaged,310,284,92%,263,85%,27,9%,221,71%,28,9%,93,30%,121,39%,12,4%,37,12%
07,Kilgore,003,ANGELINA,Not Economically Disadvantaged,457,447,98%,434,95%,11,2%,420,92%,131,29%,192,42%,323,71%,7,2%,180,39%
07,Kilgore,003,ANGELINA,Economically Disadvantaged,752,720,96%,689,92%,28,4%,606,81%,59,8%,291,39%,350,47%,18,2%,122,16%
07,Kilgore,037,CHEROKEE,Not Economically Disadvantaged,174,171,98%,163,94%,*,*,152,87%,40,23%,68,39%,108,62%,5,3%,61,35%
07,Kilgore,037,CHEROKEE,Economically Disadvantaged,417,380,91%,349,84%,36,9%,304,73%,21,5%,123,30%,144,35%,6,1%,44,11%
07,Kilgore,092,GREGG,Not Economically Disadvantaged,763,741,97%,713,93%,18,2%,670,88%,191,25%,339,44%,530,69%,12,2%,270,35%
07,Kilgore,092,GREGG,Economically Disadvantaged,834,778,93%,714,86%,50,6%,641,77%,57,7%,291,35%,348,42%,7,1%,118,14%
07,Kilgore,102,HARRISON,Not Economically Disadvantaged,433,411,95%,404,93%,6,1%,372,86%,113,26%,175,40%,288,67%,14,3%,158,36%
07,Kilgore,102,HARRISON,Economically Disadvantaged,484,459,95%,422,87%,26,5%,385,80%,53,11%,159,33%,212,44%,9,2%,78,16%
07,Kilgore,107,HENDERSON,Not Economically Disadvantaged,321,313,98%,291,91%,9,3%,247,77%,70,22%,154,48%,224,70%,33,10%,122,38%
07,Kilgore,107,HENDERSON,Economically Disadvantaged,481,460,96%,432,90%,17,4%,330,69%,42,9%,156,32%,198,41%,38,8%,68,14%
07,Kilgore,174,NACOGDOCHES,Not Economically Disadvantaged,336,320,95%,307,91%,8,2%,287,85%,124,37%,86,26%,210,63%,10,3%,139,41%
07,Kilgore,174,NACOGDOCHES,Economically Disadvantaged,450,434,96%,387,86%,35,8%,330,73%,43,10%,132,29%,175,39%,10,2%,60,13%
07,Kilgore,183,PANOLA,Not Economically Disadvantaged,158,150,95%,145,92%,6,4%,134,85%,29,18%,89,56%,118,75%,9,6%,61,39%
07,Kilgore,183,PANOLA,Economically Disadvantaged,110,105,95%,98,89%,5,5%,86,78%,9,8%,47,43%,56,51%,*,*,23,21%
07,Kilgore,190,RAINS,Not Economically Disadvantaged,69,67,97%,63,91%,*,*,59,86%,17,25%,23,33%,40,58%,*,*,20,29%
07,Kilgore,190,RAINS,Economically Disadvantaged,59,54,92%,51,86%,*,*,44,75%,5,8%,18,31%,23,39%,*,*,5,8%
07,Kilgore,201,RUSK,Not Economically Disadvantaged,243,234,96%,229,94%,*,*,219,90%,52,21%,100,41%,152,63%,*,*,86,35%
07,Kilgore,201,RUSK,Economically Disadvantaged,328,309,94%,274,84%,25,8%,239,73%,23,7%,105,32%,128,39%,7,2%,40,12%
07,Kilgore,202,SABINE,Not Economically Disadvantaged,45,44,98%,43,96%,*,*,39,87%,17,38%,11,24%,28,62%,*,*,15,33%
07,Kilgore,202,SABINE,Economically Disadvantaged,95,87,92%,79,83%,5,5%,70,74%,17,18%,15,16%,32,34%,*,*,13,14%
07,Kilgore,203,SAN AUGUSTINE,Not Economically Disadvantaged,9,9,100%,8,89%,*,*,8,89%,*,*,5,56%,6,67%,*,*,*,*
07,Kilgore,203,SAN AUGUSTINE,Economically Disadvantaged,62,56,90%,51,82%,*,*,46,74%,5,8%,13,21%,18,29%,*,*,8,13%
07,Kilgore,210,SHELBY,Not Economically Disadvantaged,121,113,93%,111,92%,*,*,103,85%,22,18%,61,50%,83,69%,*,*,42,35%
07,Kilgore,210,SHELBY,Economically Disadvantaged,221,207,94%,180,81%,20,9%,176,80%,19,9%,82,37%,101,46%,*,*,45,20%
07,Kilgore,212,SMITH,Not Economically Disadvantaged,1162,1114,96%,1049,90%,36,3%,977,84%,264,23%,492,42%,756,65%,37,3%,423,36%
07,Kilgore,212,SMITH,Economically Disadvantaged,1350,1262,93%,1053,78%,177,13%,967,72%,88,7%,480,36%,568,42%,33,2%,198,15%
07,Kilgore,230,UPSHUR,Not Economically Disadvantaged,259,250,97%,246,95%,*,*,226,87%,51,20%,122,47%,173,67%,8,3%,107,41%
07,Kilgore,230,UPSHUR,Economically Disadvantaged,263,248,94%,235,89%,6,2%,204,78%,36,14%,80,30%,116,44%,5,2%,43,16%
07,Kilgore,234,VAN ZANDT,Not Economically Disadvantaged,195,188,96%,186,95%,*,*,170,87%,35,18%,81,42%,116,59%,*,*,69,35%
07,Kilgore,234,VAN ZANDT,Economically Disadvantaged,199,192,96%,175,88%,11,6%,154,77%,11,6%,72,36%,83,42%,5,3%,22,11%
07,Kilgore,250,WOOD,Not Economically Disadvantaged,249,239,96%,235,94%,*,*,212,85%,68,27%,82,33%,150,60%,6,2%,83,33%
07,Kilgore,250,WOOD,Economically Disadvantaged,220,213,97%,201,91%,7,3%,171,78%,18,8%,79,36%,97,44%,6,3%,30,14%
08,Mt. Pleasant,019,BOWIE,Not Economically Disadvantaged,662,634,96%,603,91%,12,2%,529,80%,133,20%,226,34%,359,54%,31,5%,175,26%
08,Mt. Pleasant,019,BOWIE,Economically Disadvantaged,628,582,93%,506,81%,37,6%,416,66%,55,9%,185,29%,240,38%,32,5%,85,14%
08,Mt. Pleasant,032,CAMP,Not Economically Disadvantaged,44,40,91%,40,91%,*,*,37,84%,15,34%,18,41%,33,75%,*,*,16,36%
08,Mt. Pleasant,032,CAMP,Economically Disadvantaged,126,119,94%,115,91%,*,*,103,82%,8,6%,39,31%,47,37%,*,*,13,10%
08,Mt. Pleasant,034,CASS,Not Economically Disadvantaged,196,191,97%,182,93%,*,*,173,88%,39,20%,77,39%,116,59%,*,*,69,35%
08,Mt. Pleasant,034,CASS,Economically Disadvantaged,227,213,94%,197,87%,*,*,174,77%,32,14%,65,29%,97,43%,*,*,34,15%
08,Mt. Pleasant,060,DELTA,Not Economically Disadvantaged,35,35,100%,NA,NA,NA,NA,32,91%,6,17%,18,51%,24,69%,*,*,10,29%
08,Mt. Pleasant,060,DELTA,Economically Disadvantaged,38,35,92%,NA,NA,NA,NA,26,68%,*,*,11,29%,14,37%,*,*,7,18%
08,Mt. Pleasant,080,FRANKLIN,Not Economically Disadvantaged,58,56,97%,NA,NA,NA,NA,54,93%,17,29%,18,31%,35,60%,*,*,22,38%
08,Mt. Pleasant,080,FRANKLIN,Economically Disadvantaged,44,42,95%,NA,NA,NA,NA,39,89%,*,*,23,52%,25,57%,*,*,9,20%
08,Mt. Pleasant,112,HOPKINS,Not Economically Disadvantaged,208,199,96%,188,90%,8,4%,175,84%,68,33%,65,31%,133,64%,*,*,69,33%
08,Mt. Pleasant,112,HOPKINS,Economically Disadvantaged,268,257,96%,231,86%,17,6%,195,73%,24,9%,77,29%,101,38%,7,3%,36,13%
08,Mt. Pleasant,139,LAMAR,Not Economically Disadvantaged,304,299,98%,287,94%,7,2%,163,54%,61,20%,157,52%,218,72%,91,30%,131,43%
08,Mt. Pleasant,139,LAMAR,Economically Disadvantaged,363,332,91%,292,80%,25,7%,198,55%,18,5%,142,39%,160,44%,43,12%,50,14%
08,Mt. Pleasant,155,MARION,Not Economically Disadvantaged,31,30,97%,29,94%,*,*,24,77%,16,52%,6,19%,22,71%,*,*,8,26%
08,Mt. Pleasant,155,MARION,Economically Disadvantaged,59,57,97%,51,86%,*,*,45,76%,19,32%,8,14%,27,46%,*,*,15,25%
08,Mt. Pleasant,172,MORRIS,Not Economically Disadvantaged,47,46,98%,42,89%,*,*,39,83%,7,15%,23,49%,30,64%,*,*,21,45%
08,Mt. Pleasant,172,MORRIS,Economically Disadvantaged,118,112,95%,105,89%,7,6%,93,79%,12,10%,46,39%,58,49%,*,*,14,12%
08,Mt. Pleasant,194,RED RIVER,Not Economically Disadvantaged,55,54,98%,50,91%,*,*,46,84%,9,16%,36,65%,45,82%,*,*,17,31%
08,Mt. Pleasant,194,RED RIVER,Economically Disadvantaged,119,108,91%,105,88%,*,*,98,82%,7,6%,59,50%,66,55%,5,4%,19,16%
08,Mt. Pleasant,225,TITUS,Not Economically Disadvantaged,143,135,94%,130,91%,*,*,126,88%,28,20%,70,49%,98,69%,*,*,55,38%
08,Mt. Pleasant,225,TITUS,Economically Disadvantaged,377,352,93%,305,81%,44,12%,277,73%,20,5%,142,38%,162,43%,15,4%,63,17%
09,Wichita Falls,005,ARCHER,Not Economically Disadvantaged,94,91,97%,90,96%,*,*,85,90%,39,41%,34,36%,73,78%,*,*,48,51%
09,Wichita Falls,005,ARCHER,Economically Disadvantaged,51,51,100%,48,94%,*,*,40,78%,7,14%,18,35%,25,49%,*,*,11,22%
09,Wichita Falls,012,BAYLOR,Not Economically Disadvantaged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09,Wichita Falls,012,BAYLOR,Economically Disadvantaged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09,Wichita Falls,039,CLAY,Not Economically Disadvantaged,75,74,99%,73,97%,*,*,68,91%,30,40%,26,35%,56,75%,*,*,27,36%
09,Wichita Falls,039,CLAY,Economically Disadvantaged,62,57,92%,49,79%,*,*,41,66%,11,18%,14,23%,25,40%,*,*,7,11%
09,Wichita Falls,078,FOARD,Not Economically Disadvantaged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
