DISTRICT,DISTNAME,DISTNAME_CLEAN,COUNTY,CNTYNAME,REGION,DFLCHART,DFLALTED
71809,VISTA DEL FUTURO CHARTER SCHOOL,Vista Del Futuro Charter School,71,EL PASO,19,Y,N
71810,EL PASO LEADERSHIP ACADEMY,El Paso Leadership Academy,71,EL PASO,19,Y,N
71901,CLINT ISD,Clint ISD,71,EL PASO,19,N,N
71902,EL PASO ISD,El Paso ISD,71,EL PASO,19,N,N
71903,FABENS ISD,Fabens ISD,71,EL PASO,19,N,N
71904,SAN ELIZARIO ISD,San Elizario ISD,71,EL PASO,19,N,N
71905,YSLETA ISD,Ysleta ISD,71,EL PASO,19,N,N
71906,ANTHONY ISD,Anthony ISD,71,EL PASO,19,N,N
71907,CANUTILLO ISD,Canutillo ISD,71,EL PASO,19,N,N
71908,TORNILLO ISD,Tornillo ISD,71,EL PASO,19,N,N
71909,SOCORRO ISD,Socorro ISD,71,EL PASO,19,N,N
72801,PREMIER HIGH SCHOOLS,Premier High Schools,72,ERATH,11,Y,Y
72802,ERATH EXCELS ACADEMY INC,Erath Excels Academy Inc,72,ERATH,11,Y,Y
72901,THREE WAY ISD,Three Way ISD,72,ERATH,11,N,N
72902,DUBLIN ISD,Dublin ISD,72,ERATH,11,N,N
72903,STEPHENVILLE ISD,Stephenville ISD,72,ERATH,11,N,N
72904,BLUFF DALE ISD,Bluff Dale ISD,72,ERATH,11,N,N
72908,HUCKABAY ISD,Huckabay ISD,72,ERATH,11,N,N
72909,LINGLEVILLE ISD,Lingleville ISD,72,ERATH,11,N,N
72910,MORGAN MILL ISD,Morgan Mill ISD,72,ERATH,11,N,N
73901,CHILTON ISD,Chilton ISD,73,FALLS,12,N,N
73903,MARLIN ISD,Marlin ISD,73,FALLS,12,N,N
73904,WESTPHALIA ISD,Westphalia ISD,73,FALLS,12,N,N
73905,ROSEBUD-LOTT ISD,Rosebud-Lott ISD,73,FALLS,12,N,N
74903,BONHAM ISD,Bonham ISD,74,FANNIN,10,N,N
74904,DODD CITY ISD,Dodd City ISD,74,FANNIN,10,N,N
74905,ECTOR ISD,Ector ISD,74,FANNIN,10,N,N
74907,HONEY GROVE ISD,Honey Grove ISD,74,FANNIN,10,N,N
74909,LEONARD ISD,Leonard ISD,74,FANNIN,10,N,N
74911,SAVOY ISD,Savoy ISD,74,FANNIN,10,N,N
74912,TRENTON ISD,Trenton ISD,74,FANNIN,10,N,N
74917,SAM RAYBURN ISD,Sam Rayburn ISD,74,FANNIN,10,N,N
75901,FLATONIA ISD,Flatonia ISD,75,FAYETTE,13,N,N
75902,LA GRANGE ISD,La Grange ISD,75,FAYETTE,13,N,N
75903,SCHULENBURG ISD,Schulenburg ISD,75,FAYETTE,13,N,N
75906,FAYETTEVILLE ISD,Fayetteville ISD,75,FAYETTE,13,N,N
75908,ROUND TOP-CARMINE ISD,Round Top-Carmine ISD,75,FAYETTE,13,N,N
76903,ROBY CISD,Roby CISD,76,FISHER,14,N,N
76904,ROTAN ISD,Rotan ISD,76,FISHER,14,N,N
77901,FLOYDADA ISD,Floydada ISD,77,FLOYD,17,N,N
77902,LOCKNEY ISD,Lockney ISD,77,FLOYD,17,N,N
78901,CROWELL ISD,Crowell ISD,78,FOARD,9,N,N
79901,LAMAR CISD,Lamar CISD,79,FORT BEND,4,N,N
79906,NEEDVILLE ISD,Needville ISD,79,FORT BEND,4,N,N
79907,FORT BEND ISD,Fort Bend ISD,79,FORT BEND,4,N,N
79910,STAFFORD MSD,Stafford MSD,79,FORT BEND,4,N,N
80901,MOUNT VERNON ISD,Mount Vernon ISD,80,FRANKLIN,8,N,N
81902,FAIRFIELD ISD,Fairfield ISD,81,FREESTONE,12,N,N
81904,TEAGUE ISD,Teague ISD,81,FREESTONE,12,N,N
81905,WORTHAM ISD,Wortham ISD,81,FREESTONE,12,N,N
81906,DEW ISD,Dew ISD,81,FREESTONE,12,N,N
82902,DILLEY ISD,Dilley ISD,82,FRIO,20,N,N
82903,PEARSALL ISD,Pearsall ISD,82,FRIO,20,N,N
83901,SEAGRAVES ISD,Seagraves ISD,83,GAINES,17,N,N
83902,LOOP ISD,Loop ISD,83,GAINES,17,N,N
83903,SEMINOLE ISD,Seminole ISD,83,GAINES,17,N,N
84802,ODYSSEY ACADEMY INC,Odyssey Academy Inc,84,GALVESTON,4,Y,N
84804,AMBASSADORS PREPARATORY ACADEMY,Ambassadors Preparatory Academy,84,GALVESTON,4,Y,N
84901,DICKINSON ISD,Dickinson ISD,84,GALVESTON,4,N,N
84902,GALVESTON ISD,Galveston ISD,84,GALVESTON,4,N,N
84903,HIGH ISLAND ISD,High Island ISD,84,GALVESTON,5,N,N
84906,TEXAS CITY ISD,Texas City ISD,84,GALVESTON,4,N,N
84908,HITCHCOCK ISD,Hitchcock ISD,84,GALVESTON,4,N,N
84909,SANTA FE ISD,Santa Fe ISD,84,GALVESTON,4,N,N
84910,CLEAR CREEK ISD,Clear Creek ISD,84,GALVESTON,4,N,N
84911,FRIENDSWOOD ISD,Friendswood ISD,84,GALVESTON,4,N,N
85902,POST ISD,Post ISD,85,GARZA,17,N,N
85903,SOUTHLAND ISD,Southland ISD,85,GARZA,17,N,N
86024,DOSS CONSOLIDATED CSD,Doss Consolidated CSD,86,GILLESPIE,13,N,N
86901,FREDERICKSBURG ISD,Fredericksburg ISD,86,GILLESPIE,13,N,N
86902,HARPER ISD,Harper ISD,86,GILLESPIE,13,N,N
87901,GLASSCOCK COUNTY ISD,Glasscock County ISD,87,GLASSCOCK,18,N,N
88902,GOLIAD ISD,Goliad ISD,88,GOLIAD,3,N,N
89901,GONZALES ISD,Gonzales ISD,89,GONZALES,13,N,N
89903,NIXON-SMILEY CISD,Nixon-Smiley CISD,89,GONZALES,13,N,N
89905,WAELDER ISD,Waelder ISD,89,GONZALES,13,N,N
90902,LEFORS ISD,Lefors ISD,90,GRAY,16,N,N
90903,MCLEAN ISD,McLean ISD,90,GRAY,16,N,N
90904,PAMPA ISD,Pampa ISD,90,GRAY,16,N,N
90905,GRANDVIEW-HOPKINS ISD,Grandview-Hopkins ISD,90,GRAY,16,N,N
91901,BELLS ISD,Bells ISD,91,GRAYSON,10,N,N
91902,COLLINSVILLE ISD,Collinsville ISD,91,GRAYSON,10,N,N
91903,DENISON ISD,Denison ISD,91,GRAYSON,10,N,N
91905,HOWE ISD,Howe ISD,91,GRAYSON,10,N,N
91906,SHERMAN ISD,Sherman ISD,91,GRAYSON,10,N,N
91907,TIOGA ISD,Tioga ISD,91,GRAYSON,10,N,N
91908,VAN ALSTYNE ISD,Van Alstyne ISD,91,GRAYSON,10,N,N
91909,WHITESBORO ISD,Whitesboro ISD,91,GRAYSON,10,N,N
91910,WHITEWRIGHT ISD,Whitewright ISD,91,GRAYSON,10,N,N
91913,POTTSBORO ISD,Pottsboro ISD,91,GRAYSON,10,N,N
91914,S AND S CISD,S&S CISD,91,GRAYSON,10,N,N
91917,GUNTER ISD,Gunter ISD,91,GRAYSON,10,N,N
91918,TOM BEAN ISD,Tom Bean ISD,91,GRAYSON,10,N,N
92801,EAST TEXAS CHARTER SCHOOLS,East Texas Charter Schools,92,GREGG,7,Y,Y
92901,GLADEWATER ISD,Gladewater ISD,92,GREGG,7,N,N
92902,KILGORE ISD,Kilgore ISD,92,GREGG,7,N,N
92903,LONGVIEW ISD,Longview ISD,92,GREGG,7,N,N
92904,PINE TREE ISD,Pine Tree ISD,92,GREGG,7,N,N
92906,SABINE ISD,Sabine ISD,92,GREGG,7,N,N
92907,SPRING HILL ISD,Spring Hill ISD,92,GREGG,7,N,N
92908,WHITE OAK ISD,White Oak ISD,92,GREGG,7,N,N
93901,ANDERSON-SHIRO CISD,Anderson-Shiro CISD,93,GRIMES,6,N,N
93903,IOLA ISD,Iola ISD,93,GRIMES,6,N,N
93904,NAVASOTA ISD,Navasota ISD,93,GRIMES,6,N,N
93905,RICHARDS ISD,Richards ISD,93,GRIMES,6,N,N
94901,SEGUIN ISD,Seguin ISD,94,GUADALUPE,20,N,N
94902,SCHERTZ-CIBOLO-U CITY ISD,Schertz-Cibolo-Universal City ISD,94,GUADALUPE,20,N,N
94903,NAVARRO ISD,Navarro ISD,94,GUADALUPE,13,N,N
94904,MARION ISD,Marion ISD,94,GUADALUPE,20,N,N
95901,ABERNATHY ISD,Abernathy ISD,95,HALE,17,N,N
95902,COTTON CENTER ISD,Cotton Center ISD,95,HALE,17,N,N
95903,HALE CENTER ISD,Hale Center ISD,95,HALE,17,N,N
95904,PETERSBURG ISD,Petersburg ISD,95,HALE,17,N,N
95905,PLAINVIEW ISD,Plainview ISD,95,HALE,17,N,N
96904,MEMPHIS ISD,Memphis ISD,96,HALL,16,N,N
96905,TURKEY-QUITAQUE ISD,Turkey-Quitaque ISD,96,HALL,16,N,N
97902,HAMILTON ISD,Hamilton ISD,97,HAMILTON,12,N,N
97903,HICO ISD,Hico ISD,97,HAMILTON,12,N,N
98901,GRUVER ISD,Gruver ISD,98,HANSFORD,16,N,N
98903,PRINGLE-MORSE CISD,Pringle-Morse CISD,98,HANSFORD,16,N,N
98904,SPEARMAN ISD,Spearman ISD,98,HANSFORD,16,N,N
99902,CHILLICOTHE ISD,Chillicothe ISD,99,HARDEMAN,9,N,N
99903,QUANAH ISD,Quanah ISD,99,HARDEMAN,9,N,N
100903,KOUNTZE ISD,Kountze ISD,100,HARDIN,5,N,N
100904,SILSBEE ISD,Silsbee ISD,100,HARDIN,5,N,N
100905,HARDIN-JEFFERSON ISD,Hardin-Jefferson ISD,100,HARDIN,5,N,N
100907,LUMBERTON ISD,Lumberton ISD,100,HARDIN,5,N,N
100908,WEST HARDIN COUNTY CISD,West Hardin County CISD,100,HARDIN,5,N,N
101802,SER-NINOS CHARTER SCHOOL,Ser-Ninos Charter School,101,HARRIS,4,Y,N
101803,ARISTOI CLASSICAL ACADEMY,Aristoi Classical Academy,101,HARRIS,4,Y,N
101804,GEORGE I SANCHEZ CHARTER,George I Sanchez Charter School,101,HARRIS,4,Y,Y
101806,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,Raul Yzaguirre School for Success,101,HARRIS,4,Y,N
101807,UNIVERSITY OF HOUSTON CHARTER SCHO,University of Houston Charter School,101,HARRIS,4,Y,N
101810,ACADEMY OF ACCELERATED LEARNING IN,Academy of Accelerated Learning Inc,101,HARRIS,4,Y,N
101811,EXCEL ACADEMY,Excel Academy,101,HARRIS,4,Y,Y
101814,THE VARNETT PUBLIC SCHOOL,The Varnett Public School,101,HARRIS,4,Y,N
101815,ALIEF MONTESSORI COMMUNITY SCHOOL,Alief Montessori Community School,101,HARRIS,4,Y,N
101819,AMIGOS POR VIDA-FRIENDS FOR LIFE P,Amigos Por Vida-Friends for Life Public Charter School,101,HARRIS,4,Y,N
101821,HOUSTON HEIGHTS HIGH SCHOOL,Houston Heights High School,101,HARRIS,4,Y,Y
101828,HOUSTON GATEWAY ACADEMY INC,Houston Gateway Academy Inc,101,HARRIS,4,Y,N
101837,CALVIN NELMS CHARTER SCHOOLS,Calvin Nelms Charter Schools,101,HARRIS,4,Y,N
101838,SOUTHWEST SCHOOL,Southwest School,101,HARRIS,4,Y,N
101840,TWO DIMENSIONS PREPARATORY ACADEMY,Two Dimensions Preparatory Academy,101,HARRIS,4,Y,N
101842,COMQUEST ACADEMY,Comquest Academy,101,HARRIS,4,Y,Y
101845,YES PREP PUBLIC SCHOOLS INC,YES Prep Public Schools Inc,101,HARRIS,4,Y,N
101846,HARMONY SCIENCE ACADEMY,Harmony Science Academy,101,HARRIS,4,Y,N
101847,BEATRICE MAYES INSTITUTE CHARTER S,Beatrice Mayes Institute Charter School,101,HARRIS,4,Y,N
101849,ACCELERATED INTERMEDIATE ACADEMY,Accelerated Intermediate Academy,101,HARRIS,4,Y,N
101853,PROMISE COMMUNITY SCHOOL,Promise Community School,101,HARRIS,4,Y,N
101855,MEYERPARK ELEMENTARY,Meyerpark Elementary,101,HARRIS,4,Y,N
101856,DRAW ACADEMY,Draw Academy,101,HARRIS,4,Y,N
101858,HARMONY SCHOOL OF EXCELLENCE,Harmony School of Excellence,101,HARRIS,4,Y,N
101859,STEP CHARTER SCHOOL,Step Charter School,101,HARRIS,4,Y,N
101861,THE RHODES SCHOOL,The Rhodes School,101,HARRIS,4,Y,N
101862,HARMONY SCHOOL OF SCIENCE - HOUSTO,Harmony School of Science - Houston,101,HARRIS,4,Y,N
101864,THE LAWSON ACADEMY,The Lawson Academy,101,HARRIS,4,Y,Y
101868,THE PRO-VISION ACADEMY,The Pro-Vision Academy,101,HARRIS,4,Y,Y
101870,BETA ACADEMY,Beta Academy,101,HARRIS,4,Y,N
101871,A+ UNLIMITED POTENTIAL,A+ Unlimited Potential,101,HARRIS,4,Y,N
101872,ETOILE ACADEMY CHARTER SCHOOL,Etoile Academy Charter School,101,HARRIS,4,Y,N
101873,YELLOWSTONE COLLEGE PREPARATORY,Yellowstone College Preparatory,101,HARRIS,4,Y,N
101874,LEGACY SCHOOL OF SPORT SCIENCES,Legacy School Of Sport Sciences,101,HARRIS,4,Y,N
101902,ALDINE ISD,Aldine ISD,101,HARRIS,4,N,N
101903,ALIEF ISD,Alief ISD,101,HARRIS,4,N,N
101905,CHANNELVIEW ISD,Channelview ISD,101,HARRIS,4,N,N
101906,CROSBY ISD,Crosby ISD,101,HARRIS,4,N,N
101907,CYPRESS-FAIRBANKS ISD,Cypress-Fairbanks ISD,101,HARRIS,4,N,N
101908,DEER PARK ISD,Deer Park ISD,101,HARRIS,4,N,N
101910,GALENA PARK ISD,Galena Park ISD,101,HARRIS,4,N,N
101911,GOOSE CREEK CISD,Goose Creek CISD,101,HARRIS,4,N,N
101912,HOUSTON ISD,Houston ISD,101,HARRIS,4,N,N
101913,HUMBLE ISD,Humble ISD,101,HARRIS,4,N,N
101914,KATY ISD,Katy ISD,101,HARRIS,4,N,N
101915,KLEIN ISD,Klein ISD,101,HARRIS,4,N,N
101916,LA PORTE ISD,La Porte ISD,101,HARRIS,4,N,N
101917,PASADENA ISD,Pasadena ISD,101,HARRIS,4,N,N
101919,SPRING ISD,Spring ISD,101,HARRIS,4,N,N
101920,SPRING BRANCH ISD,Spring Branch ISD,101,HARRIS,4,N,N
101921,TOMBALL ISD,Tomball ISD,101,HARRIS,4,N,N
101924,SHELDON ISD,Sheldon ISD,101,HARRIS,4,N,N
101925,HUFFMAN ISD,Huffman ISD,101,HARRIS,4,N,N
102901,KARNACK ISD,Karnack ISD,102,HARRISON,7,N,N
102902,MARSHALL ISD,Marshall ISD,102,HARRISON,7,N,N
102903,WASKOM ISD,Waskom ISD,102,HARRISON,7,N,N
102904,HALLSVILLE ISD,Hallsville ISD,102,HARRISON,7,N,N
102905,HARLETON ISD,Harleton ISD,102,HARRISON,7,N,N
102906,ELYSIAN FIELDS ISD,Elysian Fields ISD,102,HARRISON,7,N,N
103901,CHANNING ISD,Channing ISD,103,HARTLEY,16,N,N
103902,HARTLEY ISD,Hartley ISD,103,HARTLEY,16,N,N
104901,HASKELL CISD,Haskell CISD,104,HASKELL,14,N,N
104903,RULE ISD,Rule ISD,104,HASKELL,14,N,N
104907,PAINT CREEK ISD,Paint Creek ISD,104,HASKELL,14,N,N
105801,KATHERINE ANNE PORTER SCHOOL,Katherine Anne Porter School,105,HAYS,13,Y,N
105802,TEXAS PREPARATORY SCHOOL,Texas Preparatory School,105,HAYS,13,Y,N
105803,KI CHARTER ACADEMY,Ki Charter Academy,105,HAYS,13,Y,Y
105902,SAN MARCOS CISD,San Marcos CISD,105,HAYS,13,N,N
105904,DRIPPING SPRINGS ISD,Dripping Springs ISD,105,HAYS,13,N,N
105905,WIMBERLEY ISD,Wimberley ISD,105,HAYS,13,N,N
105906,HAYS CISD,Hays CISD,105,HAYS,13,N,N
106901,CANADIAN ISD,Canadian ISD,106,HEMPHILL,16,N,N
107901,ATHENS ISD,Athens ISD,107,HENDERSON,10,N,N
107902,BROWNSBORO ISD,Brownsboro ISD,107,HENDERSON,7,N,N
107904,CROSS ROADS ISD,Cross Roads ISD,107,HENDERSON,7,N,N
107905,EUSTACE ISD,Eustace ISD,107,HENDERSON,7,N,N
107906,MALAKOFF ISD,Malakoff ISD,107,HENDERSON,7,N,N
107907,TRINIDAD ISD,Trinidad ISD,107,HENDERSON,7,N,N
107908,MURCHISON ISD,Murchison ISD,107,HENDERSON,7,N,N
107910,LAPOYNOR ISD,Lapoynor ISD,107,HENDERSON,7,N,N
108802,HORIZON MONTESSORI PUBLIC SCHOOLS,Horizon Montessori Public Schools,108,HIDALGO,1,Y,N
108804,MIDVALLEY ACADEMY CHARTER DISTRICT,Midvalley Academy Charter District,108,HIDALGO,1,Y,Y
108807,IDEA PUBLIC SCHOOLS,Idea Public Schools,108,HIDALGO,1,Y,N
108808,VANGUARD ACADEMY,Vanguard Academy,108,HIDALGO,1,Y,N
108809,EXCELLENCE IN LEADERSHIP ACADEMY,Excellence In Leadership Academy,108,HIDALGO,1,Y,N
108902,DONNA ISD,Donna ISD,108,HIDALGO,1,N,N
108903,EDCOUCH-ELSA ISD,Edcouch-Elsa ISD,108,HIDALGO,1,N,N
108904,EDINBURG CISD,Edinburg CISD,108,HIDALGO,1,N,N
108905,HIDALGO ISD,Hidalgo ISD,108,HIDALGO,1,N,N
108906,MCALLEN ISD,McAllen ISD,108,HIDALGO,1,N,N
108907,MERCEDES ISD,Mercedes ISD,108,HIDALGO,1,N,N
108908,MISSION CISD,Mission CISD,108,HIDALGO,1,N,N
108909,PHARR-SAN JUAN-ALAMO ISD,Pharr-San Juan-Alamo ISD,108,HIDALGO,1,N,N
108910,PROGRESO ISD,Progreso ISD,108,HIDALGO,1,N,N
108911,SHARYLAND ISD,Sharyland ISD,108,HIDALGO,1,N,N
108912,LA JOYA ISD,La Joya ISD,108,HIDALGO,1,N,N
108913,WESLACO ISD,Weslaco ISD,108,HIDALGO,1,N,N
108914,LA VILLA ISD,La Villa ISD,108,HIDALGO,1,N,N
108915,MONTE ALTO ISD,Monte Alto ISD,108,HIDALGO,1,N,N
108916,VALLEY VIEW ISD,Valley View ISD,108,HIDALGO,1,N,N
109901,ABBOTT ISD,Abbott ISD,109,HILL,12,N,N
109902,BYNUM ISD,Bynum ISD,109,HILL,12,N,N
109903,COVINGTON ISD,Covington ISD,109,HILL,12,N,N
109904,HILLSBORO ISD,Hillsboro ISD,109,HILL,12,N,N
109905,HUBBARD ISD,Hubbard ISD,109,HILL,12,N,N
109907,ITASCA ISD,Itasca ISD,109,HILL,12,N,N
109908,MALONE ISD,Malone ISD,109,HILL,12,N,N
109910,MOUNT CALM ISD,Mount Calm ISD,109,HILL,12,N,N
109911,WHITNEY ISD,Whitney ISD,109,HILL,12,N,N
109912,AQUILLA ISD,Aquilla ISD,109,HILL,12,N,N
109913,BLUM ISD,Blum ISD,109,HILL,12,N,N
109914,PENELOPE ISD,Penelope ISD,109,HILL,12,N,N
110901,ANTON ISD,Anton ISD,110,HOCKLEY,17,N,N
110902,LEVELLAND ISD,Levelland ISD,110,HOCKLEY,17,N,N
110905,ROPES ISD,Ropes ISD,110,HOCKLEY,17,N,N
110906,SMYER ISD,Smyer ISD,110,HOCKLEY,17,N,N
110907,SUNDOWN ISD,Sundown ISD,110,HOCKLEY,17,N,N
110908,WHITHARRAL ISD,Whitharral ISD,110,HOCKLEY,17,N,N
111801,LAKE GRANBURY ACADEMY CHARTER SCHO,Lake Granbury Academy Charter Scho,111,HOOD,11,Y,N
111901,GRANBURY ISD,Granbury ISD,111,HOOD,11,N,N
111902,LIPAN ISD,Lipan ISD,111,HOOD,11,N,N
111903,TOLAR ISD,Tolar ISD,111,HOOD,11,N,N
112901,SULPHUR SPRINGS ISD,Sulphur Springs ISD,112,HOPKINS,8,N,N
112905,CUMBY ISD,Cumby ISD,112,HOPKINS,8,N,N
112906,NORTH HOPKINS ISD,North Hopkins ISD,112,HOPKINS,8,N,N
112907,MILLER GROVE ISD,Miller Grove ISD,112,HOPKINS,8,N,N
112908,COMO-PICKTON CISD,Como-Pickton CISD,112,HOPKINS,8,N,N
112909,SALTILLO ISD,Saltillo ISD,112,HOPKINS,8,N,N
112910,SULPHUR BLUFF ISD,Sulphur Bluff ISD,112,HOPKINS,8,N,N
113901,CROCKETT ISD,Crockett ISD,113,HOUSTON,6,N,N
113902,GRAPELAND ISD,Grapeland ISD,113,HOUSTON,6,N,N
113903,LOVELADY ISD,Lovelady ISD,113,HOUSTON,6,N,N
113905,LATEXO ISD,Latexo ISD,113,HOUSTON,6,N,N
113906,KENNARD ISD,Kennard ISD,113,HOUSTON,6,N,N
114901,BIG SPRING ISD,Big Spring ISD,114,HOWARD,18,N,N
114902,COAHOMA ISD,Coahoma ISD,114,HOWARD,18,N,N
114904,FORSAN ISD,Forsan ISD,114,HOWARD,18,N,N
115901,FT HANCOCK ISD,Fort Hancock ISD,115,HUDSPETH,19,N,N
115902,SIERRA BLANCA ISD,Sierra Blanca ISD,115,HUDSPETH,19,N,N
115903,DELL CITY ISD,Dell City ISD,115,HUDSPETH,19,N,N
116901,CADDO MILLS ISD,Caddo Mills ISD,116,HUNT,10,N,N
116902,CELESTE ISD,Celeste ISD,116,HUNT,10,N,N
116903,COMMERCE ISD,Commerce ISD,116,HUNT,10,N,N
116905,GREENVILLE ISD,Greenville ISD,116,HUNT,10,N,N
116906,LONE OAK ISD,Lone Oak ISD,116,HUNT,10,N,N
116908,QUINLAN ISD,Quinlan ISD,116,HUNT,10,N,N
116909,WOLFE CITY ISD,Wolfe City ISD,116,HUNT,10,N,N
116910,CAMPBELL ISD,Campbell ISD,116,HUNT,10,N,N
116915,BLAND ISD,Bland ISD,116,HUNT,10,N,N
116916,BOLES ISD,Boles ISD,116,HUNT,10,N,N
117901,BORGER ISD,Borger ISD,117,HUTCHINSON,16,N,N
117903,SANFORD-FRITCH ISD,Sanford-Fritch ISD,117,HUTCHINSON,16,N,N
117904,PLEMONS-STINNETT-PHILLIPS CISD,Plemons-Stinnett-Phillips CISD,117,HUTCHINSON,16,N,N
117907,SPRING CREEK ISD,Spring Creek ISD,117,HUTCHINSON,16,N,N
118902,IRION COUNTY ISD,Irion County ISD,118,IRION,15,N,N
119901,BRYSON ISD,Bryson ISD,119,JACK,9,N,N
119902,JACKSBORO ISD,Jacksboro ISD,119,JACK,9,N,N
119903,PERRIN-WHITT CISD,Perrin-Whitt CISD,119,JACK,9,N,N
120901,EDNA ISD,Edna ISD,120,JACKSON,3,N,N
120902,GANADO ISD,Ganado ISD,120,JACKSON,3,N,N
120905,INDUSTRIAL ISD,Industrial ISD,120,JACKSON,3,N,N
121902,BROOKELAND ISD,Brookeland ISD,121,JASPER,5,N,N
121903,BUNA ISD,Buna ISD,121,JASPER,5,N,N
121904,JASPER ISD,Jasper ISD,121,JASPER,5,N,N
121905,KIRBYVILLE CISD,Kirbyville CISD,121,JASPER,5,N,N
121906,EVADALE ISD,Evadale ISD,121,JASPER,5,N,N
122901,FT DAVIS ISD,Ft Davis ISD,122,JEFF DAVIS,18,N,N
122902,VALENTINE ISD,Valentine ISD,122,JEFF DAVIS,18,N,N
123803,TEKOA ACADEMY OF ACCELERATED STUDI,Tekoa Academy of Accelerated Studies,123,JEFFERSON,5,Y,N
123805,EHRHART SCHOOL,Ehrhart School,123,JEFFERSON,5,Y,N
123807,BOB HOPE SCHOOL,Bob Hope School,123,JEFFERSON,5,Y,N
123905,NEDERLAND ISD,Nederland ISD,123,JEFFERSON,5,N,N
123907,PORT ARTHUR ISD,Port Arthur ISD,123,JEFFERSON,5,N,N
123908,PORT NECHES-GROVES ISD,Port Neches-Groves ISD,123,JEFFERSON,5,N,N
123910,BEAUMONT ISD,Beaumont ISD,123,JEFFERSON,5,N,N
123913,SABINE PASS ISD,Sabine Pass ISD,123,JEFFERSON,5,N,N
123914,HAMSHIRE-FANNETT ISD,Hamshire-Fannett ISD,123,JEFFERSON,5,N,N
124901,JIM HOGG COUNTY ISD,Jim Hogg County ISD,124,JIM HOGG,1,N,N
125901,ALICE ISD,Alice ISD,125,JIM WELLS,2,N,N
125902,BEN BOLT-PALITO BLANCO ISD,Ben Bolt-Palito Blanco ISD,125,JIM WELLS,2,N,N
125903,ORANGE GROVE ISD,Orange Grove ISD,125,JIM WELLS,2,N,N
125905,PREMONT ISD,Premont ISD,125,JIM WELLS,2,N,N
125906,LA GLORIA ISD,La Gloria ISD,125,JIM WELLS,2,N,N
126801,KAUFFMAN LEADERSHIP ACADEMY,Kauffman Leadership Academy,126,JOHNSON,11,Y,N
126901,ALVARADO ISD,Alvarado ISD,126,JOHNSON,11,N,N
126902,BURLESON ISD,Burleson ISD,126,JOHNSON,11,N,N
126903,CLEBURNE ISD,Cleburne ISD,126,JOHNSON,11,N,N
126904,GRANDVIEW ISD,Grandview ISD,126,JOHNSON,11,N,N
126905,JOSHUA ISD,Joshua ISD,126,JOHNSON,11,N,N
126906,KEENE ISD,Keene ISD,126,JOHNSON,11,N,N
126907,RIO VISTA ISD,Rio Vista ISD,126,JOHNSON,11,N,N
126908,VENUS ISD,Venus ISD,126,JOHNSON,11,N,N
126911,GODLEY ISD,Godley ISD,126,JOHNSON,11,N,N
127901,ANSON ISD,Anson ISD,127,JONES,14,N,N
127903,HAMLIN ISD,Hamlin ISD,127,JONES,14,N,N
127904,HAWLEY ISD,Hawley ISD,127,JONES,14,N,N
127905,LUEDERS-AVOCA ISD,Lueders-Avoca ISD,127,JONES,14,N,N
127906,STAMFORD ISD,Stamford ISD,127,JONES,14,N,N
128901,KARNES CITY ISD,Karnes City ISD,128,KARNES,3,N,N
128902,KENEDY ISD,Kenedy ISD,128,KARNES,3,N,N
128903,RUNGE ISD,Runge ISD,128,KARNES,3,N,N
128904,FALLS CITY ISD,Falls City ISD,128,KARNES,20,N,N
129901,CRANDALL ISD,Crandall ISD,129,KAUFMAN,10,N,N
129902,FORNEY ISD,Forney ISD,129,KAUFMAN,10,N,N
129903,KAUFMAN ISD,Kaufman ISD,129,KAUFMAN,10,N,N
129904,KEMP ISD,Kemp ISD,129,KAUFMAN,10,N,N
129905,MABANK ISD,Mabank ISD,129,KAUFMAN,10,N,N
129906,TERRELL ISD,Terrell ISD,129,KAUFMAN,10,N,N
129910,SCURRY-ROSSER ISD,Scurry-Rosser ISD,129,KAUFMAN,10,N,N
130801,MEADOWLAND CHARTER DISTRICT,Meadowland Charter District,130,KENDALL,20,Y,Y
130901,BOERNE ISD,Boerne ISD,130,KENDALL,20,N,N
130902,COMFORT ISD,Comfort ISD,130,KENDALL,13,N,N
131001,KENEDY COUNTY WIDE CSD,Kenedy County Wide CSD,131,KENEDY,2,N,N
132902,JAYTON-GIRARD ISD,Jayton-Girard ISD,132,KENT,17,N,N
133901,CENTER POINT ISD,Center Point ISD,133,KERR,20,N,N
133902,HUNT ISD,Hunt ISD,133,KERR,20,N,N
133903,KERRVILLE ISD,Kerrville ISD,133,KERR,20,N,N
133904,INGRAM ISD,Ingram ISD,133,KERR,20,N,N
133905,DIVIDE ISD,Divide ISD,133,KERR,20,N,N
134901,JUNCTION ISD,Junction ISD,134,KIMBLE,15,N,N
135001,GUTHRIE CSD,Guthrie CSD,135,KING,17,N,N
136901,BRACKETT ISD,Brackett ISD,136,KINNEY,20,N,N
137901,KINGSVILLE ISD,Kingsville ISD,137,KLEBERG,2,N,N
137902,RICARDO ISD,Ricardo ISD,137,KLEBERG,2,N,N
137903,RIVIERA ISD,Riviera ISD,137,KLEBERG,2,N,N
137904,SANTA GERTRUDIS ISD,Santa Gertrudis ISD,137,KLEBERG,2,N,N
138902,KNOX CITY-O'BRIEN CISD,Knox City-O'Brien CISD,138,KNOX,9,N,N
138903,MUNDAY CISD,Munday CISD,138,KNOX,9,N,N
