Region Code,TEA Region,County Number,County Name,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_per,total_degrees,total_degrees_percent
3,Victoria,29,CALHOUN,Economically Disadvantaged,168,163,97%,153,91%,8,5%,136,81%,12,7%,38,23%,50,30%,*,*,22,13%
3,Victoria,45,COLORADO,Not Economically Disadvantaged,76,74,97%,70,92%,*,*,68,89%,22,29%,28,37%,50,66%,*,*,27,36%
3,Victoria,45,COLORADO,Economically Disadvantaged,157,151,96%,132,84%,16,10%,126,80%,12,8%,43,27%,55,35%,*,*,19,12%
3,Victoria,62,DE WITT,Not Economically Disadvantaged,145,138,95%,128,88%,6,4%,125,86%,48,33%,51,35%,99,68%,12,8%,54,37%
3,Victoria,62,DE WITT,Economically Disadvantaged,207,194,94%,154,74%,32,15%,143,69%,10,5%,51,25%,61,29%,5,2%,11,5%
3,Victoria,88,GOLIAD,Not Economically Disadvantaged,61,60,98%,58,95%,*,*,56,92%,22,36%,23,38%,45,74%,*,*,22,36%
3,Victoria,88,GOLIAD,Economically Disadvantaged,50,50,100%,40,80%,9,18%,40,80%,11,22%,8,16%,19,38%,*,*,6,12%
3,Victoria,120,JACKSON,Not Economically Disadvantaged,131,130,99%,123,94%,*,*,120,92%,36,27%,57,44%,93,71%,*,*,55,42%
3,Victoria,120,JACKSON,Economically Disadvantaged,123,121,98%,113,92%,7,6%,105,85%,13,11%,37,30%,50,41%,*,*,14,11%
3,Victoria,128,KARNES,Not Economically Disadvantaged,82,79,96%,79,96%,*,*,76,93%,38,46%,27,33%,65,79%,*,*,45,55%
3,Victoria,128,KARNES,Economically Disadvantaged,90,83,92%,76,84%,10,11%,75,83%,15,17%,18,20%,33,37%,*,*,8,9%
3,Victoria,143,LAVACA,Not Economically Disadvantaged,113,110,97%,109,96%,*,*,106,94%,27,24%,60,53%,87,77%,*,*,65,58%
3,Victoria,143,LAVACA,Economically Disadvantaged,57,53,93%,51,89%,*,*,46,81%,*,*,22,39%,23,40%,*,*,11,19%
3,Victoria,158,MATAGORDA,Not Economically Disadvantaged,192,186,97%,175,91%,7,4%,166,86%,56,29%,79,41%,135,70%,*,*,76,40%
3,Victoria,158,MATAGORDA,Economically Disadvantaged,351,333,95%,277,79%,49,14%,271,77%,29,8%,98,28%,127,36%,5,1%,44,13%
3,Victoria,196,REFUGIO,Not Economically Disadvantaged,38,36,95%,35,92%,*,*,34,89%,7,18%,20,53%,27,71%,*,*,14,37%
3,Victoria,196,REFUGIO,Economically Disadvantaged,62,60,97%,56,90%,*,*,52,84%,8,13%,24,39%,32,52%,*,*,6,10%
3,Victoria,235,VICTORIA,Not Economically Disadvantaged,427,407,95%,374,88%,23,5%,347,81%,84,20%,182,43%,266,62%,17,4%,115,27%
3,Victoria,235,VICTORIA,Economically Disadvantaged,615,588,96%,452,74%,100,16%,391,64%,35,6%,167,27%,202,33%,23,4%,53,9%
3,Victoria,241,WHARTON,Not Economically Disadvantaged,212,207,98%,191,90%,11,5%,193,91%,53,25%,113,53%,166,78%,*,*,99,47%
3,Victoria,241,WHARTON,Economically Disadvantaged,366,350,96%,267,73%,75,20%,290,79%,19,5%,137,37%,156,43%,*,*,57,16%
4,Houston,20,BRAZORIA,Not Economically Disadvantaged,2541,2466,97%,2346,92%,86,3%,2260,89%,807,32%,997,39%,1804,71%,69,3%,966,38%
4,Houston,20,BRAZORIA,Economically Disadvantaged,1993,1932,97%,1690,85%,196,10%,1596,80%,199,10%,696,35%,895,45%,33,2%,290,15%
4,Houston,36,CHAMBERS,Not Economically Disadvantaged,352,337,96%,318,90%,20,6%,318,90%,94,27%,165,47%,259,74%,6,2%,128,36%
4,Houston,36,CHAMBERS,Economically Disadvantaged,168,159,95%,145,86%,10,6%,135,80%,24,14%,57,34%,81,48%,*,*,35,21%
4,Houston,79,FORT BEND,Not Economically Disadvantaged,4592,4401,96%,4136,90%,196,4%,4069,89%,1797,39%,1466,32%,3263,71%,127,3%,1779,39%
4,Houston,79,FORT BEND,Economically Disadvantaged,3004,2900,97%,2429,81%,411,14%,2406,80%,558,19%,964,32%,1522,51%,53,2%,487,16%
4,Houston,84,GALVESTON,Not Economically Disadvantaged,3688,3595,97%,3430,93%,101,3%,3273,89%,1292,35%,1320,36%,2612,71%,113,3%,1461,40%
4,Houston,84,GALVESTON,Economically Disadvantaged,2130,2042,96%,1768,83%,229,11%,1603,75%,247,12%,693,33%,940,44%,60,3%,316,15%
4,Houston,101,HARRIS,Not Economically Disadvantaged,21951,20916,95%,19524,89%,998,5%,18737,85%,6755,31%,6828,31%,13583,62%,657,3%,6996,32%
4,Houston,101,HARRIS,Economically Disadvantaged,36953,35399,96%,30547,83%,3979,11%,28502,77%,5257,14%,11046,30%,16303,44%,660,2%,5062,14%
4,Houston,146,LIBERTY,Not Economically Disadvantaged,451,433,96%,414,92%,11,2%,370,82%,91,20%,148,33%,239,53%,12,3%,114,25%
4,Houston,146,LIBERTY,Economically Disadvantaged,648,613,95%,555,86%,42,6%,462,71%,44,7%,168,26%,212,33%,10,2%,66,10%
4,Houston,237,WALLER,Not Economically Disadvantaged,200,196,98%,178,89%,12,6%,175,88%,49,25%,64,32%,113,57%,6,3%,46,23%
4,Houston,237,WALLER,Economically Disadvantaged,466,445,95%,367,79%,70,15%,372,80%,63,14%,104,22%,167,36%,8,2%,49,11%
5,Beaumont,84,GALVESTON,Not Economically Disadvantaged,10,10,100%,10,100%,*,*,10,100%,*,*,5,50%,9,90%,*,*,7,70%
5,Beaumont,84,GALVESTON,Economically Disadvantaged,7,7,100%,7,100%,*,*,7,100%,*,*,*,*,6,86%,*,*,*,*
5,Beaumont,100,HARDIN,Not Economically Disadvantaged,516,502,97%,474,92%,10,2%,436,85%,190,37%,127,25%,317,61%,20,4%,165,32%
5,Beaumont,100,HARDIN,Economically Disadvantaged,333,314,94%,269,81%,23,7%,236,71%,46,14%,70,21%,116,35%,10,3%,29,9%
5,Beaumont,121,JASPER,Not Economically Disadvantaged,225,215,96%,202,90%,10,4%,181,80%,65,29%,54,24%,119,53%,11,5%,55,24%
5,Beaumont,121,JASPER,Economically Disadvantaged,246,227,92%,207,84%,17,7%,186,76%,27,11%,52,21%,79,32%,*,*,25,10%
5,Beaumont,123,JEFFERSON,Not Economically Disadvantaged,1167,1112,95%,1053,90%,48,4%,987,85%,455,39%,321,28%,776,67%,41,4%,400,34%
5,Beaumont,123,JEFFERSON,Economically Disadvantaged,1728,1658,96%,1491,86%,128,7%,1275,74%,303,18%,447,26%,750,43%,34,2%,239,14%
5,Beaumont,176,NEWTON,Not Economically Disadvantaged,53,51,96%,45,85%,*,*,43,81%,11,21%,22,42%,33,62%,*,*,17,32%
5,Beaumont,176,NEWTON,Economically Disadvantaged,111,105,95%,93,84%,7,6%,79,71%,6,5%,30,27%,36,32%,*,*,10,9%
5,Beaumont,181,ORANGE,Not Economically Disadvantaged,575,552,96%,528,92%,15,3%,507,88%,165,29%,208,36%,373,65%,18,3%,222,39%
5,Beaumont,181,ORANGE,Economically Disadvantaged,564,532,94%,444,79%,57,10%,396,70%,55,10%,147,26%,202,36%,8,1%,58,10%
5,Beaumont,229,TYLER,Not Economically Disadvantaged,127,125,98%,120,94%,*,*,115,91%,30,24%,46,36%,76,60%,*,*,43,34%
5,Beaumont,229,TYLER,Economically Disadvantaged,131,125,95%,109,83%,8,6%,94,72%,8,6%,39,30%,47,36%,*,*,13,10%
6,Huntsville,8,AUSTIN,Not Economically Disadvantaged,228,221,97%,213,93%,7,3%,207,91%,57,25%,100,44%,157,69%,5,2%,89,39%
6,Huntsville,8,AUSTIN,Economically Disadvantaged,213,203,95%,174,82%,23,11%,168,79%,10,5%,79,37%,89,42%,6,3%,25,12%
6,Huntsville,21,BRAZOS,Not Economically Disadvantaged,841,814,97%,766,91%,41,5%,742,88%,296,35%,257,31%,553,66%,18,2%,338,40%
6,Huntsville,21,BRAZOS,Economically Disadvantaged,984,934,95%,672,68%,239,24%,716,73%,78,8%,237,24%,315,32%,9,1%,85,9%
6,Huntsville,26,BURLESON,Not Economically Disadvantaged,105,104,99%,101,96%,*,*,97,92%,20,19%,37,35%,57,54%,*,*,40,38%
6,Huntsville,26,BURLESON,Economically Disadvantaged,115,110,96%,98,85%,12,10%,81,70%,5,4%,36,31%,41,36%,*,*,10,9%
6,Huntsville,93,GRIMES,Not Economically Disadvantaged,113,111,98%,104,92%,7,6%,104,92%,37,33%,33,29%,70,62%,*,*,39,35%
6,Huntsville,93,GRIMES,Economically Disadvantaged,203,198,98%,179,88%,11,5%,163,80%,25,12%,52,26%,77,38%,*,*,18,9%
6,Huntsville,113,HOUSTON,Not Economically Disadvantaged,99,94,95%,93,94%,*,*,87,88%,33,33%,33,33%,66,67%,*,*,36,36%
6,Huntsville,113,HOUSTON,Economically Disadvantaged,164,153,93%,135,82%,18,11%,131,80%,25,15%,42,26%,67,41%,*,*,18,11%
6,Huntsville,145,LEON,Not Economically Disadvantaged,125,122,98%,122,98%,*,*,116,93%,35,28%,61,49%,96,77%,*,*,54,43%
6,Huntsville,145,LEON,Economically Disadvantaged,121,115,95%,105,87%,8,7%,95,79%,12,10%,29,24%,41,34%,*,*,22,18%
6,Huntsville,154,MADISON,Not Economically Disadvantaged,56,54,96%,52,93%,*,*,50,89%,25,45%,11,20%,36,64%,*,*,24,43%
6,Huntsville,154,MADISON,Economically Disadvantaged,145,140,97%,130,90%,7,5%,110,76%,22,15%,33,23%,55,38%,*,*,19,13%
6,Huntsville,166,MILAM,Not Economically Disadvantaged,112,112,100%,103,92%,5,4%,99,88%,29,26%,44,39%,73,65%,*,*,39,35%
6,Huntsville,166,MILAM,Economically Disadvantaged,172,166,97%,146,85%,16,9%,140,81%,18,10%,55,32%,73,42%,*,*,20,12%
6,Huntsville,170,MONTGOMERY,Not Economically Disadvantaged,4145,3945,95%,3689,89%,137,3%,3462,84%,1173,28%,1260,30%,2433,59%,145,4%,1241,30%
6,Huntsville,170,MONTGOMERY,Economically Disadvantaged,2681,2530,94%,2223,83%,250,9%,1985,74%,220,8%,723,27%,943,35%,69,3%,260,10%
6,Huntsville,187,POLK,Not Economically Disadvantaged,184,179,97%,163,89%,14,8%,160,87%,45,24%,58,32%,103,56%,*,*,57,31%
6,Huntsville,187,POLK,Economically Disadvantaged,351,328,93%,288,82%,31,9%,266,76%,42,12%,71,20%,113,32%,*,*,39,11%
6,Huntsville,198,ROBERTSON,Not Economically Disadvantaged,71,71,100%,68,96%,*,*,64,90%,23,32%,24,34%,47,66%,*,*,22,31%
6,Huntsville,198,ROBERTSON,Economically Disadvantaged,128,124,97%,111,87%,12,9%,111,87%,11,9%,35,27%,46,36%,*,*,10,8%
6,Huntsville,204,SAN JACINTO,Not Economically Disadvantaged,95,93,98%,81,85%,9,9%,75,79%,22,23%,21,22%,43,45%,*,*,24,25%
6,Huntsville,204,SAN JACINTO,Economically Disadvantaged,211,200,95%,169,80%,22,10%,161,76%,27,13%,49,23%,76,36%,5,2%,18,9%
6,Huntsville,228,TRINITY,Not Economically Disadvantaged,48,48,100%,46,96%,*,*,41,85%,12,25%,17,35%,29,60%,*,*,18,38%
6,Huntsville,228,TRINITY,Economically Disadvantaged,119,114,96%,105,88%,8,7%,87,73%,15,13%,22,18%,37,31%,*,*,12,10%
6,Huntsville,236,WALKER,Not Economically Disadvantaged,225,219,97%,204,91%,16,7%,203,90%,89,40%,48,21%,137,61%,*,*,65,29%
6,Huntsville,236,WALKER,Economically Disadvantaged,297,285,96%,252,85%,26,9%,234,79%,47,16%,59,20%,106,36%,*,*,28,9%
6,Huntsville,239,WASHINGTON,Not Economically Disadvantaged,191,183,96%,183,96%,*,*,170,89%,53,28%,86,45%,139,73%,7,4%,87,46%
6,Huntsville,239,WASHINGTON,Economically Disadvantaged,183,180,98%,161,88%,9,5%,129,70%,14,8%,48,26%,62,34%,*,*,25,14%
7,Kilgore,1,ANDERSON,Not Economically Disadvantaged,273,263,96%,249,91%,5,2%,231,85%,55,20%,110,40%,165,60%,*,*,96,35%
7,Kilgore,1,ANDERSON,Economically Disadvantaged,328,312,95%,282,86%,26,8%,245,75%,26,8%,87,27%,113,34%,*,*,35,11%
7,Kilgore,3,ANGELINA,Not Economically Disadvantaged,461,448,97%,440,95%,10,2%,425,92%,124,27%,193,42%,317,69%,*,*,162,35%
7,Kilgore,3,ANGELINA,Economically Disadvantaged,801,767,96%,699,87%,51,6%,689,86%,83,10%,264,33%,347,43%,8,1%,103,13%
7,Kilgore,37,CHEROKEE,Not Economically Disadvantaged,167,161,96%,154,92%,5,3%,144,86%,37,22%,74,44%,111,66%,7,4%,56,34%
7,Kilgore,37,CHEROKEE,Economically Disadvantaged,477,454,95%,388,81%,51,11%,344,72%,18,4%,156,33%,174,36%,7,1%,73,15%
7,Kilgore,92,GREGG,Not Economically Disadvantaged,781,758,97%,730,93%,21,3%,692,89%,191,24%,326,42%,517,66%,13,2%,263,34%
7,Kilgore,92,GREGG,Economically Disadvantaged,961,897,93%,827,86%,56,6%,750,78%,81,8%,305,32%,386,40%,13,1%,131,14%
7,Kilgore,102,HARRISON,Not Economically Disadvantaged,471,441,94%,433,92%,5,1%,415,88%,138,29%,145,31%,283,60%,9,2%,138,29%
7,Kilgore,102,HARRISON,Economically Disadvantaged,486,457,94%,431,89%,18,4%,392,81%,76,16%,139,29%,215,44%,6,1%,74,15%
7,Kilgore,107,HENDERSON,Not Economically Disadvantaged,299,288,96%,281,94%,*,*,264,88%,69,23%,124,41%,193,65%,8,3%,94,31%
7,Kilgore,107,HENDERSON,Economically Disadvantaged,513,488,95%,454,89%,16,3%,391,76%,49,10%,150,29%,199,39%,9,2%,73,14%
7,Kilgore,174,NACOGDOCHES,Not Economically Disadvantaged,312,303,97%,289,93%,8,3%,284,91%,127,41%,96,31%,223,71%,*,*,110,35%
7,Kilgore,174,NACOGDOCHES,Economically Disadvantaged,493,469,95%,400,81%,54,11%,357,72%,42,9%,125,25%,167,34%,6,1%,61,12%
7,Kilgore,183,PANOLA,Not Economically Disadvantaged,179,175,98%,157,88%,12,7%,153,85%,41,23%,77,43%,118,66%,6,3%,75,42%
7,Kilgore,183,PANOLA,Economically Disadvantaged,139,135,97%,117,84%,14,10%,108,78%,10,7%,44,32%,54,39%,*,*,17,12%
7,Kilgore,190,RAINS,Not Economically Disadvantaged,61,61,100%,58,95%,*,*,57,93%,21,34%,19,31%,40,66%,*,*,19,31%
7,Kilgore,190,RAINS,Economically Disadvantaged,81,76,94%,71,88%,5,6%,57,70%,6,7%,21,26%,27,33%,*,*,7,9%
7,Kilgore,201,RUSK,Not Economically Disadvantaged,245,239,98%,228,93%,*,*,215,88%,49,20%,103,42%,152,62%,8,3%,80,33%
7,Kilgore,201,RUSK,Economically Disadvantaged,333,319,96%,297,89%,14,4%,277,83%,20,6%,124,37%,144,43%,*,*,57,17%
7,Kilgore,202,SABINE,Not Economically Disadvantaged,45,44,98%,43,96%,*,*,40,89%,18,40%,15,33%,33,73%,*,*,16,36%
7,Kilgore,202,SABINE,Economically Disadvantaged,86,81,94%,71,83%,*,*,64,74%,8,9%,18,21%,26,30%,*,*,8,9%
7,Kilgore,203,SAN AUGUSTINE,Not Economically Disadvantaged,18,17,94%,16,89%,*,*,16,89%,7,39%,6,33%,13,72%,*,*,9,50%
7,Kilgore,203,SAN AUGUSTINE,Economically Disadvantaged,82,76,93%,69,84%,*,*,58,71%,12,15%,18,22%,30,37%,*,*,14,17%
7,Kilgore,210,SHELBY,Not Economically Disadvantaged,135,129,96%,123,91%,6,4%,121,90%,26,19%,73,54%,99,73%,*,*,59,44%
7,Kilgore,210,SHELBY,Economically Disadvantaged,251,242,96%,223,89%,11,4%,201,80%,30,12%,86,34%,116,46%,*,*,53,21%
7,Kilgore,212,SMITH,Not Economically Disadvantaged,1153,1097,95%,1031,89%,38,3%,962,83%,259,22%,471,41%,730,63%,47,4%,364,32%
7,Kilgore,212,SMITH,Economically Disadvantaged,1483,1413,95%,1204,81%,154,10%,1046,71%,103,7%,523,35%,626,42%,34,2%,209,14%
7,Kilgore,230,UPSHUR,Not Economically Disadvantaged,252,244,97%,228,90%,10,4%,220,87%,60,24%,118,47%,178,71%,6,2%,94,37%
7,Kilgore,230,UPSHUR,Economically Disadvantaged,263,243,92%,217,83%,19,7%,199,76%,21,8%,99,38%,120,46%,8,3%,34,13%
7,Kilgore,234,VAN ZANDT,Not Economically Disadvantaged,214,210,98%,202,94%,*,*,189,88%,44,21%,91,43%,135,63%,*,*,69,32%
7,Kilgore,234,VAN ZANDT,Economically Disadvantaged,201,196,98%,173,86%,9,4%,155,77%,17,8%,66,33%,83,41%,*,*,29,14%
7,Kilgore,250,WOOD,Not Economically Disadvantaged,189,184,97%,174,92%,*,*,165,87%,44,23%,66,35%,110,58%,6,3%,63,33%
7,Kilgore,250,WOOD,Economically Disadvantaged,251,240,96%,214,85%,12,5%,192,76%,18,7%,74,29%,92,37%,5,2%,33,13%
8,Mt. Pleasant,19,BOWIE,Not Economically Disadvantaged,560,533,95%,503,90%,14,3%,472,84%,115,21%,212,38%,327,58%,11,2%,172,31%
8,Mt. Pleasant,19,BOWIE,Economically Disadvantaged,695,639,92%,574,83%,40,6%,506,73%,67,10%,200,29%,267,38%,19,3%,80,12%
8,Mt. Pleasant,32,CAMP,Not Economically Disadvantaged,38,38,100%,37,97%,*,*,36,95%,9,24%,18,47%,27,71%,*,*,13,34%
8,Mt. Pleasant,32,CAMP,Economically Disadvantaged,151,144,95%,132,87%,7,5%,121,80%,10,7%,60,40%,70,46%,*,*,29,19%
8,Mt. Pleasant,34,CASS,Not Economically Disadvantaged,194,186,96%,180,93%,*,*,167,86%,51,26%,68,35%,119,61%,*,*,70,36%
8,Mt. Pleasant,34,CASS,Economically Disadvantaged,224,213,95%,201,90%,7,3%,178,79%,15,7%,83,37%,98,44%,*,*,32,14%
8,Mt. Pleasant,60,DELTA,Not Economically Disadvantaged,24,22,92%,22,92%,*,*,21,88%,*,*,15,63%,18,75%,*,*,7,29%
8,Mt. Pleasant,60,DELTA,Economically Disadvantaged,41,39,95%,35,85%,*,*,30,73%,*,*,13,32%,15,37%,*,*,5,12%
8,Mt. Pleasant,80,FRANKLIN,Not Economically Disadvantaged,54,53,98%,51,94%,*,*,48,89%,19,35%,15,28%,34,63%,*,*,21,39%
8,Mt. Pleasant,80,FRANKLIN,Economically Disadvantaged,51,50,98%,46,90%,*,*,38,75%,5,10%,19,37%,24,47%,*,*,13,25%
8,Mt. Pleasant,112,HOPKINS,Not Economically Disadvantaged,166,165,99%,152,92%,6,4%,144,87%,47,28%,58,35%,105,63%,6,4%,53,32%
8,Mt. Pleasant,112,HOPKINS,Economically Disadvantaged,269,253,94%,227,84%,18,7%,215,80%,33,12%,86,32%,119,44%,*,*,49,18%
8,Mt. Pleasant,139,LAMAR,Not Economically Disadvantaged,283,277,98%,256,90%,13,5%,253,89%,60,21%,117,41%,177,63%,6,2%,99,35%
8,Mt. Pleasant,139,LAMAR,Economically Disadvantaged,356,335,94%,277,78%,35,10%,250,70%,18,5%,128,36%,146,41%,8,2%,42,12%
8,Mt. Pleasant,155,MARION,Not Economically Disadvantaged,34,32,94%,30,88%,*,*,29,85%,13,38%,11,32%,24,71%,*,*,10,29%
8,Mt. Pleasant,155,MARION,Economically Disadvantaged,60,55,92%,54,90%,*,*,46,77%,10,17%,16,27%,26,43%,*,*,9,15%
8,Mt. Pleasant,172,MORRIS,Not Economically Disadvantaged,50,47,94%,46,92%,*,*,43,86%,7,14%,18,36%,25,50%,*,*,12,24%
8,Mt. Pleasant,172,MORRIS,Economically Disadvantaged,120,114,95%,108,90%,*,*,102,85%,12,10%,47,39%,59,49%,*,*,15,13%
8,Mt. Pleasant,194,RED RIVER,Not Economically Disadvantaged,59,56,95%,55,93%,*,*,54,92%,17,29%,24,41%,41,69%,*,*,23,39%
8,Mt. Pleasant,194,RED RIVER,Economically Disadvantaged,113,107,95%,105,93%,*,*,89,79%,11,10%,33,29%,44,39%,*,*,18,16%
8,Mt. Pleasant,225,TITUS,Not Economically Disadvantaged,119,115,97%,106,89%,*,*,103,87%,31,26%,56,47%,87,73%,*,*,46,39%
8,Mt. Pleasant,225,TITUS,Economically Disadvantaged,364,339,93%,301,83%,35,10%,307,84%,23,6%,157,43%,180,49%,6,2%,81,22%
9,Wichita Falls,5,ARCHER,Not Economically Disadvantaged,100,98,98%,97,97%,*,*,96,96%,39,39%,42,42%,81,81%,*,*,46,46%
9,Wichita Falls,5,ARCHER,Economically Disadvantaged,43,37,86%,35,81%,*,*,30,70%,13,30%,7,16%,20,47%,*,*,7,16%
9,Wichita Falls,12,BAYLOR,Not Economically Disadvantaged,20,20,100%,20,100%,*,*,20,100%,11,55%,*,*,15,75%,*,*,12,60%
9,Wichita Falls,12,BAYLOR,Economically Disadvantaged,17,17,100%,16,94%,*,*,14,82%,*,*,6,35%,8,47%,*,*,*,*
9,Wichita Falls,39,CLAY,Not Economically Disadvantaged,74,68,92%,67,91%,*,*,66,89%,21,28%,25,34%,46,62%,*,*,18,24%
9,Wichita Falls,39,CLAY,Economically Disadvantaged,63,56,89%,53,84%,*,*,49,78%,6,10%,19,30%,25,40%,*,*,9,14%
9,Wichita Falls,78,FOARD,Not Economically Disadvantaged,5,5,100%,5,100%,*,*,5,100%,*,*,*,*,5,100%,*,*,*,*
9,Wichita Falls,78,FOARD,Economically Disadvantaged,9,9,100%,8,89%,*,*,8,89%,*,*,*,*,6,67%,*,*,*,*
9,Wichita Falls,99,HARDEMAN,Not Economically Disadvantaged,15,15,100%,NA,NA,NA,NA,13,87%,*,*,8,53%,12,80%,*,*,8,53%
