Region Code,TEA Region,County Number,County Name,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_per,total_degrees,total_degrees_percent,,
02,Corpus Christi,024,BROOKS,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
02,Corpus Christi,024,BROOKS,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
02,Corpus Christi,066,DUVAL,Not Economically Disadvantaged, 61 , 56 ,92%, 50 ,82%, 5 ,8%, 47 ,77%, 15 ,25%, 22 ,36%, 37 ,61%, 3 ,5%, 13 ,21%,,
02,Corpus Christi,066,DUVAL,Economically Disadvantaged, 165 , 161 ,98%, 135 ,82%, 16 ,10%, 122 ,74%, 33 ,20%, 36 ,22%, 69 ,42%, 3 ,2%, 25 ,15%,,
02,Corpus Christi,125,JIM WELLS,Not Economically Disadvantaged, 232 , 222 ,96%, 196 ,84%, 19 ,8%, 187 ,81%, 94 ,41%, 57 ,25%, 151 ,65%, 10 ,4%, 78 ,34%,,
02,Corpus Christi,125,JIM WELLS,Economically Disadvantaged, 395 , 375 ,95%, 276 ,70%, 81 ,21%, 258 ,65%, 49 ,12%, 101 ,26%, 150 ,38%, 8 ,2%, 45 ,11%,,
02,Corpus Christi,137,KLEBERG,Not Economically Disadvantaged, 118 , 107 ,91%, 96 ,81%, 8 ,7%, 91 ,77%, 61 ,52%, 24 ,20%, 85 ,72%, 6 ,5%, 37 ,31%,,
02,Corpus Christi,137,KLEBERG,Economically Disadvantaged, 260 , 236 ,91%, 197 ,76%, 40 ,15%, 172 ,66%, 50 ,19%, 60 ,23%, 110 ,42%, 9 ,3%, 24 ,9%,,
02,Corpus Christi,149,LIVE OAK,Not Economically Disadvantaged, 74 , 74 ,100%, 70 ,95%, 1 ,1%, 67 ,91%, 22 ,30%, 29 ,39%, 51 ,69%, 1 ,1%, 24 ,32%,,
02,Corpus Christi,149,LIVE OAK,Economically Disadvantaged, 63 , 59 ,94%, 48 ,76%, 6 ,10%, 38 ,60%, 2 ,3%, 19 ,30%, 21 ,33%, 3 ,5%, 5 ,8%,,
02,Corpus Christi,162,MCMULLEN,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
02,Corpus Christi,162,MCMULLEN,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
02,Corpus Christi,178,NUECES,Not Economically Disadvantaged," 1,906 "," 1,793 ",94%," 1,639 ",86%, 117 ,6%," 1,578 ",83%, 687 ,36%, 636 ,33%," 1,323 ",69%, 82 ,4%, 589 ,31%,,
02,Corpus Christi,178,NUECES,Economically Disadvantaged," 2,690 "," 2,503 ",93%," 1,989 ",74%, 434 ,16%," 1,814 ",67%, 324 ,12%, 767 ,29%," 1,091 ",41%, 78 ,3%, 258 ,10%,,
02,Corpus Christi,205,SAN PATRICIO,Not Economically Disadvantaged, 569 , 534 ,94%, 462 ,81%, 42 ,7%, 445 ,78%, 170 ,30%, 157 ,28%, 327 ,57%, 17 ,3%, 139 ,24%,,
02,Corpus Christi,205,SAN PATRICIO,Economically Disadvantaged, 554 , 512 ,92%, 431 ,78%, 78 ,14%, 401 ,72%, 72 ,13%, 127 ,23%, 199 ,36%, 9 ,2%, 56 ,10%,,
03,Victoria,029,CALHOUN,Not Economically Disadvantaged, 168 , 164 ,98%, 154 ,92%, 6 ,4%, 143 ,85%, 54 ,32%, 64 ,38%, 118 ,70%, 3 ,2%, 58 ,35%,,
03,Victoria,029,CALHOUN,Economically Disadvantaged, 189 , 173 ,92%, 145 ,77%, 27 ,14%, 132 ,70%, 12 ,6%, 45 ,24%, 57 ,30%, 1 ,1%, 12 ,6%,,
03,Victoria,045,COLORADO,Not Economically Disadvantaged, 128 , 124 ,97%, 121 ,95%, 3 ,2%, 117 ,91%, 37 ,29%, 60 ,47%, 97 ,76%, 2 ,2%, 64 ,50%,,
03,Victoria,045,COLORADO,Economically Disadvantaged, 114 , 110 ,96%, 86 ,75%, 22 ,19%, 94 ,82%, 9 ,8%, 43 ,38%, 52 ,46%, 2 ,2%, 14 ,12%,,
03,Victoria,062,DE WITT,Not Economically Disadvantaged, 163 , 157 ,96%, 145 ,89%, 7 ,4%, 147 ,90%, 40 ,25%, 68 ,42%, 108 ,66%, 2 ,1%, 52 ,32%,,
03,Victoria,062,DE WITT,Economically Disadvantaged, 182 , 168 ,92%, 130 ,71%, 30 ,16%, 116 ,64%, 14 ,8%, 41 ,23%, 55 ,30%, 2 ,1%, 12 ,7%,,
03,Victoria,088,GOLIAD,Not Economically Disadvantaged, 60 , 59 ,98%, 58 ,97%, 2 ,3%, 55 ,92%, 15 ,25%, 27 ,45%, 42 ,70%, 2 ,3%, 22 ,37%,,
03,Victoria,088,GOLIAD,Economically Disadvantaged, 43 , 38 ,88%, 35 ,81%, 3 ,7%, 31 ,72%, 3 ,7%, 15 ,35%, 18 ,42%, 1 ,2%, 8 ,19%,,
03,Victoria,120,JACKSON,Not Economically Disadvantaged, 154 , 152 ,99%, 145 ,94%, 5 ,3%, 140 ,91%, 48 ,31%, 73 ,47%, 121 ,79%, 3 ,2%, 63 ,41%,,
03,Victoria,120,JACKSON,Economically Disadvantaged, 107 , 97 ,91%, 85 ,79%, 10 ,9%, 70 ,65%, 3 ,3%, 36 ,34%, 39 ,36%, 2 ,2%, 10 ,9%,,
03,Victoria,128,KARNES,Not Economically Disadvantaged, 89 , 87 ,98%, 86 ,97%, 1 ,1%, 85 ,96%, 44 ,49%, 25 ,28%, 69 ,78%, 1 ,1%, 50 ,56%,,
03,Victoria,128,KARNES,Economically Disadvantaged, 103 , 100 ,97%, 93 ,90%, 8 ,8%, 82 ,80%, 20 ,19%, 26 ,25%, 46 ,45%, 1 ,1%, 16 ,16%,,
03,Victoria,143,LAVACA,Not Economically Disadvantaged, 98 , 95 ,97%, 91 ,93%, 4 ,4%, 89 ,91%, 30 ,31%, 45 ,46%, 75 ,77%, 2 ,2%, 47 ,48%,,
03,Victoria,143,LAVACA,Economically Disadvantaged, 54 , 50 ,93%, 44 ,81%, 3 ,6%, 41 ,76%, 4 ,7%, 18 ,33%, 22 ,41%, 2 ,4%, 8 ,15%,,
03,Victoria,158,MATAGORDA,Not Economically Disadvantaged, 259 , 253 ,98%, 241 ,93%, 4 ,2%, 222 ,86%, 57 ,22%, 117 ,45%, 174 ,67%, 11 ,4%, 91 ,35%,,
03,Victoria,158,MATAGORDA,Economically Disadvantaged, 323 , 308 ,95%, 281 ,87%, 20 ,6%, 236 ,73%, 38 ,12%, 96 ,30%, 134 ,41%, 9 ,3%, 44 ,14%,,
03,Victoria,196,REFUGIO,Not Economically Disadvantaged, 60 , 60 ,100%, 59 ,98%, -   ,0%, 59 ,98%, 11 ,18%, 29 ,48%, 40 ,67%, -   ,0%, 23 ,38%,,
03,Victoria,196,REFUGIO,Economically Disadvantaged, 61 , 60 ,98%, 54 ,89%, 5 ,8%, 50 ,82%, 7 ,11%, 20 ,33%, 27 ,44%, 1 ,2%, 4 ,7%,,
03,Victoria,235,VICTORIA,Not Economically Disadvantaged, 483 , 440 ,91%, 406 ,84%, 33 ,7%, 370 ,77%, 87 ,18%, 217 ,45%, 304 ,63%, 37 ,8%, 136 ,28%,,
03,Victoria,235,VICTORIA,Economically Disadvantaged, 615 , 562 ,91%, 430 ,70%, 121 ,20%, 352 ,57%, 35 ,6%, 194 ,32%, 229 ,37%, 30 ,5%, 60 ,10%,,
03,Victoria,241,WHARTON,Not Economically Disadvantaged, 294 , 288 ,98%, 272 ,93%, 10 ,3%, 269 ,92%, 64 ,22%, 152 ,52%, 216 ,73%, 4 ,1%, 139 ,47%,,
03,Victoria,241,WHARTON,Economically Disadvantaged, 362 , 339 ,94%, 276 ,76%, 53 ,15%, 255 ,70%, 16 ,4%, 138 ,38%, 154 ,43%, 7 ,2%, 62 ,17%,,
04,Houston,020,BRAZORIA,Not Economically Disadvantaged," 2,627 "," 2,522 ",96%," 2,324 ",88%, 148 ,6%," 2,221 ",85%, 651 ,25%," 1,184 ",45%," 1,835 ",70%, 92 ,4%, 909 ,35%,,
04,Houston,020,BRAZORIA,Economically Disadvantaged," 1,698 "," 1,631 ",96%," 1,283 ",76%, 291 ,17%," 1,216 ",72%, 139 ,8%, 594 ,35%, 733 ,43%, 56 ,3%, 235 ,14%,,
04,Houston,036,CHAMBERS,Not Economically Disadvantaged, 347 , 337 ,97%, 325 ,94%, 4 ,1%, 304 ,88%, 122 ,35%, 140 ,40%, 262 ,76%, 11 ,3%, 126 ,36%,,
04,Houston,036,CHAMBERS,Economically Disadvantaged, 162 , 155 ,96%, 146 ,90%, 7 ,4%, 123 ,76%, 17 ,10%, 51 ,31%, 68 ,42%, 3 ,2%, 16 ,10%,,
04,Houston,079,FORT BEND,Not Economically Disadvantaged," 4,954 "," 4,695 ",95%," 4,257 ",86%, 386 ,8%," 4,152 ",84%," 1,832 ",37%," 1,709 ",35%," 3,541 ",71%, 232 ,5%," 1,879 ",38%,,
04,Houston,079,FORT BEND,Economically Disadvantaged," 2,445 "," 2,228 ",91%," 1,796 ",73%, 435 ,18%," 1,690 ",69%, 389 ,16%, 830 ,34%," 1,219 ",50%, 117 ,5%, 379 ,16%,,
04,Houston,084,GALVESTON,Not Economically Disadvantaged," 3,916 "," 3,763 ",96%," 3,452 ",88%, 250 ,6%," 3,328 ",85%," 1,207 ",31%," 1,607 ",41%," 2,814 ",72%, 172 ,4%," 1,485 ",38%,,
04,Houston,084,GALVESTON,Economically Disadvantaged," 1,790 "," 1,663 ",93%," 1,181 ",66%, 416 ,23%," 1,178 ",66%, 171 ,10%, 624 ,35%, 795 ,44%, 77 ,4%, 238 ,13%,,
04,Houston,101,HARRIS,Not Economically Disadvantaged," 23,760 "," 22,414 ",94%," 20,217 ",85%," 1,870 ",8%," 19,516 ",82%," 6,557 ",28%," 8,823 ",37%," 15,380 ",65%, 952 ,4%," 7,194 ",30%,,
04,Houston,101,HARRIS,Economically Disadvantaged," 30,980 "," 28,634 ",92%," 22,352 ",72%," 5,529 ",18%," 21,105 ",68%," 3,826 ",12%," 9,606 ",31%," 13,432 ",43%," 1,199 ",4%," 3,776 ",12%,,
04,Houston,146,LIBERTY,Not Economically Disadvantaged, 576 , 542 ,94%, 494 ,86%, 34 ,6%, 447 ,78%, 89 ,15%, 218 ,38%, 307 ,53%, 23 ,4%, 130 ,23%,,
04,Houston,146,LIBERTY,Economically Disadvantaged, 540 , 479 ,89%, 408 ,76%, 67 ,12%, 357 ,66%, 45 ,8%, 141 ,26%, 186 ,34%, 18 ,3%, 47 ,9%,,
04,Houston,237,WALLER,Not Economically Disadvantaged, 233 , 221 ,95%, 172 ,74%, 41 ,18%, 193 ,83%, 46 ,20%, 80 ,34%, 126 ,54%, 4 ,2%, 57 ,24%,,
04,Houston,237,WALLER,Economically Disadvantaged, 370 , 353 ,95%, 258 ,70%, 90 ,24%, 287 ,78%, 63 ,17%, 87 ,24%, 150 ,41%, 7 ,2%, 27 ,7%,,
05,Beaumont,084,GALVESTON,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
05,Beaumont,084,GALVESTON,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
05,Beaumont,100,HARDIN,Not Economically Disadvantaged, 525 , 504 ,96%, 474 ,90%, 21 ,4%, 445 ,85%, 214 ,41%, 126 ,24%, 340 ,65%, 20 ,4%, 165 ,31%,,
05,Beaumont,100,HARDIN,Economically Disadvantaged, 267 , 246 ,92%, 216 ,81%, 22 ,8%, 180 ,67%, 32 ,12%, 51 ,19%, 83 ,31%, 4 ,2%, 24 ,9%,,
05,Beaumont,121,JASPER,Not Economically Disadvantaged, 260 , 250 ,96%, 241 ,93%, 5 ,2%, 216 ,83%, 61 ,23%, 88 ,34%, 149 ,57%, 10 ,4%, 57 ,22%,,
05,Beaumont,121,JASPER,Economically Disadvantaged, 246 , 228 ,93%, 205 ,83%, 14 ,6%, 174 ,71%, 35 ,14%, 61 ,25%, 96 ,39%, 7 ,3%, 26 ,11%,,
05,Beaumont,123,JEFFERSON,Not Economically Disadvantaged," 1,358 "," 1,302 ",96%," 1,183 ",87%, 93 ,7%," 1,122 ",83%, 545 ,40%, 367 ,27%, 912 ,67%, 44 ,3%, 444 ,33%,,
05,Beaumont,123,JEFFERSON,Economically Disadvantaged," 1,728 "," 1,640 ",95%," 1,384 ",80%, 214 ,12%," 1,217 ",70%, 343 ,20%, 418 ,24%, 761 ,44%, 54 ,3%, 183 ,11%,,
05,Beaumont,176,NEWTON,Not Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
05,Beaumont,176,NEWTON,Economically Disadvantaged, . , . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,., . ,.,,
05,Beaumont,181,ORANGE,Not Economically Disadvantaged, 685 , 668 ,98%, 600 ,88%, 42 ,6%, 577 ,84%, 172 ,25%, 265 ,39%, 437 ,64%, 25 ,4%, 199 ,29%,,
05,Beaumont,181,ORANGE,Economically Disadvantaged, 529 , 487 ,92%, 409 ,77%, 56 ,11%, 358 ,68%, 62 ,12%, 162 ,31%, 224 ,42%, 20 ,4%, 50 ,9%,,
05,Beaumont,229,TYLER,Not Economically Disadvantaged, 128 , 122 ,95%, 116 ,91%, 4 ,3%, 104 ,81%, 39 ,30%, 38 ,30%, 77 ,60%, 5 ,4%, 39 ,30%,,
05,Beaumont,229,TYLER,Economically Disadvantaged, 139 , 135 ,97%, 121 ,87%, 7 ,5%, 111 ,80%, 18 ,13%, 38 ,27%, 56 ,40%, 1 ,1%, 12 ,9%,,
06,Huntsville,008,AUSTIN,Not Economically Disadvantaged, 243 , 239 ,98%, 222 ,91%, 10 ,4%, 213 ,88%, 66 ,27%, 83 ,34%, 149 ,61%, 3 ,1%, 93 ,38%,,
06,Huntsville,008,AUSTIN,Economically Disadvantaged, 197 , 184 ,93%, 164 ,83%, 21 ,11%, 150 ,76%, 22 ,11%, 62 ,31%, 84 ,43%, 3 ,2%, 26 ,13%,,
06,Huntsville,021,BRAZOS,Not Economically Disadvantaged, 895 , 849 ,95%, 758 ,85%, 79 ,9%, 777 ,87%, 286 ,32%, 311 ,35%, 597 ,67%, 19 ,2%, 321 ,36%,,
06,Huntsville,021,BRAZOS,Economically Disadvantaged, 900 , 828 ,92%, 547 ,61%, 270 ,30%, 578 ,64%, 65 ,7%, 251 ,28%, 316 ,35%, 23 ,3%, 72 ,8%,,
06,Huntsville,026,BURLESON,Not Economically Disadvantaged, 114 , 113 ,99%, 110 ,96%, 2 ,2%, 104 ,91%, 23 ,20%, 55 ,48%, 78 ,68%, 4 ,4%, 33 ,29%,,
06,Huntsville,026,BURLESON,Economically Disadvantaged, 100 , 95 ,95%, 76 ,76%, 16 ,16%, 73 ,73%, 7 ,7%, 34 ,34%, 41 ,41%, 2 ,2%, 9 ,9%,,
06,Huntsville,093,GRIMES,Not Economically Disadvantaged, 150 , 142 ,95%, 125 ,83%, 14 ,9%, 127 ,85%, 27 ,18%, 56 ,37%, 83 ,55%, 3 ,2%, 37 ,25%,,
06,Huntsville,093,GRIMES,Economically Disadvantaged, 189 , 184 ,97%, 165 ,87%, 11 ,6%, 126 ,67%, 20 ,11%, 44 ,23%, 64 ,34%, 7 ,4%, 18 ,10%,,
06,Huntsville,113,HOUSTON,Not Economically Disadvantaged, 119 , 117 ,98%, 109 ,92%, 8 ,7%, 100 ,84%, 32 ,27%, 50 ,42%, 82 ,69%, 5 ,4%, 34 ,29%,,
06,Huntsville,113,HOUSTON,Economically Disadvantaged, 144 , 139 ,97%, 116 ,81%, 17 ,12%, 114 ,79%, 11 ,8%, 50 ,35%, 61 ,42%, 5 ,3%, 15 ,10%,,
06,Huntsville,145,LEON,Not Economically Disadvantaged, 112 , 108 ,96%, 96 ,86%, 5 ,4%, 92 ,82%, 24 ,21%, 43 ,38%, 67 ,60%, 2 ,2%, 45 ,40%,,
06,Huntsville,145,LEON,Economically Disadvantaged, 111 , 105 ,95%, 90 ,81%, 8 ,7%, 78 ,70%, 3 ,3%, 37 ,33%, 40 ,36%, 4 ,4%, 15 ,14%,,
06,Huntsville,154,MADISON,Not Economically Disadvantaged, 79 , 75 ,95%, 73 ,92%, 1 ,1%, 68 ,86%, 21 ,27%, 26 ,33%, 47 ,59%, 2 ,3%, 21 ,27%,,
06,Huntsville,154,MADISON,Economically Disadvantaged, 111 , 107 ,96%, 95 ,86%, 6 ,5%, 85 ,77%, 12 ,11%, 26 ,23%, 38 ,34%, 3 ,3%, 8 ,7%,,
06,Huntsville,166,MILAM,Not Economically Disadvantaged, 132 , 130 ,98%, 126 ,95%, 3 ,2%, 125 ,95%, 48 ,36%, 55 ,42%, 103 ,78%, 1 ,1%, 63 ,48%,,
06,Huntsville,166,MILAM,Economically Disadvantaged, 226 , 207 ,92%, 177 ,78%, 26 ,12%, 149 ,66%, 15 ,7%, 73 ,32%, 88 ,39%, 11 ,5%, 18 ,8%,,
06,Huntsville,170,MONTGOMERY,Not Economically Disadvantaged," 3,838 "," 3,641 ",95%," 3,231 ",84%, 282 ,7%," 3,120 ",81%, 910 ,24%," 1,449 ",38%," 2,359 ",61%, 156 ,4%," 1,104 ",29%,,
06,Huntsville,170,MONTGOMERY,Economically Disadvantaged," 1,988 "," 1,837 ",92%," 1,349 ",68%, 416 ,21%," 1,294 ",65%, 129 ,6%, 575 ,29%, 704 ,35%, 76 ,4%, 157 ,8%,,
06,Huntsville,187,POLK,Not Economically Disadvantaged, 248 , 233 ,94%, 209 ,84%, 18 ,7%, 206 ,83%, 57 ,23%, 90 ,36%, 147 ,59%, 5 ,2%, 70 ,28%,,
06,Huntsville,187,POLK,Economically Disadvantaged, 295 , 274 ,93%, 228 ,77%, 30 ,10%, 207 ,70%, 28 ,9%, 88 ,30%, 116 ,39%, 8 ,3%, 30 ,10%,,
06,Huntsville,198,ROBERTSON,Not Economically Disadvantaged, 108 , 107 ,99%, 94 ,87%, 6 ,6%, 92 ,85%, 28 ,26%, 43 ,40%, 71 ,66%, 1 ,1%, 38 ,35%,,
06,Huntsville,198,ROBERTSON,Economically Disadvantaged, 143 , 139 ,97%, 112 ,78%, 23 ,16%, 116 ,81%, 16 ,11%, 37 ,26%, 53 ,37%, 2 ,1%, 12 ,8%,,
06,Huntsville,204,SAN JACINTO,Not Economically Disadvantaged, 110 , 104 ,95%, 93 ,85%, 11 ,10%, 85 ,77%, 26 ,24%, 31 ,28%, 57 ,52%, 1 ,1%, 30 ,27%,,
06,Huntsville,204,SAN JACINTO,Economically Disadvantaged, 146 , 132 ,90%, 110 ,75%, 19 ,13%, 96 ,66%, 16 ,11%, 35 ,24%, 51 ,35%, 4 ,3%, 11 ,8%,,
06,Huntsville,228,TRINITY,Not Economically Disadvantaged, 68 , 65 ,96%, 61 ,90%, 3 ,4%, 59 ,87%, 16 ,24%, 22 ,32%, 38 ,56%, 1 ,1%, 21 ,31%,,
06,Huntsville,228,TRINITY,Economically Disadvantaged, 103 , 97 ,94%, 91 ,88%, 6 ,6%, 74 ,72%, 9 ,9%, 25 ,24%, 34 ,33%, 5 ,5%, 8 ,8%,,
06,Huntsville,236,WALKER,Not Economically Disadvantaged, 248 , 242 ,98%, 226 ,91%, 12 ,5%, 212 ,85%, 95 ,38%, 66 ,27%, 161 ,65%, 9 ,4%, 75 ,30%,,
06,Huntsville,236,WALKER,Economically Disadvantaged, 306 , 288 ,94%, 227 ,74%, 58 ,19%, 218 ,71%, 38 ,12%, 67 ,22%, 105 ,34%, 7 ,2%, 23 ,8%,,
06,Huntsville,239,WASHINGTON,Not Economically Disadvantaged, 220 , 215 ,98%, 201 ,91%, 10 ,5%, 197 ,90%, 65 ,30%, 105 ,48%, 170 ,77%, 8 ,4%, 116 ,53%,,
06,Huntsville,239,WASHINGTON,Economically Disadvantaged, 180 , 176 ,98%, 131 ,73%, 36 ,20%, 119 ,66%, 7 ,4%, 62 ,34%, 69 ,38%, 3 ,2%, 18 ,10%,,
07,Kilgore,001,ANDERSON,Not Economically Disadvantaged, 291 , 277 ,95%, 264 ,91%, 9 ,3%, 252 ,87%, 49 ,17%, 127 ,44%, 176 ,60%, 5 ,2%, 82 ,28%,,
07,Kilgore,001,ANDERSON,Economically Disadvantaged, 306 , 290 ,95%, 239 ,78%, 38 ,12%, 227 ,74%, 32 ,10%, 89 ,29%, 121 ,40%, 8 ,3%, 39 ,13%,,
07,Kilgore,003,ANGELINA,Not Economically Disadvantaged, 584 , 564 ,97%, 533 ,91%, 18 ,3%, 507 ,87%, 139 ,24%, 272 ,47%, 411 ,70%, 22 ,4%, 177 ,30%,,
07,Kilgore,003,ANGELINA,Economically Disadvantaged, 660 , 625 ,95%, 542 ,82%, 72 ,11%, 509 ,77%, 42 ,6%, 259 ,39%, 301 ,46%, 13 ,2%, 71 ,11%,,
07,Kilgore,037,CHEROKEE,Not Economically Disadvantaged, 198 , 189 ,95%, 166 ,84%, 13 ,7%, 160 ,81%, 32 ,16%, 87 ,44%, 119 ,60%, 6 ,3%, 51 ,26%,,
07,Kilgore,037,CHEROKEE,Economically Disadvantaged, 396 , 376 ,95%, 320 ,81%, 36 ,9%, 275 ,69%, 18 ,5%, 129 ,33%, 147 ,37%, 5 ,1%, 33 ,8%,,
07,Kilgore,092,GREGG,Not Economically Disadvantaged, 980 , 943 ,96%, 896 ,91%, 28 ,3%, 846 ,86%, 226 ,23%, 463 ,47%, 689 ,70%, 22 ,2%, 360 ,37%,,
07,Kilgore,092,GREGG,Economically Disadvantaged, 755 , 704 ,93%, 607 ,80%, 66 ,9%, 521 ,69%, 39 ,5%, 269 ,36%, 308 ,41%, 23 ,3%, 87 ,12%,,
07,Kilgore,102,HARRISON,Not Economically Disadvantaged, 529 , 503 ,95%, 473 ,89%, 16 ,3%, 442 ,84%, 117 ,22%, 229 ,43%, 346 ,65%, 21 ,4%, 177 ,33%,,
07,Kilgore,102,HARRISON,Economically Disadvantaged, 443 , 427 ,96%, 379 ,86%, 29 ,7%, 324 ,73%, 52 ,12%, 145 ,33%, 197 ,44%, 14 ,3%, 47 ,11%,,
07,Kilgore,107,HENDERSON,Not Economically Disadvantaged, 368 , 354 ,96%, 343 ,93%, 8 ,2%, 315 ,86%, 51 ,14%, 191 ,52%, 242 ,66%, 16 ,4%, 128 ,35%,,
07,Kilgore,107,HENDERSON,Economically Disadvantaged, 434 , 407 ,94%, 358 ,82%, 37 ,9%, 313 ,72%, 28 ,6%, 157 ,36%, 185 ,43%, 19 ,4%, 51 ,12%,,
07,Kilgore,174,NACOGDOCHES,Not Economically Disadvantaged, 346 , 336 ,97%, 314 ,91%, 13 ,4%, 296 ,86%, 131 ,38%, 103 ,30%, 234 ,68%, 11 ,3%, 130 ,38%,,
07,Kilgore,174,NACOGDOCHES,Economically Disadvantaged, 429 , 403 ,94%, 321 ,75%, 64 ,15%, 298 ,69%, 38 ,9%, 129 ,30%, 167 ,39%, 9 ,2%, 45 ,10%,,
