Region Code,TEA Region,gender,ethnicity,economic_status,enrolled_8th,enrolled_9th,enrolled_9th_percent,enrolled_10th,enrolled_10th_percent,lessthan_10th_enrolled,lessthan_10th_enrolled_percent,graduated,graduated_percent,enrolled_4yr,enrolled_4yr_percent,enrolled_2yr,enrolled_2yr_percent,enrolled_out_of_state,enrolled_out_of_state_per,total_enrolled,total_enrolled_percent,enrolled_wo_record,enrolled_wo_record_per,total_degrees,total_degrees_percent
15,San Angelo,,,Economically Disadvantaged,2125,1977,0.93,1676,0.79,270,0.13,1494,0.70,283,0.13,516,0.24,0,0.00,799,0.38,44,0.02,230,0.11
16,Amarillo,,,Not Economically Disadvantaged,2825,2706,0.96,2556,0.90,99,0.04,2410,0.85,789,0.28,1088,0.39,0,0.00,1877,0.66,86,0.03,885,0.31
16,Amarillo,,,Economically Disadvantaged,3005,2788,0.93,2410,0.80,296,0.10,2182,0.73,287,0.10,993,0.33,0,0.00,1280,0.43,102,0.03,393,0.13
17,Lubbock,,,Not Economically Disadvantaged,2441,2358,0.97,2261,0.93,64,0.03,2111,0.86,792,0.32,852,0.35,0,0.00,1644,0.67,63,0.03,821,0.34
17,Lubbock,,,Economically Disadvantaged,3198,2997,0.94,2623,0.82,283,0.09,2224,0.70,348,0.11,863,0.27,0,0.00,1211,0.38,66,0.02,329,0.10
18,Midland,,,Not Economically Disadvantaged,2841,2698,0.95,2418,0.85,227,0.08,2208,0.78,645,0.23,1083,0.38,0,0.00,1728,0.61,95,0.03,725,0.26
18,Midland,,,Economically Disadvantaged,3039,2750,0.90,2179,0.72,507,0.17,1857,0.61,244,0.08,865,0.28,0,0.00,1109,0.36,94,0.03,296,0.10
19,El Paso,,,Not Economically Disadvantaged,3258,3013,0.92,2608,0.80,313,0.10,2622,0.80,1082,0.33,1134,0.35,0,0.00,2216,0.68,138,0.04,922,0.28
19,El Paso,,,Economically Disadvantaged,9956,9329,0.94,7161,0.72,1967,0.20,7450,0.75,1950,0.20,3550,0.36,0,0.00,5500,0.55,325,0.03,1683,0.17
20,San Antonio,,,Not Economically Disadvantaged,10939,10289,0.94,9144,0.84,934,0.09,9036,0.83,3505,0.32,3561,0.33,0,0.00,7066,0.65,360,0.03,3570,0.33
20,San Antonio,,,Economically Disadvantaged,16482,15470,0.94,11992,0.73,3051,0.19,11446,0.69,1835,0.11,5293,0.32,0,0.00,7128,0.43,473,0.03,2075,0.13
1,Edinburg,Female,African American,,33,30,0.91,23,0.70,4,0.12,21,0.64,13,0.39,6,0.18,0,0.00,19,0.58,1,0.03,8,0.24
1,Edinburg,Female,Hispanic,,12607,11971,0.95,9940,0.79,1767,0.14,9968,0.79,3087,0.24,4472,0.35,0,0.00,7559,0.60,333,0.03,3143,0.25
1,Edinburg,Female,White,,383,366,0.96,336,0.88,26,0.07,319,0.83,182,0.48,103,0.27,0,0.00,285,0.74,18,0.05,157,0.41
1,Edinburg,Female,Others,,70,63,0.90,55,0.79,3,0.04,53,0.76,36,0.51,8,0.11,0,0.00,44,0.63,4,0.06,35,0.50
1,Edinburg,Male,African American,,27,27,1.00,23,0.85,2,0.07,18,0.67,11,0.41,5,0.19,0,0.00,16,0.59,2,0.07,4,0.15
1,Edinburg,Male,Hispanic,,12977,12293,0.95,9608,0.74,2451,0.19,9801,0.76,2505,0.19,4312,0.33,0,0.00,6817,0.53,311,0.02,2262,0.17
1,Edinburg,Male,White,,412,381,0.92,328,0.80,42,0.10,326,0.79,153,0.37,105,0.25,0,0.00,258,0.63,19,0.05,118,0.29
1,Edinburg,Male,Others,,72,68,0.94,63,0.88,5,0.07,63,0.88,33,0.46,11,0.15,0,0.00,44,0.61,4,0.06,27,0.38
2,Corpus Christi,Female,African American,,146,136,0.93,117,0.80,13,0.09,106,0.73,32,0.22,49,0.34,0,0.00,81,0.55,5,0.03,24,0.16
2,Corpus Christi,Female,Hispanic,,2592,2438,0.94,2041,0.79,310,0.12,1890,0.73,497,0.19,858,0.33,0,0.00,1355,0.52,95,0.04,457,0.18
2,Corpus Christi,Female,White,,992,919,0.93,851,0.86,53,0.05,792,0.80,351,0.35,306,0.31,0,0.00,657,0.66,32,0.03,320,0.32
2,Corpus Christi,Female,Others,,69,66,0.96,57,0.83,6,0.09,57,0.83,24,0.35,22,0.32,0,0.00,46,0.67,2,0.03,27,0.39
2,Corpus Christi,Male,African American,,160,136,0.85,119,0.74,20,0.13,103,0.64,39,0.24,31,0.19,0,0.00,70,0.44,5,0.03,16,0.10
2,Corpus Christi,Male,Hispanic,,2831,2655,0.94,2124,0.75,447,0.16,1991,0.70,438,0.15,764,0.27,0,0.00,1202,0.42,84,0.03,335,0.12
2,Corpus Christi,Male,White,,1067,996,0.93,865,0.81,111,0.10,810,0.76,301,0.28,248,0.23,0,0.00,549,0.51,36,0.03,234,0.22
2,Corpus Christi,Male,Others,,55,50,0.91,46,0.84,4,0.07,43,0.78,21,0.38,15,0.27,0,0.00,36,0.65,1,0.02,16,0.29
3,Victoria,Female,African American,,210,202,0.96,180,0.86,21,0.10,168,0.80,40,0.19,84,0.40,0,0.00,124,0.59,9,0.04,40,0.19
3,Victoria,Female,Hispanic,,874,827,0.95,724,0.83,83,0.10,634,0.73,75,0.09,341,0.39,0,0.00,416,0.48,24,0.03,128,0.15
3,Victoria,Female,White,,849,812,0.96,768,0.90,26,0.03,730,0.86,226,0.27,399,0.47,0,0.00,625,0.74,35,0.04,375,0.44
3,Victoria,Female,Others,,32,29,0.91,29,0.91,0,0.00,24,0.75,19,0.59,5,0.16,0,0.00,24,0.75,4,0.13,17,0.53
3,Victoria,Male,African American,,237,221,0.93,188,0.79,30,0.13,163,0.69,30,0.13,68,0.29,0,0.00,98,0.41,5,0.02,31,0.13
3,Victoria,Male,Hispanic,,947,879,0.93,705,0.74,163,0.17,635,0.67,62,0.07,258,0.27,0,0.00,320,0.34,20,0.02,101,0.11
3,Victoria,Male,White,,923,877,0.95,809,0.88,53,0.06,769,0.83,181,0.20,381,0.41,0,0.00,562,0.61,26,0.03,288,0.31
3,Victoria,Male,Others,,37,37,1.00,34,0.92,1,0.03,32,0.86,15,0.41,13,0.35,0,0.00,28,0.76,2,0.05,15,0.41
4,Houston,Female,African American,,8572,8003,0.93,6696,0.78,1122,0.13,6369,0.74,2363,0.28,3013,0.35,0,0.00,5376,0.63,498,0.06,1624,0.19
4,Houston,Female,Hispanic,,14862,13914,0.94,11587,0.78,2065,0.14,11074,0.75,1737,0.12,5347,0.36,0,0.00,7084,0.48,452,0.03,2669,0.18
4,Houston,Female,White,,11001,10440,0.95,9636,0.88,574,0.05,9160,0.83,3247,0.30,4328,0.39,0,0.00,7575,0.69,489,0.04,4303,0.39
4,Houston,Female,Others,,2063,1967,0.95,1896,0.92,44,0.02,1831,0.89,968,0.47,520,0.25,0,0.00,1488,0.72,54,0.03,1050,0.51
4,Houston,Male,African American,,8646,7879,0.91,6069,0.70,1660,0.19,5787,0.67,1648,0.19,2710,0.31,0,0.00,4358,0.50,467,0.05,922,0.11
4,Houston,Male,Hispanic,,15164,14140,0.93,10780,0.71,3024,0.20,10390,0.69,1340,0.09,4759,0.31,0,0.00,6099,0.40,407,0.03,1709,0.11
4,Houston,Male,White,,11825,11160,0.94,9976,0.84,989,0.08,9524,0.81,2850,0.24,4392,0.37,0,0.00,7242,0.61,530,0.04,3254,0.28
4,Houston,Male,Others,,2265,2134,0.94,2025,0.89,90,0.04,1982,0.88,1001,0.44,625,0.28,0,0.00,1626,0.72,66,0.03,967,0.43
5,Beaumont,Female,African American,,864,833,0.96,742,0.86,78,0.09,695,0.80,272,0.31,256,0.30,0,0.00,528,0.61,28,0.03,131,0.15
5,Beaumont,Female,Hispanic,,304,288,0.95,256,0.84,19,0.06,216,0.71,59,0.19,86,0.28,0,0.00,145,0.48,8,0.03,61,0.20
5,Beaumont,Female,White,,1650,1565,0.95,1433,0.87,77,0.05,1287,0.78,494,0.30,495,0.30,0,0.00,989,0.60,61,0.04,480,0.29
5,Beaumont,Female,Others,,77,73,0.95,66,0.86,2,0.03,63,0.82,39,0.51,20,0.26,0,0.00,59,0.77,4,0.05,38,0.49
5,Beaumont,Male,African American,,949,893,0.94,750,0.79,129,0.14,680,0.72,177,0.19,252,0.27,0,0.00,429,0.45,36,0.04,73,0.08
5,Beaumont,Male,Hispanic,,348,327,0.94,270,0.78,45,0.13,241,0.69,39,0.11,86,0.25,0,0.00,125,0.36,9,0.03,44,0.13
5,Beaumont,Male,White,,1821,1736,0.95,1538,0.84,145,0.08,1422,0.78,447,0.25,453,0.25,0,0.00,900,0.49,49,0.03,379,0.21
5,Beaumont,Male,Others,,81,79,0.98,73,0.90,5,0.06,64,0.79,28,0.35,21,0.26,0,0.00,49,0.60,2,0.02,29,0.36
6,Huntsville,Female,African American,,809,765,0.95,621,0.77,135,0.17,609,0.75,159,0.20,287,0.35,0,0.00,446,0.55,34,0.04,103,0.13
6,Huntsville,Female,Hispanic,,1263,1190,0.94,973,0.77,182,0.14,942,0.75,128,0.10,434,0.34,0,0.00,562,0.45,30,0.02,215,0.17
6,Huntsville,Female,White,,3578,3391,0.95,3032,0.85,244,0.07,2861,0.80,879,0.25,1357,0.38,0,0.00,2236,0.62,147,0.04,1112,0.31
6,Huntsville,Female,Others,,116,105,0.91,94,0.81,4,0.03,92,0.79,33,0.28,30,0.26,0,0.00,63,0.54,2,0.02,40,0.34
6,Huntsville,Male,African American,,841,798,0.95,593,0.71,185,0.22,581,0.69,81,0.10,279,0.33,0,0.00,360,0.43,30,0.04,65,0.08
6,Huntsville,Male,Hispanic,,1317,1243,0.94,934,0.71,273,0.21,942,0.72,99,0.08,338,0.26,0,0.00,437,0.33,28,0.02,118,0.09
6,Huntsville,Male,White,,3769,3554,0.94,3058,0.81,397,0.11,2926,0.78,704,0.19,1196,0.32,0,0.00,1900,0.50,111,0.03,847,0.22
6,Huntsville,Male,Others,,130,126,0.97,107,0.82,7,0.05,101,0.78,39,0.30,30,0.23,0,0.00,69,0.53,1,0.01,41,0.32
7,Kilgore,Female,African American,,1185,1138,0.96,1015,0.86,103,0.09,931,0.79,188,0.16,565,0.48,0,0.00,753,0.64,59,0.05,216,0.18
7,Kilgore,Female,Hispanic,,1111,1044,0.94,892,0.80,111,0.10,835,0.75,68,0.06,431,0.39,0,0.00,499,0.45,21,0.02,198,0.18
7,Kilgore,Female,White,,3603,3451,0.96,3160,0.88,169,0.05,2886,0.80,683,0.19,1611,0.45,0,0.00,2294,0.64,153,0.04,1139,0.32
7,Kilgore,Female,Others,,82,73,0.89,67,0.82,2,0.02,65,0.79,25,0.30,29,0.35,0,0.00,54,0.66,3,0.04,28,0.34
7,Kilgore,Male,African American,,1266,1206,0.95,988,0.78,180,0.14,942,0.74,158,0.12,469,0.37,0,0.00,627,0.50,33,0.03,138,0.11
7,Kilgore,Male,Hispanic,,1141,1065,0.93,838,0.73,161,0.14,786,0.69,59,0.05,323,0.28,0,0.00,382,0.33,19,0.02,144,0.13
7,Kilgore,Male,White,,3821,3619,0.95,3263,0.85,279,0.07,3004,0.79,526,0.14,1386,0.36,0,0.00,1912,0.50,90,0.02,808,0.21
7,Kilgore,Male,Others,,54,52,0.96,42,0.78,4,0.07,43,0.80,12,0.22,17,0.31,0,0.00,29,0.54,1,0.02,17,0.31
8,Mt. Pleasant,Female,African American,,474,462,0.97,419,0.88,25,0.05,385,0.81,82,0.17,212,0.45,0,0.00,294,0.62,15,0.03,72,0.15
8,Mt. Pleasant,Female,Hispanic,,286,267,0.93,245,0.86,13,0.05,227,0.79,11,0.04,129,0.45,0,0.00,140,0.49,8,0.03,55,0.19
8,Mt. Pleasant,Female,White,,1288,1207,0.94,1123,0.87,41,0.03,1022,0.79,212,0.16,617,0.48,0,0.00,829,0.64,57,0.04,395,0.31
8,Mt. Pleasant,Female,Others,,32,30,0.94,28,0.88,0,0.00,24,0.75,6,0.19,12,0.38,0,0.00,18,0.56,2,0.06,10,0.31
8,Mt. Pleasant,Male,African American,,481,451,0.94,394,0.82,47,0.10,362,0.75,44,0.09,193,0.40,0,0.00,237,0.49,23,0.05,57,0.12
8,Mt. Pleasant,Male,Hispanic,,290,261,0.90,238,0.82,25,0.09,233,0.80,9,0.03,120,0.41,0,0.00,129,0.44,4,0.01,38,0.13
8,Mt. Pleasant,Male,White,,1336,1254,0.94,1152,0.86,70,0.05,1050,0.79,197,0.15,479,0.36,0,0.00,676,0.51,46,0.03,297,0.22
8,Mt. Pleasant,Male,Others,,38,37,0.97,34,0.89,2,0.05,29,0.76,4,0.11,12,0.32,0,0.00,16,0.42,0,0.00,10,0.26
9,Wichita Falls,Female,African American,,149,129,0.87,115,0.77,12,0.08,105,0.70,12,0.08,45,0.30,0,0.00,57,0.38,3,0.02,17,0.11
9,Wichita Falls,Female,Hispanic,,268,258,0.96,233,0.87,22,0.08,209,0.78,36,0.13,89,0.33,0,0.00,125,0.47,7,0.03,53,0.20
9,Wichita Falls,Female,White,,958,901,0.94,841,0.88,40,0.04,779,0.81,278,0.29,301,0.31,0,0.00,579,0.60,25,0.03,300,0.31
9,Wichita Falls,Female,Others,,29,28,0.97,26,0.90,0,0.00,24,0.83,11,0.38,10,0.34,0,0.00,21,0.72,1,0.03,12,0.41
9,Wichita Falls,Male,African American,,120,110,0.92,94,0.78,12,0.10,88,0.73,11,0.09,32,0.27,0,0.00,43,0.36,2,0.02,11,0.09
9,Wichita Falls,Male,Hispanic,,268,262,0.98,223,0.83,32,0.12,208,0.78,20,0.07,65,0.24,0,0.00,85,0.32,1,0.00,18,0.07
9,Wichita Falls,Male,White,,1050,994,0.95,892,0.85,69,0.07,826,0.79,236,0.22,270,0.26,0,0.00,506,0.48,19,0.02,201,0.19
9,Wichita Falls,Male,Others,,41,38,0.93,36,0.88,1,0.02,33,0.80,11,0.27,12,0.29,0,0.00,23,0.56,2,0.05,13,0.32
10,Richardson,Female,African American,,5502,5112,0.93,4377,0.80,666,0.12,4153,0.75,1425,0.26,1927,0.35,0,0.00,3352,0.61,266,0.05,1011,0.18
10,Richardson,Female,Hispanic,,8634,8060,0.93,6761,0.78,1142,0.13,6463,0.75,869,0.10,2811,0.33,0,0.00,3680,0.43,177,0.02,1278,0.15
10,Richardson,Female,White,,9436,8988,0.95,8365,0.89,390,0.04,8014,0.85,2639,0.28,3674,0.39,0,0.00,6313,0.67,338,0.04,3260,0.35
10,Richardson,Female,Others,,1314,1259,0.96,1204,0.92,25,0.02,1137,0.87,532,0.40,376,0.29,0,0.00,908,0.69,46,0.04,605,0.46
10,Richardson,Male,African American,,5579,5145,0.92,4014,0.72,1046,0.19,3829,0.69,1001,0.18,1773,0.32,0,0.00,2774,0.50,262,0.05,536,0.10
10,Richardson,Male,Hispanic,,9105,8385,0.92,6410,0.70,1884,0.21,6276,0.69,647,0.07,2549,0.28,0,0.00,3196,0.35,166,0.02,875,0.10
10,Richardson,Male,White,,9909,9376,0.95,8462,0.85,738,0.07,8154,0.82,2175,0.22,3634,0.37,0,0.00,5809,0.59,342,0.03,2443,0.25
10,Richardson,Male,Others,,1300,1218,0.94,1152,0.89,51,0.04,1077,0.83,474,0.36,380,0.29,0,0.00,854,0.66,54,0.04,498,0.38
11,Fort Worth,Female,African American,,2654,2458,0.93,2060,0.78,334,0.13,1918,0.72,582,0.22,1041,0.39,0,0.00,1623,0.61,158,0.06,482,0.18
11,Fort Worth,Female,Hispanic,,4794,4492,0.94,3709,0.77,628,0.13,3503,0.73,525,0.11,1552,0.32,0,0.00,2077,0.43,137,0.03,788,0.16
11,Fort Worth,Female,White,,9792,9260,0.95,8426,0.86,582,0.06,8018,0.82,2784,0.28,3577,0.37,0,0.00,6361,0.65,399,0.04,3263,0.33
11,Fort Worth,Female,Others,,937,902,0.96,838,0.89,42,0.04,813,0.87,377,0.40,294,0.31,0,0.00,671,0.72,25,0.03,399,0.43
11,Fort Worth,Male,African American,,2787,2551,0.92,1958,0.70,502,0.18,1844,0.66,431,0.15,936,0.34,0,0.00,1367,0.49,154,0.06,272,0.10
11,Fort Worth,Male,Hispanic,,4962,4646,0.94,3640,0.73,886,0.18,3441,0.69,394,0.08,1413,0.28,0,0.00,1807,0.36,107,0.02,500,0.10
11,Fort Worth,Male,White,,10357,9778,0.94,8550,0.83,1012,0.10,8252,0.80,2360,0.23,3446,0.33,0,0.00,5806,0.56,334,0.03,2427,0.23
11,Fort Worth,Male,Others,,949,896,0.94,821,0.87,74,0.08,806,0.85,298,0.31,332,0.35,0,0.00,630,0.66,29,0.03,309,0.33
12,Waco,Female,African American,,1182,1094,0.93,890,0.75,171,0.14,862,0.73,195,0.17,577,0.49,0,0.00,772,0.65,73,0.06,199,0.17
12,Waco,Female,Hispanic,,1149,1084,0.94,925,0.81,127,0.11,882,0.77,103,0.09,487,0.42,0,0.00,590,0.51,34,0.03,237,0.21
