DISTRICT,DISTNAME,COUNTY,CNTYNAME,REGION,DFLCHART,DFLALTED,D_RATING,SECS
"015801","POR VIDA ACADEMY","015","BEXAR","20","Y","Y","A","L"
"015802","GEORGE GERVIN ACADEMY","015","BEXAR","20","Y","N","M","B"
"015803","HIGGS CARTER KING GIFTED & TALENTE","015","BEXAR","20","Y","N","I"," "
"015805","NEW FRONTIERS CHARTER SCHOOL","015","BEXAR","20","Y","N","M","D"
"015806","SCHOOL OF EXCELLENCE IN EDUCATION","015","BEXAR","20","Y","N","M"," "
"015807","SOUTHWEST PREPARATORY SCHOOL","015","BEXAR","20","Y","Y","A","L"
"015808","JOHN H WOOD JR PUBLIC CHARTER DIST","015","BEXAR","20","Y","Y","X","L"
"015809","BEXAR COUNTY ACADEMY","015","BEXAR","20","Y","N","M","D"
"015814","POSITIVE SOLUTIONS CHARTER SCHOOL","015","BEXAR","20","Y","Y","A"," "
"015815","RADIANCE ACADEMY OF LEARNING","015","BEXAR","20","Y","Y","A"," "
"015816","ACADEMY OF CAREERS AND TECHNOLOGIE","015","BEXAR","20","Y","Y","A"," "
"015817","SAN ANTONIO CAN HIGH SCHOOL","015","BEXAR","20","Y","Y","A","L"
"015819","SHEKINAH RADIANCE ACADEMY","015","BEXAR","20","Y","N","I"," "
"015820","SAN ANTONIO SCHOOL FOR INQUIRY & C","015","BEXAR","20","Y","Y","A"," "
"015822","JUBILEE ACADEMIC CENTER","015","BEXAR","20","Y","N","M"," "
"015823","SAN ANTONIO TECHNOLOGY ACADEMY","015","BEXAR","20","Y","N","I"," "
"015825","LIGHTHOUSE CHARTER SCHOOL","015","BEXAR","20","Y","N","M"," "
"015826","KIPP SAN ANTONIO","015","BEXAR","20","Y","N","M"," "
"015827","SCHOOL OF SCIENCE AND TECHNOLOGY","015","BEXAR","20","Y","N","M"," "
"015828","HARMONY SCIENCE ACAD (SAN ANTONIO)","015","BEXAR","20","Y","N","M","D"
"015830","BROOKS ACADEMY OF SCIENCE AND ENGI","015","BEXAR","20","Y","N","M","D"
"015831","SCHOOL OF SCIENCE AND TECHNOLOGY D","015","BEXAR","20","Y","N","M"," "
"015832","CITY CENTER HEALTH CAREERS","015","BEXAR","20","Y","N","I"," "
"015833","HENRY FORD ACADEMY ALAMEDA SCHOOL","015","BEXAR","20","Y","N","M","D"
"015901","ALAMO HEIGHTS ISD","015","BEXAR","20","N","N","M","D"
"015904","HARLANDALE ISD","015","BEXAR","20","N","N","M","B"
"015905","EDGEWOOD ISD","015","BEXAR","20","N","N","M"," "
"015906","RANDOLPH FIELD ISD","015","BEXAR","20","N","N","M"," "
"015907","SAN ANTONIO ISD","015","BEXAR","20","N","N","M"," "
"015908","SOUTH SAN ANTONIO ISD","015","BEXAR","20","N","N","M","L"
"015909","SOMERSET ISD","015","BEXAR","20","N","N","M"," "
"015910","NORTH EAST ISD","015","BEXAR","20","N","N","M"," "
"015911","EAST CENTRAL ISD","015","BEXAR","20","N","N","M"," "
"015912","SOUTHWEST ISD","015","BEXAR","20","N","N","M","J"
"015913","LACKLAND ISD","015","BEXAR","20","N","N","M"," "
"015914","FT SAM HOUSTON ISD","015","BEXAR","20","N","N","M"," "
"015915","NORTHSIDE ISD","015","BEXAR","20","N","N","M"," "
"015916","JUDSON ISD","015","BEXAR","20","N","N","M"," "
"015917","SOUTHSIDE ISD","015","BEXAR","20","N","N","M","B"
"016901","JOHNSON CITY ISD","016","BLANCO","13","N","N","M"," "
"016902","BLANCO ISD","016","BLANCO","13","N","N","M"," "
"017901","BORDEN COUNTY ISD","017","BORDEN","17","N","N","M"," "
"018901","CLIFTON ISD","018","BOSQUE","12","N","N","M","D"
"018902","MERIDIAN ISD","018","BOSQUE","12","N","N","M","D"
"018903","MORGAN ISD","018","BOSQUE","12","N","N","M","D"
"018904","VALLEY MILLS ISD","018","BOSQUE","12","N","N","M"," "
"018905","WALNUT SPRINGS ISD","018","BOSQUE","12","N","N","I"," "
"018906","IREDELL ISD","018","BOSQUE","12","N","N","M"," "
"018907","KOPPERL ISD","018","BOSQUE","12","N","N","M"," "
"018908","CRANFILLS GAP ISD","018","BOSQUE","12","N","N","M"," "
"019901","DEKALB ISD","019","BOWIE","08","N","N","M","D"
"019902","HOOKS ISD","019","BOWIE","08","N","N","M","B"
"019903","MAUD ISD","019","BOWIE","08","N","N","M","D"
"019905","NEW BOSTON ISD","019","BOWIE","08","N","N","M"," "
"019906","REDWATER ISD","019","BOWIE","08","N","N","M","B"
"019907","TEXARKANA ISD","019","BOWIE","08","N","N","M","B"
"019908","LIBERTY-EYLAU ISD","019","BOWIE","08","N","N","M","B"
"019909","SIMMS ISD","019","BOWIE","08","N","N","M","D"
"019910","MALTA ISD","019","BOWIE","08","N","N","M"," "
"019911","RED LICK ISD","019","BOWIE","08","N","N","M"," "
"019912","PLEASANT GROVE ISD","019","BOWIE","08","N","N","M","D"
"019913","HUBBARD ISD","019","BOWIE","08","N","N","M"," "
"019914","LEARY ISD","019","BOWIE","08","N","N","M"," "
"020901","ALVIN ISD","020","BRAZORIA","04","N","N","M"," "
"020902","ANGLETON ISD","020","BRAZORIA","04","N","N","M"," "
"020904","DANBURY ISD","020","BRAZORIA","04","N","N","M"," "
"020905","BRAZOSPORT ISD","020","BRAZORIA","04","N","N","M","B"
"020906","SWEENY ISD","020","BRAZORIA","04","N","N","M","D"
"020907","COLUMBIA-BRAZORIA ISD","020","BRAZORIA","04","N","N","M","B"
"020908","PEARLAND ISD","020","BRAZORIA","04","N","N","M"," "
"020910","DAMON ISD","020","BRAZORIA","04","N","N","M","B"
"021803","BRAZOS SCHOOL FOR INQUIRY & CREATI","021","BRAZOS","06","Y","N","M"," "
"021805","ARROW ACADEMY","021","BRAZOS","06","Y","N","I"," "
"021901","COLLEGE STATION ISD","021","BRAZOS","06","N","N","M","D"
"021902","BRYAN ISD","021","BRAZOS","06","N","N","I","B"
"022004","TERLINGUA CSD","022","BREWSTER","18","N","N","I"," "
"022901","ALPINE ISD","022","BREWSTER","18","N","N","M","D"
"022902","MARATHON ISD","022","BREWSTER","18","N","N","M"," "
"022903","SAN VICENTE ISD","022","BREWSTER","18","N","N","M"," "
"023902","SILVERTON ISD","023","BRISCOE","16","N","N","M"," "
"024901","BROOKS COUNTY ISD","024","BROOKS","02","N","N","M","B"
"025901","BANGS ISD","025","BROWN","15","N","N","M"," "
"025902","BROWNWOOD ISD","025","BROWN","15","N","N","M"," "
"025904","BLANKET ISD","025","BROWN","15","N","N","M","D"
"025905","MAY ISD","025","BROWN","15","N","N","M"," "
"025906","ZEPHYR ISD","025","BROWN","15","N","N","M"," "
"025908","BROOKESMITH ISD","025","BROWN","15","N","N","M"," "
"025909","EARLY ISD","025","BROWN","15","N","N","M"," "
"026901","CALDWELL ISD","026","BURLESON","06","N","N","M","B"
"026902","SOMERVILLE ISD","026","BURLESON","06","N","N","M","B"
"026903","SNOOK ISD","026","BURLESON","06","N","N","I","D"
"027903","BURNET CISD","027","BURNET","13","N","N","M","B"
"027904","MARBLE FALLS ISD","027","BURNET","13","N","N","M","D"
"028902","LOCKHART ISD","028","CALDWELL","13","N","N","M","B"
"028903","LULING ISD","028","CALDWELL","13","N","N","I","B"
"028906","PRAIRIE LEA ISD","028","CALDWELL","13","N","N","M"," "
"029901","CALHOUN COUNTY ISD","029","CALHOUN","03","N","N","M","D"
"030901","CROSS PLAINS ISD","030","CALLAHAN","14","N","N","M"," "
"030902","CLYDE CISD","030","CALLAHAN","14","N","N","M"," "
"030903","BAIRD ISD","030","CALLAHAN","14","N","N","M"," "
"030906","EULA ISD","030","CALLAHAN","14","N","N","M"," "
"031803","HARMONY SCIENCE ACADEMY - BROWNSVI","031","CAMERON","01","Y","N","M","D"
"031901","BROWNSVILLE ISD","031","CAMERON","01","N","N","M"," "
"031903","HARLINGEN CISD","031","CAMERON","01","N","N","M","H"
"031905","LA FERIA ISD","031","CAMERON","01","N","N","M","L"
"031906","LOS FRESNOS CISD","031","CAMERON","01","N","N","M","D"
"031909","POINT ISABEL ISD","031","CAMERON","01","N","N","M","D"
"031911","RIO HONDO ISD","031","CAMERON","01","N","N","M"," "
"031912","SAN BENITO CISD","031","CAMERON","01","N","N","M"," "
"031913","SANTA MARIA ISD","031","CAMERON","01","N","N","M"," "
"031914","SANTA ROSA ISD","031","CAMERON","01","N","N","M","D"
"031916","SOUTH TEXAS ISD","031","CAMERON","01","N","N","M"," "
"032902","PITTSBURG ISD","032","CAMP","08","N","N","M","D"
"033901","GROOM ISD","033","CARSON","16","N","N","M"," "
"033902","PANHANDLE ISD","033","CARSON","16","N","N","M"," "
"033904","WHITE DEER ISD","033","CARSON","16","N","N","M"," "
"034901","ATLANTA ISD","034","CASS","08","N","N","M","D"
"034902","AVINGER ISD","034","CASS","08","N","N","M"," "
"034903","HUGHES SPRINGS ISD","034","CASS","08","N","N","M"," "
"034905","LINDEN-KILDARE CISD","034","CASS","08","N","N","M"," "
"034906","MCLEOD ISD","034","CASS","08","N","N","M"," "
"034907","QUEEN CITY ISD","034","CASS","08","N","N","M"," "
"034909","BLOOMBURG ISD","034","CASS","08","N","N","M"," "
"035901","DIMMITT ISD","035","CASTRO","16","N","N","M"," "
"035902","HART ISD","035","CASTRO","16","N","N","M"," "
"035903","NAZARETH ISD","035","CASTRO","16","N","N","M"," "
"036901","ANAHUAC ISD","036","CHAMBERS","04","N","N","M"," "
"036902","BARBERS HILL ISD","036","CHAMBERS","04","N","N","M","A"
"036903","EAST CHAMBERS ISD","036","CHAMBERS","05","N","N","M","B"
"037901","ALTO ISD","037","CHEROKEE","07","N","N","M","D"
"037904","JACKSONVILLE ISD","037","CHEROKEE","07","N","N","M","B"
"037907","RUSK ISD","037","CHEROKEE","07","N","N","M","B"
"037908","NEW SUMMERFIELD ISD","037","CHEROKEE","07","N","N","M","D"
"037909","WELLS ISD","037","CHEROKEE","07","N","N","M"," "
"038901","CHILDRESS ISD","038","CHILDRESS","16","N","N","M","B"
"039902","HENRIETTA ISD","039","CLAY","09","N","N","M"," "
"039903","PETROLIA ISD","039","CLAY","09","N","N","M"," "
"039904","BELLEVUE ISD","039","CLAY","09","N","N","M"," "
"039905","MIDWAY ISD","039","CLAY","09","N","N","M","D"
"040901","MORTON ISD","040","COCHRAN","17","N","N","M","D"
"040902","WHITEFACE CISD","040","COCHRAN","17","N","N","M"," "
"041901","BRONTE ISD","041","COKE","15","N","N","M"," "
"041902","ROBERT LEE ISD","041","COKE","15","N","N","M"," "
"042901","COLEMAN ISD","042","COLEMAN","15","N","N","M"," "
"042903","SANTA ANNA ISD","042","COLEMAN","15","N","N","M"," "
"042905","PANTHER CREEK CISD","042","COLEMAN","15","N","N","M"," "
"043801","IMAGINE INTERNATIONAL ACADEMY OF N","043","COLLIN","10","Y","N","M"," "
"043901","ALLEN ISD","043","COLLIN","10","N","N","M"," "
"043902","ANNA ISD","043","COLLIN","10","N","N","M","B"
"043903","CELINA ISD","043","COLLIN","10","N","N","M","B"
"043904","FARMERSVILLE ISD","043","COLLIN","10","N","N","M"," "
"043905","FRISCO ISD","043","COLLIN","10","N","N","M"," "
"043907","MCKINNEY ISD","043","COLLIN","10","N","N","M"," "
"043908","MELISSA ISD","043","COLLIN","10","N","N","M","D"
"043910","PLANO ISD","043","COLLIN","10","N","N","M"," "
"043911","PRINCETON ISD","043","COLLIN","10","N","N","M","D"
"043912","PROSPER ISD","043","COLLIN","10","N","N","M"," "
"043914","WYLIE ISD","043","COLLIN","10","N","N","M"," "
"043917","BLUE RIDGE ISD","043","COLLIN","10","N","N","M"," "
"043918","COMMUNITY ISD","043","COLLIN","10","N","N","M"," "
"043919","LOVEJOY ISD","043","COLLIN","10","N","N","M"," "
"044902","WELLINGTON ISD","044","COLLINGSWORTH","16","N","N","M"," "
"045902","COLUMBUS ISD","045","COLORADO","03","N","N","M","D"
"045903","RICE CISD","045","COLORADO","03","N","N","M","B"
"045905","WEIMAR ISD","045","COLORADO","03","N","N","M","D"
"046802","TRINITY CHARTER SCHOOL","046","COMAL","13","Y","Y","X"," "
"046901","NEW BRAUNFELS ISD","046","COMAL","13","N","N","M"," "
"046902","COMAL ISD","046","COMAL","13","N","N","M"," "
"047901","COMANCHE ISD","047","COMANCHE","14","N","N","M"," "
"047902","DE LEON ISD","047","COMANCHE","14","N","N","M"," "
"047903","GUSTINE ISD","047","COMANCHE","14","N","N","M"," "
"047905","SIDNEY ISD","047","COMANCHE","14","N","N","M"," "
"048901","EDEN CISD","048","CONCHO","15","N","N","M"," "
"048903","PAINT ROCK ISD","048","CONCHO","15","N","N","M"," "
"049901","GAINESVILLE ISD","049","COOKE","11","N","N","M","B"
"049902","MUENSTER ISD","049","COOKE","11","N","N","M","D"
"049903","VALLEY VIEW ISD","049","COOKE","11","N","N","M"," "
"049905","CALLISBURG ISD","049","COOKE","11","N","N","M"," "
"049906","ERA ISD","049","COOKE","11","N","N","M"," "
"049907","LINDSAY ISD","049","COOKE","11","N","N","M"," "
"049908","WALNUT BEND ISD","049","COOKE","11","N","N","M"," "
"049909","SIVELLS BEND ISD","049","COOKE","11","N","N","M"," "
"050901","EVANT ISD","050","CORYELL","12","N","N","M"," "
"050902","GATESVILLE ISD","050","CORYELL","12","N","N","M"," "
"050904","OGLESBY ISD","050","CORYELL","12","N","N","M"," "
"050909","JONESBORO ISD","050","CORYELL","12","N","N","M"," "
"050910","COPPERAS COVE ISD","050","CORYELL","12","N","N","M"," "
"051901","PADUCAH ISD","051","COTTLE","17","N","N","M","D"
"052901","CRANE ISD","052","CRANE","18","N","N","M"," "
"053001","CROCKETT COUNTY CONSOLIDATED CSD","053","CROCKETT","15","N","N","M"," "
"054901","CROSBYTON CISD","054","CROSBY","17","N","N","M"," "
"054902","LORENZO ISD","054","CROSBY","17","N","N","M","D"
"054903","RALLS ISD","054","CROSBY","17","N","N","M"," "
"055901","CULBERSON COUNTY-ALLAMOORE ISD","055","CULBERSON","18","N","N","M","D"
"056901","DALHART ISD","056","DALLAM","16","N","N","M","B"
"056902","TEXLINE ISD","056","DALLAM","16","N","N","M"," "
"057802","PEGASUS SCHOOL OF LIBERAL ARTS AND","057","DALLAS","10","Y","N","M","D"
"057803","UPLIFT EDUCATION - NORTH HILLS PRE","057","DALLAS","10","Y","N","M","D"
"057804","DALLAS CAN ACADEMY CHARTER","057","DALLAS","10","Y","Y","A","B"
"057805","DALLAS COMMUNITY CHARTER SCHOOL","057","DALLAS","10","Y","N","M","D"
"057806","ADVANTAGE ACADEMY","057","DALLAS","10","Y","N","M"," "
"057807","LIFE SCHOOL","057","DALLAS","10","Y","N","M"," "
"057808","UNIVERSAL ACADEMY","057","DALLAS","10","Y","N","M","D"
"057809","NOVA ACADEMY","057","DALLAS","10","Y","N","M"," "
"057810","ACADEMY OF DALLAS","057","DALLAS","10","Y","N","M","B"
"057811","CHILDREN FIRST ACADEMY OF DALLAS","057","DALLAS","10","Y","N","M"," "
"057813","TRINITY BASIN PREPARATORY","057","DALLAS","10","Y","N","M","D"
"057814","ACADEMY FOR ACADEMIC EXCELLENCE","057","DALLAS","10","Y","Y","X"," "
"057815","FAITH FAMILY ACADEMY OF OAK CLIFF","057","DALLAS","10","Y","N","I","B"
"057816","A W BROWN-FELLOWSHIP LEADERSHIP AC","057","DALLAS","10","Y","N","Q"," "
"057817","FOCUS LEARNING ACADEMY","057","DALLAS","10","Y","N","M","L"
"057819","JEAN MASSIEU ACADEMY","057","DALLAS","10","Y","N","M","B"
"057825","HONORS ACADEMY","057","DALLAS","10","Y","N","I","B"
"057827","NOVA ACADEMY (SOUTHEAST)","057","DALLAS","10","Y","N","M","D"
"057828","WINFREE ACADEMY CHARTER SCHOOLS","057","DALLAS","10","Y","Y","A","H"
"057829","A+ ACADEMY","057","DALLAS","10","Y","N","M","D"
"057830","INSPIRED VISION ACADEMY","057","DALLAS","10","Y","N","M","D"
"057831","GATEWAY CHARTER ACADEMY","057","DALLAS","10","Y","N","M","D"
"057832","ALPHA CHARTER SCHOOL","057","DALLAS","10","Y","Y","A","B"
"057833","EDUCATION CENTER INTERNATIONAL ACA","057","DALLAS","10","Y","N","M"," "
"057834","EVOLUTION ACADEMY CHARTER SCHOOL","057","DALLAS","10","Y","Y","A","B"
"057835","GOLDEN RULE CHARTER SCHOOL","057","DALLAS","10","Y","N","M","D"
"057836","ST ANTHONY SCHOOL","057","DALLAS","10","Y","N","M"," "
"057837","KIPP DALLAS-FORT WORTH","057","DALLAS","10","Y","N","M"," "
"057838","UPLIFT EDUCATION - PEAK PREPARATOR","057","DALLAS","10","Y","N","M","D"
"057839","LA ACADEMIA DE ESTRELLAS","057","DALLAS","10","Y","N","M"," "
"057840","RICHLAND COLLEGIATE HIGH SCHOOL","057","DALLAS","10","Y","N","M"," "
"057841","RECONCILIATION ACADEMY","057","DALLAS","10","Y","N","M"," "
"057842","UPLIFT EDUCATION - WILLIAMS PREPAR","057","DALLAS","10","Y","N","M","D"
"057843","UPLIFT EDUCATION - HAMPTON PREPARA","057","DALLAS","10","Y","N","M","D"
"057844","MANARA ACADEMY","057","DALLAS","10","Y","N","M","D"
"057845","UME PREPARATORY ACADEMY","057","DALLAS","10","Y","N","M"," "
"057846","LEGACY PREPARATORY","057","DALLAS","10","Y","N","I"," "
"057903","CARROLLTON-FARMERS BRANCH ISD","057","DALLAS","10","N","N","M"," "
"057904","CEDAR HILL ISD","057","DALLAS","10","N","N","M"," "
"057905","DALLAS ISD","057","DALLAS","10","N","N","M","B"
"057906","DESOTO ISD","057","DALLAS","10","N","N","M","L"
"057907","DUNCANVILLE ISD","057","DALLAS","10","N","N","I"," "
"057909","GARLAND ISD","057","DALLAS","10","N","N","M"," "
"057910","GRAND PRAIRIE ISD","057","DALLAS","10","N","N","M"," "
"057911","HIGHLAND PARK ISD","057","DALLAS","10","N","N","M"," "
"057912","IRVING ISD","057","DALLAS","10","N","N","M","B"
"057913","LANCASTER ISD","057","DALLAS","10","N","N","M","D"
"057914","MESQUITE ISD","057","DALLAS","10","N","N","M"," "
"057916","RICHARDSON ISD","057","DALLAS","10","N","N","M"," "
"057919","SUNNYVALE ISD","057","DALLAS","10","N","N","M"," "
"057922","COPPELL ISD","057","DALLAS","10","N","N","M"," "
"058902","DAWSON ISD","058","DAWSON","17","N","N","M"," "
"058905","KLONDIKE ISD","058","DAWSON","17","N","N","M","D"
"058906","LAMESA ISD","058","DAWSON","17","N","N","M","L"
"058909","SANDS CISD","058","DAWSON","17","N","N","M","B"
"059901","HEREFORD ISD","059","DEAF SMITH","16","N","N","M","B"
"059902","WALCOTT ISD","059","DEAF SMITH","16","N","N","M"," "
"060902","COOPER ISD","060","DELTA","08","N","N","M","D"
"060914","FANNINDEL ISD","060","DELTA","08","N","N","M","D"
"061802","TEXAS EDUCATION CENTERS","061","DENTON","11","Y","N","M","L"
"061804","LEADERSHIP PREP SCHOOL","061","DENTON","10","Y","N","M"," "
"061901","DENTON ISD","061","DENTON","11","N","N","M"," "
"061902","LEWISVILLE ISD","061","DENTON","11","N","N","M"," "
"061903","PILOT POINT ISD","061","DENTON","11","N","N","M"," "
"061905","KRUM ISD","061","DENTON","11","N","N","M"," "
"061906","PONDER ISD","061","DENTON","11","N","N","M","D"
"061907","AUBREY ISD","061","DENTON","11","N","N","M"," "
"061908","SANGER ISD","061","DENTON","11","N","N","M","D"
"061910","ARGYLE ISD","061","DENTON","11","N","N","M"," "
"061911","NORTHWEST ISD","061","DENTON","11","N","N","M"," "
"061912","LAKE DALLAS ISD","061","DENTON","11","N","N","M"," "
"061914","LITTLE ELM ISD","061","DENTON","11","N","N","M"," "
"062901","CUERO ISD","062","DEWITT","03","N","N","M","D"
"062902","NORDHEIM ISD","062","DEWITT","03","N","N","M"," "
"062903","YOAKUM ISD","062","DEWITT","03","N","N","M","D"
"062904","YORKTOWN ISD","062","DEWITT","03","N","N","M","D"
"062905","WESTHOFF ISD","062","DEWITT","03","N","N","M"," "
"062906","MEYERSVILLE ISD","062","DEWITT","03","N","N","M"," "
"063903","SPUR ISD","063","DICKENS","17","N","N","M"," "
"063906","PATTON SPRINGS ISD","063","DICKENS","17","N","N","M"," "
"064903","CARRIZO SPRINGS CISD","064","DIMMIT","20","N","N","M","H"
"065901","CLARENDON ISD","065","DONLEY","16","N","N","M"," "
"065902","HEDLEY ISD","065","DONLEY","16","N","N","M"," "
"066005","RAMIREZ CSD","066","DUVAL","02","N","N","I"," "
"066901","BENAVIDES ISD","066","DUVAL","02","N","N","M","B"
"066902","SAN DIEGO ISD","066","DUVAL","02","N","N","M"," "
"066903","FREER ISD","066","DUVAL","02","N","N","I"," "
"067902","CISCO ISD","067","EASTLAND","14","N","N","M"," "
"067903","EASTLAND ISD","067","EASTLAND","14","N","N","M"," "
"067904","GORMAN ISD","067","EASTLAND","14","N","N","M"," "
"067907","RANGER ISD","067","EASTLAND","14","N","N","M"," "
"067908","RISING STAR ISD","067","EASTLAND","14","N","N","M"," "
"068801","RICHARD MILBURN ACADEMY (ECTOR COU","068","ECTOR","18","Y","Y","A","B"
"068802","COMPASS ACADEMY CHARTER SCHOOL","068","ECTOR","18","Y","N","M"," "
"068901","ECTOR COUNTY ISD","068","ECTOR","18","N","N","M","L"
"069901","ROCKSPRINGS ISD","069","EDWARDS","15","N","N","M"," "
"069902","NUECES CANYON CISD","069","EDWARDS","15","N","N","M","D"
"070801","WAXAHACHIE FAITH FAMILY ACADEMY","070","ELLIS","10","Y","N","I"," "
"070901","AVALON ISD","070","ELLIS","10","N","N","M","D"
"070903","ENNIS ISD","070","ELLIS","10","N","N","M","B"
"070905","FERRIS ISD","070","ELLIS","10","N","N","M","B"
"070907","ITALY ISD","070","ELLIS","10","N","N","M"," "
"070908","MIDLOTHIAN ISD","070","ELLIS","10","N","N","M"," "
"070909","MILFORD ISD","070","ELLIS","10","N","N","M"," "
"070910","PALMER ISD","070","ELLIS","10","N","N","M"," "
"070911","RED OAK ISD","070","ELLIS","10","N","N","M","D"
"070912","WAXAHACHIE ISD","070","ELLIS","10","N","N","M","B"
"070915","MAYPEARL ISD","070","ELLIS","10","N","N","M","D"
"071801","BURNHAM WOOD CHARTER SCHOOL DISTRI","071","EL PASO","19","Y","N","M","K"
"071803","PASO DEL NORTE ACADEMY CHARTER DIS","071","EL PASO","19","Y","Y","A"," "
"071804","EL PASO ACADEMY","071","EL PASO","19","Y","Y","I","B"
"071806","HARMONY SCIENCE ACAD (EL PASO)","071","EL PASO","19","Y","N","M"," "
"071807","LA FE PREPARATORY SCHOOL","071","EL PASO","19","Y","N","M"," "
"071809","VISTA DEL FUTURO CHARTER SCHOOL","071","EL PASO","19","Y","N","M"," "
"071901","CLINT ISD","071","EL PASO","19","N","N","M","L"
"071902","EL PASO ISD","071","EL PASO","19","N","N","M"," "
"071903","FABENS ISD","071","EL PASO","19","N","N","M","J"
"071904","SAN ELIZARIO ISD","071","EL PASO","19","N","N","M"," "
"071905","YSLETA ISD","071","EL PASO","19","N","N","M"," "
"071906","ANTHONY ISD","071","EL PASO","19","N","N","M"," "
"071907","CANUTILLO ISD","071","EL PASO","19","N","N","M"," "
"071908","TORNILLO ISD","071","EL PASO","19","N","N","M","B"
"071909","SOCORRO ISD","071","EL PASO","19","N","N","M"," "
"072801","PREMIER HIGH SCHOOLS","072","ERATH","11","Y","Y","A","B"
"072802","ERATH EXCELS ACADEMY INC","072","ERATH","11","Y","Y","A"," "
"072901","THREE WAY ISD","072","ERATH","11","N","N","M"," "
"072902","DUBLIN ISD","072","ERATH","11","N","N","M"," "
"072903","STEPHENVILLE","072","ERATH","11","N","N","M","D"
"072904","BLUFF DALE ISD","072","ERATH","11","N","N","M"," "
"072908","HUCKABAY ISD","072","ERATH","11","N","N","M"," "
"072909","LINGLEVILLE ISD","072","ERATH","11","N","N","M","D"
"072910","MORGAN MILL ISD","072","ERATH","11","N","N","M"," "
"073901","CHILTON ISD","073","FALLS","12","N","N","M","D"
